,GID,GAME_DATE,ATTENDANCE,GAME_TIME,SEASON
0,0029300001,"FRIDAY, NOVEMBER 5, 1993",23698.0,,1993-1994
1,0029300002,"FRIDAY, NOVEMBER 5, 1993",11128.0,,1993-1994
2,0029300003,"FRIDAY, NOVEMBER 5, 1993",12032.0,,1993-1994
3,0029300004,"FRIDAY, NOVEMBER 5, 1993",19911.0,,1993-1994
4,0029300005,"FRIDAY, NOVEMBER 5, 1993",14890.0,,1993-1994
5,0029300006,"FRIDAY, NOVEMBER 5, 1993",17102.0,,1993-1994
6,0029300007,"FRIDAY, NOVEMBER 5, 1993",15200.0,,1993-1994
7,0029300008,"FRIDAY, NOVEMBER 5, 1993",11246.0,,1993-1994
8,0029300009,"FRIDAY, NOVEMBER 5, 1993",14531.0,,1993-1994
9,0029300010,"FRIDAY, NOVEMBER 5, 1993",17317.0,,1993-1994
10,0029300011,"FRIDAY, NOVEMBER 5, 1993",21454.0,,1993-1994
11,0029300012,"FRIDAY, NOVEMBER 5, 1993",36523.0,,1993-1994
12,0029300013,"FRIDAY, NOVEMBER 5, 1993",17505.0,,1993-1994
13,0029300014,"SATURDAY, NOVEMBER 6, 1993",18827.0,,1993-1994
14,0029300015,"SATURDAY, NOVEMBER 6, 1993",18676.0,,1993-1994
15,0029300016,"SATURDAY, NOVEMBER 6, 1993",14813.0,,1993-1994
16,0029300017,"SATURDAY, NOVEMBER 6, 1993",13195.0,,1993-1994
17,0029300018,"SATURDAY, NOVEMBER 6, 1993",18633.0,,1993-1994
18,0029300019,"SATURDAY, NOVEMBER 6, 1993",15291.0,,1993-1994
19,0029300020,"SATURDAY, NOVEMBER 6, 1993",18756.0,,1993-1994
20,0029300021,"SATURDAY, NOVEMBER 6, 1993",14331.0,,1993-1994
21,0029300022,"SUNDAY, NOVEMBER 7, 1993",12888.0,,1993-1994
22,0029300023,"SUNDAY, NOVEMBER 7, 1993",19023.0,,1993-1994
23,0029300024,"SUNDAY, NOVEMBER 7, 1993",15280.0,,1993-1994
24,0029300025,"SUNDAY, NOVEMBER 7, 1993",17727.0,,1993-1994
25,0029300026,"SUNDAY, NOVEMBER 7, 1993",17171.0,,1993-1994
26,0029300027,"MONDAY, NOVEMBER 8, 1993",14890.0,,1993-1994
27,0029300028,"MONDAY, NOVEMBER 8, 1993",18157.0,,1993-1994
28,0029300029,"MONDAY, NOVEMBER 8, 1993",19911.0,,1993-1994
29,0029300030,"TUESDAY, NOVEMBER 9, 1993",16087.0,,1993-1994
30,0029300031,"TUESDAY, NOVEMBER 9, 1993",21454.0,,1993-1994
31,0029300032,"TUESDAY, NOVEMBER 9, 1993",19763.0,,1993-1994
32,0029300033,"TUESDAY, NOVEMBER 9, 1993",18134.0,,1993-1994
33,0029300034,"TUESDAY, NOVEMBER 9, 1993",12112.0,,1993-1994
34,0029300035,"TUESDAY, NOVEMBER 9, 1993",11476.0,,1993-1994
35,0029300036,"TUESDAY, NOVEMBER 9, 1993",15291.0,,1993-1994
36,0029300037,"TUESDAY, NOVEMBER 9, 1993",14253.0,,1993-1994
37,0029300038,"TUESDAY, NOVEMBER 9, 1993",15025.0,,1993-1994
38,0029300039,"TUESDAY, NOVEMBER 9, 1993",11561.0,,1993-1994
39,0029300040,"WEDNESDAY, NOVEMBER 10, 1993",19911.0,,1993-1994
40,0029300041,"WEDNESDAY, NOVEMBER 10, 1993",17317.0,,1993-1994
41,0029300042,"WEDNESDAY, NOVEMBER 10, 1993",19032.0,,1993-1994
42,0029300043,"WEDNESDAY, NOVEMBER 10, 1993",18633.0,,1993-1994
43,0029300044,"WEDNESDAY, NOVEMBER 10, 1993",9652.0,,1993-1994
44,0029300045,"WEDNESDAY, NOVEMBER 10, 1993",13522.0,,1993-1994
45,0029300046,"THURSDAY, NOVEMBER 11, 1993",16151.0,,1993-1994
46,0029300047,"THURSDAY, NOVEMBER 11, 1993",23698.0,,1993-1994
47,0029300048,"THURSDAY, NOVEMBER 11, 1993",9021.0,,1993-1994
48,0029300049,"THURSDAY, NOVEMBER 11, 1993",15010.0,,1993-1994
49,0029300050,"THURSDAY, NOVEMBER 11, 1993",14813.0,,1993-1994
50,0029300051,"THURSDAY, NOVEMBER 11, 1993",10238.0,,1993-1994
51,0029300052,"FRIDAY, NOVEMBER 12, 1993",18346.0,,1993-1994
52,0029300053,"FRIDAY, NOVEMBER 12, 1993",17317.0,,1993-1994
53,0029300054,"FRIDAY, NOVEMBER 12, 1993",13954.0,,1993-1994
54,0029300055,"FRIDAY, NOVEMBER 12, 1993",11215.0,,1993-1994
55,0029300056,"FRIDAY, NOVEMBER 12, 1993",18756.0,,1993-1994
56,0029300057,"FRIDAY, NOVEMBER 12, 1993",15025.0,,1993-1994
57,0029300058,"FRIDAY, NOVEMBER 12, 1993",19911.0,,1993-1994
58,0029300059,"FRIDAY, NOVEMBER 12, 1993",14890.0,,1993-1994
59,0029300060,"FRIDAY, NOVEMBER 12, 1993",15291.0,,1993-1994
60,0029300061,"FRIDAY, NOVEMBER 12, 1993",12888.0,,1993-1994
61,0029300062,"SATURDAY, NOVEMBER 13, 1993",17171.0,,1993-1994
62,0029300063,"SATURDAY, NOVEMBER 13, 1993",14813.0,,1993-1994
63,0029300064,"SATURDAY, NOVEMBER 13, 1993",18676.0,,1993-1994
64,0029300065,"SATURDAY, NOVEMBER 13, 1993",16611.0,,1993-1994
65,0029300066,"SATURDAY, NOVEMBER 13, 1993",19763.0,,1993-1994
66,0029300067,"SATURDAY, NOVEMBER 13, 1993",13187.0,,1993-1994
67,0029300068,"SATURDAY, NOVEMBER 13, 1993",12416.0,,1993-1994
68,0029300069,"SATURDAY, NOVEMBER 13, 1993",12936.0,,1993-1994
