,GID,GAME_DATE,ATTENDANCE,GAME_TIME,SEASON
0,0020400001,"TUESDAY, NOVEMBER 2, 2004",22076,2:29,2004-2005
1,0020400002,"TUESDAY, NOVEMBER 2, 2004",20041,2:18,2004-2005
2,0020400003,"TUESDAY, NOVEMBER 2, 2004",18997,2:26,2004-2005
3,0020400004,"WEDNESDAY, NOVEMBER 3, 2004",19800,2:21,2004-2005
4,0020400005,"WEDNESDAY, NOVEMBER 3, 2004",15138,2:22,2004-2005
5,0020400006,"WEDNESDAY, NOVEMBER 3, 2004",19730,2:53,2004-2005
6,0020400007,"WEDNESDAY, NOVEMBER 3, 2004",18624,2:19,2004-2005
7,0020400008,"WEDNESDAY, NOVEMBER 3, 2004",17260,2:25,2004-2005
8,0020400009,"WEDNESDAY, NOVEMBER 3, 2004",18119,2:21,2004-2005
9,0020400010,"WEDNESDAY, NOVEMBER 3, 2004",17682,2:08,2004-2005
10,0020400011,"WEDNESDAY, NOVEMBER 3, 2004",17295,2:06,2004-2005
11,0020400012,"WEDNESDAY, NOVEMBER 3, 2004",18797,2:10,2004-2005
12,0020400013,"WEDNESDAY, NOVEMBER 3, 2004",18422,2:11,2004-2005
13,0020400014,"WEDNESDAY, NOVEMBER 3, 2004",19911,2:31,2004-2005
14,0020400015,"WEDNESDAY, NOVEMBER 3, 2004",13371,2:12,2004-2005
15,0020400016,"WEDNESDAY, NOVEMBER 3, 2004",15351,2:13,2004-2005
16,0020400017,"THURSDAY, NOVEMBER 4, 2004",23319,2:26,2004-2005
17,0020400018,"THURSDAY, NOVEMBER 4, 2004",20235,2:27,2004-2005
18,0020400019,"THURSDAY, NOVEMBER 4, 2004",19099,2:47,2004-2005
19,0020400020,"FRIDAY, NOVEMBER 5, 2004",15284,2:12,2004-2005
20,0020400021,"FRIDAY, NOVEMBER 5, 2004",19385,2:16,2004-2005
21,0020400022,"FRIDAY, NOVEMBER 5, 2004",13702,2:25,2004-2005
