,GID,GAME_DATE,ATTENDANCE,GAME_TIME,SEASON
0,0020900001,"TUESDAY, OCTOBER 27, 2009",20562,2:44,2009-2010
1,0020900002,"TUESDAY, OCTOBER 27, 2009",19871,2:18,2009-2010
2,0020900003,"TUESDAY, OCTOBER 27, 2009",20403,2:14,2009-2010
3,0020900004,"TUESDAY, OCTOBER 27, 2009",18997,2:31,2009-2010
4,0020900005,"WEDNESDAY, OCTOBER 28, 2009",17998,2:25,2009-2010
5,0020900006,"WEDNESDAY, OCTOBER 28, 2009",17461,2:12,2009-2010
6,0020900007,"WEDNESDAY, OCTOBER 28, 2009",20152,2:39,2009-2010
7,0020900008,"WEDNESDAY, OCTOBER 28, 2009",18624,2:26,2009-2010
8,0020900009,"WEDNESDAY, OCTOBER 28, 2009",19600,2:07,2009-2010
9,0020900010,"WEDNESDAY, OCTOBER 28, 2009",17212,2:26,2009-2010
10,0020900011,"WEDNESDAY, OCTOBER 28, 2009",18358,2:29,2009-2010
11,0020900012,"WEDNESDAY, OCTOBER 28, 2009",18203,2:13,2009-2010
12,0020900013,"WEDNESDAY, OCTOBER 28, 2009",18581,2:22,2009-2010
13,0020900014,"WEDNESDAY, OCTOBER 28, 2009",19155,2:36,2009-2010
14,0020900015,"WEDNESDAY, OCTOBER 28, 2009",19596,2:16,2009-2010
15,0020900016,"WEDNESDAY, OCTOBER 28, 2009",15974,2:26,2009-2010
16,0020900017,"THURSDAY, OCTOBER 29, 2009",21412,2:29,2009-2010
17,0020900018,"THURSDAY, OCTOBER 29, 2009",20218,2:50,2009-2010
18,0020900019,"FRIDAY, OCTOBER 30, 2009",18624,3:00,2009-2010
19,0020900020,"FRIDAY, OCTOBER 30, 2009",14638,2:17,2009-2010
20,0020900021,"FRIDAY, OCTOBER 30, 2009",17079,2:26,2009-2010
21,0020900022,"FRIDAY, OCTOBER 30, 2009",18624,2:25,2009-2010
22,0020900023,"FRIDAY, OCTOBER 30, 2009",22076,2:35,2009-2010
23,0020900024,"FRIDAY, OCTOBER 30, 2009",18165,2:32,2009-2010
24,0020900025,"FRIDAY, OCTOBER 30, 2009",10563,2:23,2009-2010
