,GID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PTS_PAINT,PTS_2ND_CHANCE,PTS_FB,LARGEST_LEAD,LEAD_CHANGES,TIMES_TIED,TEAM_TURNOVERS,TOTAL_TURNOVERS,TEAM_REBOUNDS,PTS_OFF_TO,SEASON
59,0020700030,00,1610612763,MEM,Memphis,40,10,19,0,0,0,0,27,13,36.0,2007-2008
60,0020700031,00,1610612741,CHI,Chicago,32,9,8,12,9,7,0,19,9,14.0,2007-2008
61,0020700031,00,1610612749,MIL,Milwaukee,16,8,7,12,9,7,1,16,9,12.0,2007-2008
62,0020700032,00,1610612745,HOU,Houston,40,25,2,22,0,0,0,10,6,8.0,2007-2008
63,0020700032,00,1610612757,POR,Portland,22,12,10,0,0,0,0,18,8,8.0,2007-2008
64,0020700033,00,1610612742,DAL,Dallas,38,7,16,26,0,0,1,15,1,22.0,2007-2008
65,0020700033,00,1610612758,SAC,Sacramento,40,16,12,0,0,0,1,16,6,29.0,2007-2008
66,0020700034,00,1610612744,GSW,Golden State,44,15,19,11,4,2,1,21,5,27.0,2007-2008
67,0020700034,00,1610612762,UTA,Utah,42,8,9,24,4,2,2,18,12,21.0,2007-2008
68,0020700035,00,1610612738,BOS,Boston,28,8,8,12,2,5,4,21,11,17.0,2007-2008
69,0020700035,00,1610612761,TOR,Toronto,32,14,10,1,2,5,1,14,13,12.0,2007-2008
70,0020700036,00,1610612746,LAC,Los Angeles,48,18,12,17,7,8,0,12,5,8.0,2007-2008
71,0020700036,00,1610612760,SEA,Seattle,40,11,2,5,7,8,0,22,4,25.0,2007-2008
72,0020700037,00,1610612752,NYK,New York,40,11,10,9,11,7,0,14,13,21.0,2007-2008
73,0020700037,00,1610612750,MIN,Minnesota,34,17,4,10,11,7,0,13,7,17.0,2007-2008
74,0020700038,00,1610612766,CHA,Charlotte,34,5,17,16,5,5,1,19,3,23.0,2007-2008
75,0020700038,00,1610612748,MIA,Miami,44,17,6,6,5,5,0,12,6,18.0,2007-2008
76,0020700039,00,1610612765,DET,Detroit,36,20,20,10,9,4,0,14,7,14.0,2007-2008
77,0020700039,00,1610612737,ATL,Atlanta,32,14,8,9,9,4,2,21,10,27.0,2007-2008
78,0020700040,00,1610612743,DEN,Denver,44,23,11,9,8,5,0,15,7,20.0,2007-2008
79,0020700040,00,1610612740,NOH,New Orleans,32,9,22,11,8,5,1,16,9,12.0,2007-2008
80,0020700041,00,1610612756,PHX,Phoenix,42,9,16,12,5,4,1,11,10,9.0,2007-2008
81,0020700041,00,1610612739,CLE,Cleveland,50,16,7,12,5,4,2,22,7,21.0,2007-2008
82,0020700042,00,1610612762,UTA,Utah,50,14,11,7,24,14,0,16,12,22.0,2007-2008
83,0020700042,00,1610612747,LAL,Los Angeles,58,6,25,14,24,14,1,19,9,21.0,2007-2008
84,0020700043,00,1610612742,DAL,Dallas,26,6,21,11,25,18,1,13,6,13.0,2007-2008
85,0020700043,00,1610612745,HOU,Houston,42,14,20,6,25,18,0,10,8,14.0,2007-2008
86,0020700044,00,1610612766,CHA,Charlotte,38,14,7,3,3,1,2,24,9,24.0,2007-2008
87,0020700044,00,1610612756,PHX,Phoenix,52,13,14,34,3,1,1,10,6,9.0,2007-2008
88,0020700045,00,1610612751,NJN,New Jersey,46,14,8,14,9,10,1,18,10,26.0,2007-2008
89,0020700045,00,1610612737,ATL,Atlanta,28,9,13,4,9,10,1,20,10,23.0,2007-2008
90,0020700046,00,1610612743,DEN,Denver,54,11,12,15,4,6,0,12,11,24.0,2007-2008
91,0020700046,00,1610612752,NYK,New York,70,29,10,7,4,6,1,19,10,19.0,2007-2008
92,0020700047,00,1610612761,TOR,Toronto,26,11,4,1,2,2,0,15,4,9.0,2007-2008
93,0020700047,00,1610612749,MIL,Milwaukee,44,4,17,36,2,2,1,18,5,16.0,2007-2008
94,0020700048,00,1610612753,ORL,Orlando,36,21,12,16,9,7,0,9,10,9.0,2007-2008
95,0020700048,00,1610612750,MIN,Minnesota,52,15,6,9,9,7,1,15,7,20.0,2007-2008
96,0020700049,00,1610612746,LAC,Los Angeles,28,10,10,13,11,10,1,16,13,14.0,2007-2008
97,0020700049,00,1610612741,CHI,Chicago,38,21,12,6,11,10,2,14,11,13.0,2007-2008
98,0020700050,00,1610612759,SAS,San Antonio,40,3,10,2,5,2,1,13,10,18.0,2007-2008
99,0020700050,00,1610612745,HOU,Houston,38,21,4,15,5,2,1,19,11,17.0,2007-2008
100,0020700051,00,1610612758,SAC,Sacramento,42,14,10,7,8,9,2,19,8,24.0,2007-2008
101,0020700051,00,1610612760,SEA,Seattle,30,16,27,20,7,9,1,26,5,34.0,2007-2008
102,0020700052,00,1610612740,NOH,New Orleans,36,13,6,16,9,3,0,12,9,11.0,2007-2008
103,0020700052,00,1610612747,LAL,Los Angeles,52,15,6,5,9,3,1,16,2,22.0,2007-2008
104,0020700053,00,1610612739,CLE,Cleveland,36,11,11,10,11,9,2,14,10,17.0,2007-2008
105,0020700053,00,1610612744,GSW,Golden State,44,11,14,6,11,9,1,12,14,16.0,2007-2008
106,0020700054,00,1610612753,ORL,Orlando,32,7,6,15,2,4,0,17,7,23.0,2007-2008
107,0020700054,00,1610612761,TOR,Toronto,36,8,15,1,2,4,0,8,3,10.0,2007-2008
108,0020700055,00,1610612755,PHI,Philadelphia,44,15,32,31,0,1,1,21,4,13.0,2007-2008
109,0020700055,00,1610612766,CHA,Charlotte,28,16,4,0,0,1,3,29,11,34.0,2007-2008
110,0020700056,00,1610612756,PHX,Phoenix,38,9,20,5,6,4,1,15,4,19.0,2007-2008
111,0020700056,00,1610612737,ATL,Atlanta,44,29,14,10,6,4,0,16,6,21.0,2007-2008
112,0020700057,00,1610612746,LAC,Los Angeles,24,12,6,21,2,5,1,17,11,14.0,2007-2008
113,0020700057,00,1610612754,IND,Indiana,24,8,3,6,2,5,0,15,8,15.0,2007-2008
114,0020700058,00,1610612738,BOS,Boston,62,13,10,41,0,1,2,22,7,17.0,2007-2008
115,0020700058,00,1610612743,DEN,Denver,32,8,5,0,0,1,0,24,9,28.0,2007-2008
116,0020700059,00,1610612748,MIA,Miami,30,3,12,5,9,3,0,14,11,9.0,2007-2008
117,0020700059,00,1610612759,SAS,San Antonio,38,11,15,17,9,3,1,15,9,15.0,2007-2008
118,0020700060,00,1610612762,UTA,Utah,50,15,16,9,2,3,1,18,6,14.0,2007-2008
119,0020700060,00,1610612739,CLE,Cleveland,40,19,17,1,2,3,1,19,8,29.0,2007-2008
120,0020700061,00,1610612763,MEM,Memphis,42,32,13,7,12,6,0,18,11,20.0,2007-2008
121,0020700061,00,1610612760,SEA,Seattle,52,18,25,14,12,6,1,19,4,26.0,2007-2008
122,0020700062,00,1610612757,POR,Portland,28,10,8,15,7,7,2,13,12,12.0,2007-2008
123,0020700062,00,1610612740,NOH,New Orleans,44,13,16,7,7,7,0,12,6,14.0,2007-2008
124,0020700063,00,1610612751,NJN,New Jersey,18,15,7,6,6,9,0,16,14,14.0,2007-2008
125,0020700063,00,1610612764,WAS,Washington,26,10,12,20,6,9,0,15,7,20.0,2007-2008
126,0020700064,00,1610612741,CHI,Chicago,42,14,2,12,8,3,1,15,10,11.0,2007-2008
127,0020700064,00,1610612765,DET,Detroit,26,7,13,1,8,3,0,17,9,19.0,2007-2008
128,0020700065,00,1610612742,DAL,Dallas,40,15,11,7,24,16,1,13,6,10.0,2007-2008
129,0020700065,00,1610612744,GSW,Golden State,56,17,22,8,24,16,0,7,12,10.0,2007-2008
130,0020700066,00,1610612761,TOR,Toronto,26,10,7,10,4,7,1,16,11,14.0,2007-2008
131,0020700066,00,1610612755,PHI,Philadelphia,46,15,12,3,4,7,0,11,8,11.0,2007-2008
132,0020700067,00,1610612766,CHA,Charlotte,26,18,6,14,5,4,0,16,12,12.0,2007-2008
133,0020700067,00,1610612754,IND,Indiana,38,13,11,10,5,4,0,15,6,16.0,2007-2008
134,0020700068,00,1610612738,BOS,Boston,48,9,10,24,8,9,0,18,5,21.0,2007-2008
135,0020700068,00,1610612737,ATL,Atlanta,30,8,19,2,8,9,0,19,8,20.0,2007-2008
136,0020700069,00,1610612753,ORL,Orlando,44,8,14,14,20,11,0,15,7,11.0,2007-2008
137,0020700069,00,1610612752,NYK,New York,34,14,3,7,20,11,0,20,12,28.0,2007-2008
138,0020700070,00,1610612756,PHX,Phoenix,26,12,11,8,6,6,1,13,5,15.0,2007-2008
139,0020700070,00,1610612748,MIA,Miami,48,16,6,13,6,6,1,16,4,17.0,2007-2008
140,0020700071,00,1610612743,DEN,Denver,40,16,16,31,7,8,0,19,7,16.0,2007-2008
141,0020700071,00,1610612764,WAS,Washington,30,17,22,5,7,8,2,26,10,28.0,2007-2008
142,0020700072,00,1610612765,DET,Detroit,30,13,8,31,2,2,0,12,6,13.0,2007-2008
143,0020700072,00,1610612746,LAC,Los Angeles,28,9,7,2,2,2,1,13,11,16.0,2007-2008
144,0020700073,00,1610612740,NOH,New Orleans,40,12,13,9,4,9,0,9,12,10.0,2007-2008
145,0020700073,00,1610612759,SAS,San Antonio,56,10,16,21,4,9,0,10,3,11.0,2007-2008
146,0020700074,00,1610612745,HOU,Houston,40,11,7,16,6,2,1,12,3,9.0,2007-2008
147,0020700074,00,1610612749,MIL,Milwaukee,28,10,5,3,6,2,0,11,10,12.0,2007-2008
148,0020700075,00,1610612757,POR,Portland,46,11,22,12,3,9,0,13,8,11.0,2007-2008
149,0020700075,00,1610612763,MEM,Memphis,52,12,10,15,3,9,0,12,8,16.0,2007-2008
150,0020700076,00,1610612747,LAL,Los Angeles,56,25,21,16,7,4,0,18,11,18.0,2007-2008
151,0020700076,00,1610612750,MIN,Minnesota,42,21,4,8,7,4,0,15,6,22.0,2007-2008
152,0020700077,00,1610612758,SAC,Sacramento,34,2,14,5,15,10,1,17,12,12.0,2007-2008
153,0020700077,00,1610612739,CLE,Cleveland,30,16,13,10,15,10,0,11,5,15.0,2007-2008
154,0020700078,00,1610612760,SEA,Seattle,66,8,22,3,7,6,0,17,16,13.0,2007-2008
155,0020700078,00,1610612762,UTA,Utah,58,17,6,11,7,6,1,19,10,18.0,2007-2008
156,0020700079,00,1610612753,ORL,Orlando,52,9,19,2,2,2,1,15,13,23.0,2007-2008
157,0020700079,00,1610612756,PHX,Phoenix,42,7,22,24,2,2,0,11,8,17.0,2007-2008
158,0020700080,00,1610612743,DEN,Denver,30,13,15,8,7,2,0,22,8,18.0,2007-2008
159,0020700080,00,1610612754,IND,Indiana,50,16,17,25,7,2,1,21,8,16.0,2007-2008
160,0020700081,00,1610612738,BOS,Boston,32,18,9,23,12,9,2,13,4,17.0,2007-2008
161,0020700081,00,1610612751,NJN,New Jersey,34,8,8,5,12,9,0,14,9,13.0,2007-2008
162,0020700082,00,1610612761,TOR,Toronto,32,4,14,39,0,1,0,23,5,18.0,2007-2008
163,0020700082,00,1610612741,CHI,Chicago,20,10,10,0,0,1,0,20,9,21.0,2007-2008
164,0020700083,00,1610612763,MEM,Memphis,36,8,19,4,8,3,0,25,9,24.0,2007-2008
165,0020700083,00,1610612762,UTA,Utah,52,16,28,25,8,3,0,14,3,18.0,2007-2008
166,0020700084,00,1610612750,MIN,Minnesota,52,17,8,6,16,21,1,18,12,22.0,2007-2008
167,0020700084,00,1610612758,SAC,Sacramento,34,13,16,7,16,21,0,15,9,16.0,2007-2008
168,0020700085,00,1610612757,POR,Portland,34,5,10,18,2,4,0,16,9,8.0,2007-2008
169,0020700085,00,1610612742,DAL,Dallas,32,6,4,5,2,4,0,13,5,19.0,2007-2008
170,0020700086,00,1610612764,WAS,Washington,50,23,14,19,0,1,0,12,4,15.0,2007-2008
171,0020700086,00,1610612737,ATL,Atlanta,34,6,20,0,0,1,0,11,12,13.0,2007-2008
172,0020700087,00,1610612752,NYK,New York,40,16,7,8,4,5,0,18,8,20.0,2007-2008
173,0020700087,00,1610612748,MIA,Miami,28,10,4,11,5,5,1,17,6,16.0,2007-2008
174,0020700088,00,1610612755,PHI,Philadelphia,28,8,4,7,5,3,0,18,4,13.0,2007-2008
175,0020700088,00,1610612740,NOH,New Orleans,34,18,7,23,5,3,1,17,7,16.0,2007-2008
176,0020700089,00,1610612766,CHA,Charlotte,32,14,14,10,14,8,1,13,4,16.0,2007-2008
177,0020700089,00,1610612745,HOU,Houston,40,18,2,4,15,9,1,20,5,19.0,2007-2008
178,0020700090,00,1610612759,SAS,San Antonio,50,6,13,40,1,2,1,14,4,13.0,2007-2008
179,0020700090,00,1610612749,MIL,Milwaukee,36,13,10,4,1,2,0,14,7,18.0,2007-2008
180,0020700091,00,1610612760,SEA,Seattle,46,12,23,2,1,1,0,13,5,11.0,2007-2008
181,0020700091,00,1610612765,DET,Detroit,30,21,8,23,1,1,0,11,11,7.0,2007-2008
182,0020700092,00,1610612739,CLE,Cleveland,54,22,12,13,10,7,0,15,10,20.0,2007-2008
183,0020700092,00,1610612746,LAC,Los Angeles,34,16,5,5,10,7,0,16,6,20.0,2007-2008
184,0020700093,00,1610612751,NJN,New Jersey,30,4,24,11,4,3,0,14,5,18.0,2007-2008
185,0020700093,00,1610612740,NOH,New Orleans,26,2,8,13,5,4,0,16,6,15.0,2007-2008
186,0020700094,00,1610612743,DEN,Denver,50,14,21,27,2,1,0,13,10,11.0,2007-2008
187,0020700094,00,1610612739,CLE,Cleveland,32,25,7,1,2,1,1,15,13,18.0,2007-2008
188,0020700095,00,1610612762,UTA,Utah,48,24,16,26,0,0,0,15,16,18.0,2007-2008
189,0020700095,00,1610612758,SAC,Sacramento,32,11,8,0,0,0,1,19,6,27.0,2007-2008
190,0020700096,00,1610612748,MIA,Miami,38,10,6,6,1,0,1,11,9,7.0,2007-2008
191,0020700096,00,1610612766,CHA,Charlotte,34,13,9,30,1,0,2,10,12,10.0,2007-2008
192,0020700097,00,1610612753,ORL,Orlando,42,5,16,33,1,1,0,26,9,26.0,2007-2008
193,0020700097,00,1610612760,SEA,Seattle,46,12,25,7,1,1,0,17,7,5.0,2007-2008
194,0020700098,00,1610612738,BOS,Boston,28,7,9,16,3,6,0,13,11,8.0,2007-2008
195,0020700098,00,1610612754,IND,Indiana,28,14,12,6,3,6,1,23,13,24.0,2007-2008
196,0020700099,00,1610612763,MEM,Memphis,52,8,16,9,6,7,0,17,8,20.0,2007-2008
197,0020700099,00,1610612745,HOU,Houston,44,8,10,9,6,7,0,9,5,8.0,2007-2008
198,0020700100,00,1610612755,PHI,Philadelphia,34,16,13,7,7,7,1,19,8,19.0,2007-2008
199,0020700100,00,1610612742,DAL,Dallas,42,8,25,21,7,7,1,13,6,6.0,2007-2008
200,0020700101,00,1610612759,SAS,San Antonio,34,10,11,22,9,5,0,11,5,13.0,2007-2008
201,0020700101,00,1610612747,LAL,Los Angeles,48,17,21,4,9,5,0,19,6,23.0,2007-2008
202,0020700102,00,1610612756,PHX,Phoenix,42,12,19,21,2,1,1,19,11,22.0,2007-2008
203,0020700102,00,1610612752,NYK,New York,44,13,11,1,2,1,0,17,5,15.0,2007-2008
204,0020700103,00,1610612757,POR,Portland,42,9,8,10,20,6,0,13,7,21.0,2007-2008
205,0020700103,00,1610612765,DET,Detroit,36,13,11,8,20,6,0,11,4,10.0,2007-2008
206,0020700104,00,1610612762,UTA,Utah,44,10,6,7,9,6,0,15,4,13.0,2007-2008
207,0020700104,00,1610612761,TOR,Toronto,32,18,6,7,9,6,0,17,7,10.0,2007-2008
208,0020700105,00,1610612754,IND,Indiana,30,14,10,2,1,2,3,18,14,23.0,2007-2008
209,0020700105,00,1610612764,WAS,Washington,26,12,10,20,1,2,1,15,4,20.0,2007-2008
210,0020700106,00,1610612766,CHA,Charlotte,44,16,16,0,0,2,1,14,12,24.0,2007-2008
211,0020700106,00,1610612737,ATL,Atlanta,62,13,22,18,0,2,1,17,7,16.0,2007-2008
212,0020700107,00,1610612753,ORL,Orlando,48,15,15,8,20,12,0,14,10,13.0,2007-2008
213,0020700107,00,1610612739,CLE,Cleveland,50,25,13,4,19,11,0,15,7,20.0,2007-2008
214,0020700108,00,1610612738,BOS,Boston,38,15,10,24,5,5,0,14,10,8.0,2007-2008
215,0020700108,00,1610612751,NJN,New Jersey,22,15,4,9,5,5,1,21,16,19.0,2007-2008
216,0020700109,00,1610612748,MIA,Miami,42,17,9,0,0,0,0,12,8,15.0,2007-2008
217,0020700109,00,1610612760,SEA,Seattle,38,14,18,23,0,0,2,24,9,34.0,2007-2008
218,0020700110,00,1610612763,MEM,Memphis,48,8,16,4,7,4,0,12,6,18.0,2007-2008
219,0020700110,00,1610612749,MIL,Milwaukee,44,15,5,11,7,4,0,14,5,15.0,2007-2008
220,0020700111,00,1610612740,NOH,New Orleans,26,11,7,19,2,6,1,16,7,14.0,2007-2008
221,0020700111,00,1610612755,PHI,Philadelphia,30,10,9,2,2,6,1,21,13,23.0,2007-2008
222,0020700112,00,1610612750,MIN,Minnesota,48,6,8,10,27,15,0,16,9,21.0,2007-2008
223,0020700112,00,1610612758,SAC,Sacramento,26,4,8,6,27,15,0,16,6,17.0,2007-2008
224,0020700113,00,1610612745,HOU,Houston,34,18,7,2,4,5,1,13,12,12.0,2007-2008
225,0020700113,00,1610612747,LAL,Los Angeles,18,7,13,18,4,5,2,21,15,12.0,2007-2008
226,0020700114,00,1610612743,DEN,Denver,56,14,21,23,4,2,0,17,4,21.0,2007-2008
227,0020700114,00,1610612757,POR,Portland,32,12,11,1,4,2,1,18,16,19.0,2007-2008
228,0020700115,00,1610612752,NYK,New York,44,25,6,7,9,5,0,20,11,14.0,2007-2008
229,0020700115,00,1610612746,LAC,Los Angeles,32,13,4,16,9,5,0,14,4,14.0,2007-2008
230,0020700116,00,1610612765,DET,Detroit,46,15,16,7,1,2,2,16,15,24.0,2007-2008
231,0020700116,00,1610612744,GSW,Golden State,42,23,14,22,1,2,0,11,7,18.0,2007-2008
232,0020700117,00,1610612759,SAS,San Antonio,32,18,7,4,3,2,1,15,7,20.0,2007-2008
233,0020700117,00,1610612742,DAL,Dallas,36,5,19,19,3,2,1,14,11,21.0,2007-2008
234,0020700118,00,1610612756,PHX,Phoenix,40,4,24,15,12,6,1,16,11,18.0,2007-2008
235,0020700118,00,1610612741,CHI,Chicago,42,16,15,2,12,6,0,14,7,27.0,2007-2008
236,0020700119,00,1610612754,IND,Indiana,30,12,12,11,3,4,1,17,6,16.0,2007-2008
237,0020700119,00,1610612761,TOR,Toronto,18,14,15,10,3,4,1,14,8,14.0,2007-2008
238,0020700120,00,1610612755,PHI,Philadelphia,54,8,20,4,1,2,0,21,6,25.0,2007-2008
239,0020700120,00,1610612757,POR,Portland,44,12,6,25,0,1,1,19,3,26.0,2007-2008
240,0020700121,00,1610612738,BOS,Boston,44,10,2,15,13,6,1,19,3,20.0,2007-2008
241,0020700121,00,1610612748,MIA,Miami,44,9,10,6,12,6,0,11,12,7.0,2007-2008
242,0020700122,00,1610612753,ORL,Orlando,38,16,8,25,1,3,2,16,7,16.0,2007-2008
