,GID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PTS_PAINT,PTS_2ND_CHANCE,PTS_FB,LARGEST_LEAD,LEAD_CHANGES,TIMES_TIED,TEAM_TURNOVERS,TOTAL_TURNOVERS,TEAM_REBOUNDS,PTS_OFF_TO,SEASON
0,0020800001,00,1610612739,CLE,Cleveland,34,16,6,11,5,3,1,22,14,0.0,2008-2009
1,0020800001,00,1610612738,BOS,Boston,42,12,4,8,5,3,1,17,11,0.0,2008-2009
2,0020800002,00,1610612741,CHI,Chicago,32,12,20,15,17,16,1,19,14,16.0,2008-2009
3,0020800002,00,1610612749,MIL,Milwaukee,28,22,1,4,17,16,0,19,5,29.0,2008-2009
4,0020800003,00,1610612757,POR,Portland,22,13,4,0,0,0,2,14,7,12.0,2008-2009
5,0020800003,00,1610612747,LAL,Los Angeles,42,9,15,23,0,0,0,15,6,21.0,2008-2009
6,0020800004,00,1610612753,ORL,Orlando,46,26,8,2,2,1,0,15,13,17.0,2008-2009
7,0020800004,00,1610612737,ATL,Atlanta,36,27,17,19,2,1,1,15,15,17.0,2008-2009
8,0020800005,00,1610612755,PHI,Philadelphia,32,18,18,8,1,2,1,18,11,26.0,2008-2009
9,0020800005,00,1610612761,TOR,Toronto,30,16,4,14,1,2,1,10,11,4.0,2008-2009
10,0020800006,00,1610612764,WAS,Washington,28,22,10,5,20,10,0,15,16,20.0,2008-2009
11,0020800006,00,1610612751,NJN,New Jersey,32,7,8,12,20,10,3,12,11,18.0,2008-2009
12,0020800007,00,1610612748,MIA,Miami,62,17,14,3,11,7,0,14,11,17.0,2008-2009
13,0020800007,00,1610612752,NYK,New York,44,22,14,23,11,7,0,15,9,12.0,2008-2009
14,0020800008,00,1610612754,IND,Indiana,40,5,3,8,2,3,1,22,7,19.0,2008-2009
15,0020800008,00,1610612765,DET,Detroit,34,18,19,16,2,3,1,15,6,17.0,2008-2009
16,0020800009,00,1610612750,MIN,Minnesota,58,15,12,9,13,6,0,11,12,6.0,2008-2009
17,0020800009,00,1610612758,SAC,Sacramento,32,10,7,6,13,6,0,15,9,21.0,2008-2009
18,0020800010,00,1610612760,OKC,Oklahoma City,44,21,17,0,0,2,1,20,9,20.0,2008-2009
19,0020800010,00,1610612749,MIL,Milwaukee,38,19,8,24,0,2,1,20,9,20.0,2008-2009
20,0020800011,00,1610612759,SAS,San Antonio,42,12,6,7,23,12,0,7,6,11.0,2008-2009
21,0020800011,00,1610612756,PHX,Phoenix,38,12,13,7,23,12,0,10,11,8.0,2008-2009
22,0020800012,00,1610612745,HOU,Houston,36,15,10,12,4,2,1,13,5,11.0,2008-2009
23,0020800012,00,1610612763,MEM,Memphis,36,14,8,2,4,2,1,17,8,13.0,2008-2009
24,0020800013,00,1610612762,UTA,Utah,52,22,6,14,2,10,2,18,10,15.0,2008-2009
25,0020800013,00,1610612743,DEN,Denver,48,16,13,3,2,10,0,13,8,18.0,2008-2009
26,0020800014,00,1610612744,GSW,Golden State,42,11,12,11,13,7,1,14,11,17.0,2008-2009
27,0020800014,00,1610612740,NOH,New Orleans,40,10,11,6,14,7,1,14,13,18.0,2008-2009
28,0020800015,00,1610612747,LAL,Los Angeles,48,25,10,40,6,1,0,16,12,16.0,2008-2009
29,0020800015,00,1610612746,LAC,Los Angeles,42,6,13,1,6,1,0,18,9,26.0,2008-2009
30,0020800016,00,1610612739,CLE,Cleveland,34,14,22,23,1,3,0,15,11,14.0,2008-2009
31,0020800016,00,1610612766,CHA,Charlotte,24,10,10,2,1,3,0,13,10,16.0,2008-2009
32,0020800017,00,1610612742,DAL,Dallas,32,9,37,5,13,8,1,9,8,15.0,2008-2009
33,0020800017,00,1610612745,HOU,Houston,38,10,11,14,13,8,1,11,6,18.0,2008-2009
34,0020800018,00,1610612756,PHX,Phoenix,42,9,12,0,0,0,0,24,8,21.0,2008-2009
35,0020800018,00,1610612740,NOH,New Orleans,20,12,7,16,0,0,3,13,7,11.0,2008-2009
36,0020800019,00,1610612755,PHI,Philadelphia,64,17,22,30,0,0,1,20,6,20.0,2008-2009
37,0020800019,00,1610612752,NYK,New York,44,13,14,0,0,0,0,10,6,20.0,2008-2009
38,0020800020,00,1610612744,GSW,Golden State,50,20,10,5,21,12,1,19,11,26.0,2008-2009
39,0020800020,00,1610612761,TOR,Toronto,36,11,6,12,21,12,1,14,7,12.0,2008-2009
40,0020800021,00,1610612748,MIA,Miami,40,16,20,38,0,1,0,14,10,15.0,2008-2009
41,0020800021,00,1610612758,SAC,Sacramento,38,16,6,0,0,1,1,26,12,41.0,2008-2009
42,0020800022,00,1610612741,CHI,Chicago,32,13,12,1,2,1,1,21,9,23.0,2008-2009
43,0020800022,00,1610612738,BOS,Boston,50,12,13,28,2,1,0,20,9,20.0,2008-2009
44,0020800023,00,1610612753,ORL,Orlando,28,7,10,15,23,13,2,19,11,20.0,2008-2009
45,0020800023,00,1610612763,MEM,Memphis,32,9,7,5,24,14,0,10,5,12.0,2008-2009
46,0020800024,00,1610612746,LAC,Los Angeles,44,22,5,18,4,4,0,14,6,11.0,2008-2009
47,0020800024,00,1610612743,DEN,Denver,58,15,8,10,4,4,0,18,5,24.0,2008-2009
48,0020800025,00,1610612757,POR,Portland,36,19,14,12,8,12,0,6,6,7.0,2008-2009
49,0020800025,00,1610612759,SAS,San Antonio,42,11,2,4,8,12,0,14,7,20.0,2008-2009
50,0020800026,00,1610612755,PHI,Philadelphia,40,12,23,23,1,4,0,18,9,19.0,2008-2009
51,0020800026,00,1610612737,ATL,Atlanta,40,13,17,7,1,4,1,10,8,13.0,2008-2009
52,0020800027,00,1610612766,CHA,Charlotte,42,22,11,17,2,4,1,21,16,20.0,2008-2009
53,0020800027,00,1610612748,MIA,Miami,32,15,6,4,2,4,0,11,8,17.0,2008-2009
54,0020800028,00,1610612738,BOS,Boston,28,14,12,3,5,2,0,24,14,19.0,2008-2009
55,0020800028,00,1610612754,IND,Indiana,34,17,11,25,5,2,1,13,3,12.0,2008-2009
