,GID,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,WH_STATUS
40,0020800041,2008-11-02T00:00:00,2,0020800041,3,Final,20081102/MINOKC,1610612760,1610612750,2008-2009,4, ,,Q4   - ,1
41,0020800042,2008-11-03T00:00:00,1,0020800042,3,Final,20081103/DETCHA,1610612766,1610612765,2008-2009,4, ,,Q4   - ,1
42,0020800043,2008-11-03T00:00:00,2,0020800043,3,Final,20081103/CHIORL,1610612753,1610612741,2008-2009,4, ,,Q4   - ,1
43,0020800044,2008-11-03T00:00:00,3,0020800044,3,Final,20081103/SACPHI,1610612755,1610612758,2008-2009,4, ,,Q4   - ,1
44,0020800045,2008-11-03T00:00:00,4,0020800045,3,Final,20081103/GSWMEM,1610612763,1610612744,2008-2009,4, ,,Q4   - ,1
45,0020800046,2008-11-03T00:00:00,5,0020800046,3,Final,20081103/CLEDAL,1610612742,1610612739,2008-2009,4, ,NBA TV,Q4   - NBA TV,1
46,0020800047,2008-11-03T00:00:00,6,0020800047,3,Final,20081103/UTALAC,1610612746,1610612762,2008-2009,4, ,,Q4   - ,1
47,0020800048,2008-11-04T00:00:00,1,0020800048,3,Final,20081104/PHXNJN,1610612751,1610612756,2008-2009,4, ,,Q4   - ,1
48,0020800049,2008-11-04T00:00:00,2,0020800049,3,Final,20081104/BOSHOU,1610612745,1610612738,2008-2009,4, ,NBA TV,Q4   - NBA TV,1
49,0020800050,2008-11-04T00:00:00,3,0020800050,3,Final,20081104/DALSAS,1610612759,1610612742,2008-2009,4, ,,Q4   - ,1
50,0020800051,2008-11-05T00:00:00,1,0020800051,3,Final,20081105/PHXIND,1610612754,1610612756,2008-2009,4, ,,Q4   - ,1
51,0020800052,2008-11-05T00:00:00,2,0020800052,3,Final,20081105/DETTOR,1610612761,1610612765,2008-2009,4, ,,Q4   - ,1
