,GID,GAME_DATE,ATTENDANCE,GAME_TIME,SEASON
0,0021100001,"SUNDAY, DECEMBER 25, 2011",19763,2:48,2011-2012
1,0021100002,"SUNDAY, DECEMBER 25, 2011",20421,2:44,2011-2012
2,0021100003,"SUNDAY, DECEMBER 25, 2011",18997,2:34,2011-2012
3,0021100004,"SUNDAY, DECEMBER 25, 2011",18203,2:27,2011-2012
4,0021100005,"SUNDAY, DECEMBER 25, 2011",19596,2:33,2011-2012
5,0021100006,"MONDAY, DECEMBER 26, 2011",17102,2:20,2011-2012
6,0021100007,"MONDAY, DECEMBER 26, 2011",17173,2:19,2011-2012
7,0021100008,"MONDAY, DECEMBER 26, 2011",18846,2:04,2011-2012
8,0021100009,"MONDAY, DECEMBER 26, 2011",20562,2:08,2011-2012
9,0021100010,"MONDAY, DECEMBER 26, 2011",18165,2:13,2011-2012
10,0021100011,"MONDAY, DECEMBER 26, 2011",19406,2:19,2011-2012
11,0021100012,"MONDAY, DECEMBER 26, 2011",20408,2:13,2011-2012
12,0021100013,"MONDAY, DECEMBER 26, 2011",18581,2:15,2011-2012
13,0021100014,"MONDAY, DECEMBER 26, 2011",17776,2:20,2011-2012
14,0021100015,"MONDAY, DECEMBER 26, 2011",17317,2:20,2011-2012
15,0021100016,"MONDAY, DECEMBER 26, 2011",20509,2:21,2011-2012
16,0021100017,"MONDAY, DECEMBER 26, 2011",19596,2:18,2011-2012
17,0021100018,"TUESDAY, DECEMBER 27, 2011",18711,2:07,2011-2012
18,0021100019,"TUESDAY, DECEMBER 27, 2011",20166,2:45,2011-2012
19,0021100020,"TUESDAY, DECEMBER 27, 2011",17352,2:16,2011-2012
20,0021100021,"TUESDAY, DECEMBER 27, 2011",20350,2:15,2011-2012
21,0021100022,"TUESDAY, DECEMBER 27, 2011",18997,2:25,2011-2012
22,0021100023,"WEDNESDAY, DECEMBER 28, 2011",19800,2:17,2011-2012
23,0021100024,"WEDNESDAY, DECEMBER 28, 2011",19614,2:17,2011-2012
24,0021100025,"WEDNESDAY, DECEMBER 28, 2011",17750,2:14,2011-2012
25,0021100026,"WEDNESDAY, DECEMBER 28, 2011",22076,2:22,2011-2012
26,0021100027,"WEDNESDAY, DECEMBER 28, 2011",18119,2:33,2011-2012
27,0021100028,"WEDNESDAY, DECEMBER 28, 2011",17802,2:17,2011-2012
28,0021100029,"WEDNESDAY, DECEMBER 28, 2011",18581,2:15,2011-2012
29,0021100030,"WEDNESDAY, DECEMBER 28, 2011",19155,2:05,2011-2012
30,0021100031,"WEDNESDAY, DECEMBER 28, 2011",16360,2:04,2011-2012
31,0021100032,"WEDNESDAY, DECEMBER 28, 2011",19596,2:16,2011-2012
32,0021100033,"THURSDAY, DECEMBER 29, 2011",18954,2:17,2011-2012
33,0021100034,"THURSDAY, DECEMBER 29, 2011",18267,1:57,2011-2012
34,0021100035,"THURSDAY, DECEMBER 29, 2011",18203,2:35,2011-2012
35,0021100036,"THURSDAY, DECEMBER 29, 2011",17317,2:19,2011-2012
36,0021100037,"THURSDAY, DECEMBER 29, 2011",20531,2:14,2011-2012
37,0021100038,"THURSDAY, DECEMBER 29, 2011",18997,2:32,2011-2012
38,0021100039,"FRIDAY, DECEMBER 30, 2011",18064,2:12,2011-2012
39,0021100040,"FRIDAY, DECEMBER 30, 2011",13004,2:48,2011-2012
40,0021100041,"FRIDAY, DECEMBER 30, 2011",18624,2:09,2011-2012
41,0021100042,"FRIDAY, DECEMBER 30, 2011",16300,2:14,2011-2012
42,0021100043,"FRIDAY, DECEMBER 30, 2011",16069,2:10,2011-2012
43,0021100044,"FRIDAY, DECEMBER 30, 2011",15790,2:15,2011-2012
44,0021100045,"FRIDAY, DECEMBER 30, 2011",19356,2:16,2011-2012
45,0021100046,"FRIDAY, DECEMBER 30, 2011",17065,2:05,2011-2012
46,0021100047,"FRIDAY, DECEMBER 30, 2011",20307,2:15,2011-2012
47,0021100048,"FRIDAY, DECEMBER 30, 2011",19911,2:17,2011-2012
48,0021100049,"FRIDAY, DECEMBER 30, 2011",19426,2:20,2011-2012
49,0021100050,"SATURDAY, DECEMBER 31, 2011",18997,2:18,2011-2012
50,0021100051,"SATURDAY, DECEMBER 31, 2011",8824,2:17,2011-2012
51,0021100052,"SATURDAY, DECEMBER 31, 2011",14390,1:58,2011-2012
52,0021100053,"SATURDAY, DECEMBER 31, 2011",18203,2:04,2011-2012
