,GID,GAME_DATE,ATTENDANCE,GAME_TIME,SEASON
0,0021900001,"TUESDAY, OCTOBER 22, 2019",20787,2:50,2019-2020
1,0021900002,"TUESDAY, OCTOBER 22, 2019",19068,2:28,2019-2020
2,0021900003,"WEDNESDAY, OCTOBER 23, 2019",15424,2:12,2019-2020
3,0021900004,"WEDNESDAY, OCTOBER 23, 2019",17923,2:22,2019-2020
4,0021900005,"WEDNESDAY, OCTOBER 23, 2019",18846,2:02,2019-2020
5,0021900006,"WEDNESDAY, OCTOBER 23, 2019",17732,2:34,2019-2020
6,0021900007,"WEDNESDAY, OCTOBER 23, 2019",19600,2:28,2019-2020
7,0021900008,"WEDNESDAY, OCTOBER 23, 2019",20422,2:33,2019-2020
8,0021900009,"WEDNESDAY, OCTOBER 23, 2019",19816,2:25,2019-2020
9,0021900010,"WEDNESDAY, OCTOBER 23, 2019",18354,2:15,2019-2020
10,0021900011,"WEDNESDAY, OCTOBER 23, 2019",18306,2:24,2019-2020
11,0021900012,"WEDNESDAY, OCTOBER 23, 2019",18055,2:19,2019-2020
12,0021900013,"WEDNESDAY, OCTOBER 23, 2019",19991,2:23,2019-2020
13,0021900014,"THURSDAY, OCTOBER 24, 2019",20338,2:15,2019-2020
14,0021900015,"THURSDAY, OCTOBER 24, 2019",18055,2:25,2019-2020
15,0021900016,"THURSDAY, OCTOBER 24, 2019",18064,2:24,2019-2020
16,0021900017,"FRIDAY, OCTOBER 25, 2019",18624,2:19,2019-2020
17,0021900018,"FRIDAY, OCTOBER 25, 2019",14879,2:15,2019-2020
18,0021900019,"FRIDAY, OCTOBER 25, 2019",17732,2:33,2019-2020
19,0021900020,"FRIDAY, OCTOBER 25, 2019",17794,2:12,2019-2020
20,0021900021,"FRIDAY, OCTOBER 25, 2019",17027,2:23,2019-2020
21,0021900022,"FRIDAY, OCTOBER 25, 2019",18203,2:06,2019-2020
22,0021900023,"FRIDAY, OCTOBER 25, 2019",19557,2:48,2019-2020
23,0021900024,"FRIDAY, OCTOBER 25, 2019",17583,2:17,2019-2020
