,GID,GAME_DATE,ATTENDANCE,GAME_TIME,SEASON
0,0020800001,"TUESDAY, OCTOBER 28, 2008",18624,2:45,2008-2009
1,0020800002,"TUESDAY, OCTOBER 28, 2008",21762,2:20,2008-2009
2,0020800003,"TUESDAY, OCTOBER 28, 2008",18997,2:19,2008-2009
3,0020800004,"WEDNESDAY, OCTOBER 29, 2008",17461,2:26,2008-2009
4,0020800005,"WEDNESDAY, OCTOBER 29, 2008",15750,2:12,2008-2009
5,0020800006,"WEDNESDAY, OCTOBER 29, 2008",20173,2:19,2008-2009
6,0020800007,"WEDNESDAY, OCTOBER 29, 2008",19763,2:25,2008-2009
7,0020800008,"WEDNESDAY, OCTOBER 29, 2008",22076,2:23,2008-2009
8,0020800009,"WEDNESDAY, OCTOBER 29, 2008",17820,2:15,2008-2009
9,0020800010,"WEDNESDAY, OCTOBER 29, 2008",19136,2:18,2008-2009
10,0020800011,"WEDNESDAY, OCTOBER 29, 2008",18797,2:29,2008-2009
11,0020800012,"WEDNESDAY, OCTOBER 29, 2008",18196,2:16,2008-2009
12,0020800013,"WEDNESDAY, OCTOBER 29, 2008",19911,2:21,2008-2009
13,0020800014,"WEDNESDAY, OCTOBER 29, 2008",19128,2:24,2008-2009
14,0020800015,"WEDNESDAY, OCTOBER 29, 2008",19060,2:27,2008-2009
15,0020800016,"THURSDAY, OCTOBER 30, 2008",20562,2:20,2008-2009
16,0020800017,"THURSDAY, OCTOBER 30, 2008",20066,2:37,2008-2009
17,0020800018,"THURSDAY, OCTOBER 30, 2008",18422,2:28,2008-2009
18,0020800019,"FRIDAY, OCTOBER 31, 2008",11717,2:02,2008-2009
19,0020800020,"FRIDAY, OCTOBER 31, 2008",19800,2:34,2008-2009
20,0020800021,"FRIDAY, OCTOBER 31, 2008",19600,2:20,2008-2009
21,0020800022,"FRIDAY, OCTOBER 31, 2008",18624,2:36,2008-2009
22,0020800023,"FRIDAY, OCTOBER 31, 2008",16139,2:34,2008-2009
23,0020800024,"FRIDAY, OCTOBER 31, 2008",11418,2:41,2008-2009
24,0020800025,"FRIDAY, OCTOBER 31, 2008",20516,2:30,2008-2009
25,0020800026,"SATURDAY, NOVEMBER 1, 2008",19651,2:18,2008-2009
26,0020800027,"SATURDAY, NOVEMBER 1, 2008",19238,2:25,2008-2009
27,0020800028,"SATURDAY, NOVEMBER 1, 2008",18165,2:22,2008-2009
28,0020800029,"SATURDAY, NOVEMBER 1, 2008",16704,2:16,2008-2009
29,0020800030,"SATURDAY, NOVEMBER 1, 2008",22076,2:21,2008-2009
30,0020800031,"SATURDAY, NOVEMBER 1, 2008",17390,2:36,2008-2009
31,0020800032,"SATURDAY, NOVEMBER 1, 2008",16893,2:11,2008-2009
32,0020800033,"SATURDAY, NOVEMBER 1, 2008",18150,2:18,2008-2009
33,0020800034,"SATURDAY, NOVEMBER 1, 2008",21785,2:19,2008-2009
34,0020800035,"SATURDAY, NOVEMBER 1, 2008",16996,2:05,2008-2009
35,0020800036,"SATURDAY, NOVEMBER 1, 2008",17036,2:18,2008-2009
36,0020800037,"SATURDAY, NOVEMBER 1, 2008",19651,2:25,2008-2009
37,0020800038,"SATURDAY, NOVEMBER 1, 2008",19602,2:12,2008-2009
38,0020800039,"SATURDAY, NOVEMBER 1, 2008",18422,2:14,2008-2009
39,0020800040,"SUNDAY, NOVEMBER 2, 2008",18190,2:15,2008-2009
40,0020800041,"SUNDAY, NOVEMBER 2, 2008",18163,2:14,2008-2009
41,0020800042,"MONDAY, NOVEMBER 3, 2008",11023,2:12,2008-2009
42,0020800043,"MONDAY, NOVEMBER 3, 2008",15606,2:27,2008-2009
43,0020800044,"MONDAY, NOVEMBER 3, 2008",10100,2:12,2008-2009
44,0020800045,"MONDAY, NOVEMBER 3, 2008",10121,2:08,2008-2009
45,0020800046,"MONDAY, NOVEMBER 3, 2008",19923,2:17,2008-2009
46,0020800047,"MONDAY, NOVEMBER 3, 2008",12712,2:08,2008-2009
47,0020800048,"TUESDAY, NOVEMBER 4, 2008",15230,2:18,2008-2009
48,0020800049,"TUESDAY, NOVEMBER 4, 2008",18291,2:27,2008-2009
49,0020800050,"TUESDAY, NOVEMBER 4, 2008",17398,1:60,2008-2009
