,GID,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,WH_STATUS
0,0021000001,2010-10-26T00:00:00,1,0021000001,3,Final,20101026/MIABOS,1610612738,1610612748,2010-2011,4, ,TNT,Q4   - TNT,1
1,0021000002,2010-10-26T00:00:00,2,0021000002,3,Final,20101026/PHXPOR,1610612757,1610612756,2010-2011,4, ,,Q4   - ,1
2,0021000003,2010-10-26T00:00:00,3,0021000003,3,Final,20101026/HOULAL,1610612747,1610612745,2010-2011,4, ,TNT,Q4   - TNT,1
3,0021000004,2010-10-27T00:00:00,1,0021000004,3,Final,20101027/BOSCLE,1610612739,1610612738,2010-2011,4, ,,Q4   - ,1
4,0021000005,2010-10-27T00:00:00,2,0021000005,3,Final,20101027/DETNJN,1610612751,1610612765,2010-2011,4, ,,Q4   - ,1
5,0021000006,2010-10-27T00:00:00,3,0021000006,3,Final,20101027/MIAPHI,1610612755,1610612748,2010-2011,4, ,,Q4   - ,1
6,0021000007,2010-10-27T00:00:00,4,0021000007,3,Final,20101027/NYKTOR,1610612761,1610612752,2010-2011,4, ,,Q4   - ,1
7,0021000008,2010-10-27T00:00:00,5,0021000008,3,Final,20101027/ATLMEM,1610612763,1610612737,2010-2011,4, ,,Q4   - ,1
8,0021000009,2010-10-27T00:00:00,6,0021000009,3,Final,20101027/SACMIN,1610612750,1610612758,2010-2011,4, ,,Q4   - ,1
9,0021000010,2010-10-27T00:00:00,7,0021000010,3,Final,20101027/MILNOH,1610612740,1610612749,2010-2011,4, ,,Q4   - ,1
10,0021000011,2010-10-27T00:00:00,8,0021000011,3,Final,20101027/CHIOKC,1610612760,1610612741,2010-2011,4, ,ESPN,Q4   - ESPN,1
11,0021000012,2010-10-27T00:00:00,9,0021000012,3,Final,20101027/CHADAL,1610612742,1610612766,2010-2011,4, ,,Q4   - ,1
12,0021000013,2010-10-27T00:00:00,10,0021000013,3,Final,20101027/INDSAS,1610612759,1610612754,2010-2011,4, ,,Q4   - ,1
13,0021000014,2010-10-27T00:00:00,11,0021000014,3,Final,20101027/UTADEN,1610612743,1610612762,2010-2011,4, ,,Q4   - ,1
14,0021000015,2010-10-27T00:00:00,12,0021000015,3,Final,20101027/HOUGSW,1610612744,1610612745,2010-2011,4, ,,Q4   - ,1
15,0021000016,2010-10-27T00:00:00,13,0021000016,3,Final,20101027/PORLAC,1610612746,1610612757,2010-2011,4, ,ESPN,Q4   - ESPN,1
16,0021000017,2010-10-28T00:00:00,1,0021000017,3,Final,20101028/WASORL,1610612753,1610612764,2010-2011,4, ,TNT,Q4   - TNT,1
17,0021000018,2010-10-28T00:00:00,2,0021000018,3,Final,20101028/PHXUTA,1610612762,1610612756,2010-2011,4, ,TNT,Q4   - TNT,1
18,0021000019,2010-10-29T00:00:00,1,0021000019,3,Final,20101029/INDCHA,1610612766,1610612754,2010-2011,4, ,,Q4   - ,1
19,0021000020,2010-10-29T00:00:00,2,0021000020,3,Final,20101029/SACNJN,1610612751,1610612758,2010-2011,4, ,,Q4   - ,1
20,0021000021,2010-10-29T00:00:00,3,0021000021,3,Final,20101029/ATLPHI,1610612755,1610612737,2010-2011,4, ,,Q4   - ,1
21,0021000022,2010-10-29T00:00:00,4,0021000022,3,Final,20101029/CLETOR,1610612761,1610612739,2010-2011,4, ,,Q4   - ,1
22,0021000023,2010-10-29T00:00:00,5,0021000023,3,Final,20101029/NYKBOS,1610612738,1610612752,2010-2011,4, ,,Q4   - ,1
23,0021000024,2010-10-29T00:00:00,6,0021000024,3,Final,20101029/OKCDET,1610612765,1610612760,2010-2011,4, ,,Q4   - ,1
24,0021000025,2010-10-29T00:00:00,7,0021000025,3,Final,20101029/ORLMIA,1610612748,1610612753,2010-2011,4, ,ESPN,Q4   - ESPN,1
25,0021000026,2010-10-29T00:00:00,8,0021000026,3,Final,20101029/MILMIN,1610612750,1610612749,2010-2011,4, ,,Q4   - ,1
26,0021000027,2010-10-29T00:00:00,9,0021000027,3,Final,20101029/DENNOH,1610612740,1610612743,2010-2011,4, ,,Q4   - ,1
27,0021000028,2010-10-29T00:00:00,10,0021000028,3,Final,20101029/MEMDAL,1610612742,1610612763,2010-2011,4, ,,Q4   - ,1
28,0021000029,2010-10-29T00:00:00,11,0021000029,3,Final,20101029/LACGSW,1610612744,1610612746,2010-2011,4, ,,Q4   - ,1
29,0021000030,2010-10-29T00:00:00,12,0021000030,3,Final,20101029/LALPHX,1610612756,1610612747,2010-2011,4, ,ESPN,Q4   - ESPN,1
30,0021000031,2010-10-30T00:00:00,1,0021000031,3,Final,20101030/WASATL,1610612737,1610612764,2010-2011,4, ,,Q4   - ,1
31,0021000032,2010-10-30T00:00:00,2,0021000032,3,Final,20101030/SACCLE,1610612739,1610612758,2010-2011,4, ,,Q4   - ,1
32,0021000033,2010-10-30T00:00:00,3,0021000033,3,Final,20101030/PORNYK,1610612752,1610612757,2010-2011,4, ,,Q4   - ,1
33,0021000034,2010-10-30T00:00:00,4,0021000034,3,Final,20101030/PHIIND,1610612754,1610612755,2010-2011,4, ,,Q4   - ,1
34,0021000035,2010-10-30T00:00:00,5,0021000035,3,Final,20101030/DETCHI,1610612741,1610612765,2010-2011,4, ,,Q4   - ,1
35,0021000036,2010-10-30T00:00:00,6,0021000036,3,Final,20101030/MINMEM,1610612763,1610612750,2010-2011,4, ,,Q4   - ,1
36,0021000037,2010-10-30T00:00:00,7,0021000037,3,Final,20101030/DENHOU,1610612745,1610612743,2010-2011,4, ,NBA TV,Q4   - NBA TV,1
37,0021000038,2010-10-30T00:00:00,8,0021000038,3,Final,20101030/CHAMIL,1610612749,1610612766,2010-2011,4, ,,Q4   - ,1
38,0021000039,2010-10-30T00:00:00,9,0021000039,3,Final,20101030/NOHSAS,1610612759,1610612740,2010-2011,4, ,,Q4   - ,1
39,0021000040,2010-10-31T00:00:00,1,0021000040,3,Final,20101031/MIANJN,1610612751,1610612748,2010-2011,4, ,,Q4   - ,1
40,0021000041,2010-10-31T00:00:00,2,0021000041,3,Final,20101031/DALLAC,1610612746,1610612742,2010-2011,4, ,,Q4   - ,1
41,0021000042,2010-10-31T00:00:00,3,0021000042,3,Final,20101031/UTAOKC,1610612760,1610612762,2010-2011,4, ,NBA TV,Q4   - NBA TV,1
42,0021000043,2010-10-31T00:00:00,4,0021000043,3,Final,20101031/GSWLAL,1610612747,1610612744,2010-2011,4, ,,Q4   - ,1
43,0021000044,2010-11-01T00:00:00,1,0021000044,3,Final,20101101/PORCHI,1610612741,1610612757,2010-2011,4, ,NBA TV,Q4   - NBA TV,1
44,0021000045,2010-11-01T00:00:00,2,0021000045,3,Final,20101101/TORSAC,1610612758,1610612761,2010-2011,4, ,,Q4   - ,1
45,0021000046,2010-11-01T00:00:00,3,0021000046,3,Final,20101101/SASLAC,1610612746,1610612759,2010-2011,4, ,,Q4   - ,1
46,0021000047,2010-11-02T00:00:00,1,0021000047,3,Final,20101102/ATLCLE,1610612739,1610612737,2010-2011,4, ,,Q4   - ,1
47,0021000048,2010-11-02T00:00:00,2,0021000048,3,Final,20101102/PHIWAS,1610612764,1610612755,2010-2011,5, ,,Q5   - ,1
48,0021000049,2010-11-02T00:00:00,3,0021000049,3,Final,20101102/BOSDET,1610612765,1610612738,2010-2011,4, ,,Q4   - ,1
49,0021000050,2010-11-02T00:00:00,4,0021000050,3,Final,20101102/MINMIA,1610612748,1610612750,2010-2011,4, ,,Q4   - ,1
50,0021000051,2011-03-28T00:00:00,3,0021000051,3,Final,20110328/ORLNYK,1610612752,1610612753,2010-2011,5, ,,Q5   - ,1
51,0021000052,2010-11-02T00:00:00,6,0021000052,3,Final,20101102/PORMIL,1610612749,1610612757,2010-2011,4, ,,Q4   - ,1
52,0021000053,2010-11-02T00:00:00,7,0021000053,3,Final,20101102/MEMLAL,1610612747,1610612763,2010-2011,4, ,NBA TV,Q4   - NBA TV,1
53,0021000054,2010-11-03T00:00:00,1,0021000054,3,Final,20101103/DETATL,1610612737,1610612765,2010-2011,4, ,,Q4   - ,1
54,0021000055,2010-11-03T00:00:00,2,0021000055,3,Final,20101103/CHANJN,1610612751,1610612766,2010-2011,4, ,,Q4   - ,1
55,0021000056,2010-11-03T00:00:00,3,0021000056,3,Final,20101103/MINORL,1610612753,1610612750,2010-2011,4, ,,Q4   - ,1
56,0021000057,2010-11-03T00:00:00,4,0021000057,3,Final,20101103/INDPHI,1610612755,1610612754,2010-2011,4, ,,Q4   - ,1
57,0021000058,2010-11-03T00:00:00,5,0021000058,3,Final,20101103/MILBOS,1610612738,1610612749,2010-2011,5, ,ESPN,Q5   - ESPN,1
58,0021000059,2010-11-03T00:00:00,6,0021000059,3,Final,20101103/NOHHOU,1610612745,1610612740,2010-2011,4, ,,Q4   - ,1
59,0021000060,2010-11-03T00:00:00,7,0021000060,3,Final,20101103/DALDEN,1610612743,1610612742,2010-2011,4, ,,Q4   - ,1
60,0021000061,2010-11-03T00:00:00,8,0021000061,3,Final,20101103/TORUTA,1610612762,1610612761,2010-2011,4, ,,Q4   - ,1
61,0021000062,2010-11-03T00:00:00,9,0021000062,3,Final,20101103/SASPHX,1610612756,1610612759,2010-2011,4, ,,Q4   - ,1
62,0021000063,2010-11-03T00:00:00,10,0021000063,3,Final,20101103/MEMGSW,1610612744,1610612763,2010-2011,4, ,,Q4   - ,1
63,0021000064,2010-11-03T00:00:00,11,0021000064,3,Final,20101103/OKCLAC,1610612746,1610612760,2010-2011,4, ,,Q4   - ,1
64,0021000065,2010-11-03T00:00:00,12,0021000065,3,Final,20101103/LALSAC,1610612758,1610612747,2010-2011,4, ,ESPN,Q4   - ESPN,1
65,0021000066,2010-11-04T00:00:00,1,0021000066,3,Final,20101104/NYKCHI,1610612741,1610612752,2010-2011,4, ,TNT,Q4   - TNT,1
66,0021000067,2010-11-04T00:00:00,2,0021000067,3,Final,20101104/OKCPOR,1610612757,1610612760,2010-2011,5, ,TNT,Q5   - TNT,1
67,0021000068,2010-11-05T00:00:00,1,0021000068,3,Final,20101105/MILIND,1610612754,1610612749,2010-2011,4, ,,Q4   - ,1
68,0021000069,2010-11-05T00:00:00,2,0021000069,3,Final,20101105/NJNORL,1610612753,1610612751,2010-2011,4, ,,Q4   - ,1
69,0021000070,2010-11-05T00:00:00,3,0021000070,3,Final,20101105/CLEPHI,1610612755,1610612739,2010-2011,4, ,,Q4   - ,1
70,0021000071,2010-11-05T00:00:00,4,0021000071,3,Final,20101105/CHADET,1610612765,1610612766,2010-2011,4, ,,Q4   - ,1
71,0021000072,2010-11-05T00:00:00,5,0021000072,3,Final,20101105/WASNYK,1610612752,1610612764,2010-2011,4, ,,Q4   - ,1
72,0021000073,2010-11-05T00:00:00,6,0021000073,3,Final,20101105/CHIBOS,1610612738,1610612741,2010-2011,5, ,ESPN,Q5   - ESPN,1
73,0021000074,2010-11-05T00:00:00,7,0021000074,3,Final,20101105/ATLMIN,1610612750,1610612737,2010-2011,4, ,,Q4   - ,1
74,0021000075,2010-11-05T00:00:00,8,0021000075,3,Final,20101105/MIANOH,1610612740,1610612748,2010-2011,4, ,,Q4   - ,1
75,0021000076,2010-11-05T00:00:00,9,0021000076,3,Final,20101105/MEMPHX,1610612756,1610612763,2010-2011,6, ,,Q6   - ,1
76,0021000077,2010-11-05T00:00:00,10,0021000077,3,Final,20101105/LACDEN,1610612743,1610612746,2010-2011,4, ,ESPN,Q4   - ESPN,1
77,0021000078,2010-11-05T00:00:00,11,0021000078,3,Final,20101105/UTAGSW,1610612744,1610612762,2010-2011,4, ,,Q4   - ,1
78,0021000079,2010-11-05T00:00:00,12,0021000079,3,Final,20101105/TORLAL,1610612747,1610612761,2010-2011,4, ,,Q4   - ,1
79,0021000080,2010-11-06T00:00:00,1,0021000080,3,Final,20101106/ORLCHA,1610612766,1610612753,2010-2011,4, ,,Q4   - ,1
80,0021000081,2010-11-06T00:00:00,2,0021000081,3,Final,20101106/CLEWAS,1610612764,1610612739,2010-2011,4, ,,Q4   - ,1
81,0021000082,2010-11-06T00:00:00,3,0021000082,3,Final,20101106/NJNMIA,1610612748,1610612751,2010-2011,4, ,,Q4   - ,1
82,0021000083,2010-11-06T00:00:00,4,0021000083,3,Final,20101106/NOHMIL,1610612749,1610612740,2010-2011,4, ,,Q4   - ,1
83,0021000084,2010-11-06T00:00:00,5,0021000084,3,Final,20101106/HOUSAS,1610612759,1610612745,2010-2011,5, ,,Q5   - ,1
84,0021000085,2010-11-06T00:00:00,6,0021000085,3,Final,20101106/DENDAL,1610612742,1610612743,2010-2011,4, ,NBA TV,Q4   - NBA TV,1
85,0021000086,2010-11-06T00:00:00,7,0021000086,3,Final,20101106/LACUTA,1610612762,1610612746,2010-2011,6, ,,Q6   - ,1
86,0021000087,2010-11-06T00:00:00,8,0021000087,3,Final,20101106/TORPOR,1610612757,1610612761,2010-2011,4, ,,Q4   - ,1
87,0021000088,2010-11-06T00:00:00,9,0021000088,3,Final,20101106/MEMSAC,1610612758,1610612763,2010-2011,4, ,,Q4   - ,1
88,0021000089,2010-11-07T00:00:00,1,0021000089,3,Final,20101107/PHINYK,1610612752,1610612755,2010-2011,4, ,,Q4   - ,1
89,0021000090,2010-11-07T00:00:00,2,0021000090,3,Final,20101107/PHXATL,1610612737,1610612756,2010-2011,4, ,,Q4   - ,1
90,0021000091,2010-11-07T00:00:00,3,0021000091,3,Final,20101107/GSWDET,1610612765,1610612744,2010-2011,4, ,,Q4   - ,1
91,0021000092,2010-11-07T00:00:00,4,0021000092,3,Final,20101107/MINHOU,1610612745,1610612750,2010-2011,4, ,,Q4   - ,1
92,0021000093,2010-11-07T00:00:00,5,0021000093,3,Final,20101107/BOSOKC,1610612760,1610612738,2010-2011,4, ,NBA TV,Q4   - NBA TV,1
93,0021000094,2010-11-07T00:00:00,6,0021000094,3,Final,20101107/PORLAL,1610612747,1610612757,2010-2011,4, ,,Q4   - ,1
94,0021000095,2010-11-08T00:00:00,1,0021000095,3,Final,20101108/SASCHA,1610612766,1610612759,2010-2011,4, ,,Q4   - ,1
95,0021000096,2010-11-08T00:00:00,2,0021000096,3,Final,20101108/ATLORL,1610612753,1610612737,2010-2011,4, ,,Q4   - ,1
96,0021000097,2010-11-08T00:00:00,3,0021000097,3,Final,20101108/GSWTOR,1610612761,1610612744,2010-2011,4, ,NBA TV,Q4   - NBA TV,1
97,0021000098,2010-11-08T00:00:00,4,0021000098,3,Final,20101108/DENCHI,1610612741,1610612743,2010-2011,4, ,,Q4   - ,1
98,0021000099,2010-11-08T00:00:00,5,0021000099,3,Final,20101108/PHXMEM,1610612763,1610612756,2010-2011,4, ,,Q4   - ,1
