,GID,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_NICKNAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,SEASON
0,0020200001,2002-10-29T00:00:00,1,0020200001,1610612753,ORL,Orlando,Magic,-,29,22,23,21,0,0,0,0,,,,,,,95,2002-2003
1,0020200001,2002-10-29T00:00:00,1,0020200001,1610612755,PHI,Philadelphia,76ers,-,30,21,22,15,0,0,0,0,,,,,,,88,2002-2003
2,0020200002,2002-10-29T00:00:00,3,0020200002,1610612739,CLE,Cleveland,Cavaliers,-,14,18,10,25,0,0,0,0,,,,,,,67,2002-2003
3,0020200002,2002-10-29T00:00:00,3,0020200002,1610612758,SAC,Sacramento,Kings,-,19,25,22,28,0,0,0,0,,,,,,,94,2002-2003
4,0020200003,2002-10-29T00:00:00,2,0020200003,1610612747,LAL,Los Angeles,Lakers,-,18,23,21,20,0,0,0,0,,,,,,,82,2002-2003
5,0020200003,2002-10-29T00:00:00,2,0020200003,1610612759,SAS,San Antonio,Spurs,-,24,17,24,22,0,0,0,0,,,,,,,87,2002-2003
6,0020200004,2002-10-30T00:00:00,1,0020200004,1610612738,BOS,Boston,Celtics,-,32,19,33,12,0,0,0,0,,,,,,,96,2002-2003
7,0020200004,2002-10-30T00:00:00,1,0020200004,1610612741,CHI,Chicago,Bulls,-,26,19,35,19,0,0,0,0,,,,,,,99,2002-2003
8,0020200005,2002-10-30T00:00:00,2,0020200005,1610612749,MIL,Milwaukee,Bucks,-,25,22,21,25,0,0,0,0,,,,,,,93,2002-2003
9,0020200005,2002-10-30T00:00:00,2,0020200005,1610612755,PHI,Philadelphia,76ers,-,31,22,22,20,0,0,0,0,,,,,,,95,2002-2003
10,0020200006,2002-10-30T00:00:00,3,0020200006,1610612764,WAS,Washington,Wizards,-,14,22,9,23,0,0,0,0,,,,,,,68,2002-2003
11,0020200006,2002-10-30T00:00:00,3,0020200006,1610612761,TOR,Toronto,Raptors,-,20,24,15,15,0,0,0,0,,,,,,,74,2002-2003
12,0020200007,2002-10-30T00:00:00,4,0020200007,1610612745,HOU,Houston,Rockets,-,22,21,19,20,0,0,0,0,,,,,,,82,2002-2003
13,0020200007,2002-10-30T00:00:00,4,0020200007,1610612754,IND,Indiana,Pacers,-,24,20,27,20,0,0,0,0,,,,,,,91,2002-2003
14,0020200008,2002-10-30T00:00:00,5,0020200008,1610612737,ATL,Atlanta,Hawks,-,22,18,25,29,0,0,0,0,,,,,,,94,2002-2003
15,0020200008,2002-10-30T00:00:00,5,0020200008,1610612751,NJN,New Jersey,Nets,-,31,20,26,28,0,0,0,0,,,,,,,105,2002-2003
16,0020200009,2002-10-30T00:00:00,6,0020200009,1610612748,MIA,Miami,Heat,-,30,15,24,17,0,0,0,0,,,,,,,86,2002-2003
