,GID,PLAYER_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,SEASON
0,0020800001,201616,Darnell,Jackson,00,1610612739,Cleveland,Cavaliers,CLE,2008-2009
1,0020800001,101214,Jawad,Williams,31,1610612739,Cleveland,Cavaliers,CLE,2008-2009
2,0020800001,727,Eric,Snow,20,1610612739,Cleveland,Cavaliers,CLE,2008-2009
3,0020800001,201592,J.R.,Giddens,4,1610612738,Boston,Celtics,BOS,2008-2009
4,0020800001,201611,Henry,Walker,12,1610612738,Boston,Celtics,BOS,2008-2009
5,0020800001,208,Sam,Cassell,28,1610612738,Boston,Celtics,BOS,2008-2009
6,0020800002,201196,Ramon,Sessions, 7,1610612749,Milwaukee,Bucks,MIL,2008-2009
7,0020800002,1800,Damon,Jones,19,1610612749,Milwaukee,Bucks,MIL,2008-2009
8,0020800002,1506,Austin,Croshere,44,1610612749,Milwaukee,Bucks,MIL,2008-2009
9,0020800002,1913,Michael,Ruffin,51,1610612741,Chicago,Bulls,CHI,2008-2009
10,0020800002,1716,Larry,Hughes,32,1610612741,Chicago,Bulls,CHI,2008-2009
11,0020800003,2788,DJ,Mbenga,28,1610612747,Los Angeles,Lakers,LAL,2008-2009
12,0020800003,201180,Yue,Sun, 9,1610612747,Los Angeles,Lakers,LAL,2008-2009
13,0020800003,1711,Raef,LaFrentz, 9,1610612757,Portland,Trail Blazers,POR,2008-2009
14,0020800003,101183,Shavlik,Randolph,42,1610612757,Portland,Trail Blazers,POR,2008-2009
15,0020800003,101110,Martell,Webster, 8,1610612757,Portland,Trail Blazers,POR,2008-2009
16,0020800004,2049,Speedy,Claxton,12,1610612737,Atlanta,Hawks,ATL,2008-2009
17,0020800004,201629,Othello,Hunter,50,1610612737,Atlanta,Hawks,ATL,2008-2009
18,0020800004,201242,Thomas,Gardner, 3,1610612737,Atlanta,Hawks,ATL,2008-2009
19,0020800004,2366,Mike,Wilks,29,1610612753,Orlando,Magic,ORL,2008-2009
20,0020800004,200978,Jeremy,Richardson,32,1610612753,Orlando,Magic,ORL,2008-2009
21,0020800004,1502,Adonal,Foyle,31,1610612753,Orlando,Magic,ORL,2008-2009
22,0020800006,2059,Eduardo,Najera,14,1610612751,New Jersey,Nets,NJN,2008-2009
23,0020800006,2031,Stromile,Swift, 6,1610612751,New Jersey,Nets,NJN,2008-2009
24,0020800006,2239,Trenton,Hassell,44,1610612751,New Jersey,Nets,NJN,2008-2009
25,0020800006,2240,Gilbert,Arenas, 0,1610612764,Washington,Wizards,WAS,2008-2009
26,0020800006,200762,Oleksiy,Pecherov,14,1610612764,Washington,Wizards,WAS,2008-2009
27,0020800006,2217,Brendan,Haywood,33,1610612764,Washington,Wizards,WAS,2008-2009
28,0020800007,2592,James,Jones,22,1610612748,Miami,Heat,MIA,2008-2009
29,0020800007,200821,Yakhouba,Diawara, 9,1610612748,Miami,Heat,MIA,2008-2009
30,0020800007,2048,Jamaal,Magloire,21,1610612748,Miami,Heat,MIA,2008-2009
31,0020800007,1744,Jerome,James,13,1610612752,New York,Knicks,NYK,2008-2009
32,0020800007,101194,Anthony,Roberson, 5,1610612752,New York,Knicks,NYK,2008-2009
33,0020800007,2407,Jared,Jeffries,20,1610612752,New York,Knicks,NYK,2008-2009
