,GID,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,SEASON
0,0021200001,1146,Tony,Brothers,25,2012-2013
1,0021200001,1193,Michael,Smith,38,2012-2013
2,0021200001,201637,Haywoode,Workman,66,2012-2013
3,0021200002,1176,Monty,McCutchen,13,2012-2013
4,0021200002,2882,Sean,Wright,65,2012-2013
5,0021200002,201640,Kane,Fitzgerald,35,2012-2013
6,0021200003,1162,Scott,Foster,48,2012-2013
7,0021200003,1664,Gary,Zielinski,59,2012-2013
8,0021200003,200833,Eric,Dalen,75,2012-2013
9,0021200004,1194,Bill,Spooner,22,2012-2013
10,0021200004,2714,David,Guthrie,16,2012-2013
11,0021200004,200834,Mark,Lindsay,29,2012-2013
12,0021200005,2529,Tony,Brown,6,2012-2013
13,0021200005,2715,Eric,Lewis,42,2012-2013
14,0021200005,1192,Bennett,Salvatore,15,2012-2013
15,0021200006,1164,Ron,Garretson,10,2012-2013
16,0021200006,2004,Courtney,Kirkland,61,2012-2013
17,0021200006,1151,Sean,Corbin,33,2012-2013
18,0021200007,1168,David,Jones,36,2012-2013
19,0021200007,101283,Brian,Forte,45,2012-2013
20,0021200007,1185,Violet,Palmer,12,2012-2013
21,0021200008,1148,James,Capers,19,2012-2013
22,0021200008,2003,Pat,Fraher,26,2012-2013
23,0021200008,101284,John,Goble,30,2012-2013
24,0021200009,1174,Ken,Mauer,41,2012-2013
25,0021200009,1179,Rodney,Mott,71,2012-2013
26,0021200009,2716,Olandis,Poole,50,2012-2013
27,0021200010,1147,Mike,Callahan,24,2012-2013
28,0021200010,1363,Bennie,Adams,47,2012-2013
29,0021200010,201246,Kevin,Cutler,34,2012-2013
30,0021200011,1162,Scott,Foster,48,2012-2013
31,0021200011,1664,Gary,Zielinski,59,2012-2013
32,0021200011,200833,Eric,Dalen,75,2012-2013
33,0021200012,1662,Bill,Kennedy,55,2012-2013
34,0021200012,1201,Leon,Wood,40,2012-2013
35,0021200012,202027,Tre,Maddox,73,2012-2013
36,0021200013,1195,Derrick,Stafford,9,2012-2013
37,0021200013,2715,Eric,Lewis,42,2012-2013
38,0021200013,200833,Eric,Dalen,75,2012-2013
39,0021200014,1152,Dan,Crawford,43,2012-2013
40,0021200014,2002,Derrick,Collins,11,2012-2013
41,0021200014,2148,Mark,Ayotte,56,2012-2013
42,0021200015,1164,Ron,Garretson,10,2012-2013
43,0021200015,1188,Leroy,Richardson,20,2012-2013
44,0021200015,202037,J.T.,Orr,72,2012-2013
45,0021200016,1830,Marc,Davis,8,2012-2013
46,0021200016,1142,Dick,Bavetta,27,2012-2013
47,0021200016,202026,Karl,Lane,77,2012-2013
48,0021200017,1168,David,Jones,36,2012-2013
49,0021200017,1194,Bill,Spooner,22,2012-2013
50,0021200017,1185,Violet,Palmer,12,2012-2013
51,0021200018,2530,Ed,Malloy,14,2012-2013
52,0021200018,2882,Sean,Wright,65,2012-2013
