,GID,GAME_ID,LAST_GAME_ID,LAST_GAME_DATE_EST,LAST_GAME_HOME_TEAM_ID,LAST_GAME_HOME_TEAM_CITY,LAST_GAME_HOME_TEAM_NAME,LAST_GAME_HOME_TEAM_ABBREVIATION,LAST_GAME_HOME_TEAM_POINTS,LAST_GAME_VISITOR_TEAM_ID,LAST_GAME_VISITOR_TEAM_CITY,LAST_GAME_VISITOR_TEAM_NAME,LAST_GAME_VISITOR_TEAM_CITY1,LAST_GAME_VISITOR_TEAM_POINTS,SEASON
0,0021800001,0021800001,0041700215,2018-05-09T00:00:00,1610612738,Boston,Celtics,BOS,114,1610612755,Philadelphia,76ers,PHI,112,2018-2019
1,0021800002,0021800002,0021701163,2018-04-03T00:00:00,1610612744,Golden State,Warriors,GSW,111,1610612760,Oklahoma City,Thunder,OKC,107,2018-2019
2,0021800003,0021800003,0021700481,2017-12-23T00:00:00,1610612766,Charlotte,Hornets,CHA,111,1610612749,Milwaukee,Bucks,MIL,106,2018-2019
3,0021800004,0021800004,0011800050,2018-10-08T00:00:00,1610612765,Detroit,Pistons,DET,108,1610612751,Brooklyn,Nets,BKN,110,2018-2019
4,0021800005,0021800005,0011800041,2018-10-06T00:00:00,1610612754,Indiana,Pacers,IND,104,1610612763,Memphis,Grizzlies,MEM,109,2018-2019
5,0021800006,0021800006,0011800051,2018-10-08T00:00:00,1610612753,Orlando,Magic,ORL,89,1610612748,Miami,Heat,MIA,90,2018-2019
6,0021800007,0021800007,0021700786,2018-02-04T00:00:00,1610612752,New York,Knicks,NYK,96,1610612737,Atlanta,Hawks,ATL,99,2018-2019
7,0021800008,0021800008,0041700204,2018-05-07T00:00:00,1610612761,Toronto,Raptors,TOR,93,1610612739,Cleveland,Cavaliers,CLE,128,2018-2019
8,0021800009,0021800009,0021701091,2018-03-24T00:00:00,1610612745,Houston,Rockets,HOU,114,1610612740,New Orleans,Pelicans,NOP,91,2018-2019
9,0021800010,0021800010,0021701042,2018-03-17T00:00:00,1610612759,San Antonio,Spurs,SAS,117,1610612750,Minnesota,Timberwolves,MIN,101,2018-2019
