,GID,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,GAME_DATE_EST,HOME_TEAM_WINS,HOME_TEAM_LOSSES,SERIES_LEADER,SEASON
0,0021600001,0021600001,1610612739,1610612752,2016-10-25T00:00:00,4,0,Cleveland,2016-2017
1,0021600002,0021600002,1610612757,1610612762,2016-10-25T00:00:00,2,2,Tied,2016-2017
2,0021600003,0021600003,1610612744,1610612759,2016-10-25T00:00:00,1,2,San Antonio,2016-2017
3,0021600004,0021600004,1610612753,1610612748,2016-10-26T00:00:00,3,1,Orlando,2016-2017
4,0021600005,0021600005,1610612754,1610612742,2016-10-26T00:00:00,1,1,Tied,2016-2017
5,0021600006,0021600006,1610612738,1610612751,2016-10-26T00:00:00,4,0,Boston,2016-2017
6,0021600007,0021600007,1610612761,1610612765,2016-10-26T00:00:00,3,1,Toronto,2016-2017
7,0021600008,0021600008,1610612749,1610612766,2016-10-26T00:00:00,2,1,Milwaukee,2016-2017
8,0021600009,0021600009,1610612763,1610612750,2016-10-26T00:00:00,3,1,Memphis,2016-2017
9,0021600010,0021600010,1610612740,1610612743,2016-10-26T00:00:00,1,3,Denver,2016-2017
10,0021600011,0021600011,1610612755,1610612760,2016-10-26T00:00:00,0,2,Oklahoma City,2016-2017
11,0021600012,0021600012,1610612756,1610612758,2016-10-26T00:00:00,1,3,Sacramento,2016-2017
12,0021600013,0021600013,1610612747,1610612745,2016-10-26T00:00:00,1,2,Houston,2016-2017
13,0021600014,0021600014,1610612737,1610612764,2016-10-27T00:00:00,1,3,Washington,2016-2017
14,0021600015,0021600015,1610612741,1610612738,2016-10-27T00:00:00,2,2,Tied,2016-2017
15,0021600016,0021600016,1610612758,1610612759,2016-10-27T00:00:00,0,4,San Antonio,2016-2017
16,0021600017,0021600017,1610612757,1610612746,2016-10-27T00:00:00,0,3,LA Clippers,2016-2017
17,0021600018,0021600018,1610612761,1610612739,2016-10-28T00:00:00,1,3,Cleveland,2016-2017
18,0021600019,0021600019,1610612751,1610612754,2016-10-28T00:00:00,1,3,Indiana,2016-2017
