,GID,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_NICKNAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,SEASON
0,0028800001,1988-11-04T00:00:00,,0028800001,1610612749,MIL,Milwaukee,Bucks,-,31,30,27,29,,,,,,,,,,,117,1988-1989
1,0028800001,1988-11-04T00:00:00,,0028800001,1610612754,IND,Indiana,Pacers,-,23,32,21,27,,,,,,,,,,,103,1988-1989
2,0028800002,1988-11-04T00:00:00,,0028800002,1610612742,DAL,Dallas,Mavericks,-,33,26,29,25,,,,,,,,,,,113,1988-1989
3,0028800002,1988-11-04T00:00:00,,0028800002,1610612747,LAL,Los Angeles,Lakers,-,29,27,30,30,,,,,,,,,,,116,1988-1989
4,0028800003,1988-11-04T00:00:00,,0028800003,1610612746,LAC,Los Angeles,Clippers,-,29,24,32,25,,,,,,,,,,,110,1988-1989
5,0028800003,1988-11-04T00:00:00,,0028800003,1610612755,PHL,Philadelphia,76ers,-,31,37,31,30,,,,,,,,,,,129,1988-1989
6,0028800004,1988-11-04T00:00:00,,0028800004,1610612743,DEN,Denver,Nuggets,-,26,23,42,29,,,,,,,,,,,120,1988-1989
7,0028800004,1988-11-04T00:00:00,,0028800004,1610612745,HOU,Houston,Rockets,-,30,34,30,23,,,,,,,,,,,117,1988-1989
8,0028800005,1988-11-04T00:00:00,,0028800005,1610612756,PHX,Phoenix,Suns,-,30,23,25,27,,,,,,,,,,,105,1988-1989
9,0028800005,1988-11-04T00:00:00,,0028800005,1610612757,POR,Portland,Trail Blazers,-,30,32,28,30,,,,,,,,,,,120,1988-1989
10,0028800006,1988-11-04T00:00:00,,0028800006,1610612760,SEA,Seattle,SuperSonics,-,27,23,26,28,,,,,,,,,,,104,1988-1989
11,0028800006,1988-11-04T00:00:00,,0028800006,1610612762,UTH,Utah,Jazz,-,26,21,31,19,,,,,,,,,,,97,1988-1989
12,0028800007,1988-11-04T00:00:00,,0028800007,1610612738,BOS,Boston,Celtics,-,28,20,31,28,15.0,,,,,,,,,,122,1988-1989
13,0028800007,1988-11-04T00:00:00,,0028800007,1610612752,NYK,New York,Knicks,-,24,25,34,24,8.0,,,,,,,,,,115,1988-1989
14,0028800008,1988-11-04T00:00:00,,0028800008,1610612739,CLE,Cleveland,Cavaliers,-,26,40,34,33,,,,,,,,,,,133,1988-1989
15,0028800008,1988-11-04T00:00:00,,0028800008,1610612766,CHH,Charlotte,Hornets,-,26,16,27,24,,,,,,,,,,,93,1988-1989
16,0028800009,1988-11-04T00:00:00,,0028800009,1610612741,CHI,Chicago,Bulls,-,22,20,22,30,,,,,,,,,,,94,1988-1989
17,0028800009,1988-11-04T00:00:00,,0028800009,1610612765,DET,Detroit,Pistons,-,23,29,30,25,,,,,,,,,,,107,1988-1989
18,0028800010,1988-11-04T00:00:00,,0028800010,1610612737,ATL,Atlanta,Hawks,-,21,28,31,33,,,,,,,,,,,113,1988-1989
19,0028800010,1988-11-04T00:00:00,,0028800010,1610612751,NJN,New Jersey,Nets,-,25,30,27,23,,,,,,,,,,,105,1988-1989
20,0028800011,1988-11-05T00:00:00,,0028800011,1610612752,NYK,New York,Knicks,-,28,28,24,22,,,,,,,,,,,102,1988-1989
21,0028800011,1988-11-05T00:00:00,,0028800011,1610612751,NJN,New Jersey,Nets,-,29,23,32,28,,,,,,,,,,,112,1988-1989
22,0028800012,1988-11-05T00:00:00,,0028800012,1610612738,BOS,Boston,Celtics,-,32,25,24,34,,,,,,,,,,,115,1988-1989
23,0028800012,1988-11-05T00:00:00,,0028800012,1610612755,PHL,Philadelphia,76ers,-,33,31,41,24,,,,,,,,,,,129,1988-1989
24,0028800013,1988-11-05T00:00:00,,0028800013,1610612743,DEN,Denver,Nuggets,-,24,32,34,40,11.0,,,,,,,,,,141,1988-1989
25,0028800013,1988-11-05T00:00:00,,0028800013,1610612760,SEA,Seattle,SuperSonics,-,23,30,40,37,12.0,,,,,,,,,,142,1988-1989
