,GID,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,GAME_DATE_EST,HOME_TEAM_WINS,HOME_TEAM_LOSSES,SERIES_LEADER,SEASON
0,0029700001,0029700001,1610612738,1610612741,1997-10-31T00:00:00,1,3,Chicago,1997-1998
1,0029700002,0029700002,1610612751,1610612754,1997-10-31T00:00:00,1,2,Indiana,1997-1998
2,0029700003,0029700003,1610612755,1610612749,1997-10-31T00:00:00,2,2,Tied,1997-1998
3,0029700004,0029700004,1610612753,1610612737,1997-10-31T00:00:00,2,2,Tied,1997-1998
4,0029700005,0029700005,1610612748,1610612761,1997-10-31T00:00:00,4,0,Miami,1997-1998
5,0029700006,0029700006,1610612766,1610612752,1997-10-31T00:00:00,1,3,New York,1997-1998
6,0029700007,0029700007,1610612765,1610612764,1997-10-31T00:00:00,2,2,Tied,1997-1998
7,0029700008,0029700008,1610612750,1610612744,1997-10-31T00:00:00,4,0,Minnesota,1997-1998
8,0029700009,0029700009,1610612745,1610612739,1997-10-31T00:00:00,1,1,Tied,1997-1998
9,0029700010,0029700010,1610612743,1610612759,1997-10-31T00:00:00,0,4,San Antonio,1997-1998
10,0029700011,0029700011,1610612756,1610612746,1997-10-31T00:00:00,4,0,Phoenix,1997-1998
11,0029700012,0029700012,1610612747,1610612762,1997-10-31T00:00:00,3,1,L.A. Lakers,1997-1998
12,0029700013,0029700013,1610612757,1610612760,1997-10-31T00:00:00,0,4,Seattle,1997-1998
13,0029700014,0029700014,1610612763,1610612742,1997-10-31T00:00:00,0,4,Dallas,1997-1998
14,0029700015,0029700015,1610612764,1610612748,1997-11-01T00:00:00,2,2,Tied,1997-1998
15,0029700016,0029700016,1610612737,1610612761,1997-11-01T00:00:00,4,0,Atlanta,1997-1998
16,0029700017,0029700017,1610612754,1610612744,1997-11-01T00:00:00,2,0,Indiana,1997-1998
17,0029700018,0029700018,1610612741,1610612755,1997-11-01T00:00:00,2,1,Chicago,1997-1998
18,0029700019,0029700019,1610612749,1610612751,1997-11-01T00:00:00,0,4,New Jersey,1997-1998
19,0029700020,0029700020,1610612750,1610612766,1997-11-01T00:00:00,1,1,Tied,1997-1998
20,0029700021,0029700021,1610612759,1610612739,1997-11-01T00:00:00,2,0,San Antonio,1997-1998
21,0029700022,0029700022,1610612762,1610612743,1997-11-01T00:00:00,4,0,Utah,1997-1998
22,0029700023,0029700023,1610612746,1610612757,1997-11-01T00:00:00,0,4,Portland,1997-1998
23,0029700024,0029700024,1610612760,1610612742,1997-11-01T00:00:00,2,2,Tied,1997-1998
24,0029700025,0029700025,1610612763,1610612758,1997-11-01T00:00:00,2,2,Tied,1997-1998
25,0029700026,0029700026,1610612738,1610612753,1997-11-02T00:00:00,2,2,Tied,1997-1998
26,0029700027,0029700027,1610612752,1610612765,1997-11-02T00:00:00,2,2,Tied,1997-1998
27,0029700028,0029700028,1610612758,1610612745,1997-11-02T00:00:00,0,4,Houston,1997-1998
28,0029700029,0029700029,1610612748,1610612766,1997-11-03T00:00:00,1,3,Charlotte,1997-1998
29,0029700030,0029700030,1610612741,1610612759,1997-11-03T00:00:00,2,0,Chicago,1997-1998
30,0029700031,0029700031,1610612762,1610612764,1997-11-03T00:00:00,0,2,Washington,1997-1998
