,GID,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,WH_STATUS
0,0029400001,1994-11-04T00:00:00,,0029400001,3, ,19941104/PORLAC,1610612746,1610612757,1994-1995,4,,,Q4  - ,1
1,0029400002,1994-11-04T00:00:00,,0029400002,3, ,19941104/MIAUTH,1610612762,1610612748,1994-1995,4,,,Q4  - ,1
2,0029400003,1994-11-04T00:00:00,,0029400003,3, ,19941104/NJNHOU,1610612745,1610612751,1994-1995,4,,,Q4  - ,1
3,0029400004,1994-11-04T00:00:00,,0029400004,3, ,19941104/GOSSAN,1610612759,1610612744,1994-1995,4,,,Q4  - ,1
4,0029400005,1994-11-04T00:00:00,,0029400005,3, ,19941104/MINDEN,1610612743,1610612750,1994-1995,4,,,Q4  - ,1
5,0029400006,1994-11-04T00:00:00,,0029400006,3, ,19941104/ORLWAS,1610612764,1610612753,1994-1995,4,,,Q4  - ,1
6,0029400007,1994-11-04T00:00:00,,0029400007,3, ,19941104/PHXSAC,1610612758,1610612756,1994-1995,4,,,Q4  - ,1
7,0029400008,1994-11-04T00:00:00,,0029400008,3, ,19941104/LALDET,1610612765,1610612747,1994-1995,4,,,Q4  - ,1
8,0029400009,1994-11-04T00:00:00,,0029400009,3, ,19941104/CHHCHI,1610612741,1610612766,1994-1995,4,,,Q4  - ,1
9,0029400010,1994-11-04T00:00:00,,0029400010,3, ,19941104/MILPHL,1610612755,1610612749,1994-1995,4,,,Q4  - ,1
10,0029400011,1994-11-04T00:00:00,,0029400011,3, ,19941104/NYKBOS,1610612738,1610612752,1994-1995,4,,,Q4  - ,1
11,0029400012,1994-11-04T00:00:00,,0029400012,3, ,19941104/INDATL,1610612737,1610612754,1994-1995,4,,,Q4  - ,1
12,0029400013,1994-11-05T00:00:00,,0029400013,3, ,19941105/UTHSEA,1610612760,1610612762,1994-1995,4,,,Q4  - ,1
13,0029400014,1994-11-05T00:00:00,,0029400014,3, ,19941105/NJNDAL,1610612742,1610612751,1994-1995,4,,,Q4  - ,1
14,0029400015,1994-11-05T00:00:00,,0029400015,3, ,19941105/PHLORL,1610612753,1610612755,1994-1995,4,,,Q4  - ,1
15,0029400016,1994-11-05T00:00:00,,0029400016,3, ,19941105/CLECHH,1610612766,1610612739,1994-1995,4,,,Q4  - ,1
16,0029400017,1994-11-05T00:00:00,,0029400017,3, ,19941105/GOSDEN,1610612743,1610612744,1994-1995,4,,,Q4  - ,1
17,0029400018,1994-11-05T00:00:00,,0029400018,3, ,19941105/LACPOR,1610612757,1610612746,1994-1995,4,,,Q4  - ,1
18,0029400019,1994-11-05T00:00:00,,0029400019,3, ,19941105/WASCHI,1610612741,1610612764,1994-1995,5,,,Q5  - ,1
19,0029400020,1994-11-05T00:00:00,,0029400020,3, ,19941105/LALMIL,1610612749,1610612747,1994-1995,4,,,Q4  - ,1
20,0029400021,1994-11-05T00:00:00,,0029400021,3, ,19941105/HOUMIN,1610612750,1610612745,1994-1995,4,,,Q4  - ,1
21,0029400022,1994-11-05T00:00:00,,0029400022,3, ,19941105/DETATL,1610612737,1610612765,1994-1995,5,,,Q5  - ,1
22,0029400023,1994-11-05T00:00:00,,0029400023,3, ,19941105/BOSIND,1610612754,1610612738,1994-1995,4,,,Q4  - ,1
23,0029400024,1994-11-06T00:00:00,,0029400024,3, ,19941106/MIAPHX,1610612756,1610612748,1994-1995,4,,,Q4  - ,1
24,0029400025,1994-11-07T00:00:00,,0029400025,3, ,19941107/ATLUTH,1610612762,1610612737,1994-1995,4,,,Q4  - ,1
25,0029400026,1994-11-07T00:00:00,,0029400026,3, ,19941107/NJNSAN,1610612759,1610612751,1994-1995,4,,,Q4  - ,1
26,0029400027,1994-11-07T00:00:00,,0029400027,3, ,19941107/PHLCHI,1610612741,1610612755,1994-1995,4,,,Q4  - ,1
27,0029400028,1994-11-08T00:00:00,,0029400028,3, ,19941108/HOUCLE,1610612739,1610612745,1994-1995,4,,,Q4  - ,1
28,0029400029,1994-11-08T00:00:00,,0029400029,3, ,19941108/DENDAL,1610612742,1610612743,1994-1995,4,,,Q4  - ,1
29,0029400030,1994-11-08T00:00:00,,0029400030,3, ,19941108/MINDET,1610612765,1610612750,1994-1995,4,,,Q4  - ,1
30,0029400031,1994-11-08T00:00:00,,0029400031,3, ,19941108/MIAGOS,1610612744,1610612748,1994-1995,4,,,Q4  - ,1
31,0029400032,1994-11-08T00:00:00,,0029400032,3, ,19941108/LALNYK,1610612752,1610612747,1994-1995,4,,,Q4  - ,1
32,0029400033,1994-11-09T00:00:00,,0029400033,3, ,19941109/ORLCHH,1610612766,1610612753,1994-1995,5,,,Q5  - ,1
33,0029400034,1994-11-09T00:00:00,,0029400034,3, ,19941109/UTHSAN,1610612759,1610612762,1994-1995,4,,,Q4  - ,1
34,0029400035,1994-11-09T00:00:00,,0029400035,3, ,19941109/HOUIND,1610612754,1610612745,1994-1995,4,,,Q4  - ,1
35,0029400036,1994-11-09T00:00:00,,0029400036,3, ,19941109/ATLPHX,1610612756,1610612737,1994-1995,4,,,Q4  - ,1
36,0029400037,1994-11-09T00:00:00,,0029400037,3, ,19941109/WASPHL,1610612755,1610612764,1994-1995,4,,,Q4  - ,1
37,0029400038,1994-11-09T00:00:00,,0029400038,3, ,19941109/LALMIN,1610612750,1610612747,1994-1995,4,,,Q4  - ,1
38,0029400039,1994-11-09T00:00:00,,0029400039,3, ,19941109/CHINJN,1610612751,1610612741,1994-1995,4,,,Q4  - ,1
39,0029400040,1994-11-09T00:00:00,,0029400040,3, ,19941109/SACSEA,1610612760,1610612758,1994-1995,4,,,Q4  - ,1
40,0029400041,1994-11-10T00:00:00,,0029400041,3, ,19941110/PORSAC,1610612758,1610612757,1994-1995,4,,,Q4  - ,1
41,0029400042,1994-11-10T00:00:00,,0029400042,3, ,19941110/ATLLAC,1610612746,1610612737,1994-1995,4,,,Q4  - ,1
42,0029400043,1994-11-10T00:00:00,,0029400043,3, ,19941110/INDDET,1610612765,1610612754,1994-1995,4,,,Q4  - ,1
43,0029400044,1994-11-10T00:00:00,,0029400044,3, ,19941110/MILCLE,1610612739,1610612749,1994-1995,4,,,Q4  - ,1
44,0029400045,1994-11-10T00:00:00,,0029400045,3, ,19941110/ORLNYK,1610612752,1610612753,1994-1995,4,,,Q4  - ,1
45,0029400046,1994-11-11T00:00:00,,0029400046,3, ,19941111/DENLAL,1610612747,1610612743,1994-1995,5,,,Q5  - ,1
46,0029400047,1994-11-11T00:00:00,,0029400047,3, ,19941111/PHXSEA,1610612760,1610612756,1994-1995,4,,,Q4  - ,1
47,0029400048,1994-11-11T00:00:00,,0029400048,3, ,19941111/CHIMIN,1610612750,1610612741,1994-1995,4,,,Q4  - ,1
48,0029400049,1994-11-11T00:00:00,,0029400049,3, ,19941111/DALPHL,1610612755,1610612742,1994-1995,4,,,Q4  - ,1
49,0029400050,1994-11-11T00:00:00,,0029400050,3, ,19941111/CHHMIL,1610612749,1610612766,1994-1995,4,,,Q4  - ,1
50,0029400051,1994-11-11T00:00:00,,0029400051,3, ,19941111/NJNWAS,1610612764,1610612751,1994-1995,4,,,Q4  - ,1
51,0029400052,1994-11-11T00:00:00,,0029400052,3, ,19941111/HOUBOS,1610612738,1610612745,1994-1995,4,,,Q4  - ,1
52,0029400053,1994-11-11T00:00:00,,0029400053,3, ,19941111/GOSUTH,1610612762,1610612744,1994-1995,4,,,Q4  - ,1
53,0029400054,1994-11-12T00:00:00,,0029400054,3, ,19941112/BOSMIN,1610612750,1610612738,1994-1995,4,,,Q4  - ,1
54,0029400055,1994-11-12T00:00:00,,0029400055,3, ,19941112/DETCHH,1610612766,1610612765,1994-1995,4,,,Q4  - ,1
55,0029400056,1994-11-12T00:00:00,,0029400056,3, ,19941112/DALCHI,1610612741,1610612742,1994-1995,5,,,Q5  - ,1
56,0029400057,1994-11-12T00:00:00,,0029400057,3, ,19941112/HOUNJN,1610612751,1610612745,1994-1995,4,,,Q4  - ,1
57,0029400058,1994-11-12T00:00:00,,0029400058,3, ,19941112/ATLSAC,1610612758,1610612737,1994-1995,4,,,Q4  - ,1
58,0029400059,1994-11-12T00:00:00,,0029400059,3, ,19941112/LALGOS,1610612744,1610612747,1994-1995,4,,,Q4  - ,1
59,0029400060,1994-11-12T00:00:00,,0029400060,3, ,19941112/ORLPHL,1610612755,1610612753,1994-1995,4,,,Q4  - ,1
