,GID,GAME_DATE,ATTENDANCE,GAME_TIME,SEASON
0,0029900001,"TUESDAY, NOVEMBER 2, 1999",19763,2:22,1999-2000
1,0029900002,"TUESDAY, NOVEMBER 2, 1999",13051,2:52,1999-2000
2,0029900003,"TUESDAY, NOVEMBER 2, 1999",16038,2:21,1999-2000
3,0029900004,"TUESDAY, NOVEMBER 2, 1999",14623,3:21,1999-2000
4,0029900005,"TUESDAY, NOVEMBER 2, 1999",17461,2:15,1999-2000
5,0029900006,"TUESDAY, NOVEMBER 2, 1999",17711,2:10,1999-2000
6,0029900007,"TUESDAY, NOVEMBER 2, 1999",12848,2:17,1999-2000
7,0029900008,"TUESDAY, NOVEMBER 2, 1999",14491,2:19,1999-2000
8,0029900009,"TUESDAY, NOVEMBER 2, 1999",27288,2:24,1999-2000
9,0029900010,"TUESDAY, NOVEMBER 2, 1999",19099,2:32,1999-2000
10,0029900011,"TUESDAY, NOVEMBER 2, 1999",19911,2:26,1999-2000
11,0029900012,"TUESDAY, NOVEMBER 2, 1999",17847,2:12,1999-2000
12,0029900013,"TUESDAY, NOVEMBER 2, 1999",18218,2:12,1999-2000
13,0029900014,"WEDNESDAY, NOVEMBER 3, 1999",16082,2:25,1999-2000
14,0029900015,"WEDNESDAY, NOVEMBER 3, 1999",14253,2:27,1999-2000
15,0029900016,"WEDNESDAY, NOVEMBER 3, 1999",16777,2:11,1999-2000
16,0029900017,"WEDNESDAY, NOVEMBER 3, 1999",22176,2:10,1999-2000
17,0029900018,"WEDNESDAY, NOVEMBER 3, 1999",18997,2:28,1999-2000
18,0029900019,"WEDNESDAY, NOVEMBER 3, 1999",20584,2:07,1999-2000
19,0029900020,"THURSDAY, NOVEMBER 4, 1999",15762,2:04,1999-2000
20,0029900021,"THURSDAY, NOVEMBER 4, 1999",18514,2:16,1999-2000
21,0029900022,"THURSDAY, NOVEMBER 4, 1999",16389,2:13,1999-2000
22,0029900023,"THURSDAY, NOVEMBER 4, 1999",14508,2:12,1999-2000
23,0029900024,"THURSDAY, NOVEMBER 4, 1999",19142,2:04,1999-2000
24,0029900025,"THURSDAY, NOVEMBER 4, 1999",19023,2:28,1999-2000
25,0029900026,"THURSDAY, NOVEMBER 4, 1999",16140,1:58,1999-2000
26,0029900027,"FRIDAY, NOVEMBER 5, 1999",16582,2:24,1999-2000
27,0029900028,"FRIDAY, NOVEMBER 5, 1999",15517,2:10,1999-2000
28,0029900029,"FRIDAY, NOVEMBER 5, 1999",13142,2:19,1999-2000
29,0029900030,"FRIDAY, NOVEMBER 5, 1999",22076,2:20,1999-2000
30,0029900031,"FRIDAY, NOVEMBER 5, 1999",21972,2:13,1999-2000
31,0029900032,"FRIDAY, NOVEMBER 5, 1999",16285,2:17,1999-2000
32,0029900033,"FRIDAY, NOVEMBER 5, 1999",14271,2:22,1999-2000
33,0029900034,"FRIDAY, NOVEMBER 5, 1999",32623,2:18,1999-2000
34,0029900035,"FRIDAY, NOVEMBER 5, 1999",19995,2:04,1999-2000
35,0029900036,"SATURDAY, NOVEMBER 6, 1999",14954,2:33,1999-2000
36,0029900037,"SATURDAY, NOVEMBER 6, 1999",13342,2:13,1999-2000
37,0029900038,"SATURDAY, NOVEMBER 6, 1999",17604,2:22,1999-2000
38,0029900039,"SATURDAY, NOVEMBER 6, 1999",18345,2:37,1999-2000
39,0029900040,"SATURDAY, NOVEMBER 6, 1999",18374,2:17,1999-2000
40,0029900041,"SATURDAY, NOVEMBER 6, 1999",34013,2:07,1999-2000
41,0029900042,"SATURDAY, NOVEMBER 6, 1999",12708,2:11,1999-2000
42,0029900043,"SATURDAY, NOVEMBER 6, 1999",20584,2:17,1999-2000
43,0029900044,"SATURDAY, NOVEMBER 6, 1999",17072,2:08,1999-2000
44,0029900045,"SATURDAY, NOVEMBER 6, 1999",12159,2:04,1999-2000
45,0029900046,"SUNDAY, NOVEMBER 7, 1999",14686,2:09,1999-2000
46,0029900047,"SUNDAY, NOVEMBER 7, 1999",16658,2:09,1999-2000
47,0029900048,"SUNDAY, NOVEMBER 7, 1999",19023,2:08,1999-2000
48,0029900049,"SUNDAY, NOVEMBER 7, 1999",18068,2:17,1999-2000
49,0029900050,"MONDAY, NOVEMBER 8, 1999",19763,2:44,1999-2000
50,0029900051,"MONDAY, NOVEMBER 8, 1999",19402,2:33,1999-2000
51,0029900052,"MONDAY, NOVEMBER 8, 1999",13970,2:35,1999-2000
52,0029900053,"MONDAY, NOVEMBER 8, 1999",9108,2:09,1999-2000
53,0029900054,"MONDAY, NOVEMBER 8, 1999",9686,2:10,1999-2000
54,0029900055,"TUESDAY, NOVEMBER 9, 1999",15200,1:60,1999-2000
55,0029900056,"TUESDAY, NOVEMBER 9, 1999",22026,2:12,1999-2000
56,0029900057,"TUESDAY, NOVEMBER 9, 1999",17349,2:09,1999-2000
57,0029900058,"TUESDAY, NOVEMBER 9, 1999",19538,2:25,1999-2000
58,0029900059,"TUESDAY, NOVEMBER 9, 1999",11601,2:07,1999-2000
59,0029900060,"WEDNESDAY, NOVEMBER 10, 1999",15638,2:16,1999-2000
60,0029900061,"WEDNESDAY, NOVEMBER 10, 1999",11652,2:04,1999-2000
61,0029900062,"WEDNESDAY, NOVEMBER 10, 1999",13213,1:57,1999-2000
62,0029900063,"WEDNESDAY, NOVEMBER 10, 1999",14056,2:20,1999-2000
63,0029900064,"WEDNESDAY, NOVEMBER 10, 1999",15769,2:13,1999-2000
64,0029900065,"WEDNESDAY, NOVEMBER 10, 1999",16285,2:35,1999-2000
65,0029900066,"WEDNESDAY, NOVEMBER 10, 1999",11118,2:20,1999-2000
66,0029900067,"WEDNESDAY, NOVEMBER 10, 1999",11453,2:31,1999-2000
67,0029900068,"THURSDAY, NOVEMBER 11, 1999",14683,2:06,1999-2000
68,0029900069,"THURSDAY, NOVEMBER 11, 1999",11864,2:06,1999-2000
69,0029900070,"THURSDAY, NOVEMBER 11, 1999",13157,2:19,1999-2000
70,0029900071,"THURSDAY, NOVEMBER 11, 1999",18345,2:07,1999-2000
71,0029900072,"THURSDAY, NOVEMBER 11, 1999",18397,2:19,1999-2000
72,0029900073,"FRIDAY, NOVEMBER 12, 1999",18624,2:29,1999-2000
73,0029900074,"FRIDAY, NOVEMBER 12, 1999",18120,2:17,1999-2000
74,0029900075,"FRIDAY, NOVEMBER 12, 1999",13941,2:14,1999-2000
75,0029900076,"FRIDAY, NOVEMBER 12, 1999",16668,2:20,1999-2000
76,0029900077,"FRIDAY, NOVEMBER 12, 1999",16137,2:04,1999-2000
77,0029900078,"FRIDAY, NOVEMBER 12, 1999",17512,2:02,1999-2000
78,0029900079,"FRIDAY, NOVEMBER 12, 1999",18359,2:13,1999-2000
79,0029900080,"FRIDAY, NOVEMBER 12, 1999",17317,2:17,1999-2000
80,0029900081,"FRIDAY, NOVEMBER 12, 1999",12792,2:12,1999-2000
81,0029900082,"SATURDAY, NOVEMBER 13, 1999",18640,2:42,1999-2000
82,0029900083,"SATURDAY, NOVEMBER 13, 1999",14266,2:22,1999-2000
83,0029900084,"SATURDAY, NOVEMBER 13, 1999",18345,2:02,1999-2000
84,0029900085,"SATURDAY, NOVEMBER 13, 1999",22108,2:24,1999-2000
85,0029900086,"SATURDAY, NOVEMBER 13, 1999",20003,2:03,1999-2000
86,0029900087,"SATURDAY, NOVEMBER 13, 1999",12558,2:30,1999-2000
87,0029900088,"SATURDAY, NOVEMBER 13, 1999",19669,2:04,1999-2000
88,0029900089,"SATURDAY, NOVEMBER 13, 1999",11684,2:11,1999-2000
89,0029900090,"SATURDAY, NOVEMBER 13, 1999",20404,2:10,1999-2000
90,0029900091,"SUNDAY, NOVEMBER 14, 1999",19763,2:20,1999-2000
91,0029900092,"SUNDAY, NOVEMBER 14, 1999",16661,2:26,1999-2000
92,0029900093,"SUNDAY, NOVEMBER 14, 1999",18510,2:18,1999-2000
93,0029900094,"SUNDAY, NOVEMBER 14, 1999",15491,1:59,1999-2000
94,0029900095,"SUNDAY, NOVEMBER 14, 1999",12774,2:11,1999-2000
95,0029900096,"MONDAY, NOVEMBER 15, 1999",12474,2:08,1999-2000
96,0029900097,"MONDAY, NOVEMBER 15, 1999",14866,2:11,1999-2000
97,0029900098,"MONDAY, NOVEMBER 15, 1999",19584,2:20,1999-2000
98,0029900099,"MONDAY, NOVEMBER 15, 1999",19023,2:20,1999-2000
99,0029900100,"TUESDAY, NOVEMBER 16, 1999",14524,2:22,1999-2000
100,0029900101,"TUESDAY, NOVEMBER 16, 1999",15200,2:15,1999-2000
101,0029900102,"TUESDAY, NOVEMBER 16, 1999",11426,2:10,1999-2000
102,0029900103,"TUESDAY, NOVEMBER 16, 1999",14273,2:24,1999-2000
103,0029900104,"TUESDAY, NOVEMBER 16, 1999",12465,2:05,1999-2000
104,0029900105,"TUESDAY, NOVEMBER 16, 1999",14371,2:11,1999-2000
105,0029900106,"TUESDAY, NOVEMBER 16, 1999",15905,2:40,1999-2000
