,GID,PLAYER_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,SEASON
0,0020200053,296,Rick,Fox,17,1610612747,Los Angeles,Lakers,LAL,2002-2003
1,0020200083,2036,Chris,Mihm,4,1610612739,Cleveland,Cavaliers,CLE,2002-2003
2,0020200091,2425,Robert,Archibald,21,1610612763,Memphis,Grizzlies,MEM,2002-2003
3,0020200109,2036,Chris,Mihm,4,1610612739,Cleveland,Cavaliers,CLE,2002-2003
4,0020200109,1915,Evan,Eschmeyer,42,1610612742,Dallas,Mavericks,DAL,2002-2003
5,0020200109,461,Popeye,Jones,54,1610612742,Dallas,Mavericks,DAL,2002-2003
6,0020200132,2036,Chris,Mihm,4,1610612739,Cleveland,Cavaliers,CLE,2002-2003
7,0020200154,916,Corie,Blount,43,1610612741,Chicago,Bulls,CHI,2002-2003
8,0020200155,2501,Reggie,Evans,34,1610612760,Seattle,SuperSonics,SEA,2002-2003
9,0020200174,2432,Tito,Maddox,6,1610612745,Houston,Rockets,HOU,2002-2003
10,0020200174,2242,Terence,Morris,44,1610612745,Houston,Rockets,HOU,2002-2003
11,0020200182,238,Tyrone,Hill,32,1610612739,Cleveland,Cavaliers,CLE,2002-2003
12,0020200182,2036,Chris,Mihm,4,1610612739,Cleveland,Cavaliers,CLE,2002-2003
13,0020200198,2036,Chris,Mihm,4,1610612739,Cleveland,Cavaliers,CLE,2002-2003
14,0020200198,1513,Scot,Pollard,31,1610612758,Sacramento,Kings,SAC,2002-2003
15,0020200198,2043,Mateen,Cleaves,8,1610612758,Sacramento,Kings,SAC,2002-2003
16,0020200198,978,Peja,Stojakovic,16,1610612758,Sacramento,Kings,SAC,2002-2003
17,0020200219,2036,Chris,Mihm,4,1610612739,Cleveland,Cavaliers,CLE,2002-2003
18,0020200224,43,Chris,Whitney,12,1610612743,Denver,Nuggets,DEN,2002-2003
19,0020200242,954,Kerry,Kittles,30,1610612751,New Jersey,Nets,NJN,2002-2003
20,0020200242,87,Dikembe,Mutombo,55,1610612751,New Jersey,Nets,NJN,2002-2003
21,0020200242,1916,Calvin,Booth,52,1610612760,Seattle,SuperSonics,SEA,2002-2003
22,0020200242,1744,Jerome,James,33,1610612760,Seattle,SuperSonics,SEA,2002-2003
23,0020200250,2220,Brandon,Armstrong,1,1610612751,New Jersey,Nets,NJN,2002-2003
24,0020200257,902,Bimbo,Coles,12,1610612739,Cleveland,Cavaliers,CLE,2002-2003
25,0020200257,2036,Chris,Mihm,4,1610612739,Cleveland,Cavaliers,CLE,2002-2003
26,0020200265,1744,Jerome,James,33,1610612760,Seattle,SuperSonics,SEA,2002-2003
27,0020200287,1744,Jerome,James,33,1610612760,Seattle,SuperSonics,SEA,2002-2003
28,0020200294,2036,Chris,Mihm,4,1610612739,Cleveland,Cavaliers,CLE,2002-2003
29,0020200309,2036,Chris,Mihm,4,1610612739,Cleveland,Cavaliers,CLE,2002-2003
30,0020200309,213,Antonio,Davis,33,1610612761,Toronto,Raptors,TOR,2002-2003
