,GID,GAME_ID,LAST_GAME_ID,LAST_GAME_DATE_EST,LAST_GAME_HOME_TEAM_ID,LAST_GAME_HOME_TEAM_CITY,LAST_GAME_HOME_TEAM_NAME,LAST_GAME_HOME_TEAM_ABBREVIATION,LAST_GAME_HOME_TEAM_POINTS,LAST_GAME_VISITOR_TEAM_ID,LAST_GAME_VISITOR_TEAM_CITY,LAST_GAME_VISITOR_TEAM_NAME,LAST_GAME_VISITOR_TEAM_CITY1,LAST_GAME_VISITOR_TEAM_POINTS,SEASON
0,0020400001,0020400001,0020300496,2004-01-07T00:00:00,1610612765,Detroit,Pistons,DET,85,1610612745,Houston,Rockets,HOU,66,2004-2005
1,0020400002,0020400002,0040300175,2004-04-29T00:00:00,1610612742,Dallas,Mavericks,DAL,118,1610612758,Sacramento,Kings,SAC,119,2004-2005
2,0020400003,0020400003,0020300831,2004-02-25T00:00:00,1610612747,Los Angeles,Lakers,LAL,112,1610612743,Denver,Nuggets,DEN,111,2004-2005
3,0020400004,0020400004,0020301029,2004-03-24T00:00:00,1610612761,Toronto,Raptors,TOR,89,1610612745,Houston,Rockets,HOU,90,2004-2005
4,0020400005,0020400005,0020300875,2004-03-03T00:00:00,1610612753,Orlando,Magic,ORL,97,1610612749,Milwaukee,Bucks,MIL,105,2004-2005
5,0020400006,0020400006,0020300957,2004-03-14T00:00:00,1610612739,Cleveland,Cavaliers,CLE,107,1610612754,Indiana,Pacers,IND,104,2004-2005
6,0020400007,0020400007,0020301060,2004-03-28T00:00:00,1610612738,Boston,Celtics,BOS,89,1610612755,Philadelphia,76ers,PHI,65,2004-2005
7,0020400008,0020400008,0020301180,2004-04-14T00:00:00,1610612751,New Jersey,Nets,NJN,84,1610612748,Miami,Heat,MIA,96,2004-2005
8,0020400009,0020400009,0020300699,2004-02-04T00:00:00,1610612763,Memphis,Grizzlies,MEM,103,1610612764,Washington,Wizards,WAS,101,2004-2005
9,0020400010,0020400010,0020300704,2004-02-04T00:00:00,1610612740,New Orleans,Hornets,NOH,104,1610612742,Dallas,Mavericks,DAL,113,2004-2005
10,0020400011,0020400011,0020300390,2003-12-23T00:00:00,1610612750,Minnesota,Timberwolves,MIN,98,1610612752,New York,Knicks,NYK,92,2004-2005
11,0020400012,0020400012,0020301084,2004-03-31T00:00:00,1610612759,San Antonio,Spurs,SAS,107,1610612758,Sacramento,Kings,SAC,89,2004-2005
12,0020400013,0020400013,0020300642,2004-01-27T00:00:00,1610612756,Phoenix,Suns,PHX,89,1610612737,Atlanta,Hawks,ATL,85,2004-2005
13,0020400014,0020400014,0020301063,2004-03-28T00:00:00,1610612762,Utah,Jazz,UTA,84,1610612747,Los Angeles,Lakers,LAL,91,2004-2005
14,0020400015,0020400015,0020301188,2004-04-14T00:00:00,1610612746,Los Angeles,Clippers,LAC,87,1610612760,Seattle,SuperSonics,SEA,118,2004-2005
15,0020400016,0020400016,0020301131,2004-04-07T00:00:00,1610612744,Golden State,Warriors,GSW,81,1610612757,Portland,Trail Blazers,POR,87,2004-2005
16,0020400017,0020400017,0020101087,2002-04-05T00:00:00,1610612766,Charlotte,Bobcats,CHA,97,1610612764,Washington,Wizards,WAS,91,2004-2005
17,0020400018,0020400018,0020301151,2004-04-10T00:00:00,1610612748,Miami,Heat,MIA,80,1610612739,Cleveland,Cavaliers,CLE,91,2004-2005
18,0020400019,0020400019,0040300145,2004-04-30T00:00:00,1610612743,Denver,Nuggets,DEN,91,1610612750,Minnesota,Timberwolves,MIN,102,2004-2005
19,0020400020,0020400020,0020301172,2004-04-13T00:00:00,1610612761,Toronto,Raptors,TOR,87,1610612765,Detroit,Pistons,DET,78,2004-2005
20,0020400021,0020400021,0020301025,2004-03-24T00:00:00,1610612755,Philadelphia,76ers,PHI,99,1610612756,Phoenix,Suns,PHX,94,2004-2005
21,0020400022,0020400022,0040300104,2004-04-25T00:00:00,1610612738,Boston,Celtics,BOS,75,1610612754,Indiana,Pacers,IND,90,2004-2005
22,0020400023,0020400023,0020301044,2004-03-26T00:00:00,1610612763,Memphis,Grizzlies,MEM,109,1610612745,Houston,Rockets,HOU,86,2004-2005
23,0020400024,0020400024,0020300570,2004-01-17T00:00:00,1610612740,New Orleans,Hornets,NOH,91,1610612753,Orlando,Magic,ORL,90,2004-2005
24,0020400025,0020400025,0020301022,2004-03-23T00:00:00,1610612741,Chicago,Bulls,CHI,81,1610612751,New Jersey,Nets,NJN,84,2004-2005
25,0020400026,0020400026,0020301031,2004-03-24T00:00:00,1610612757,Portland,Trail Blazers,POR,91,1610612746,Los Angeles,Clippers,LAC,85,2004-2005
26,0020400027,0020400027,0040300236,2004-05-15T00:00:00,1610612747,Los Angeles,Lakers,LAL,88,1610612759,San Antonio,Spurs,SAS,76,2004-2005
27,0020400028,0020400028,0020300934,2004-03-10T00:00:00,1610612744,Golden State,Warriors,GSW,77,1610612762,Utah,Jazz,UTA,91,2004-2005
28,0020400029,0020400029,0020300971,2004-03-16T00:00:00,1610612760,Seattle,SuperSonics,SEA,118,1610612737,Atlanta,Hawks,ATL,110,2004-2005
29,0020400030,0020400030,0020301007,2004-03-21T00:00:00,1610612764,Washington,Wizards,WAS,81,1610612748,Miami,Heat,MIA,101,2004-2005
30,0020400031,0020400031,0040100134,2002-04-30T00:00:00,1610612766,Charlotte,Bobcats,CHA,102,1610612753,Orlando,Magic,ORL,85,2004-2005
31,0020400032,0020400032,0020300919,2004-03-09T00:00:00,1610612752,New York,Knicks,NYK,84,1610612738,Boston,Celtics,BOS,87,2004-2005
32,0020400033,0020400033,0020300956,2004-03-14T00:00:00,1610612765,Detroit,Pistons,DET,85,1610612755,Philadelphia,76ers,PHI,69,2004-2005
33,0020400034,0020400034,0020300882,2004-03-03T00:00:00,1610612751,New Jersey,Nets,NJN,74,1610612756,Phoenix,Suns,PHX,87,2004-2005
34,0020400035,0020400035,0020301181,2004-04-14T00:00:00,1610612754,Indiana,Pacers,IND,101,1610612741,Chicago,Bulls,CHI,96,2004-2005
35,0020400036,0020400036,0020300586,2004-01-19T00:00:00,1610612750,Minnesota,Timberwolves,MIN,97,1610612740,New Orleans,Hornets,NOH,90,2004-2005
36,0020400037,0020400037,0020301162,2004-04-12T00:00:00,1610612749,Milwaukee,Bucks,MIL,89,1610612739,Cleveland,Cavaliers,CLE,93,2004-2005
37,0020400038,0020400038,0020301107,2004-04-04T00:00:00,1610612745,Houston,Rockets,HOU,94,1610612758,Sacramento,Kings,SAC,99,2004-2005
38,0020400039,0020400039,0020301173,2004-04-13T00:00:00,1610612742,Dallas,Mavericks,DAL,110,1610612763,Memphis,Grizzlies,MEM,103,2004-2005
39,0020400040,0020400040,0020301053,2004-03-27T00:00:00,1610612743,Denver,Nuggets,DEN,83,1610612762,Utah,Jazz,UTA,85,2004-2005
40,0020400041,0020400041,0020301061,2004-03-28T00:00:00,1610612744,Golden State,Warriors,GSW,105,1610612746,Los Angeles,Clippers,LAC,77,2004-2005
41,0020400042,0020400042,0020300524,2004-01-11T00:00:00,1610612761,Toronto,Raptors,TOR,83,1610612757,Portland,Trail Blazers,POR,72,2004-2005
42,0020400043,0020400043,0020301129,2004-04-07T00:00:00,1610612760,Seattle,SuperSonics,SEA,75,1610612759,San Antonio,Spurs,SAS,96,2004-2005
