,GID,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,GAME_DATE_EST,HOME_TEAM_WINS,HOME_TEAM_LOSSES,SERIES_LEADER,SEASON
62,0029100063,0029100063,1610612737,1610612748,1991-11-09T00:00:00,2,2,Tied,1991-1992
63,0029100064,0029100064,1610612758,1610612750,1991-11-09T00:00:00,3,1,Sacramento,1991-1992
64,0029100065,0029100065,1610612760,1610612754,1991-11-09T00:00:00,2,0,Seattle,1991-1992
65,0029100066,0029100066,1610612752,1610612766,1991-11-09T00:00:00,4,0,New York,1991-1992
66,0029100067,0029100067,1610612745,1610612756,1991-11-09T00:00:00,1,3,Phoenix,1991-1992
67,0029100068,0029100068,1610612741,1610612753,1991-11-09T00:00:00,3,1,Chicago,1991-1992
68,0029100069,0029100069,1610612749,1610612742,1991-11-09T00:00:00,1,1,Tied,1991-1992
69,0029100070,0029100070,1610612747,1610612750,1991-11-10T00:00:00,3,1,L.A. Lakers,1991-1992
70,0029100071,0029100071,1610612757,1610612738,1991-11-10T00:00:00,1,1,Tied,1991-1992
71,0029100072,0029100072,1610612765,1610612764,1991-11-10T00:00:00,3,1,Detroit,1991-1992
72,0029100073,0029100073,1610612755,1610612749,1991-11-11T00:00:00,1,3,Milwaukee,1991-1992
73,0029100074,0029100074,1610612746,1610612754,1991-11-11T00:00:00,2,0,L.A. Clippers,1991-1992
74,0029100075,0029100075,1610612762,1610612758,1991-11-11T00:00:00,3,1,Utah,1991-1992
75,0029100076,0029100076,1610612758,1610612738,1991-11-12T00:00:00,0,2,Boston,1991-1992
76,0029100077,0029100077,1610612764,1610612753,1991-11-12T00:00:00,3,2,Washington,1991-1992
77,0029100078,0029100078,1610612742,1610612745,1991-11-12T00:00:00,4,2,Dallas,1991-1992
78,0029100079,0029100079,1610612757,1610612743,1991-11-12T00:00:00,3,1,Portland,1991-1992
79,0029100080,0029100080,1610612752,1610612751,1991-11-12T00:00:00,3,2,New York,1991-1992
80,0029100081,0029100081,1610612737,1610612766,1991-11-12T00:00:00,2,2,Tied,1991-1992
81,0029100082,0029100082,1610612741,1610612765,1991-11-12T00:00:00,4,1,Chicago,1991-1992
82,0029100083,0029100083,1610612739,1610612749,1991-11-12T00:00:00,3,1,Cleveland,1991-1992
83,0029100084,0029100084,1610612744,1610612756,1991-11-12T00:00:00,3,2,Golden State,1991-1992
84,0029100085,0029100085,1610612748,1610612765,1991-11-13T00:00:00,2,2,Tied,1991-1992
85,0029100086,0029100086,1610612751,1610612762,1991-11-13T00:00:00,0,2,Utah,1991-1992
86,0029100087,0029100087,1610612759,1610612746,1991-11-13T00:00:00,2,2,Tied,1991-1992
87,0029100088,0029100088,1610612756,1610612738,1991-11-13T00:00:00,1,1,Tied,1991-1992
88,0029100089,0029100089,1610612766,1610612741,1991-11-13T00:00:00,0,4,Chicago,1991-1992
89,0029100090,0029100090,1610612750,1610612764,1991-11-13T00:00:00,0,2,Washington,1991-1992
90,0029100091,0029100091,1610612754,1610612752,1991-11-13T00:00:00,1,3,New York,1991-1992
91,0029100092,0029100092,1610612753,1610612755,1991-11-13T00:00:00,3,2,Orlando,1991-1992
92,0029100093,0029100093,1610612739,1610612760,1991-11-14T00:00:00,1,1,Tied,1991-1992
93,0029100094,0029100094,1610612758,1610612737,1991-11-14T00:00:00,1,1,Tied,1991-1992
94,0029100095,0029100095,1610612742,1610612746,1991-11-14T00:00:00,1,3,L.A. Clippers,1991-1992
95,0029100096,0029100096,1610612744,1610612747,1991-11-14T00:00:00,3,2,Golden State,1991-1992
96,0029100097,0029100097,1610612765,1610612762,1991-11-15T00:00:00,1,1,Tied,1991-1992
97,0029100098,0029100098,1610612756,1610612737,1991-11-15T00:00:00,0,2,Atlanta,1991-1992
98,0029100099,0029100099,1610612748,1610612766,1991-11-15T00:00:00,3,1,Miami,1991-1992
99,0029100100,0029100100,1610612747,1610612745,1991-11-15T00:00:00,2,2,Tied,1991-1992
100,0029100101,0029100101,1610612738,1610612755,1991-11-15T00:00:00,3,1,Boston,1991-1992
101,0029100102,0029100102,1610612750,1610612757,1991-11-15T00:00:00,0,4,Portland,1991-1992
102,0029100103,0029100103,1610612741,1610612749,1991-11-15T00:00:00,3,2,Chicago,1991-1992
103,0029100104,0029100104,1610612754,1610612760,1991-11-15T00:00:00,0,2,Seattle,1991-1992
104,0029100105,0029100105,1610612751,1610612764,1991-11-15T00:00:00,2,3,Washington,1991-1992
105,0029100106,0029100106,1610612758,1610612745,1991-11-16T00:00:00,1,3,Houston,1991-1992
106,0029100107,0029100107,1610612749,1610612748,1991-11-16T00:00:00,0,4,Miami,1991-1992
107,0029100108,0029100108,1610612759,1610612752,1991-11-16T00:00:00,2,0,San Antonio,1991-1992
108,0029100109,0029100109,1610612739,1610612754,1991-11-16T00:00:00,5,0,Cleveland,1991-1992
