,GID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PTS_PAINT,PTS_2ND_CHANCE,PTS_FB,LARGEST_LEAD,LEAD_CHANGES,TIMES_TIED,TEAM_TURNOVERS,TOTAL_TURNOVERS,TEAM_REBOUNDS,PTS_OFF_TO,SEASON
0,0021900001,00,1610612740,NOP,New Orleans,38,9,13,11,15,14,0,19,4,22,2019-2020
1,0021900001,00,1610612761,TOR,Toronto,56,19,20,8,15,14,1,17,15,20,2019-2020
2,0021900002,00,1610612747,LAL,Los Angeles,40,6,5,11,5,5,1,15,9,25,2019-2020
3,0021900002,00,1610612746,LAC,LA,42,12,22,14,5,5,0,14,5,17,2019-2020
4,0021900003,00,1610612741,CHI,Chicago,78,17,21,10,11,9,2,12,9,13,2019-2020
5,0021900003,00,1610612766,CHA,Charlotte,42,10,25,16,11,9,0,19,7,29,2019-2020
6,0021900004,00,1610612765,DET,Detroit,46,17,12,10,8,6,0,18,7,17,2019-2020
7,0021900004,00,1610612754,IND,Indiana,50,17,8,9,8,6,0,15,8,14,2019-2020
8,0021900005,00,1610612753,ORL,Orlando,50,8,14,20,11,0,0,13,11,11,2019-2020
9,0021900005,00,1610612739,CLE,Cleveland,42,7,10,2,11,0,0,16,6,11,2019-2020
10,0021900006,00,1610612750,MIN,Minnesota,60,14,8,18,22,7,0,13,17,14,2019-2020
11,0021900006,00,1610612751,BKN,Brooklyn,60,8,20,8,22,7,0,16,15,15,2019-2020
12,0021900007,00,1610612763,MEM,Memphis,56,15,20,8,10,15,0,24,14,24,2019-2020
13,0021900007,00,1610612748,MIA,Miami,60,16,12,23,10,15,0,21,7,24,2019-2020
14,0021900008,00,1610612738,BOS,Boston,44,14,8,8,6,8,1,11,13,11,2019-2020
15,0021900008,00,1610612755,PHI,Philadelphia,58,17,14,17,6,8,2,17,13,20,2019-2020
16,0021900009,00,1610612742,DAL,Dallas,36,10,14,23,2,1,1,20,8,17,2019-2020
17,0021900009,00,1610612764,WAS,Washington,44,19,20,7,2,1,0,17,5,18,2019-2020
18,0021900010,00,1610612752,NYK,New York,58,4,29,7,9,4,0,14,7,16,2019-2020
19,0021900010,00,1610612759,SAS,San Antonio,54,13,30,16,9,4,0,21,6,32,2019-2020
20,0021900011,00,1610612760,OKC,Oklahoma City,34,11,7,8,8,5,3,16,13,10,2019-2020
21,0021900011,00,1610612762,UTA,Utah,58,8,18,13,8,5,0,11,7,8,2019-2020
22,0021900012,00,1610612756,PHX,Phoenix,68,18,27,32,7,9,0,14,13,6,2019-2020
23,0021900012,00,1610612758,SAC,Sacramento,34,15,11,11,7,9,1,27,10,35,2019-2020
24,0021900013,00,1610612757,POR,Portland,54,19,12,12,15,6,0,20,7,12,2019-2020
25,0021900013,00,1610612743,DEN,Denver,22,7,10,10,15,6,1,20,5,18,2019-2020
26,0021900014,00,1610612765,DET,Detroit,36,10,4,5,4,6,1,14,7,20,2019-2020
27,0021900014,00,1610612737,ATL,Atlanta,60,10,18,17,4,6,0,13,9,13,2019-2020
28,0021900015,00,1610612745,HOU,Houston,34,13,27,16,3,0,0,14,9,21,2019-2020
29,0021900015,00,1610612749,MIL,Milwaukee,46,9,17,6,3,0,0,11,10,10,2019-2020
30,0021900016,00,1610612746,LAC,LA,58,6,19,31,0,0,3,20,10,20,2019-2020
