,GID,GAME_ID,LAST_GAME_ID,LAST_GAME_DATE_EST,LAST_GAME_HOME_TEAM_ID,LAST_GAME_HOME_TEAM_CITY,LAST_GAME_HOME_TEAM_NAME,LAST_GAME_HOME_TEAM_ABBREVIATION,LAST_GAME_HOME_TEAM_POINTS,LAST_GAME_VISITOR_TEAM_ID,LAST_GAME_VISITOR_TEAM_CITY,LAST_GAME_VISITOR_TEAM_NAME,LAST_GAME_VISITOR_TEAM_CITY1,LAST_GAME_VISITOR_TEAM_POINTS,SEASON
0,0021100001,0021100001,0041000124,2011-04-24T00:00:00,1610612752,New York,Knicks,NYK,89,1610612738,Boston,Celtics,BOS,101,2011-2012
1,0021100002,0021100002,0041000406,2011-06-12T00:00:00,1610612742,Dallas,Mavericks,DAL,105,1610612748,Miami,Heat,MIA,95,2011-2012
2,0021100003,0021100003,0021000333,2010-12-10T00:00:00,1610612747,Los Angeles,Lakers,LAL,84,1610612741,Chicago,Bulls,CHI,88,2011-2012
3,0021100004,0021100004,0021000867,2011-02-25T00:00:00,1610612760,Oklahoma City,Thunder,OKC,88,1610612753,Orlando,Magic,ORL,111,2011-2012
4,0021100005,0021100005,0021000651,2011-01-22T00:00:00,1610612744,Golden State,Warriors,GSW,109,1610612746,Los Angeles,Clippers,LAC,113,2011-2012
5,0021100006,0021100006,0021001035,2011-03-20T00:00:00,1610612764,Washington,Wizards,WAS,98,1610612751,New Jersey,Nets,NJN,92,2011-2012
6,0021100007,0021100007,0021001096,2011-03-28T00:00:00,1610612766,Charlotte,Bobcats,CHA,87,1610612749,Milwaukee,Bucks,MIL,86,2011-2012
7,0021100008,0021100008,0021000648,2011-01-22T00:00:00,1610612753,Orlando,Magic,ORL,118,1610612745,Houston,Rockets,HOU,104,2011-2012
8,0021100009,0021100009,0021001166,2011-04-06T00:00:00,1610612739,Cleveland,Cavaliers,CLE,104,1610612761,Toronto,Raptors,TOR,96,2011-2012
9,0021100010,0021100010,0021001107,2011-03-30T00:00:00,1610612754,Indiana,Pacers,IND,111,1610612765,Detroit,Pistons,DET,101,2011-2012
10,0021100011,0021100011,0021001075,2011-03-25T00:00:00,1610612750,Minnesota,Timberwolves,MIN,103,1610612760,Oklahoma City,Thunder,OKC,111,2011-2012
11,0021100012,0021100012,0021001172,2011-04-06T00:00:00,1610612742,Dallas,Mavericks,DAL,96,1610612743,Denver,Nuggets,DEN,104,2011-2012
12,0021100013,0021100013,0041000146,2011-04-29T00:00:00,1610612759,San Antonio,Spurs,SAS,91,1610612763,Memphis,Grizzlies,MEM,99,2011-2012
13,0021100014,0021100014,0021001184,2011-04-08T00:00:00,1610612756,Phoenix,Suns,PHX,97,1610612740,New Orleans,Hornets,NOH,109,2011-2012
14,0021100015,0021100015,0021001230,2011-04-13T00:00:00,1610612758,Sacramento,Kings,SAC,108,1610612747,Los Angeles,Lakers,LAL,116,2011-2012
15,0021100016,0021100016,0021001034,2011-03-19T00:00:00,1610612757,Portland,Trail Blazers,POR,110,1610612755,Philadelphia,76ers,PHI,101,2011-2012
16,0021100017,0021100017,0021000753,2011-02-05T00:00:00,1610612744,Golden State,Warriors,GSW,101,1610612741,Chicago,Bulls,CHI,90,2011-2012
17,0021100018,0021100018,0021001081,2011-03-26T00:00:00,1610612751,New Jersey,Nets,NJN,87,1610612737,Atlanta,Hawks,ATL,98,2011-2012
18,0021100019,0021100019,0041000215,2011-05-11T00:00:00,1610612748,Miami,Heat,MIA,97,1610612738,Boston,Celtics,BOS,87,2011-2012
19,0021100020,0021100020,0011100026,2011-12-21T00:00:00,1610612749,Milwaukee,Bucks,MIL,84,1610612750,Minnesota,Timberwolves,MIN,85,2011-2012
20,0021100021,0021100021,0021000910,2011-03-02T00:00:00,1610612757,Portland,Trail Blazers,POR,107,1610612758,Sacramento,Kings,SAC,102,2011-2012
21,0021100022,0021100022,0021001161,2011-04-05T00:00:00,1610612747,Los Angeles,Lakers,LAL,85,1610612762,Utah,Jazz,UTA,86,2011-2012
22,0021100023,0021100023,0021000970,2011-03-11T00:00:00,1610612761,Toronto,Raptors,TOR,108,1610612754,Indiana,Pacers,IND,98,2011-2012
23,0021100024,0021100024,0021001182,2011-04-08T00:00:00,1610612766,Charlotte,Bobcats,CHA,103,1610612748,Miami,Heat,MIA,112,2011-2012
24,0021100025,0021100025,0021001188,2011-04-09T00:00:00,1610612737,Atlanta,Hawks,ATL,83,1610612764,Washington,Wizards,WAS,115,2011-2012
25,0021100026,0021100026,0011100016,2011-12-20T00:00:00,1610612765,Detroit,Pistons,DET,90,1610612739,Cleveland,Cavaliers,CLE,89,2011-2012
26,0021100027,0021100027,0041000227,2011-05-15T00:00:00,1610612763,Memphis,Grizzlies,MEM,90,1610612760,Oklahoma City,Thunder,OKC,105,2011-2012
27,0021100028,0021100028,0021001032,2011-03-19T00:00:00,1610612740,New Orleans,Hornets,NOH,85,1610612738,Boston,Celtics,BOS,89,2011-2012
28,0021100029,0021100029,0021000272,2010-12-01T00:00:00,1610612759,San Antonio,Spurs,SAS,85,1610612746,Los Angeles,Clippers,LAC,90,2011-2012
29,0021100030,0021100030,0021001226,2011-04-13T00:00:00,1610612743,Denver,Nuggets,DEN,103,1610612762,Utah,Jazz,UTA,107,2011-2012
30,0021100031,0021100031,0021000655,2011-01-24T00:00:00,1610612756,Phoenix,Suns,PHX,95,1610612755,Philadelphia,76ers,PHI,105,2011-2012
31,0021100032,0021100032,0021000181,2010-11-19T00:00:00,1610612744,Golden State,Warriors,GSW,119,1610612752,New York,Knicks,NYK,125,2011-2012
32,0021100033,0021100033,0021001069,2011-03-25T00:00:00,1610612753,Orlando,Magic,ORL,95,1610612751,New Jersey,Nets,NJN,85,2011-2012
33,0021100034,0021100034,0011100027,2011-12-21T00:00:00,1610612745,Houston,Rockets,HOU,95,1610612759,San Antonio,Spurs,SAS,97,2011-2012
34,0021100035,0021100035,0011100019,2011-12-20T00:00:00,1610612760,Oklahoma City,Thunder,OKC,87,1610612742,Dallas,Mavericks,DAL,83,2011-2012
35,0021100036,0021100036,0021001047,2011-03-21T00:00:00,1610612758,Sacramento,Kings,SAC,92,1610612741,Chicago,Bulls,CHI,132,2011-2012
36,0021100037,0021100037,0021000872,2011-02-25T00:00:00,1610612757,Portland,Trail Blazers,POR,107,1610612743,Denver,Nuggets,DEN,106,2011-2012
37,0021100038,0021100038,0021000793,2011-02-11T00:00:00,1610612747,Los Angeles,Lakers,LAL,113,1610612752,New York,Knicks,NYK,96,2011-2012
38,0021100039,0021100039,0021001162,2011-04-06T00:00:00,1610612766,Charlotte,Bobcats,CHA,102,1610612753,Orlando,Magic,ORL,111,2011-2012
39,0021100040,0021100040,0021000720,2011-02-02T00:00:00,1610612754,Indiana,Pacers,IND,117,1610612739,Cleveland,Cavaliers,CLE,112,2011-2012
40,0021100041,0021100041,0021001140,2011-04-03T00:00:00,1610612738,Boston,Celtics,BOS,101,1610612765,Detroit,Pistons,DET,90,2011-2012
41,0021100042,0021100042,0021100018,2011-12-27T00:00:00,1610612737,Atlanta,Hawks,ATL,106,1610612751,New Jersey,Nets,NJN,70,2011-2012
42,0021100043,0021100043,0021000749,2011-02-05T00:00:00,1610612763,Memphis,Grizzlies,MEM,93,1610612745,Houston,Rockets,HOU,95,2011-2012
43,0021100044,0021100044,0021100014,2011-12-26T00:00:00,1610612740,New Orleans,Hornets,NOH,85,1610612756,Phoenix,Suns,PHX,84,2011-2012
44,0021100045,0021100045,0021001126,2011-04-01T00:00:00,1610612750,Minnesota,Timberwolves,MIN,92,1610612748,Miami,Heat,MIA,111,2011-2012
45,0021100046,0021100046,0021000950,2011-03-08T00:00:00,1610612749,Milwaukee,Bucks,MIL,95,1610612764,Washington,Wizards,WAS,76,2011-2012
46,0021100047,0021100047,0021000884,2011-02-27T00:00:00,1610612742,Dallas,Mavericks,DAL,114,1610612761,Toronto,Raptors,TOR,96,2011-2012
47,0021100048,0021100048,0021000997,2011-03-14T00:00:00,1610612762,Utah,Jazz,UTA,112,1610612755,Philadelphia,76ers,PHI,107,2011-2012
48,0021100049,0021100049,0021000729,2011-02-02T00:00:00,1610612746,Los Angeles,Clippers,LAC,88,1610612741,Chicago,Bulls,CHI,106,2011-2012
49,0021100050,0021100050,0021001139,2011-04-03T00:00:00,1610612747,Los Angeles,Lakers,LAL,90,1610612743,Denver,Nuggets,DEN,95,2011-2012
50,0021100051,0021100051,0021100010,2011-12-26T00:00:00,1610612765,Detroit,Pistons,DET,79,1610612754,Indiana,Pacers,IND,91,2011-2012
51,0021100052,0021100052,0021001146,2011-04-03T00:00:00,1610612745,Houston,Rockets,HOU,114,1610612737,Atlanta,Hawks,ATL,109,2011-2012
52,0021100053,0021100053,0021001116,2011-03-30T00:00:00,1610612760,Oklahoma City,Thunder,OKC,116,1610612756,Phoenix,Suns,PHX,98,2011-2012
53,0021100054,0021100054,0021000580,2011-01-14T00:00:00,1610612758,Sacramento,Kings,SAC,93,1610612752,New York,Knicks,NYK,83,2011-2012
54,0021100055,0021100055,0021001191,2011-04-09T00:00:00,1610612759,San Antonio,Spurs,SAS,111,1610612762,Utah,Jazz,UTA,102,2011-2012
55,0021100056,0021100056,0021000935,2011-03-06T00:00:00,1610612744,Golden State,Warriors,GSW,117,1610612755,Philadelphia,76ers,PHI,125,2011-2012
56,0021100057,0021100057,0021001205,2011-04-11T00:00:00,1610612764,Washington,Wizards,WAS,95,1610612738,Boston,Celtics,BOS,94,2011-2012
57,0021100058,0021100058,0021001144,2011-04-03T00:00:00,1610612753,Orlando,Magic,ORL,98,1610612761,Toronto,Raptors,TOR,102,2011-2012
58,0021100059,0021100059,0021100024,2011-12-28T00:00:00,1610612748,Miami,Heat,MIA,96,1610612766,Charlotte,Bobcats,CHA,95,2011-2012
59,0021100060,0021100060,0021001055,2011-03-23T00:00:00,1610612739,Cleveland,Cavaliers,CLE,94,1610612751,New Jersey,Nets,NJN,98,2011-2012
60,0021100061,0021100061,0021001066,2011-03-24T00:00:00,1610612750,Minnesota,Timberwolves,MIN,96,1610612742,Dallas,Mavericks,DAL,104,2011-2012
61,0021100062,0021100062,0021001074,2011-03-25T00:00:00,1610612741,Chicago,Bulls,CHI,99,1610612763,Memphis,Grizzlies,MEM,96,2011-2012
62,0021100063,0021100063,0021100050,2011-12-31T00:00:00,1610612743,Denver,Nuggets,DEN,89,1610612747,Los Angeles,Lakers,LAL,92,2011-2012
63,0021100064,0021100064,0021000981,2011-03-12T00:00:00,1610612758,Sacramento,Kings,SAC,103,1610612740,New Orleans,Hornets,NOH,115,2011-2012
64,0021100065,0021100065,0021000628,2011-01-20T00:00:00,1610612746,Los Angeles,Clippers,LAC,93,1610612757,Portland,Trail Blazers,POR,108,2011-2012
65,0021100066,0021100066,0021001026,2011-03-18T00:00:00,1610612756,Phoenix,Suns,PHX,108,1610612744,Golden State,Warriors,GSW,97,2011-2012
66,0021100067,0021100067,0021100057,2012-01-01T00:00:00,1610612738,Boston,Celtics,BOS,94,1610612764,Washington,Wizards,WAS,86,2011-2012
67,0021100068,0021100068,0021001045,2011-03-21T00:00:00,1610612751,New Jersey,Nets,NJN,98,1610612754,Indiana,Pacers,IND,102,2011-2012
68,0021100069,0021100069,0021001155,2011-04-05T00:00:00,1610612752,New York,Knicks,NYK,131,1610612761,Toronto,Raptors,TOR,118,2011-2012
69,0021100070,0021100070,0021001202,2011-04-11T00:00:00,1610612748,Miami,Heat,MIA,98,1610612737,Atlanta,Hawks,ATL,90,2011-2012
70,0021100071,0021100071,0021000654,2011-01-24T00:00:00,1610612765,Detroit,Pistons,DET,103,1610612753,Orlando,Magic,ORL,96,2011-2012
71,0021100072,0021100072,0021000557,2011-01-11T00:00:00,1610612750,Minnesota,Timberwolves,MIN,96,1610612759,San Antonio,Spurs,SAS,107,2011-2012
72,0021100073,0021100073,0021100035,2011-12-29T00:00:00,1610612742,Dallas,Mavericks,DAL,102,1610612760,Oklahoma City,Thunder,OKC,104,2011-2012
73,0021100074,0021100074,0021000833,2011-02-16T00:00:00,1610612743,Denver,Nuggets,DEN,94,1610612749,Milwaukee,Bucks,MIL,87,2011-2012
74,0021100075,0021100075,0021001208,2011-04-11T00:00:00,1610612762,Utah,Jazz,UTA,90,1610612740,New Orleans,Hornets,NOH,78,2011-2012
75,0021100076,0021100076,0021001150,2011-04-05T00:00:00,1610612739,Cleveland,Cavaliers,CLE,99,1610612766,Charlotte,Bobcats,CHA,89,2011-2012
76,0021100077,0021100077,0041000206,2011-05-12T00:00:00,1610612741,Chicago,Bulls,CHI,93,1610612737,Atlanta,Hawks,ATL,73,2011-2012
77,0021100078,0021100078,0021001183,2011-04-08T00:00:00,1610612763,Memphis,Grizzlies,MEM,101,1610612758,Sacramento,Kings,SAC,96,2011-2012
78,0021100079,0021100079,0021001130,2011-04-01T00:00:00,1610612760,Oklahoma City,Thunder,OKC,91,1610612757,Portland,Trail Blazers,POR,98,2011-2012
79,0021100080,0021100080,0021000396,2010-12-18T00:00:00,1610612762,Utah,Jazz,UTA,95,1610612749,Milwaukee,Bucks,MIL,86,2011-2012
80,0021100081,0021100081,0021000718,2011-02-01T00:00:00,1610612747,Los Angeles,Lakers,LAL,114,1610612745,Houston,Rockets,HOU,106,2011-2012
81,0021100082,0021100082,0021100009,2011-12-26T00:00:00,1610612761,Toronto,Raptors,TOR,104,1610612739,Cleveland,Cavaliers,CLE,96,2011-2012
82,0021100083,0021100083,0021000824,2011-02-16T00:00:00,1610612753,Orlando,Magic,ORL,101,1610612764,Washington,Wizards,WAS,76,2011-2012
