,GID,GAME_ID,LAST_GAME_ID,LAST_GAME_DATE_EST,LAST_GAME_HOME_TEAM_ID,LAST_GAME_HOME_TEAM_CITY,LAST_GAME_HOME_TEAM_NAME,LAST_GAME_HOME_TEAM_ABBREVIATION,LAST_GAME_HOME_TEAM_POINTS,LAST_GAME_VISITOR_TEAM_ID,LAST_GAME_VISITOR_TEAM_CITY,LAST_GAME_VISITOR_TEAM_NAME,LAST_GAME_VISITOR_TEAM_CITY1,LAST_GAME_VISITOR_TEAM_POINTS,SEASON
0,0021900001,0021900001,0021800983,2019-03-08T00:00:00,1610612761,Toronto,Raptors,TOR,127,1610612740,New Orleans,Pelicans,NOP,104,2019-2020
1,0021900002,0021900002,0021801192,2019-04-05T00:00:00,1610612746,LA,Clippers,LAC,117,1610612747,Los Angeles,Lakers,LAL,122,2019-2020
2,0021900003,0021900003,0021800776,2019-02-02T00:00:00,1610612766,Charlotte,Hornets,CHA,125,1610612741,Chicago,Bulls,CHI,118,2019-2020
3,0021900004,0021900004,0021801165,2019-04-03T00:00:00,1610612754,Indiana,Pacers,IND,108,1610612765,Detroit,Pistons,DET,89,2019-2020
4,0021900005,0021900005,0021801021,2019-03-14T00:00:00,1610612753,Orlando,Magic,ORL,120,1610612739,Cleveland,Cavaliers,CLE,91,2019-2020
5,0021900006,0021900006,0021800265,2018-11-23T00:00:00,1610612751,Brooklyn,Nets,BKN,102,1610612750,Minnesota,Timberwolves,MIN,112,2019-2020
6,0021900007,0021900007,0021800631,2019-01-12T00:00:00,1610612748,Miami,Heat,MIA,112,1610612763,Memphis,Grizzlies,MEM,108,2019-2020
7,0021900008,0021900008,0021801067,2019-03-20T00:00:00,1610612755,Philadelphia,76ers,PHI,118,1610612738,Boston,Celtics,BOS,115,2019-2020
8,0021900009,0021900009,0021800967,2019-03-06T00:00:00,1610612742,Dallas,Mavericks,DAL,123,1610612764,Washington,Wizards,WAS,132,2019-2020
9,0021900010,0021900010,0021801032,2019-03-15T00:00:00,1610612759,San Antonio,Spurs,SAS,109,1610612752,New York,Knicks,NYK,83,2019-2020
10,0021900011,0021900011,0021801005,2019-03-11T00:00:00,1610612762,Utah,Jazz,UTA,89,1610612760,Oklahoma City,Thunder,OKC,98,2019-2020
11,0021900012,0021900012,0011900034,2019-10-10T00:00:00,1610612756,Phoenix,Suns,PHX,88,1610612758,Sacramento,Kings,SAC,105,2019-2020
12,0021900013,0021900013,0011900072,2019-10-17T00:00:00,1610612757,Portland,Trail Blazers,POR,104,1610612743,Denver,Nuggets,DEN,110,2019-2020
13,0021900014,0021900014,0021800877,2019-02-22T00:00:00,1610612765,Detroit,Pistons,DET,125,1610612737,Atlanta,Hawks,ATL,122,2019-2020
14,0021900015,0021900015,0021801111,2019-03-26T00:00:00,1610612745,Houston,Rockets,HOU,94,1610612749,Milwaukee,Bucks,MIL,108,2019-2020
