,GID,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_NICKNAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,SEASON
0,0029700001,1997-10-31T00:00:00,1,0029700001,1610612738,BOS,Boston,Celtics,-,12,22,34,24,0.0,0.0,0.0,0.0,,,,,,,92,1997-1998
1,0029700001,1997-10-31T00:00:00,1,0029700001,1610612741,CHI,Chicago,Bulls,-,32,11,15,27,0.0,0.0,0.0,0.0,,,,,,,85,1997-1998
2,0029700002,1997-10-31T00:00:00,2,0029700002,1610612751,NJN,New Jersey,Nets,-,20,28,29,20,0.0,0.0,0.0,0.0,,,,,,,97,1997-1998
3,0029700002,1997-10-31T00:00:00,2,0029700002,1610612754,IND,Indiana,Pacers,-,28,29,21,17,0.0,0.0,0.0,0.0,,,,,,,95,1997-1998
4,0029700003,1997-10-31T00:00:00,3,0029700003,1610612749,MIL,Milwaukee,Bucks,-,27,26,21,29,0.0,0.0,0.0,0.0,,,,,,,103,1997-1998
5,0029700003,1997-10-31T00:00:00,3,0029700003,1610612755,PHI,Philadelphia,76ers,-,24,21,22,21,0.0,0.0,0.0,0.0,,,,,,,88,1997-1998
6,0029700004,1997-10-31T00:00:00,4,0029700004,1610612737,ATL,Atlanta,Hawks,-,30,27,23,25,0.0,0.0,0.0,0.0,,,,,,,105,1997-1998
7,0029700004,1997-10-31T00:00:00,4,0029700004,1610612753,ORL,Orlando,Magic,-,18,33,23,25,0.0,0.0,0.0,0.0,,,,,,,99,1997-1998
8,0029700005,1997-10-31T00:00:00,5,0029700005,1610612748,MIA,Miami,Heat,-,33,25,26,30,0.0,0.0,0.0,0.0,,,,,,,114,1997-1998
9,0029700005,1997-10-31T00:00:00,5,0029700005,1610612761,TOR,Toronto,Raptors,-,27,26,27,21,0.0,0.0,0.0,0.0,,,,,,,101,1997-1998
10,0029700006,1997-10-31T00:00:00,6,0029700006,1610612752,NYK,New York,Knicks,-,23,23,24,27,0.0,0.0,0.0,0.0,,,,,,,97,1997-1998
11,0029700006,1997-10-31T00:00:00,6,0029700006,1610612766,CHH,Charlotte,Hornets,-,17,21,26,21,0.0,0.0,0.0,0.0,,,,,,,85,1997-1998
12,0029700007,1997-10-31T00:00:00,7,0029700007,1610612764,WAS,Washington,Wizards,-,21,22,16,20,0.0,0.0,0.0,0.0,,,,,,,79,1997-1998
13,0029700007,1997-10-31T00:00:00,7,0029700007,1610612765,DET,Detroit,Pistons,-,24,24,22,22,0.0,0.0,0.0,0.0,,,,,,,92,1997-1998
14,0029700008,1997-10-31T00:00:00,8,0029700008,1610612750,MIN,Minnesota,Timberwolves,-,31,38,33,27,0.0,0.0,0.0,0.0,,,,,,,129,1997-1998
15,0029700008,1997-10-31T00:00:00,8,0029700008,1610612744,GSW,Golden State,Warriors,-,27,28,33,25,0.0,0.0,0.0,0.0,,,,,,,113,1997-1998
16,0029700009,1997-10-31T00:00:00,9,0029700009,1610612739,CLE,Cleveland,Cavaliers,-,17,18,20,31,0.0,0.0,0.0,0.0,,,,,,,86,1997-1998
17,0029700009,1997-10-31T00:00:00,9,0029700009,1610612745,HOU,Houston,Rockets,-,27,19,25,23,0.0,0.0,0.0,0.0,,,,,,,94,1997-1998
18,0029700010,1997-10-31T00:00:00,10,0029700010,1610612743,DEN,Denver,Nuggets,-,26,24,21,25,0.0,0.0,0.0,0.0,,,,,,,96,1997-1998
19,0029700010,1997-10-31T00:00:00,10,0029700010,1610612759,SAS,San Antonio,Spurs,-,21,22,30,34,0.0,0.0,0.0,0.0,,,,,,,107,1997-1998
20,0029700011,1997-10-31T00:00:00,11,0029700011,1610612746,LAC,Los Angeles,Clippers,-,34,25,22,19,0.0,0.0,0.0,0.0,,,,,,,100,1997-1998
21,0029700011,1997-10-31T00:00:00,11,0029700011,1610612756,PHX,Phoenix,Suns,-,29,34,28,19,0.0,0.0,0.0,0.0,,,,,,,110,1997-1998
22,0029700012,1997-10-31T00:00:00,12,0029700012,1610612747,LAL,Los Angeles,Lakers,-,16,27,25,36,0.0,0.0,0.0,0.0,,,,,,,104,1997-1998
23,0029700012,1997-10-31T00:00:00,12,0029700012,1610612762,UTA,Utah,Jazz,-,28,17,19,23,0.0,0.0,0.0,0.0,,,,,,,87,1997-1998
24,0029700013,1997-10-31T00:00:00,13,0029700013,1610612760,SEA,Seattle,SuperSonics,-,24,28,16,23,0.0,0.0,0.0,0.0,,,,,,,91,1997-1998
