,GID,PLAYER_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,SEASON
0,0020100036,2205,DeSagana,Diop,52,1610612739,Cleveland,Cavaliers,CLE,2001-2002
1,0020100055,179,Bryant,Stith,20,1610612739,Cleveland,Cavaliers,CLE,2001-2002
2,0020100055,2205,DeSagana,Diop,52,1610612739,Cleveland,Cavaliers,CLE,2001-2002
3,0020100065,2244,Jeff,Trepagnier, 3,1610612739,Cleveland,Cavaliers,CLE,2001-2002
4,0020100111,2205,DeSagana,Diop,52,1610612739,Cleveland,Cavaliers,CLE,2001-2002
5,0020100111,1917,Wang,Zhi-zhi,16,1610612742,Dallas,Mavericks,DAL,2001-2002
6,0020100116,2081,Ernest,Brown,52,1610612748,Miami,Heat,MIA,2001-2002
7,0020100156,2040,Jerome,Moiso, 6  ,1610612766,Charlotte,Hornets,CHH,2001-2002
8,0020100156,1915,Evan,Eschmeyer,42,1610612742,Dallas,Mavericks,DAL,2001-2002
9,0020100157,953,Lorenzen,Wright,42,1610612763,Memphis,Grizzlies,MEM,2001-2002
10,0020100159,1944,Eddie,Robinson,32,1610612741,Chicago,Bulls,CHI,2001-2002
11,0020100171,2213,Kirk,Haston,35  ,1610612766,Charlotte,Hornets,CHH,2001-2002
12,0020100171,2040,Jerome,Moiso, 6  ,1610612766,Charlotte,Hornets,CHH,2001-2002
13,0020100179,1683,Larry,Robinson,25,1610612752,New York,Knicks,NYK,2001-2002
14,0020100182,694,Sam,Mack, 4,1610612748,Miami,Heat,MIA,2001-2002
15,0020100219,2213,Kirk,Haston,35  ,1610612766,Charlotte,Hornets,CHH,2001-2002
16,0020100219,2040,Jerome,Moiso, 6  ,1610612766,Charlotte,Hornets,CHH,2001-2002
17,0020100245,344,Dana,Barros, 1,1610612765,Detroit,Pistons,DET,2001-2002
18,0020100246,1985,Zendon,Hamilton,25,1610612743,Denver,Nuggets,DEN,2001-2002
19,0020100261,2238,Antonis,Fotsis,6,1610612763,Memphis,Grizzlies,MEM,2001-2002
