,GID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PTS_PAINT,PTS_2ND_CHANCE,PTS_FB,LARGEST_LEAD,LEAD_CHANGES,TIMES_TIED,TEAM_TURNOVERS,TOTAL_TURNOVERS,TEAM_REBOUNDS,PTS_OFF_TO,SEASON
0,0021700001,00,1610612738,BOS,Boston,42,2,16,4,11,5,2,12,6,15,2017-2018
1,0021700001,00,1610612739,CLE,Cleveland,50,16,11,18,11,5,0,17,5,24,2017-2018
2,0021700002,00,1610612745,HOU,Houston,54,18,15,2,2,4,1,13,10,13,2017-2018
3,0021700002,00,1610612744,GSW,Golden State,32,8,36,17,1,3,0,17,1,21,2017-2018
4,0021700003,00,1610612766,CHA,Charlotte,30,4,0,2,2,4,0,17,9,26,2017-2018
5,0021700003,00,1610612765,DET,Detroit,44,7,12,18,2,4,1,9,3,6,2017-2018
6,0021700004,00,1610612754,IND,Indiana,66,27,28,13,10,9,0,14,10,23,2017-2018
7,0021700004,00,1610612751,BKN,Brooklyn,52,21,13,3,10,9,0,20,8,25,2017-2018
8,0021700005,00,1610612748,MIA,Miami,56,17,2,7,3,6,0,13,12,22,2017-2018
9,0021700005,00,1610612753,ORL,Orlando,56,24,11,17,3,6,1,15,9,15,2017-2018
10,0021700006,00,1610612764,WAS,Washington,50,23,4,12,12,13,1,10,10,15,2017-2018
11,0021700006,00,1610612755,PHI,Philadelphia,44,20,19,7,12,13,0,17,8,24,2017-2018
12,0021700007,00,1610612738,BOS,Boston,50,12,6,6,14,9,3,15,11,16,2017-2018
13,0021700007,00,1610612749,MIL,Milwaukee,56,8,4,8,14,9,0,15,6,17,2017-2018
14,0021700008,00,1610612763,MEM,Memphis,56,18,16,14,8,7,1,12,14,9,2017-2018
15,0021700008,00,1610612740,NOP,New Orleans,44,24,6,9,8,7,1,18,9,18,2017-2018
16,0021700009,00,1610612737,ATL,Atlanta,56,21,17,11,18,12,0,13,4,11,2017-2018
17,0021700009,00,1610612742,DAL,Dallas,38,15,14,5,18,12,1,16,5,21,2017-2018
18,0021700010,00,1610612762,UTA,Utah,54,11,4,16,4,1,0,15,5,14,2017-2018
19,0021700010,00,1610612743,DEN,Denver,36,7,12,15,4,1,1,21,4,29,2017-2018
20,0021700011,00,1610612750,MIN,Minnesota,48,11,11,3,8,2,0,13,6,21,2017-2018
21,0021700011,00,1610612759,SAS,San Antonio,44,12,11,13,8,2,0,11,6,14,2017-2018
22,0021700012,00,1610612757,POR,Portland,46,27,14,58,3,2,2,18,16,12,2017-2018
23,0021700012,00,1610612756,PHX,Phoenix,34,12,17,7,3,2,0,16,12,18,2017-2018
