,GID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PTS_PAINT,PTS_2ND_CHANCE,PTS_FB,LARGEST_LEAD,LEAD_CHANGES,TIMES_TIED,TEAM_TURNOVERS,TOTAL_TURNOVERS,TEAM_REBOUNDS,PTS_OFF_TO,SEASON
0,0029700001,00,1610612738,BOS,Boston,42,21,16,12,1,3,1,24,8,,1997-1998
1,0029700001,00,1610612741,CHI,Chicago,48,13,12,20,1,3,1,21,12,,1997-1998
2,0029700002,00,1610612751,NJN,New Jersey,48,25,14,6,8,10,1,8,12,,1997-1998
3,0029700002,00,1610612754,IND,Indiana,40,11,13,13,8,10,0,21,13,,1997-1998
4,0029700003,00,1610612749,MIL,Milwaukee,40,8,29,17,3,3,0,14,5,,1997-1998
5,0029700003,00,1610612755,PHI,Philadelphia,50,20,9,2,3,3,0,18,8,,1997-1998
6,0029700004,00,1610612753,ORL,Orlando,50,19,14,0,0,4,0,10,5,0.0,1997-1998
7,0029700004,00,1610612737,ATL,Atlanta,52,15,11,15,0,4,2,18,6,0.0,1997-1998
8,0029700005,00,1610612761,TOR,Toronto,36,24,16,1,2,1,0,12,5,,1997-1998
9,0029700005,00,1610612748,MIA,Miami,48,18,18,18,2,1,0,15,11,,1997-1998
10,0029700006,00,1610612766,CHH,Charlotte,34,5,3,0,2,0,1,18,16,,1997-1998
11,0029700006,00,1610612752,NYK,New York,44,11,10,14,2,0,0,17,8,,1997-1998
12,0029700007,00,1610612765,DET,Detroit,34,23,13,20,4,6,1,14,12,,1997-1998
13,0029700007,00,1610612764,WAS,Washington,38,9,12,4,4,6,3,15,10,,1997-1998
14,0029700008,00,1610612744,GSW,Golden State,52,27,25,2,3,3,1,12,8,,1997-1998
15,0029700008,00,1610612750,MIN,Minnesota,44,14,30,21,3,3,0,11,7,,1997-1998
16,0029700009,00,1610612745,HOU,Houston,36,6,25,22,1,1,1,25,11,,1997-1998
17,0029700009,00,1610612739,CLE,Cleveland,48,25,10,4,1,1,1,18,16,,1997-1998
18,0029700010,00,1610612743,DEN,Denver,34,17,11,11,12,8,1,14,7,,1997-1998
19,0029700010,00,1610612759,SAS,San Antonio,48,16,4,11,12,8,0,18,12,,1997-1998
20,0029700011,00,1610612746,LAC,Los Angeles,44,19,15,12,7,12,2,21,8,,1997-1998
21,0029700011,00,1610612756,PHX,Phoenix,44,17,10,14,7,12,0,16,4,,1997-1998
22,0029700012,00,1610612762,UTA,Utah,34,15,12,16,1,3,0,16,11,,1997-1998
23,0029700012,00,1610612747,LAL,Los Angeles,42,18,31,21,1,3,0,11,13,,1997-1998
24,0029700013,00,1610612757,POR,Portland,44,12,15,4,12,7,1,26,12,0.0,1997-1998
25,0029700013,00,1610612760,SEA,Seattle,48,16,21,13,13,8,0,18,13,0.0,1997-1998
26,0029700014,00,1610612763,VAN,Vancouver,50,27,19,5,6,14,0,16,13,,1997-1998
27,0029700014,00,1610612742,DAL,Dallas,42,9,12,12,6,14,2,18,14,,1997-1998
28,0029700015,00,1610612764,WAS,Washington,52,20,10,3,3,5,0,13,12,,1997-1998
29,0029700015,00,1610612748,MIA,Miami,32,15,9,18,4,5,2,20,7,,1997-1998
30,0029700016,00,1610612761,TOR,Toronto,42,14,14,0,0,1,1,11,10,,1997-1998
31,0029700016,00,1610612737,ATL,Atlanta,58,16,12,19,0,1,2,23,10,,1997-1998
32,0029700017,00,1610612754,IND,Indiana,32,16,19,18,3,4,0,16,12,,1997-1998
33,0029700017,00,1610612744,GSW,Golden State,44,17,13,4,3,4,0,17,9,,1997-1998
34,0029700018,00,1610612755,PHI,Philadelphia,32,16,18,6,1,1,2,27,7,,1997-1998
35,0029700018,00,1610612741,CHI,Chicago,46,14,26,31,1,1,0,21,7,,1997-1998
36,0029700019,00,1610612751,NJN,New Jersey,56,16,30,9,10,9,0,17,15,,1997-1998
37,0029700019,00,1610612749,MIL,Milwaukee,34,17,33,12,10,9,0,20,18,,1997-1998
38,0029700020,00,1610612750,MIN,Minnesota,40,17,23,22,8,3,0,11,7,,1997-1998
39,0029700020,00,1610612766,CHH,Charlotte,40,11,12,0,8,3,1,16,6,,1997-1998
40,0029700021,00,1610612759,SAS,San Antonio,36,5,17,13,12,8,1,24,9,,1997-1998
41,0029700021,00,1610612739,CLE,Cleveland,28,9,7,6,12,8,2,17,12,,1997-1998
42,0029700022,00,1610612762,UTA,Utah,46,18,12,23,5,9,1,15,16,,1997-1998
43,0029700022,00,1610612743,DEN,Denver,34,14,7,5,5,9,0,11,12,,1997-1998
44,0029700023,00,1610612746,LAC,Los Angeles,26,12,13,12,11,7,0,12,13,,1997-1998
45,0029700023,00,1610612757,POR,Portland,36,18,10,9,11,7,1,18,17,,1997-1998
46,0029700024,00,1610612742,DAL,Dallas,36,19,18,8,3,6,2,17,11,,1997-1998
47,0029700024,00,1610612760,SEA,Seattle,30,14,13,20,3,6,0,10,8,,1997-1998
48,0029700025,00,1610612758,SAC,Sacramento,46,22,4,10,21,13,0,7,8,0.0,1997-1998
49,0029700025,00,1610612763,VAN,Vancouver,44,18,18,5,22,13,1,15,10,0.0,1997-1998
50,0029700026,00,1610612738,BOS,Boston,36,19,17,0,0,0,1,16,9,,1997-1998
51,0029700026,00,1610612753,ORL,Orlando,46,17,28,25,0,0,0,24,6,,1997-1998
52,0029700027,00,1610612765,DET,Detroit,42,8,16,10,9,4,2,11,9,,1997-1998
53,0029700027,00,1610612752,NYK,New York,34,15,2,9,9,4,2,21,13,,1997-1998
54,0029700028,00,1610612758,SAC,Sacramento,34,19,2,6,6,7,1,23,10,,1997-1998
55,0029700028,00,1610612745,HOU,Houston,44,17,11,16,6,7,1,22,9,,1997-1998
56,0029700029,00,1610612748,MIA,Miami,52,19,13,2,5,2,0,13,12,,1997-1998
57,0029700029,00,1610612766,CHH,Charlotte,46,14,18,0,5,2,0,22,11,,1997-1998
58,0029700030,00,1610612759,SAS,San Antonio,40,8,2,16,9,6,1,24,14,,1997-1998
59,0029700030,00,1610612741,CHI,Chicago,22,24,5,4,9,6,1,14,13,,1997-1998
60,0029700031,00,1610612762,UTA,Utah,40,10,10,10,3,8,0,19,15,,1997-1998
61,0029700031,00,1610612764,WAS,Washington,30,14,6,9,3,8,1,11,9,,1997-1998
62,0029700032,00,1610612738,BOS,Boston,24,6,2,5,5,5,0,22,8,,1997-1998
63,0029700032,00,1610612752,NYK,New York,40,8,12,34,5,5,0,24,9,,1997-1998
64,0029700033,00,1610612765,DET,Detroit,34,6,12,7,10,10,0,8,6,,1997-1998
65,0029700033,00,1610612737,ATL,Atlanta,32,19,4,11,10,10,0,19,9,,1997-1998
66,0029700034,00,1610612761,TOR,Toronto,58,15,30,29,4,8,0,9,8,,1997-1998
67,0029700034,00,1610612744,GSW,Golden State,44,19,37,2,4,8,0,25,16,,1997-1998
68,0029700035,00,1610612754,IND,Indiana,36,12,10,2,1,5,0,19,9,,1997-1998
69,0029700035,00,1610612739,CLE,Cleveland,34,16,10,17,1,5,1,19,10,,1997-1998
70,0029700036,00,1610612749,MIL,Milwaukee,58,18,37,38,2,3,2,12,8,,1997-1998
71,0029700036,00,1610612753,ORL,Orlando,32,13,14,2,2,3,0,20,13,,1997-1998
72,0029700037,00,1610612763,VAN,Vancouver,50,17,12,14,11,7,0,10,10,,1997-1998
73,0029700037,00,1610612742,DAL,Dallas,36,18,12,7,11,7,2,12,8,,1997-1998
74,0029700038,00,1610612743,DEN,Denver,52,33,20,4,10,4,1,15,13,,1997-1998
75,0029700038,00,1610612764,WAS,Washington,38,19,16,31,10,4,0,11,10,,1997-1998
76,0029700039,00,1610612762,UTA,Utah,32,16,2,2,2,6,0,16,7,,1997-1998
77,0029700039,00,1610612756,PHX,Phoenix,50,10,19,25,2,6,0,14,7,,1997-1998
78,0029700040,00,1610612758,SAC,Sacramento,44,18,10,7,21,15,2,22,10,,1997-1998
79,0029700040,00,1610612747,LAL,Los Angeles,50,7,24,5,21,15,1,18,11,,1997-1998
80,0029700041,00,1610612750,MIN,Minnesota,30,19,9,6,7,7,0,17,11,0.0,1997-1998
81,0029700041,00,1610612757,POR,Portland,58,19,13,26,7,7,0,20,8,0.0,1997-1998
82,0029700042,00,1610612745,HOU,Houston,30,16,4,0,0,1,2,28,13,,1997-1998
83,0029700042,00,1610612760,SEA,Seattle,50,10,19,29,0,1,0,19,5,,1997-1998
84,0029700043,00,1610612748,MIA,Miami,36,8,31,24,1,2,1,15,3,,1997-1998
85,0029700043,00,1610612738,BOS,Boston,38,9,22,4,1,2,2,19,9,,1997-1998
86,0029700044,00,1610612751,NJN,New Jersey,44,20,20,30,0,0,0,10,12,,1997-1998
87,0029700044,00,1610612744,GSW,Golden State,42,16,10,0,0,0,0,17,16,,1997-1998
88,0029700045,00,1610612737,ATL,Atlanta,36,20,17,17,0,1,1,20,4,,1997-1998
89,0029700045,00,1610612755,PHI,Philadelphia,44,9,22,0,0,1,1,17,11,,1997-1998
90,0029700046,00,1610612742,DAL,Dallas,38,22,6,4,2,11,1,11,12,,1997-1998
