,GID,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,SEASON
3387,0021001129,1664,Gary,Zielinski,59,2010-2011
3388,0021001130,1147,Mike,Callahan,24,2010-2011
3389,0021001130,101283,Brian,Forte,45,2010-2011
3390,0021001130,2716,Olandis,Poole,50,2010-2011
3391,0021001131,1174,Ken,Mauer,41,2010-2011
3392,0021001131,2532,Eli,Roe,44,2010-2011
3393,0021001131,1159,Kevin,Fehr,7,2010-2011
3394,0021001132,1179,Rodney,Mott,71,2010-2011
3395,0021001132,1194,Bill,Spooner,22,2010-2011
3396,0021001132,201637,Haywoode,Workman,66,2010-2011
3397,0021001133,1162,Scott,Foster,48,2010-2011
3398,0021001133,101284,John,Goble,30,2010-2011
3399,0021001133,202058,James,Williams,60,2010-2011
3400,0021001134,1152,Dan,Crawford,43,2010-2011
3401,0021001134,2002,Derrick,Collins,11,2010-2011
3402,0021001134,2005,Matt,Boland,46,2010-2011
3403,0021001135,1146,Tony,Brothers,25,2010-2011
3404,0021001135,1192,Bennett,Salvatore,15,2010-2011
3405,0021001135,201638,Brent,Barnaky,70,2010-2011
3406,0021001136,1662,Bill,Kennedy,55,2010-2011
3407,0021001136,2004,Courtney,Kirkland,61,2010-2011
3408,0021001136,1664,Gary,Zielinski,59,2010-2011
3409,0021001137,1153,Joe,Crawford,17,2010-2011
3410,0021001137,2882,Sean,Wright,65,2010-2011
3411,0021001137,201245,Marat,Kogut,68,2010-2011
3412,0021001138,1363,Bennie,Adams,47,2010-2011
3413,0021001138,201640,Kane,Fitzgerald,35,2010-2011
3414,0021001138,1167,Steve,Javie,29,2010-2011
3415,0021001139,1164,Ron,Garretson,10,2010-2011
3416,0021001139,1201,Leon,Wood,40,2010-2011
3417,0021001139,2529,Tony,Brown,6,2010-2011
3418,0021001140,2003,Pat,Fraher,52,2010-2011
3419,0021001140,1204,Derek,Richardson,63,2010-2011
3420,0021001140,1200,Greg,Willard,57,2010-2011
3421,0021001141,2715,Eric,Lewis,42,2010-2011
3422,0021001141,1198,Scott,Wall,31,2010-2011
3423,0021001141,1142,Dick,Bavetta,27,2010-2011
3424,0021001142,1193,Michael,Smith,38,2010-2011
3425,0021001142,1154,Bob,Delaney,26,2010-2011
3426,0021001142,200832,Curtis,Blair,74,2010-2011
3427,0021001143,1195,Derrick,Stafford,9,2010-2011
3428,0021001143,1168,David,Jones,36,2010-2011
3429,0021001143,201638,Brent,Barnaky,70,2010-2011
3430,0021001144,1830,Marc,Davis,8,2010-2011
3431,0021001144,2001,Jason,Phillips,23,2010-2011
3432,0021001144,200834,Mark,Lindsay,53,2010-2011
3433,0021001145,1147,Mike,Callahan,24,2010-2011
3434,0021001145,2716,Olandis,Poole,50,2010-2011
3435,0021001145,201246,Kevin,Cutler,34,2010-2011
3436,0021001146,1179,Rodney,Mott,71,2010-2011
3437,0021001146,1194,Bill,Spooner,22,2010-2011
3438,0021001146,201637,Haywoode,Workman,66,2010-2011
3439,0021001147,1199,Tom,Washington,49,2010-2011
3440,0021001147,1176,Monty,McCutchen,13,2010-2011
3441,0021001147,200833,Eric,Dalen,75,2010-2011
3442,0021001148,1174,Ken,Mauer,41,2010-2011
3443,0021001148,2532,Eli,Roe,44,2010-2011
3444,0021001148,1159,Kevin,Fehr,7,2010-2011
3445,0021001149,1162,Scott,Foster,48,2010-2011
3446,0021001149,1204,Derek,Richardson,63,2010-2011
3447,0021001149,2882,Sean,Wright,65,2010-2011
3448,0021001150,1199,Tom,Washington,49,2010-2011
3449,0021001150,2714,David,Guthrie,16,2010-2011
3450,0021001150,200834,Mark,Lindsay,53,2010-2011
3451,0021001151,1662,Bill,Kennedy,55,2010-2011
3452,0021001151,2003,Pat,Fraher,52,2010-2011
3453,0021001151,201638,Brent,Barnaky,70,2010-2011
3454,0021001152,2715,Eric,Lewis,42,2010-2011
3455,0021001152,1142,Dick,Bavetta,27,2010-2011
3456,0021001152,200832,Curtis,Blair,74,2010-2011
3457,0021001153,2004,Courtney,Kirkland,61,2010-2011
3458,0021001153,1168,David,Jones,36,2010-2011
3459,0021001153,201245,Marat,Kogut,68,2010-2011
3460,0021001154,2530,Ed,Malloy,14,2010-2011
3461,0021001154,2005,Matt,Boland,46,2010-2011
3462,0021001154,101283,Brian,Forte,45,2010-2011
3463,0021001155,2002,Derrick,Collins,11,2010-2011
3464,0021001155,1154,Bob,Delaney,26,2010-2011
3465,0021001155,201637,Haywoode,Workman,66,2010-2011
3466,0021001156,1152,Dan,Crawford,43,2010-2011
3467,0021001156,1179,Rodney,Mott,71,2010-2011
3468,0021001156,2716,Olandis,Poole,50,2010-2011
3469,0021001157,1146,Tony,Brothers,25,2010-2011
3470,0021001157,101284,John,Goble,30,2010-2011
3471,0021001157,1185,Violet,Palmer,12,2010-2011
3472,0021001158,2001,Jason,Phillips,23,2010-2011
3473,0021001158,1201,Leon,Wood,40,2010-2011
3474,0021001158,200833,Eric,Dalen,75,2010-2011
3475,0021001159,2534,Zach,Zarba,33,2010-2011
3476,0021001159,1200,Greg,Willard,57,2010-2011
3477,0021001159,201640,Kane,Fitzgerald,35,2010-2011
3478,0021001160,2529,Tony,Brown,6,2010-2011
3479,0021001160,1153,Joe,Crawford,17,2010-2011
3480,0021001160,201246,Kevin,Cutler,34,2010-2011
3481,0021001161,1174,Ken,Mauer,41,2010-2011
3482,0021001161,1664,Gary,Zielinski,59,2010-2011
3483,0021001161,2532,Eli,Roe,44,2010-2011
3484,0021001162,1146,Tony,Brothers,25,2010-2011
3485,0021001162,1192,Bennett,Salvatore,15,2010-2011
3486,0021001162,1185,Violet,Palmer,12,2010-2011
3487,0021001163,1662,Bill,Kennedy,55,2010-2011
3488,0021001163,1193,Michael,Smith,38,2010-2011
3489,0021001163,201638,Brent,Barnaky,70,2010-2011
3490,0021001164,1176,Monty,McCutchen,13,2010-2011
3491,0021001164,2001,Jason,Phillips,23,2010-2011
3492,0021001164,201245,Marat,Kogut,68,2010-2011
3493,0021001165,1162,Scott,Foster,48,2010-2011
3494,0021001165,1199,Tom,Washington,49,2010-2011
3495,0021001165,201639,Josh,Tiven,58,2010-2011
3496,0021001166,1147,Mike,Callahan,24,2010-2011
3497,0021001166,2005,Matt,Boland,46,2010-2011
3498,0021001166,101283,Brian,Forte,45,2010-2011
3499,0021001167,2002,Derrick,Collins,11,2010-2011
3500,0021001167,2882,Sean,Wright,65,2010-2011
3501,0021001167,202058,James,Williams,60,2010-2011
3502,0021001168,2530,Ed,Malloy,14,2010-2011
3503,0021001168,1159,Kevin,Fehr,7,2010-2011
3504,0021001168,201637,Haywoode,Workman,66,2010-2011
3505,0021001169,1195,Derrick,Stafford,9,2010-2011
3506,0021001169,2148,Mark,Ayotte,56,2010-2011
3507,0021001169,202007,Nick,Buchert,54,2010-2011
3508,0021001170,1152,Dan,Crawford,43,2010-2011
3509,0021001170,1179,Rodney,Mott,71,2010-2011
3510,0021001170,1198,Scott,Wall,31,2010-2011
3511,0021001171,2715,Eric,Lewis,42,2010-2011
3512,0021001171,1194,Bill,Spooner,22,2010-2011
3513,0021001171,200832,Curtis,Blair,74,2010-2011
3514,0021001172,1188,Leroy,Richardson,20,2010-2011
3515,0021001172,1363,Bennie,Adams,47,2010-2011
3516,0021001172,1167,Steve,Javie,29,2010-2011
3517,0021001173,1830,Marc,Davis,8,2010-2011
3518,0021001173,2534,Zach,Zarba,33,2010-2011
3519,0021001173,201640,Kane,Fitzgerald,35,2010-2011
3520,0021001174,1164,Ron,Garretson,10,2010-2011
3521,0021001174,2148,Mark,Ayotte,56,2010-2011
3522,0021001174,2714,David,Guthrie,16,2010-2011
3523,0021001175,1830,Marc,Davis,8,2010-2011
3524,0021001175,1363,Bennie,Adams,47,2010-2011
3525,0021001175,1204,Derek,Richardson,63,2010-2011
3526,0021001176,2003,Pat,Fraher,52,2010-2011
3527,0021001176,1153,Joe,Crawford,17,2010-2011
3528,0021001176,200832,Curtis,Blair,74,2010-2011
3529,0021001177,2529,Tony,Brown,6,2010-2011
3530,0021001177,1198,Scott,Wall,31,2010-2011
3531,0021001177,1142,Dick,Bavetta,27,2010-2011
3532,0021001178,1193,Michael,Smith,38,2010-2011
3533,0021001178,1179,Rodney,Mott,71,2010-2011
3534,0021001178,201245,Marat,Kogut,68,2010-2011
3535,0021001179,1199,Tom,Washington,49,2010-2011
