,GID,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,WH_STATUS
0,0028300001,1983-10-28T00:00:00,,0028300001,3, ,19831028/INDMIL,1610612749,1610612754,1983-1984,4,,,Q4  - ,1
1,0028300002,1983-10-28T00:00:00,,0028300002,3, ,19831028/LALKCK,1610612758,1610612747,1983-1984,4,,,Q4  - ,1
2,0028300003,1983-10-28T00:00:00,,0028300003,3, ,19831028/WASPHL,1610612755,1610612764,1983-1984,4,,,Q4  - ,1
3,0028300004,1983-10-28T00:00:00,,0028300004,3, ,19831028/GOSSEA,1610612760,1610612744,1983-1984,4,,,Q4  - ,1
4,0028300005,1983-10-28T00:00:00,,0028300005,3, ,19831028/ATLNJN,1610612751,1610612737,1983-1984,4,,,Q4  - ,1
5,0028300006,1983-10-28T00:00:00,,0028300006,3, ,19831028/BOSDET,1610612765,1610612738,1983-1984,4,,,Q4  - ,1
6,0028300007,1983-10-28T00:00:00,,0028300007,3, ,19831028/SDCPOR,1610612757,1610612746,1983-1984,4,,,Q4  - ,1
7,0028300008,1983-10-28T00:00:00,,0028300008,3, ,19831028/NYKCLE,1610612739,1610612752,1983-1984,4,,,Q4  - ,1
8,0028300009,1983-10-28T00:00:00,,0028300009,3, ,19831028/UTHDEN,1610612743,1610612762,1983-1984,4,,,Q4  - ,1
9,0028300010,1983-10-29T00:00:00,,0028300010,3, ,19831029/LALUTH,1610612762,1610612747,1983-1984,4,,,Q4  - ,1
10,0028300011,1983-10-29T00:00:00,,0028300011,3, ,19831029/WASNYK,1610612752,1610612764,1983-1984,4,,,Q4  - ,1
11,0028300012,1983-10-29T00:00:00,,0028300012,3, ,19831029/NJNCHI,1610612741,1610612751,1983-1984,4,,,Q4  - ,1
12,0028300013,1983-10-29T00:00:00,,0028300013,3, ,19831029/PORGOS,1610612744,1610612757,1983-1984,4,,,Q4  - ,1
13,0028300014,1983-10-29T00:00:00,,0028300014,3, ,19831029/DETATL,1610612737,1610612765,1983-1984,4,,,Q4  - ,1
14,0028300015,1983-10-29T00:00:00,,0028300015,3, ,19831029/SANHOU,1610612745,1610612759,1983-1984,4,,,Q4  - ,1
15,0028300016,1983-10-29T00:00:00,,0028300016,3, ,19831029/DENSDC,1610612746,1610612743,1983-1984,4,,,Q4  - ,1
16,0028300017,1983-10-29T00:00:00,,0028300017,3, ,19831029/PHLIND,1610612754,1610612755,1983-1984,5,,,Q5  - ,1
17,0028300018,1983-10-29T00:00:00,,0028300018,3, ,19831029/PHXDAL,1610612742,1610612756,1983-1984,4,,,Q4  - ,1
18,0028300019,1983-10-29T00:00:00,,0028300019,3, ,19831029/BOSCLE,1610612739,1610612738,1983-1984,4,,,Q4  - ,1
19,0028300020,1983-10-30T00:00:00,,0028300020,3, ,19831030/DALSAN,1610612759,1610612742,1983-1984,4,,,Q4  - ,1
20,0028300021,1983-10-30T00:00:00,,0028300021,3, ,19831030/SEAKCK,1610612758,1610612760,1983-1984,4,,,Q4  - ,1
21,0028300022,1983-11-01T00:00:00,,0028300022,3, ,19831101/MILDET,1610612765,1610612749,1983-1984,4,,,Q4  - ,1
22,0028300023,1983-11-01T00:00:00,,0028300023,3, ,19831101/HOUIND,1610612754,1610612745,1983-1984,4,,,Q4  - ,1
23,0028300024,1983-11-01T00:00:00,,0028300024,3, ,19831101/SEAPHX,1610612756,1610612760,1983-1984,4,,,Q4  - ,1
24,0028300025,1983-11-01T00:00:00,,0028300025,3, ,19831101/CHIPHL,1610612755,1610612741,1983-1984,4,,,Q4  - ,1
25,0028300026,1983-11-01T00:00:00,,0028300026,3, ,19831101/DALDEN,1610612743,1610612742,1983-1984,4,,,Q4  - ,1
26,0028300027,1983-11-01T00:00:00,,0028300027,3, ,19831101/WASATL,1610612737,1610612764,1983-1984,4,,,Q4  - ,1
27,0028300028,1983-11-01T00:00:00,,0028300028,3, ,19831101/PORSAN,1610612759,1610612757,1983-1984,4,,,Q4  - ,1
28,0028300029,1983-11-01T00:00:00,,0028300029,3, ,19831101/GOSKCK,1610612758,1610612744,1983-1984,4,,,Q4  - ,1
29,0028300030,1983-11-01T00:00:00,,0028300030,3, ,19831101/CLENJN,1610612751,1610612739,1983-1984,4,,,Q4  - ,1
30,0028300031,1983-11-02T00:00:00,,0028300031,3, ,19831102/HOUCLE,1610612739,1610612745,1983-1984,4,,,Q4  - ,1
31,0028300032,1983-11-02T00:00:00,,0028300032,3, ,19831102/PORDAL,1610612742,1610612757,1983-1984,4,,,Q4  - ,1
32,0028300033,1983-11-02T00:00:00,,0028300033,3, ,19831102/MILBOS,1610612738,1610612749,1983-1984,4,,,Q4  - ,1
33,0028300034,1983-11-02T00:00:00,,0028300034,3, ,19831102/NYKSEA,1610612760,1610612752,1983-1984,4,,,Q4  - ,1
34,0028300035,1983-11-02T00:00:00,,0028300035,3, ,19831102/LALSDC,1610612746,1610612747,1983-1984,4,,,Q4  - ,1
35,0028300036,1983-11-03T00:00:00,,0028300036,3, ,19831103/DETWAS,1610612764,1610612765,1983-1984,4,,,Q4  - ,1
36,0028300037,1983-11-03T00:00:00,,0028300037,3, ,19831103/DENKCK,1610612758,1610612743,1983-1984,4,,,Q4  - ,1
37,0028300038,1983-11-03T00:00:00,,0028300038,3, ,19831103/SANPHX,1610612756,1610612759,1983-1984,4,,,Q4  - ,1
