,GID,GAME_ID,LAST_GAME_ID,LAST_GAME_DATE_EST,LAST_GAME_HOME_TEAM_ID,LAST_GAME_HOME_TEAM_CITY,LAST_GAME_HOME_TEAM_NAME,LAST_GAME_HOME_TEAM_ABBREVIATION,LAST_GAME_HOME_TEAM_POINTS,LAST_GAME_VISITOR_TEAM_ID,LAST_GAME_VISITOR_TEAM_CITY,LAST_GAME_VISITOR_TEAM_NAME,LAST_GAME_VISITOR_TEAM_CITY1,LAST_GAME_VISITOR_TEAM_POINTS,SEASON
0,0028600001,0028600001,0028500877,1986-04-02T00:00:00,1610612757,Portland,Trail Blazers,POR,121,1610612760,Seattle,SuperSonics,SEA,109,1986-1987
1,0028600002,0028600002,0028500925,1986-04-11T00:00:00,1610612755,Philadelphia,76ers,PHL,130,1610612754,Indiana,Pacers,IND,122,1986-1987
2,0028600003,0028600003,0028500845,1986-03-28T00:00:00,1610612738,Boston,Celtics,BOS,116,1610612764,Washington,Bullets,WAS,97,1986-1987
3,0028600004,0028600004,0028500890,1986-04-05T00:00:00,1610612751,New Jersey,Nets,NJN,107,1610612752,New York,Knicks,NYK,93,1986-1987
4,0028600005,0028600005,0028500850,1986-03-29T00:00:00,1610612758,Sacramento,Kings,SAC,103,1610612746,Los Angeles,Clippers,LAC,112,1986-1987
5,0028600006,0028600006,0028500887,1986-04-04T00:00:00,1610612765,Detroit,Pistons,DET,108,1610612749,Milwaukee,Bucks,MIL,115,1986-1987
6,0028600007,0028600007,0028500898,1986-04-06T00:00:00,1610612743,Denver,Nuggets,DEN,124,1610612759,San Antonio,Spurs,SAN,106,1986-1987
7,0028600008,0028600008,0048500174,1986-04-25T00:00:00,1610612742,Dallas,Mavericks,DAL,117,1610612762,Utah,Jazz,UTH,113,1986-1987
8,0028600009,0028600009,0028500874,1986-04-02T00:00:00,1610612756,Phoenix,Suns,PHX,110,1610612744,Golden State,Warriors,GOS,101,1986-1987
9,0028600010,0028600010,0028500921,1986-04-10T00:00:00,1610612737,Atlanta,Hawks,ATL,126,1610612751,New Jersey,Nets,NJN,117,1986-1987
10,0028600011,0028600011,0028500789,1986-03-18T00:00:00,1610612759,San Antonio,Spurs,SAN,113,1610612742,Dallas,Mavericks,DAL,120,1986-1987
