,GID,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,GAME_DATE_EST,HOME_TEAM_WINS,HOME_TEAM_LOSSES,SERIES_LEADER,SEASON
0,0029600001,0029600001,1610612738,1610612741,1996-11-01T00:00:00,0,4,Chicago,1996-1997
1,0029600002,0029600002,1610612751,1610612739,1996-11-01T00:00:00,0,4,Cleveland,1996-1997
2,0029600003,0029600003,1610612755,1610612749,1996-11-01T00:00:00,1,3,Milwaukee,1996-1997
3,0029600004,0029600004,1610612753,1610612764,1996-11-01T00:00:00,1,3,Washington,1996-1997
4,0029600005,0029600005,1610612748,1610612737,1996-11-01T00:00:00,2,1,Miami,1996-1997
5,0029600006,0029600006,1610612761,1610612752,1996-11-01T00:00:00,0,3,New York,1996-1997
6,0029600007,0029600007,1610612765,1610612754,1996-11-01T00:00:00,3,1,Detroit,1996-1997
7,0029600008,0029600008,1610612750,1610612759,1996-11-01T00:00:00,4,0,Minnesota,1996-1997
8,0029600009,0029600009,1610612745,1610612758,1996-11-01T00:00:00,4,0,Houston,1996-1997
9,0029600010,0029600010,1610612743,1610612742,1996-11-01T00:00:00,1,3,Dallas,1996-1997
10,0029600011,0029600011,1610612762,1610612760,1996-11-01T00:00:00,3,1,Utah,1996-1997
11,0029600012,0029600012,1610612747,1610612756,1996-11-01T00:00:00,4,0,L.A. Lakers,1996-1997
12,0029600013,0029600013,1610612744,1610612746,1996-11-01T00:00:00,1,3,L.A. Clippers,1996-1997
13,0029600014,0029600014,1610612763,1610612757,1996-11-01T00:00:00,0,4,Portland,1996-1997
14,0029600015,0029600015,1610612764,1610612739,1996-11-02T00:00:00,3,1,Washington,1996-1997
15,0029600016,0029600016,1610612766,1610612761,1996-11-02T00:00:00,2,2,Tied,1996-1997
16,0029600017,0029600017,1610612737,1610612765,1996-11-02T00:00:00,1,3,Detroit,1996-1997
17,0029600018,0029600018,1610612754,1610612748,1996-11-02T00:00:00,1,3,Miami,1996-1997
18,0029600019,0029600019,1610612741,1610612755,1996-11-02T00:00:00,4,0,Chicago,1996-1997
19,0029600020,0029600020,1610612749,1610612738,1996-11-02T00:00:00,3,1,Milwaukee,1996-1997
20,0029600021,0029600021,1610612742,1610612758,1996-11-02T00:00:00,2,2,Tied,1996-1997
21,0029600022,0029600022,1610612756,1610612745,1996-11-02T00:00:00,2,2,Tied,1996-1997
22,0029600023,0029600023,1610612746,1610612762,1996-11-02T00:00:00,1,3,Utah,1996-1997
23,0029600024,0029600024,1610612760,1610612757,1996-11-02T00:00:00,3,1,Seattle,1996-1997
