,GID,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,WH_STATUS
0,0028400001,1984-10-26T00:00:00,,0028400001,3, ,19841026/UTHSEA,1610612760,1610612762,1984-1985,4,,,Q4  - ,1
1,0028400002,1984-10-26T00:00:00,,0028400002,3, ,19841026/CLEPHL,1610612755,1610612739,1984-1985,4,,,Q4  - ,1
2,0028400003,1984-10-26T00:00:00,,0028400003,3, ,19841026/BOSDET,1610612765,1610612738,1984-1985,4,,,Q4  - ,1
3,0028400004,1984-10-26T00:00:00,,0028400004,3, ,19841026/ATLNJN,1610612751,1610612737,1984-1985,4,,,Q4  - ,1
4,0028400005,1984-10-26T00:00:00,,0028400005,3, ,19841026/WASCHI,1610612741,1610612764,1984-1985,4,,,Q4  - ,1
5,0028400006,1984-10-26T00:00:00,,0028400006,3, ,19841026/PHXGOS,1610612744,1610612756,1984-1985,4,,,Q4  - ,1
6,0028400007,1984-10-27T00:00:00,,0028400007,3, ,19841027/LALSAN,1610612759,1610612747,1984-1985,4,,,Q4  - ,1
7,0028400008,1984-10-27T00:00:00,,0028400008,3, ,19841027/GOSDEN,1610612743,1610612744,1984-1985,4,,,Q4  - ,1
8,0028400009,1984-10-27T00:00:00,,0028400009,3, ,19841027/HOUDAL,1610612742,1610612745,1984-1985,4,,,Q4  - ,1
9,0028400010,1984-10-27T00:00:00,,0028400010,3, ,19841027/LACUTH,1610612762,1610612746,1984-1985,4,,,Q4  - ,1
10,0028400011,1984-10-27T00:00:00,,0028400011,3, ,19841027/WASIND,1610612754,1610612764,1984-1985,4,,,Q4  - ,1
11,0028400012,1984-10-27T00:00:00,,0028400012,3, ,19841027/PHLATL,1610612737,1610612755,1984-1985,4,,,Q4  - ,1
12,0028400013,1984-10-27T00:00:00,,0028400013,3, ,19841027/CHIMIL,1610612749,1610612741,1984-1985,4,,,Q4  - ,1
13,0028400014,1984-10-27T00:00:00,,0028400014,3, ,19841027/NJNCLE,1610612739,1610612751,1984-1985,4,,,Q4  - ,1
14,0028400015,1984-10-27T00:00:00,,0028400015,3, ,19841027/PORKCK,1610612758,1610612757,1984-1985,4,,,Q4  - ,1
15,0028400016,1984-10-27T00:00:00,,0028400016,3, ,19841027/DETNYK,1610612752,1610612765,1984-1985,4,,,Q4  - ,1
16,0028400017,1984-10-28T00:00:00,,0028400017,3, ,19841028/LALDAL,1610612742,1610612747,1984-1985,4,,,Q4  - ,1
17,0028400018,1984-10-28T00:00:00,,0028400018,3, ,19841028/PHXSEA,1610612760,1610612756,1984-1985,4,,,Q4  - ,1
18,0028400019,1984-10-29T00:00:00,,0028400019,3, ,19841029/MILCHI,1610612741,1610612749,1984-1985,4,,,Q4  - ,1
19,0028400020,1984-10-30T00:00:00,,0028400020,3, ,19841030/GOSLAL,1610612747,1610612744,1984-1985,4,,,Q4  - ,1
20,0028400021,1984-10-30T00:00:00,,0028400021,3, ,19841030/DALHOU,1610612745,1610612742,1984-1985,4,,,Q4  - ,1
21,0028400022,1984-10-30T00:00:00,,0028400022,3, ,19841030/ATLWAS,1610612764,1610612737,1984-1985,4,,,Q4  - ,1
22,0028400023,1984-10-30T00:00:00,,0028400023,3, ,19841030/SEAPOR,1610612757,1610612760,1984-1985,4,,,Q4  - ,1
23,0028400024,1984-10-30T00:00:00,,0028400024,3, ,19841030/NYKUTH,1610612762,1610612752,1984-1985,4,,,Q4  - ,1
24,0028400025,1984-10-30T00:00:00,,0028400025,3, ,19841030/CHIKCK,1610612758,1610612741,1984-1985,4,,,Q4  - ,1
25,0028400026,1984-10-30T00:00:00,,0028400026,3, ,19841030/DENSAN,1610612759,1610612743,1984-1985,4,,,Q4  - ,1
26,0028400027,1984-10-30T00:00:00,,0028400027,3, ,19841030/PHLNJN,1610612751,1610612755,1984-1985,4,,,Q4  - ,1
27,0028400028,1984-10-30T00:00:00,,0028400028,3, ,19841030/CLEDET,1610612765,1610612739,1984-1985,4,,,Q4  - ,1
28,0028400029,1984-10-30T00:00:00,,0028400029,3, ,19841030/LACPHX,1610612756,1610612746,1984-1985,4,,,Q4  - ,1
29,0028400030,1984-10-31T00:00:00,,0028400030,3, ,19841031/WASMIL,1610612749,1610612764,1984-1985,4,,,Q4  - ,1
30,0028400031,1984-10-31T00:00:00,,0028400031,3, ,19841031/DALIND,1610612754,1610612742,1984-1985,4,,,Q4  - ,1
31,0028400032,1984-10-31T00:00:00,,0028400032,3, ,19841031/NJNBOS,1610612738,1610612751,1984-1985,4,,,Q4  - ,1
32,0028400033,1984-11-01T00:00:00,,0028400033,3, ,19841101/DETATL,1610612737,1610612765,1984-1985,4,,,Q4  - ,1
33,0028400034,1984-11-01T00:00:00,,0028400034,3, ,19841101/LALSEA,1610612760,1610612747,1984-1985,4,,,Q4  - ,1
34,0028400035,1984-11-01T00:00:00,,0028400035,3, ,19841101/CHIDEN,1610612743,1610612741,1984-1985,4,,,Q4  - ,1
35,0028400036,1984-11-01T00:00:00,,0028400036,3, ,19841101/HOUKCK,1610612758,1610612745,1984-1985,4,,,Q4  - ,1
36,0028400037,1984-11-01T00:00:00,,0028400037,3, ,19841101/NYKLAC,1610612746,1610612752,1984-1985,4,,,Q4  - ,1
37,0028400038,1984-11-01T00:00:00,,0028400038,3, ,19841101/PORPHX,1610612756,1610612757,1984-1985,7,,,Q7  - ,1
38,0028400039,1984-11-01T00:00:00,,0028400039,3, ,19841101/SANGOS,1610612744,1610612759,1984-1985,4,,,Q4  - ,1
39,0028400040,1984-11-02T00:00:00,,0028400040,3, ,19841102/SANLAL,1610612747,1610612759,1984-1985,4,,,Q4  - ,1
40,0028400041,1984-11-02T00:00:00,,0028400041,3, ,19841102/DALPHL,1610612755,1610612742,1984-1985,4,,,Q4  - ,1
41,0028400042,1984-11-02T00:00:00,,0028400042,3, ,19841102/MILWAS,1610612764,1610612749,1984-1985,4,,,Q4  - ,1
42,0028400043,1984-11-02T00:00:00,,0028400043,3, ,19841102/DETBOS,1610612738,1610612765,1984-1985,4,,,Q4  - ,1
43,0028400044,1984-11-02T00:00:00,,0028400044,3, ,19841102/INDCLE,1610612739,1610612754,1984-1985,4,,,Q4  - ,1
44,0028400045,1984-11-02T00:00:00,,0028400045,3, ,19841102/SEAUTH,1610612762,1610612760,1984-1985,4,,,Q4  - ,1
45,0028400046,1984-11-03T00:00:00,,0028400046,3, ,19841103/INDNJN,1610612751,1610612754,1984-1985,4,,,Q4  - ,1
46,0028400047,1984-11-03T00:00:00,,0028400047,3, ,19841103/PHXDAL,1610612742,1610612756,1984-1985,4,,,Q4  - ,1
47,0028400048,1984-11-03T00:00:00,,0028400048,3, ,19841103/DENKCK,1610612758,1610612743,1984-1985,4,,,Q4  - ,1
48,0028400049,1984-11-03T00:00:00,,0028400049,3, ,19841103/PORLAC,1610612746,1610612757,1984-1985,4,,,Q4  - ,1
49,0028400050,1984-11-03T00:00:00,,0028400050,3, ,19841103/WASATL,1610612737,1610612764,1984-1985,4,,,Q4  - ,1
50,0028400051,1984-11-03T00:00:00,,0028400051,3, ,19841103/UTHGOS,1610612744,1610612762,1984-1985,4,,,Q4  - ,1
