,GID,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,SEASON
0,0021400001,1146,Tony,Brothers,25  ,2014-2015
1,0021400001,1168,David,Jones,36  ,2014-2015
2,0021400001,203592,Dedric,Taylor,21  ,2014-2015
3,0021400002,2003,Pat,Fraher,26  ,2014-2015
4,0021400002,2001,Jason,Phillips,23  ,2014-2015
5,0021400002,201637,Haywoode,Workman,66  ,2014-2015
6,0021400003,2534,Zach,Zarba,28  ,2014-2015
7,0021400003,2004,Courtney,Kirkland,61  ,2014-2015
8,0021400003,1204,Derek,Richardson,63  ,2014-2015
9,0021400004,1148,James,Capers,19  ,2014-2015
10,0021400004,2715,Eric,Lewis,42  ,2014-2015
11,0021400004,2532,Eli,Roe,44  ,2014-2015
12,0021400005,2530,Ed,Malloy,14  ,2014-2015
13,0021400005,1188,Leroy,Richardson,20  ,2014-2015
14,0021400005,201246,Kevin,Cutler,34  ,2014-2015
15,0021400006,1192,Bennett,Salvatore,15  ,2014-2015
16,0021400006,201639,Josh,Tiven,58  ,2014-2015
17,0021400006,202007,Nick,Buchert,54  ,2014-2015
18,0021400007,1195,Derrick,Stafford,9   ,2014-2015
19,0021400007,1198,Scott,Wall,31  ,2014-2015
20,0021400007,202026,Karl,Lane,77  ,2014-2015
21,0021400008,1147,Mike,Callahan,24  ,2014-2015
22,0021400008,2882,Sean,Wright,65  ,2014-2015
23,0021400008,200832,Curtis,Blair,74  ,2014-2015
24,0021400009,1162,Scott,Foster,48  ,2014-2015
25,0021400009,2005,Matt,Boland,18  ,2014-2015
26,0021400009,200834,Mark,Lindsay,29  ,2014-2015
27,0021400010,2002,Derrick,Collins,11  ,2014-2015
28,0021400010,1153,Joe,Crawford,17  ,2014-2015
29,0021400010,1151,Sean,Corbin,33  ,2014-2015
30,0021400011,2534,Zach,Zarba,28  ,2014-2015
31,0021400011,2004,Courtney,Kirkland,61  ,2014-2015
32,0021400011,202027,Tre,Maddox,73  ,2014-2015
