,GID,GAME_ID,LAST_GAME_ID,LAST_GAME_DATE_EST,LAST_GAME_HOME_TEAM_ID,LAST_GAME_HOME_TEAM_CITY,LAST_GAME_HOME_TEAM_NAME,LAST_GAME_HOME_TEAM_ABBREVIATION,LAST_GAME_HOME_TEAM_POINTS,LAST_GAME_VISITOR_TEAM_ID,LAST_GAME_VISITOR_TEAM_CITY,LAST_GAME_VISITOR_TEAM_NAME,LAST_GAME_VISITOR_TEAM_CITY1,LAST_GAME_VISITOR_TEAM_POINTS,SEASON
0,0021700001,0021700001,0041600305,2017-05-25T00:00:00,1610612739,Cleveland,Cavaliers,CLE,135,1610612738,Boston,Celtics,BOS,102,2017-2018
1,0021700002,0021700002,0021601136,2017-03-31T00:00:00,1610612744,Golden State,Warriors,GSW,107,1610612745,Houston,Rockets,HOU,98,2017-2018
2,0021700003,0021700003,0011700019,2017-10-04T00:00:00,1610612765,Detroit,Pistons,DET,104,1610612766,Charlotte,Hornets,CHA,109,2017-2018
3,0021700004,0021700004,0021600747,2017-02-03T00:00:00,1610612754,Indiana,Pacers,IND,106,1610612751,Brooklyn,Nets,BKN,97,2017-2018
4,0021700005,0021700005,0011700037,2017-10-07T00:00:00,1610612753,Orlando,Magic,ORL,93,1610612748,Miami,Heat,MIA,90,2017-2018
5,0021700006,0021700006,0021600856,2017-02-24T00:00:00,1610612764,Washington,Wizards,WAS,112,1610612755,Philadelphia,76ers,PHI,120,2017-2018
6,0021700007,0021700007,0021601219,2017-04-12T00:00:00,1610612738,Boston,Celtics,BOS,112,1610612749,Milwaukee,Bucks,MIL,94,2017-2018
7,0021700008,0021700008,0011700071,2017-10-13T00:00:00,1610612763,Memphis,Grizzlies,MEM,142,1610612740,New Orleans,Pelicans,NOP,101,2017-2018
8,0021700009,0021700009,0011700065,2017-10-12T00:00:00,1610612742,Dallas,Mavericks,DAL,108,1610612737,Atlanta,Hawks,ATL,94,2017-2018
9,0021700010,0021700010,0021600678,2017-01-24T00:00:00,1610612762,Utah,Jazz,UTA,93,1610612743,Denver,Nuggets,DEN,103,2017-2018
10,0021700011,0021700011,0021601056,2017-03-21T00:00:00,1610612759,San Antonio,Spurs,SAS,100,1610612750,Minnesota,Timberwolves,MIN,93,2017-2018
11,0021700012,0021700012,0011700061,2017-10-11T00:00:00,1610612756,Phoenix,Suns,PHX,104,1610612757,Portland,Trail Blazers,POR,113,2017-2018
12,0021700013,0021700013,0021601200,2017-04-09T00:00:00,1610612758,Sacramento,Kings,SAC,128,1610612745,Houston,Rockets,HOU,135,2017-2018
13,0021700014,0021700014,0011700070,2017-10-13T00:00:00,1610612761,Toronto,Raptors,TOR,125,1610612741,Chicago,Bulls,CHI,104,2017-2018
14,0021700015,0021700015,0021600845,2017-02-15T00:00:00,1610612760,Oklahoma City,Thunder,OKC,116,1610612752,New York,Knicks,NYK,105,2017-2018
15,0021700016,0021700016,0011700078,2017-10-13T00:00:00,1610612747,Los Angeles,Lakers,LAL,111,1610612746,LA,Clippers,LAC,104,2017-2018
16,0021700017,0021700017,0021601212,2017-04-11T00:00:00,1610612766,Charlotte,Hornets,CHA,76,1610612737,Atlanta,Hawks,ATL,103,2017-2018
17,0021700018,0021700018,0021600348,2016-12-10T00:00:00,1610612754,Indiana,Pacers,IND,118,1610612757,Portland,Trail Blazers,POR,111,2017-2018
18,0021700019,0021700019,0011700048,2017-10-09T00:00:00,1610612755,Philadelphia,76ers,PHI,96,1610612738,Boston,Celtics,BOS,113,2017-2018
19,0021700020,0021700020,0021601208,2017-04-10T00:00:00,1610612764,Washington,Wizards,WAS,105,1610612765,Detroit,Pistons,DET,101,2017-2018
20,0021700021,0021700021,0021600884,2017-02-27T00:00:00,1610612749,Milwaukee,Bucks,MIL,95,1610612739,Cleveland,Cavaliers,CLE,102,2017-2018
21,0021700022,0021700022,0021601174,2017-04-06T00:00:00,1610612751,Brooklyn,Nets,BKN,107,1610612753,Orlando,Magic,ORL,115,2017-2018
22,0021700023,0021700023,0021601185,2017-04-07T00:00:00,1610612750,Minnesota,Timberwolves,MIN,113,1610612762,Utah,Jazz,UTA,120,2017-2018
23,0021700024,0021700024,0021601163,2017-04-04T00:00:00,1610612742,Dallas,Mavericks,DAL,87,1610612758,Sacramento,Kings,SAC,98,2017-2018
24,0021700025,0021700025,0021601195,2017-04-08T00:00:00,1610612740,New Orleans,Pelicans,NOP,101,1610612744,Golden State,Warriors,GSW,123,2017-2018
25,0021700026,0021700026,0021600964,2017-03-09T00:00:00,1610612756,Phoenix,Suns,PHX,110,1610612747,Los Angeles,Lakers,LAL,122,2017-2018
26,0021700027,0021700027,0021601147,2017-04-02T00:00:00,1610612761,Toronto,Raptors,TOR,113,1610612755,Philadelphia,76ers,PHI,105,2017-2018
27,0021700028,0021700028,0011700069,2017-10-13T00:00:00,1610612739,Cleveland,Cavaliers,CLE,113,1610612753,Orlando,Magic,ORL,106,2017-2018
28,0021700029,0021700029,0021600987,2017-03-12T00:00:00,1610612748,Miami,Heat,MIA,98,1610612754,Indiana,Pacers,IND,102,2017-2018
29,0021700030,0021700030,0021601098,2017-03-27T00:00:00,1610612752,New York,Knicks,NYK,109,1610612765,Detroit,Pistons,DET,95,2017-2018
30,0021700031,0021700031,0021600458,2016-12-25T00:00:00,1610612741,Chicago,Bulls,CHI,100,1610612759,San Antonio,Spurs,SAS,119,2017-2018
31,0021700032,0021700032,0021600474,2016-12-27T00:00:00,1610612745,Houston,Rockets,HOU,123,1610612742,Dallas,Mavericks,DAL,107,2017-2018
32,0021700033,0021700033,0021601094,2017-03-26T00:00:00,1610612763,Memphis,Grizzlies,MEM,94,1610612744,Golden State,Warriors,GSW,106,2017-2018
33,0021700034,0021700034,0021601057,2017-03-21T00:00:00,1610612749,Milwaukee,Bucks,MIL,93,1610612757,Portland,Trail Blazers,POR,90,2017-2018
34,0021700035,0021700035,0021600984,2017-03-11T00:00:00,1610612743,Denver,Nuggets,DEN,105,1610612758,Sacramento,Kings,SAC,92,2017-2018
35,0021700036,0021700036,0021600973,2017-03-11T00:00:00,1610612762,Utah,Jazz,UTA,104,1610612760,Oklahoma City,Thunder,OKC,112,2017-2018
36,0021700037,0021700037,0021601124,2017-03-30T00:00:00,1610612746,LA,Clippers,LAC,124,1610612756,Phoenix,Suns,PHX,118,2017-2018
37,0021700038,0021700038,0021601148,2017-04-02T00:00:00,1610612751,Brooklyn,Nets,BKN,91,1610612737,Atlanta,Hawks,ATL,82,2017-2018
38,0021700039,0021700039,0021601213,2017-04-11T00:00:00,1610612760,Oklahoma City,Thunder,OKC,100,1610612750,Minnesota,Timberwolves,MIN,98,2017-2018
39,0021700040,0021700040,0021601215,2017-04-11T00:00:00,1610612747,Los Angeles,Lakers,LAL,108,1610612740,New Orleans,Pelicans,NOP,96,2017-2018
40,0021700041,0021700041,0021600919,2017-03-04T00:00:00,1610612765,Detroit,Pistons,DET,136,1610612755,Philadelphia,76ers,PHI,106,2017-2018
41,0021700042,0021700042,0011700004,2017-10-01T00:00:00,1610612748,Miami,Heat,MIA,96,1610612737,Atlanta,Hawks,ATL,90,2017-2018
42,0021700043,0021700043,0011700064,2017-10-11T00:00:00,1610612745,Houston,Rockets,HOU,101,1610612763,Memphis,Grizzlies,MEM,89,2017-2018
43,0021700044,0021700044,0021601207,2017-04-10T00:00:00,1610612749,Milwaukee,Bucks,MIL,89,1610612766,Charlotte,Hornets,CHA,79,2017-2018
44,0021700045,0021700045,0021601055,2017-03-21T00:00:00,1610612742,Dallas,Mavericks,DAL,87,1610612744,Golden State,Warriors,GSW,112,2017-2018
45,0021700046,0021700046,0021600674,2017-01-24T00:00:00,1610612759,San Antonio,Spurs,SAS,108,1610612761,Toronto,Raptors,TOR,106,2017-2018
