,GID,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,SEASON
0,0020200002,1176,Monty,McCutchen,58,2002-2003
1,0020200002,1164,Ron,Garretson,10,2002-2003
2,0020200002,1363,Bennie,Adams,47,2002-2003
3,0020200035,1179,Rodney,Mott,71,2002-2003
4,0020200035,1185,Violet,Palmer,66,2002-2003
5,0020200035,1161,Joe,Forte,45,2002-2003
6,0020200036,1199,Tom,Washington,49,2002-2003
7,0020200036,1151,Sean,Corbin,33,2002-2003
8,0020200036,2147,Michael,Henderson,62,2002-2003
9,0020200053,1199,Tom,Washington,49,2002-2003
10,0020200053,1194,Bill,Spooner,22,2002-2003
11,0020200053,1185,Violet,Palmer,66,2002-2003
12,0020200069,1664,Gary,Zielinski,59,2002-2003
13,0020200069,1192,Bennett,Salvatore,15,2002-2003
14,0020200069,1203,Mark,Wunderlich,18,2002-2003
15,0020200076,1153,Joe,Crawford,17,2002-2003
16,0020200076,2147,Michael,Henderson,62,2002-2003
17,0020200076,1186,Blane,Reichelt,37,2002-2003
18,0020200087,1147,Mike,Callahan,24,2002-2003
19,0020200087,1363,Bennie,Adams,47,2002-2003
20,0020200087,1168,David,Jones,36,2002-2003
21,0020200089,1195,Derrick,Stafford,9,2002-2003
22,0020200089,1185,Violet,Palmer,66,2002-2003
23,0020200089,1826,Jess,Kersey,20,2002-2003
24,0020200156,1830,Marc,Davis,64,2002-2003
25,0020200156,1163,Bernie,Fryer,7,2002-2003
26,0020200156,1827,George,Toliver,23,2002-2003
27,0020200213,1147,Mike,Callahan,24,2002-2003
28,0020200213,2003,Pat,Fraher,52,2002-2003
29,0020200213,1184,Ron,Olesiak,44,2002-2003
30,0020200235,1153,Joe,Crawford,17,2002-2003
31,0020200235,1194,Bill,Spooner,22,2002-2003
32,0020200235,2147,Michael,Henderson,62,2002-2003
33,0020200284,1148,James,Capers,19,2002-2003
34,0020200284,2002,Derrick,Collins,54,2002-2003
35,0020200284,1180,Jack,Nies,35,2002-2003
36,0020200333,1201,Leon,Wood,40,2002-2003
37,0020200333,1163,Bernie,Fryer,7,2002-2003
38,0020200333,1827,George,Toliver,23,2002-2003
39,0020200362,1830,Marc,Davis,64,2002-2003
40,0020200362,1146,Tony,Brothers,56,2002-2003
41,0020200362,1192,Bennett,Salvatore,15,2002-2003
42,0020200399,1164,Ron,Garretson,10,2002-2003
43,0020200399,1168,David,Jones,36,2002-2003
44,0020200399,1159,Kevin,Fehr,39,2002-2003
45,0020200443,2004,Courtney,Kirkland,61,2002-2003
46,0020200443,1161,Joe,Forte,45,2002-2003
47,0020200443,1826,Jess,Kersey,20,2002-2003
48,0020200665,2004,Courtney,Kirkland,61,2002-2003
49,0020200665,1155,JB,DeRosa,14,2002-2003
50,0020200665,1826,Jess,Kersey,20,2002-2003
51,0020200717,1148,James,Capers,19,2002-2003
52,0020200717,1192,Bennett,Salvatore,15,2002-2003
53,0020200717,1189,Phil,Robinson,70,2002-2003
54,0020200882,1147,Mike,Callahan,24,2002-2003
55,0020200882,1193,Michael,Smith,38,2002-2003
56,0020200882,1166,Hue,Hollins,42,2002-2003
57,0020200942,2529,Tony,Brown,68,2002-2003
58,0020200942,1188,Leroy,Richardson,51,2002-2003
59,0020200942,1197,Don,Vaden,12,2002-2003
60,0020201089,1147,Mike,Callahan,24,2002-2003
61,0020201089,1142,Dick,Bavetta,27,2002-2003
62,0020201089,1159,Kevin,Fehr,39,2002-2003
63,0020201119,1664,Gary,Zielinski,59,2002-2003
64,0020201119,1151,Sean,Corbin,33,2002-2003
65,0020201119,1155,JB,DeRosa,14,2002-2003
