,GID,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_NICKNAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,SEASON
0,0029900001,1999-11-02T00:00:00,1,0029900001,1610612739,CLE,Cleveland,Cavaliers,-,20,27,18,19,0.0,0.0,0.0,0.0,,,,,,,84,1999-2000
1,0029900001,1999-11-02T00:00:00,1,0029900001,1610612752,NYK,New York,Knicks,-,30,25,19,18,0.0,0.0,0.0,0.0,,,,,,,92,1999-2000
2,0029900002,1999-11-02T00:00:00,2,0029900002,1610612751,NJN,New Jersey,Nets,-,27,28,27,30,0.0,0.0,0.0,0.0,,,,,,,112,1999-2000
3,0029900002,1999-11-02T00:00:00,2,0029900002,1610612754,IND,Indiana,Pacers,-,41,26,23,29,0.0,0.0,0.0,0.0,,,,,,,119,1999-2000
4,0029900003,1999-11-02T00:00:00,3,0029900003,1610612737,ATL,Atlanta,Hawks,-,26,19,22,20,0.0,0.0,0.0,0.0,,,,,,,87,1999-2000
5,0029900003,1999-11-02T00:00:00,3,0029900003,1610612764,WAS,Washington,Wizards,-,24,28,23,19,0.0,0.0,0.0,0.0,,,,,,,94,1999-2000
6,0029900004,1999-11-02T00:00:00,4,0029900004,1610612748,MIA,Miami,Heat,-,33,24,20,23,9.0,19.0,0.0,0.0,,,,,,,128,1999-2000
7,0029900004,1999-11-02T00:00:00,4,0029900004,1610612765,DET,Detroit,Pistons,-,22,24,24,30,9.0,13.0,0.0,0.0,,,,,,,122,1999-2000
8,0029900005,1999-11-02T00:00:00,5,0029900005,1610612753,ORL,Orlando,Magic,-,22,18,17,29,0.0,0.0,0.0,0.0,,,,,,,86,1999-2000
9,0029900005,1999-11-02T00:00:00,5,0029900005,1610612766,CHH,Charlotte,Hornets,-,21,21,37,21,0.0,0.0,0.0,0.0,,,,,,,100,1999-2000
10,0029900006,1999-11-02T00:00:00,6,0029900006,1610612738,BOS,Boston,Celtics,-,27,23,29,24,0.0,0.0,0.0,0.0,,,,,,,103,1999-2000
11,0029900006,1999-11-02T00:00:00,6,0029900006,1610612761,TOR,Toronto,Raptors,-,18,24,23,25,0.0,0.0,0.0,0.0,,,,,,,90,1999-2000
12,0029900007,1999-11-02T00:00:00,7,0029900007,1610612742,DAL,Dallas,Mavericks,-,32,23,26,27,0.0,0.0,0.0,0.0,,,,,,,108,1999-2000
13,0029900007,1999-11-02T00:00:00,7,0029900007,1610612744,GSW,Golden State,Warriors,-,28,23,24,21,0.0,0.0,0.0,0.0,,,,,,,96,1999-2000
14,0029900008,1999-11-02T00:00:00,8,0029900008,1610612749,MIL,Milwaukee,Bucks,-,25,21,29,23,0.0,0.0,0.0,0.0,,,,,,,98,1999-2000
15,0029900008,1999-11-02T00:00:00,8,0029900008,1610612745,HOU,Houston,Rockets,-,28,26,20,19,0.0,0.0,0.0,0.0,,,,,,,93,1999-2000
16,0029900009,1999-11-02T00:00:00,9,0029900009,1610612755,PHI,Philadelphia,76ers,-,18,20,16,22,0.0,0.0,0.0,0.0,,,,,,,76,1999-2000
17,0029900009,1999-11-02T00:00:00,9,0029900009,1610612759,SAS,San Antonio,Spurs,-,23,14,20,32,0.0,0.0,0.0,0.0,,,,,,,89,1999-2000
18,0029900010,1999-11-02T00:00:00,10,0029900010,1610612743,DEN,Denver,Nuggets,-,29,18,25,22,13.0,0.0,0.0,0.0,,,,,,,107,1999-2000
