,GID,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,SEASON
0,0021700001,1176,Monty,McCutchen,13  ,2017-2018
1,0021700001,1193,Michael,Smith,38  ,2017-2018
2,0021700001,101283,Brian,Forte,45  ,2017-2018
3,0021700002,1162,Scott,Foster,48  ,2017-2018
4,0021700002,1164,Ron,Garretson,10  ,2017-2018
5,0021700002,202027,Tre,Maddox,73  ,2017-2018
6,0021700003,1155,JB,DeRosa,62  ,2017-2018
7,0021700003,1830,Marc,Davis,8   ,2017-2018
8,0021700003,2005,Matt,Boland,18  ,2017-2018
9,0021700004,1146,Tony,Brothers,25  ,2017-2018
10,0021700004,2002,Derrick,Collins,11  ,2017-2018
11,0021700004,201246,Kevin,Cutler,34  ,2017-2018
12,0021700005,2530,Ed,Malloy,14  ,2017-2018
13,0021700005,202026,Karl,Lane,77  ,2017-2018
14,0021700005,203177,Lauren,Holtkamp,7   ,2017-2018
15,0021700006,2534,Zach,Zarba,15  ,2017-2018
16,0021700006,2714,David,Guthrie,16  ,2017-2018
17,0021700006,203592,Dedric,Taylor,21  ,2017-2018
18,0021700007,1199,Tom,Washington,49  ,2017-2018
19,0021700007,200834,Mark,Lindsay,29  ,2017-2018
20,0021700007,1626301,Jason,Goldenberg,35  ,2017-2018
21,0021700008,1151,Sean,Corbin,33  ,2017-2018
22,0021700008,1664,Gary,Zielinski,59  ,2017-2018
23,0021700008,202053,Scott,Twardoski,52  ,2017-2018
24,0021700009,1174,Ken,Mauer,41  ,2017-2018
25,0021700009,1188,Leroy,Richardson,20  ,2017-2018
26,0021700009,201639,Josh,Tiven,58  ,2017-2018
27,0021700010,1162,Scott,Foster,48  ,2017-2018
28,0021700010,1201,Leon,Wood,40  ,2017-2018
29,0021700010,1627964,Jonathan,Sterling,17  ,2017-2018
30,0021700011,1195,Derrick,Stafford,9   ,2017-2018
31,0021700011,1198,Scott,Wall,31  ,2017-2018
32,0021700011,2003,Pat,Fraher,26  ,2017-2018
33,0021700012,1179,Rodney,Mott,71  ,2017-2018
34,0021700012,202037,J.T.,Orr,72  ,2017-2018
35,0021700012,202058,James,Williams,60  ,2017-2018
36,0021700013,1194,Bill,Spooner,22  ,2017-2018
37,0021700013,1204,Derek,Richardson,63  ,2017-2018
38,0021700013,202041,Kevin,Scott,28  ,2017-2018
39,0021700014,2004,Courtney,Kirkland,61  ,2017-2018
40,0021700014,201638,Brent,Barnaky,36  ,2017-2018
41,0021700014,203592,Dedric,Taylor,21  ,2017-2018
42,0021700015,1148,James,Capers,19  ,2017-2018
43,0021700015,202007,Nick,Buchert,3   ,2017-2018
44,0021700015,204059,Tyler,Ford,39  ,2017-2018
45,0021700016,1147,Mike,Callahan,24  ,2017-2018
46,0021700016,202037,J.T.,Orr,72  ,2017-2018
47,0021700016,202058,James,Williams,60  ,2017-2018
48,0021700017,1176,Monty,McCutchen,13  ,2017-2018
49,0021700017,2715,Eric,Lewis,42  ,2017-2018
50,0021700017,202056,CJ,Washington,12  ,2017-2018
51,0021700018,1664,Gary,Zielinski,59  ,2017-2018
52,0021700018,2529,Tony,Brown,6   ,2017-2018
53,0021700018,201637,Haywoode,Workman,66  ,2017-2018
54,0021700019,201245,Marat,Kogut,32  ,2017-2018
55,0021700019,201640,Kane,Fitzgerald,5   ,2017-2018
56,0021700019,203177,Lauren,Holtkamp,7   ,2017-2018
57,0021700020,1151,Sean,Corbin,33  ,2017-2018
58,0021700020,200832,Curtis,Blair,74  ,2017-2018
59,0021700020,201246,Kevin,Cutler,34  ,2017-2018
60,0021700021,1830,Marc,Davis,8   ,2017-2018
61,0021700021,201639,Josh,Tiven,58  ,2017-2018
62,0021700021,204058,Gediminas,Petraitis,50  ,2017-2018
63,0021700022,101284,John,Goble,30  ,2017-2018
64,0021700022,202049,Ben,Taylor,46  ,2017-2018
65,0021700022,1626300,Ray,Acosta,54  ,2017-2018
66,0021700023,1188,Leroy,Richardson,20  ,2017-2018
67,0021700023,2714,David,Guthrie,16  ,2017-2018
68,0021700023,1627962,Jacyn,Goble,68  ,2017-2018
69,0021700024,1193,Michael,Smith,38  ,2017-2018
70,0021700024,1662,Bill,Kennedy,55  ,2017-2018
71,0021700024,202053,Scott,Twardoski,52  ,2017-2018
72,0021700025,2530,Ed,Malloy,14  ,2017-2018
73,0021700025,202026,Karl,Lane,77  ,2017-2018
74,0021700025,1626302,Aaron,Smith,51  ,2017-2018
75,0021700026,1162,Scott,Foster,48  ,2017-2018
76,0021700026,202041,Kevin,Scott,28  ,2017-2018
77,0021700026,1627964,Jonathan,Sterling,17  ,2017-2018
78,0021700027,1194,Bill,Spooner,22  ,2017-2018
79,0021700027,202049,Ben,Taylor,46  ,2017-2018
80,0021700027,1626301,Jason,Goldenberg,35  ,2017-2018
81,0021700028,2002,Derrick,Collins,11  ,2017-2018
82,0021700028,2003,Pat,Fraher,26  ,2017-2018
83,0021700028,201246,Kevin,Cutler,34  ,2017-2018
84,0021700029,2715,Eric,Lewis,42  ,2017-2018
85,0021700029,200832,Curtis,Blair,74  ,2017-2018
86,0021700029,200834,Mark,Lindsay,29  ,2017-2018
87,0021700030,2004,Courtney,Kirkland,61  ,2017-2018
88,0021700030,201245,Marat,Kogut,32  ,2017-2018
89,0021700030,203177,Lauren,Holtkamp,7   ,2017-2018
90,0021700031,1146,Tony,Brothers,25  ,2017-2018
91,0021700031,1201,Leon,Wood,40  ,2017-2018
92,0021700031,204059,Tyler,Ford,39  ,2017-2018
93,0021700032,1148,James,Capers,19  ,2017-2018
94,0021700032,2005,Matt,Boland,18  ,2017-2018
95,0021700032,202056,CJ,Washington,12  ,2017-2018
96,0021700033,1198,Scott,Wall,31  ,2017-2018
97,0021700033,101283,Brian,Forte,45  ,2017-2018
98,0021700033,1627962,Jacyn,Goble,68  ,2017-2018
99,0021700034,2534,Zach,Zarba,15  ,2017-2018
100,0021700034,201638,Brent,Barnaky,36  ,2017-2018
101,0021700034,1626303,Vladimir,Voyard-Tadal,76  ,2017-2018
102,0021700035,1147,Mike,Callahan,24  ,2017-2018
103,0021700035,2148,Mark,Ayotte,56  ,2017-2018
104,0021700035,1627963,Phenizee,Ransom,70  ,2017-2018
105,0021700036,2882,Sean,Wright,4   ,2017-2018
106,0021700036,202041,Kevin,Scott,28  ,2017-2018
107,0021700036,202058,James,Williams,60  ,2017-2018
108,0021700037,1363,Bennie,Adams,47  ,2017-2018
109,0021700037,202007,Nick,Buchert,3   ,2017-2018
110,0021700037,202035,Brett,Nansel,44  ,2017-2018
111,0021700038,2714,David,Guthrie,16  ,2017-2018
