,GID,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,GAME_DATE_EST,HOME_TEAM_WINS,HOME_TEAM_LOSSES,SERIES_LEADER,SEASON
0,0028300001,0028300001,1610612749,1610612754,1983-10-28T00:00:00,5,1,Milwaukee,1983-1984
1,0028300002,0028300002,1610612758,1610612747,1983-10-28T00:00:00,0,5,L.A. Lakers,1983-1984
2,0028300003,0028300003,1610612755,1610612764,1983-10-28T00:00:00,4,2,Philadelphia,1983-1984
3,0028300004,0028300004,1610612760,1610612744,1983-10-28T00:00:00,2,4,Golden State,1983-1984
4,0028300005,0028300005,1610612751,1610612737,1983-10-28T00:00:00,3,3,Tied,1983-1984
5,0028300006,0028300006,1610612765,1610612738,1983-10-28T00:00:00,2,4,Boston,1983-1984
6,0028300007,0028300007,1610612757,1610612746,1983-10-28T00:00:00,4,2,Portland,1983-1984
7,0028300008,0028300008,1610612739,1610612752,1983-10-28T00:00:00,1,5,New York,1983-1984
8,0028300009,0028300009,1610612743,1610612762,1983-10-28T00:00:00,3,3,Tied,1983-1984
9,0028300010,0028300010,1610612762,1610612747,1983-10-29T00:00:00,1,4,L.A. Lakers,1983-1984
10,0028300011,0028300011,1610612752,1610612764,1983-10-29T00:00:00,4,2,New York,1983-1984
11,0028300012,0028300012,1610612741,1610612751,1983-10-29T00:00:00,2,4,New Jersey,1983-1984
12,0028300013,0028300013,1610612744,1610612757,1983-10-29T00:00:00,2,4,Portland,1983-1984
13,0028300014,0028300014,1610612737,1610612765,1983-10-29T00:00:00,2,4,Detroit,1983-1984
14,0028300015,0028300015,1610612745,1610612759,1983-10-29T00:00:00,2,4,San Antonio,1983-1984
15,0028300016,0028300016,1610612746,1610612743,1983-10-29T00:00:00,2,3,Denver,1983-1984
16,0028300017,0028300017,1610612754,1610612755,1983-10-29T00:00:00,0,5,Philadelphia,1983-1984
17,0028300018,0028300018,1610612742,1610612756,1983-10-29T00:00:00,3,2,Dallas,1983-1984
18,0028300019,0028300019,1610612739,1610612738,1983-10-29T00:00:00,0,6,Boston,1983-1984
19,0028300020,0028300020,1610612759,1610612742,1983-10-30T00:00:00,2,4,Dallas,1983-1984
20,0028300021,0028300021,1610612758,1610612760,1983-10-30T00:00:00,1,4,Seattle,1983-1984
21,0028300022,0028300022,1610612765,1610612749,1983-11-01T00:00:00,3,2,Detroit,1983-1984
22,0028300023,0028300023,1610612754,1610612745,1983-11-01T00:00:00,1,1,Tied,1983-1984
23,0028300024,0028300024,1610612756,1610612760,1983-11-01T00:00:00,2,4,Seattle,1983-1984
24,0028300025,0028300025,1610612755,1610612741,1983-11-01T00:00:00,3,2,Philadelphia,1983-1984
25,0028300026,0028300026,1610612743,1610612742,1983-11-01T00:00:00,2,4,Dallas,1983-1984
26,0028300027,0028300027,1610612737,1610612764,1983-11-01T00:00:00,4,2,Atlanta,1983-1984
27,0028300028,0028300028,1610612759,1610612757,1983-11-01T00:00:00,1,4,Portland,1983-1984
28,0028300029,0028300029,1610612758,1610612744,1983-11-01T00:00:00,1,4,Golden State,1983-1984
29,0028300030,0028300030,1610612751,1610612739,1983-11-01T00:00:00,3,2,New Jersey,1983-1984
30,0028300031,0028300031,1610612739,1610612745,1983-11-02T00:00:00,1,1,Tied,1983-1984
31,0028300032,0028300032,1610612742,1610612757,1983-11-02T00:00:00,2,3,Portland,1983-1984
32,0028300033,0028300033,1610612738,1610612749,1983-11-02T00:00:00,5,1,Boston,1983-1984
33,0028300034,0028300034,1610612760,1610612752,1983-11-02T00:00:00,1,1,Tied,1983-1984
34,0028300035,0028300035,1610612746,1610612747,1983-11-02T00:00:00,2,4,L.A. Lakers,1983-1984
35,0028300036,0028300036,1610612764,1610612765,1983-11-03T00:00:00,3,3,Tied,1983-1984
36,0028300037,0028300037,1610612758,1610612743,1983-11-03T00:00:00,2,4,Denver,1983-1984
37,0028300038,0028300038,1610612756,1610612759,1983-11-03T00:00:00,5,0,Phoenix,1983-1984
38,0028300039,0028300039,1610612751,1610612741,1983-11-03T00:00:00,4,2,New Jersey,1983-1984
39,0028300040,0028300040,1610612762,1610612744,1983-11-03T00:00:00,4,1,Utah,1983-1984
40,0028300041,0028300041,1610612737,1610612741,1983-11-04T00:00:00,4,2,Atlanta,1983-1984
41,0028300042,0028300042,1610612755,1610612749,1983-11-04T00:00:00,4,2,Philadelphia,1983-1984
42,0028300043,0028300043,1610612738,1610612754,1983-11-04T00:00:00,5,1,Boston,1983-1984
43,0028300044,0028300044,1610612746,1610612760,1983-11-04T00:00:00,3,3,Tied,1983-1984
44,0028300045,0028300045,1610612765,1610612745,1983-11-04T00:00:00,1,1,Tied,1983-1984
45,0028300046,0028300046,1610612757,1610612752,1983-11-04T00:00:00,2,0,Portland,1983-1984
46,0028300047,0028300047,1610612739,1610612742,1983-11-04T00:00:00,1,1,Tied,1983-1984
47,0028300048,0028300048,1610612744,1610612752,1983-11-05T00:00:00,1,1,Tied,1983-1984
48,0028300049,0028300049,1610612754,1610612739,1983-11-05T00:00:00,4,2,Indiana,1983-1984
49,0028300050,0028300050,1610612751,1610612755,1983-11-05T00:00:00,3,3,Tied,1983-1984
50,0028300051,0028300051,1610612762,1610612759,1983-11-05T00:00:00,2,4,San Antonio,1983-1984
51,0028300052,0028300052,1610612764,1610612738,1983-11-05T00:00:00,2,4,Boston,1983-1984
52,0028300053,0028300053,1610612742,1610612747,1983-11-05T00:00:00,3,2,Dallas,1983-1984
53,0028300054,0028300054,1610612743,1610612746,1983-11-05T00:00:00,3,2,Denver,1983-1984
54,0028300055,0028300055,1610612758,1610612745,1983-11-05T00:00:00,4,2,Kansas City,1983-1984
55,0028300056,0028300056,1610612757,1610612756,1983-11-06T00:00:00,4,2,Portland,1983-1984
56,0028300057,0028300057,1610612759,1610612760,1983-11-06T00:00:00,2,3,Seattle,1983-1984
57,0028300058,0028300058,1610612749,1610612737,1983-11-06T00:00:00,3,3,Tied,1983-1984
58,0028300059,0028300059,1610612760,1610612756,1983-11-08T00:00:00,4,2,Seattle,1983-1984
59,0028300060,0028300060,1610612744,1610612737,1983-11-08T00:00:00,1,1,Tied,1983-1984
60,0028300061,0028300061,1610612764,1610612746,1983-11-08T00:00:00,1,1,Tied,1983-1984
61,0028300062,0028300062,1610612752,1610612749,1983-11-08T00:00:00,1,4,Milwaukee,1983-1984
62,0028300063,0028300063,1610612754,1610612738,1983-11-08T00:00:00,1,5,Boston,1983-1984
63,0028300064,0028300064,1610612741,1610612758,1983-11-08T00:00:00,1,1,Tied,1983-1984
64,0028300065,0028300065,1610612745,1610612757,1983-11-08T00:00:00,1,4,Portland,1983-1984
65,0028300066,0028300066,1610612743,1610612747,1983-11-08T00:00:00,1,4,L.A. Lakers,1983-1984
66,0028300067,0028300067,1610612751,1610612764,1983-11-09T00:00:00,4,2,New Jersey,1983-1984
67,0028300068,0028300068,1610612747,1610612742,1983-11-09T00:00:00,2,3,Dallas,1983-1984
68,0028300069,0028300069,1610612759,1610612762,1983-11-09T00:00:00,4,2,San Antonio,1983-1984
69,0028300070,0028300070,1610612749,1610612758,1983-11-09T00:00:00,2,0,Milwaukee,1983-1984
70,0028300071,0028300071,1610612760,1610612739,1983-11-09T00:00:00,1,1,Tied,1983-1984
71,0028300072,0028300072,1610612765,1610612755,1983-11-09T00:00:00,3,3,Tied,1983-1984
72,0028300073,0028300073,1610612738,1610612746,1983-11-09T00:00:00,1,1,Tied,1983-1984
73,0028300074,0028300074,1610612745,1610612762,1983-11-10T00:00:00,1,5,Utah,1983-1984
74,0028300075,0028300075,1610612757,1610612739,1983-11-10T00:00:00,1,1,Tied,1983-1984
75,0028300076,0028300076,1610612744,1610612756,1983-11-10T00:00:00,1,5,Phoenix,1983-1984
76,0028300077,0028300077,1610612754,1610612752,1983-11-10T00:00:00,2,4,New York,1983-1984
77,0028300078,0028300078,1610612752,1610612746,1983-11-11T00:00:00,2,0,New York,1983-1984
78,0028300079,0028300079,1610612755,1610612758,1983-11-11T00:00:00,2,0,Philadelphia,1983-1984
79,0028300080,0028300080,1610612760,1610612737,1983-11-11T00:00:00,1,1,Tied,1983-1984
80,0028300081,0028300081,1610612764,1610612741,1983-11-11T00:00:00,4,2,Washington,1983-1984
81,0028300082,0028300082,1610612738,1610612765,1983-11-11T00:00:00,4,2,Boston,1983-1984
82,0028300083,0028300083,1610612751,1610612749,1983-11-11T00:00:00,2,4,Milwaukee,1983-1984
83,0028300084,0028300084,1610612747,1610612756,1983-11-11T00:00:00,3,3,Tied,1983-1984
84,0028300085,0028300085,1610612742,1610612759,1983-11-11T00:00:00,4,2,Dallas,1983-1984
85,0028300086,0028300086,1610612759,1610612743,1983-11-12T00:00:00,3,3,Tied,1983-1984
86,0028300087,0028300087,1610612744,1610612739,1983-11-12T00:00:00,1,1,Tied,1983-1984
87,0028300088,0028300088,1610612745,1610612742,1983-11-12T00:00:00,2,4,Dallas,1983-1984
