,GID,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,SEASON
0,0020100136,1198,Scott,Wall,60,2001-2002
1,0020100136,1156,Tim,Donaghy,21,2001-2002
2,0020100136,1144,Ted,Bernhardt,16,2001-2002
3,0020100148,1159,Kevin,Fehr,39,2001-2002
4,0020100148,1154,Bob,Delaney,26,2001-2002
5,0020100148,1825,Mike,Mathis,13,2001-2002
6,0020100155,1146,Tony,Brothers,56,2001-2002
7,0020100155,2002,Derrick,Collins,54,2001-2002
8,0020100155,1167,Steve,Javie,29,2001-2002
9,0020100223,1152,Dan,Crawford,43,2001-2002
10,0020100223,1827,George,Toliver,23,2001-2002
11,0020100223,1197,Don,Vaden,12,2001-2002
12,0020100261,1153,Joe,Crawford,17,2001-2002
13,0020100261,1159,Kevin,Fehr,39,2001-2002
14,0020100261,1165,Luis,Grillo,8,2001-2002
15,0020100269,1168,David,Jones,36,2001-2002
16,0020100269,1154,Bob,Delaney,26,2001-2002
17,0020100269,1165,Luis,Grillo,8,2001-2002
18,0020100279,2003,Pat,Fraher,52,2001-2002
19,0020100279,1161,Joe,Forte,45,2001-2002
20,0020100279,1197,Don,Vaden,12,2001-2002
21,0020100320,1204,Derek,Richardson,63,2001-2002
22,0020100320,1167,Steve,Javie,29,2001-2002
23,0020100320,1826,Jess,Kersey,20,2001-2002
24,0020100372,1195,Derrick,Stafford,9,2001-2002
25,0020100372,1193,Michael,Smith,38,2001-2002
26,0020100372,1144,Ted,Bernhardt,16,2001-2002
27,0020100390,1662,Bill,Kennedy,55,2001-2002
28,0020100390,1167,Steve,Javie,29,2001-2002
29,0020100390,1150,Jimmy,Clark,6,2001-2002
30,0020100446,1176,Monty,McCutchen,58,2001-2002
31,0020100446,1198,Scott,Wall,60,2001-2002
32,0020100446,1192,Bennett,Salvatore,15,2001-2002
33,0020100456,1199,Tom,Washington,49,2001-2002
34,0020100456,1174,Ken,Mauer,41,2001-2002
35,0020100456,1144,Ted,Bernhardt,16,2001-2002
36,0020100514,1152,Dan,Crawford,43,2001-2002
37,0020100514,1195,Derrick,Stafford,9,2001-2002
38,0020100514,1193,Michael,Smith,38,2001-2002
39,0020100527,1188,Leroy,Richardson,51,2001-2002
40,0020100527,1189,Phil,Robinson,70,2001-2002
41,0020100527,1144,Ted,Bernhardt,16,2001-2002
42,0020100544,1363,Bennie,Adams,47,2001-2002
43,0020100544,1168,David,Jones,36,2001-2002
44,0020100544,1197,Don,Vaden,12,2001-2002
45,0020100560,1194,Bill,Spooner,22,2001-2002
46,0020100560,1204,Derek,Richardson,63,2001-2002
47,0020100560,1826,Jess,Kersey,20,2001-2002
48,0020100569,1185,Violet,Palmer,66,2001-2002
49,0020100569,1161,Joe,Forte,45,2001-2002
50,0020100569,1181,Tommy,Nunez,28,2001-2002
