,GID,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,SEASON
0,0020500001,1164,Ron,Garretson,10,2005-2006
1,0020500001,1193,Michael,Smith,38,2005-2006
2,0020500001,2001,Jason,Phillips,23,2005-2006
3,0020500002,1152,Dan,Crawford,43,2005-2006
4,0020500002,1199,Tom,Washington,49,2005-2006
5,0020500002,2534,Zach,Zarba,58,2005-2006
6,0020500003,1151,Sean,Corbin,33,2005-2006
7,0020500003,1142,Dick,Bavetta,27,2005-2006
8,0020500003,1185,Violet,Palmer,12,2005-2006
9,0020500004,1147,Mike,Callahan,24,2005-2006
10,0020500004,1146,Tony,Brothers,25,2005-2006
11,0020500004,2530,Ed,Malloy,73,2005-2006
12,0020500005,2004,Courtney,Kirkland,61,2005-2006
13,0020500005,1192,Bennett,Salvatore,15,2005-2006
14,0020500005,1203,Mark,Wunderlich,18,2005-2006
15,0020500006,1159,Kevin,Fehr,39,2005-2006
16,0020500006,1150,Jimmy,Clark,6,2005-2006
17,0020500006,1180,Jack,Nies,35,2005-2006
18,0020500007,1164,Ron,Garretson,10,2005-2006
19,0020500007,1193,Michael,Smith,38,2005-2006
20,0020500007,2001,Jason,Phillips,23,2005-2006
21,0020500008,2714,David,Guthrie,60,2005-2006
22,0020500008,1167,Steve,Javie,29,2005-2006
23,0020500008,1156,Tim,Donaghy,21,2005-2006
24,0020500009,2715,Eric,Lewis,42,2005-2006
25,0020500009,1190,Eddie,Rush,32,2005-2006
26,0020500009,1165,Luis,Grillo,8,2005-2006
27,0020500010,1152,Dan,Crawford,43,2005-2006
28,0020500010,1199,Tom,Washington,49,2005-2006
29,0020500010,2534,Zach,Zarba,58,2005-2006
30,0020500011,1148,James,Capers,19,2005-2006
31,0020500011,1155,JB,DeRosa,14,2005-2006
32,0020500011,1189,Phil,Robinson,11,2005-2006
33,0020500012,1198,Scott,Wall,31,2005-2006
34,0020500012,1154,Bob,Delaney,26,2005-2006
35,0020500012,1184,Ron,Olesiak,44,2005-2006
36,0020500013,1176,Monty,McCutchen,13,2005-2006
37,0020500013,2529,Tony,Brown,30,2005-2006
38,0020500013,1200,Greg,Willard,57,2005-2006
39,0020500014,1168,David,Jones,36,2005-2006
40,0020500014,2716,Olandis,Poole,50,2005-2006
41,0020500014,1161,Joe,Forte,45,2005-2006
42,0020500015,1174,Ken,Mauer,41,2005-2006
43,0020500015,1179,Rodney,Mott,71,2005-2006
44,0020500015,2148,Mark,Ayotte,56,2005-2006
45,0020500016,1662,Bill,Kennedy,55,2005-2006
46,0020500016,1151,Sean,Corbin,33,2005-2006
47,0020500016,1142,Dick,Bavetta,27,2005-2006
48,0020500017,2002,Derrick,Collins,54,2005-2006
49,0020500017,1153,Joe,Crawford,17,2005-2006
50,0020500017,1144,Ted,Bernhardt,16,2005-2006
51,0020500018,1162,Scott,Foster,48,2005-2006
52,0020500018,1195,Derrick,Stafford,9,2005-2006
53,0020500018,2003,Pat,Fraher,52,2005-2006
54,0020500019,1168,David,Jones,36,2005-2006
55,0020500019,2716,Olandis,Poole,50,2005-2006
56,0020500019,1161,Joe,Forte,45,2005-2006
57,0020500020,1164,Ron,Garretson,10,2005-2006
58,0020500020,1193,Michael,Smith,38,2005-2006
59,0020500020,2882,Sean,Wright,65,2005-2006
60,0020500021,1159,Kevin,Fehr,39,2005-2006
61,0020500021,1150,Jimmy,Clark,6,2005-2006
62,0020500021,1180,Jack,Nies,35,2005-2006
63,0020500022,1147,Mike,Callahan,24,2005-2006
64,0020500022,1662,Bill,Kennedy,55,2005-2006
65,0020500022,2003,Pat,Fraher,52,2005-2006
66,0020500023,1664,Gary,Zielinski,59,2005-2006
67,0020500023,1167,Steve,Javie,29,2005-2006
68,0020500023,1156,Tim,Donaghy,21,2005-2006
69,0020500024,2715,Eric,Lewis,42,2005-2006
70,0020500024,1190,Eddie,Rush,32,2005-2006
71,0020500024,1165,Luis,Grillo,8,2005-2006
72,0020500025,1195,Derrick,Stafford,9,2005-2006
73,0020500025,1826,Jess,Kersey,20,2005-2006
74,0020500025,2883,Robbie,Robinson,53,2005-2006
75,0020500026,1176,Monty,McCutchen,13,2005-2006
76,0020500026,1188,Leroy,Richardson,51,2005-2006
77,0020500026,1200,Greg,Willard,57,2005-2006
78,0020500027,1153,Joe,Crawford,17,2005-2006
79,0020500027,2878,Tommy,Nunez Jr.,28,2005-2006
80,0020500027,1144,Ted,Bernhardt,16,2005-2006
81,0020500028,1151,Sean,Corbin,33,2005-2006
82,0020500028,1142,Dick,Bavetta,27,2005-2006
83,0020500028,1185,Violet,Palmer,12,2005-2006
84,0020500029,1174,Ken,Mauer,41,2005-2006
85,0020500029,1363,Bennie,Adams,47,2005-2006
86,0020500029,2148,Mark,Ayotte,56,2005-2006
87,0020500030,1201,Leon,Wood,40,2005-2006
88,0020500030,1198,Scott,Wall,31,2005-2006
89,0020500030,1154,Bob,Delaney,26,2005-2006
90,0020500031,1148,James,Capers,19,2005-2006
91,0020500031,1180,Jack,Nies,35,2005-2006
92,0020500031,2147,Michael,Henderson,62,2005-2006
93,0020500032,1146,Tony,Brothers,25,2005-2006
94,0020500032,1159,Kevin,Fehr,39,2005-2006
95,0020500032,1150,Jimmy,Clark,6,2005-2006
96,0020500033,1162,Scott,Foster,48,2005-2006
97,0020500033,1662,Bill,Kennedy,55,2005-2006
98,0020500033,2532,Eli,Roe,64,2005-2006
99,0020500034,1152,Dan,Crawford,43,2005-2006
100,0020500034,2001,Jason,Phillips,23,2005-2006
101,0020500034,1203,Mark,Wunderlich,18,2005-2006
102,0020500035,1147,Mike,Callahan,24,2005-2006
103,0020500035,2005,Matt,Boland,46,2005-2006
104,0020500035,1204,Derek,Richardson,63,2005-2006
105,0020500036,2530,Ed,Malloy,73,2005-2006
106,0020500036,1155,JB,DeRosa,14,2005-2006
107,0020500036,1189,Phil,Robinson,11,2005-2006
108,0020500037,2004,Courtney,Kirkland,61,2005-2006
109,0020500037,1194,Bill,Spooner,22,2005-2006
110,0020500037,1192,Bennett,Salvatore,15,2005-2006
111,0020500038,1199,Tom,Washington,49,2005-2006
112,0020500038,1830,Marc,Davis,34,2005-2006
113,0020500038,2534,Zach,Zarba,58,2005-2006
114,0020500039,1195,Derrick,Stafford,9,2005-2006
115,0020500039,2529,Tony,Brown,30,2005-2006
116,0020500039,1826,Jess,Kersey,20,2005-2006
117,0020500040,1179,Rodney,Mott,71,2005-2006
118,0020500040,1200,Greg,Willard,57,2005-2006
119,0020500040,2878,Tommy,Nunez Jr.,28,2005-2006
120,0020500041,1174,Ken,Mauer,41,2005-2006
121,0020500041,1363,Bennie,Adams,47,2005-2006
122,0020500041,2148,Mark,Ayotte,56,2005-2006
123,0020500042,1168,David,Jones,36,2005-2006
124,0020500042,2716,Olandis,Poole,50,2005-2006
125,0020500042,1161,Joe,Forte,45,2005-2006
126,0020500043,1664,Gary,Zielinski,59,2005-2006
127,0020500043,1167,Steve,Javie,29,2005-2006
