,GID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PTS_PAINT,PTS_2ND_CHANCE,PTS_FB,LARGEST_LEAD,LEAD_CHANGES,TIMES_TIED,TEAM_TURNOVERS,TOTAL_TURNOVERS,TEAM_REBOUNDS,PTS_OFF_TO,SEASON
784,0021500393,00,1610612746,LAC,LA,26,11,12,7,15,10,1,11,14,12,2015-2016
785,0021500393,00,1610612759,SAS,San Antonio,40,17,8,8,15,10,1,9,5,7,2015-2016
786,0021500394,00,1610612763,MEM,Memphis,32,9,16,10,1,4,0,12,3,16,2015-2016
787,0021500394,00,1610612742,DAL,Dallas,34,10,19,18,1,4,0,19,6,21,2015-2016
788,0021500395,00,1610612762,UTA,Utah,32,8,8,11,10,10,1,15,12,13,2015-2016
789,0021500395,00,1610612743,DEN,Denver,42,13,5,5,10,10,1,15,3,14,2015-2016
790,0021500396,00,1610612740,NOP,New Orleans,34,8,16,5,1,3,0,21,8,20,2015-2016
791,0021500396,00,1610612756,PHX,Phoenix,52,21,13,17,1,3,0,19,9,16,2015-2016
792,0021500397,00,1610612744,GSW,Golden State,58,18,23,9,12,7,0,15,10,19,2015-2016
793,0021500397,00,1610612749,MIL,Milwaukee,58,14,15,15,12,7,0,16,10,18,2015-2016
794,0021500398,00,1610612760,OKC,Oklahoma City,50,15,14,46,1,0,0,15,12,5,2015-2016
795,0021500398,00,1610612747,LAL,Los Angeles,26,6,7,3,1,0,0,14,9,12,2015-2016
796,0021500399,00,1610612764,WAS,Washington,40,6,18,15,13,5,0,14,3,14,2015-2016
797,0021500399,00,1610612766,CHA,Charlotte,50,19,8,4,13,5,1,18,7,30,2015-2016
798,0021500400,00,1610612752,NYK,New York,46,11,20,22,1,0,1,12,6,17,2015-2016
799,0021500400,00,1610612741,CHI,Chicago,48,23,4,10,1,0,0,13,11,12,2015-2016
800,0021500401,00,1610612745,HOU,Houston,50,13,13,26,2,2,4,19,17,16,2015-2016
801,0021500401,00,1610612746,LAC,LA,36,13,13,1,2,2,0,12,13,8,2015-2016
802,0021500402,00,1610612754,IND,Indiana,34,8,11,2,2,1,0,17,4,25,2015-2016
803,0021500402,00,1610612763,MEM,Memphis,44,9,9,14,2,1,2,11,8,10,2015-2016
804,0021500403,00,1610612751,BKN,Brooklyn,42,6,10,2,1,6,2,16,6,19,2015-2016
805,0021500403,00,1610612750,MIN,Minnesota,48,2,17,20,1,6,1,14,4,10,2015-2016
806,0021500404,00,1610612757,POR,Portland,36,20,13,12,16,10,0,19,9,29,2015-2016
807,0021500404,00,1610612748,MIA,Miami,40,11,12,8,16,10,1,12,4,13,2015-2016
808,0021500405,00,1610612755,PHI,Philadelphia,38,21,13,5,5,6,2,21,16,28,2015-2016
809,0021500405,00,1610612739,CLE,Cleveland,46,5,31,35,5,6,2,12,9,11,2015-2016
810,0021500406,00,1610612756,PHX,Phoenix,44,8,12,15,4,5,1,21,6,21,2015-2016
811,0021500406,00,1610612749,MIL,Milwaukee,50,10,17,11,5,6,1,14,10,15,2015-2016
812,0021500407,00,1610612753,ORL,Orlando,42,17,13,7,16,9,0,13,7,13,2015-2016
813,0021500407,00,1610612737,ATL,Atlanta,40,12,6,11,17,10,1,20,8,24,2015-2016
814,0021500408,00,1610612761,TOR,Toronto,40,18,12,0,0,0,0,12,7,12,2015-2016
815,0021500408,00,1610612758,SAC,Sacramento,52,9,23,22,0,0,1,16,7,20,2015-2016
816,0021500409,00,1610612743,DEN,Denver,54,15,11,7,12,8,1,6,10,11,2015-2016
817,0021500409,00,1610612740,NOP,New Orleans,48,13,4,10,12,8,0,10,12,11,2015-2016
818,0021500410,00,1610612764,WAS,Washington,34,7,20,17,8,5,0,11,6,4,2015-2016
819,0021500410,00,1610612758,SAC,Sacramento,44,14,17,5,8,5,0,15,11,15,2015-2016
820,0021500411,00,1610612750,MIN,Minnesota,56,7,17,0,0,0,1,13,5,15,2015-2016
821,0021500411,00,1610612738,BOS,Boston,44,17,11,22,0,0,1,17,9,12,2015-2016
822,0021500412,00,1610612752,NYK,New York,40,9,8,0,0,0,0,15,3,25,2015-2016
823,0021500412,00,1610612753,ORL,Orlando,52,14,9,10,0,0,1,10,8,12,2015-2016
824,0021500413,00,1610612737,ATL,Atlanta,40,7,7,21,1,1,0,10,8,13,2015-2016
825,0021500413,00,1610612757,POR,Portland,50,16,11,5,1,1,1,19,5,19,2015-2016
826,0021500414,00,1610612751,BKN,Brooklyn,44,16,6,12,8,5,0,14,6,19,2015-2016
827,0021500414,00,1610612741,CHI,Chicago,40,11,16,2,8,5,0,13,9,15,2015-2016
828,0021500415,00,1610612745,HOU,Houston,42,10,20,13,17,13,1,20,12,14,2015-2016
829,0021500415,00,1610612766,CHA,Charlotte,28,13,14,4,17,13,1,12,14,12,2015-2016
830,0021500416,00,1610612759,SAS,San Antonio,62,6,18,18,8,12,0,9,4,11,2015-2016
831,0021500416,00,1610612754,IND,Indiana,38,18,4,3,8,12,0,14,5,16,2015-2016
832,0021500417,00,1610612756,PHX,Phoenix,34,6,12,0,0,0,3,16,7,23,2015-2016
833,0021500417,00,1610612762,UTA,Utah,44,14,15,24,0,0,1,11,7,4,2015-2016
834,0021500418,00,1610612760,OKC,Oklahoma City,48,9,19,2,10,8,0,11,5,15,2015-2016
835,0021500418,00,1610612746,LAC,LA,44,6,8,10,9,8,0,13,5,11,2015-2016
836,0021500419,00,1610612763,MEM,Memphis,44,17,21,20,8,4,0,12,10,20,2015-2016
837,0021500419,00,1610612755,PHI,Philadelphia,46,10,11,4,8,4,2,28,8,36,2015-2016
838,0021500420,00,1610612765,DET,Detroit,28,16,3,4,13,6,0,16,10,19,2015-2016
839,0021500420,00,1610612748,MIA,Miami,50,11,9,18,12,6,0,5,7,7,2015-2016
840,0021500421,00,1610612761,TOR,Toronto,28,10,8,18,0,0,1,18,7,31,2015-2016
841,0021500421,00,1610612742,DAL,Dallas,34,7,6,0,0,0,0,6,6,7,2015-2016
842,0021500422,00,1610612747,LAL,Los Angeles,42,17,9,8,6,1,0,11,10,14,2015-2016
843,0021500422,00,1610612743,DEN,Denver,54,14,9,21,6,1,0,12,10,13,2015-2016
844,0021500423,00,1610612766,CHA,Charlotte,34,10,4,0,0,0,1,17,13,18,2015-2016
845,0021500423,00,1610612738,BOS,Boston,40,18,16,20,0,0,1,14,7,10,2015-2016
846,0021500424,00,1610612752,NYK,New York,20,9,4,2,4,6,0,11,9,14,2015-2016
847,0021500424,00,1610612739,CLE,Cleveland,36,13,10,11,4,6,1,8,4,4,2015-2016
848,0021500425,00,1610612754,IND,Indiana,44,8,10,7,8,2,0,11,7,13,2015-2016
849,0021500425,00,1610612758,SAC,Sacramento,64,13,21,15,9,3,0,16,9,26,2015-2016
850,0021500426,00,1610612745,HOU,Houston,54,18,10,6,10,5,0,11,7,14,2015-2016
851,0021500426,00,1610612753,ORL,Orlando,60,12,10,14,11,5,1,13,6,17,2015-2016
852,0021500427,00,1610612763,MEM,Memphis,36,11,6,6,1,0,2,10,8,20,2015-2016
853,0021500427,00,1610612764,WAS,Washington,36,14,12,22,1,0,2,16,11,15,2015-2016
854,0021500428,00,1610612751,BKN,Brooklyn,58,28,21,11,12,3,0,11,11,8,2015-2016
855,0021500428,00,1610612742,DAL,Dallas,40,0,13,16,13,3,1,18,9,22,2015-2016
856,0021500429,00,1610612737,ATL,Atlanta,56,13,6,22,11,5,2,15,14,19,2015-2016
857,0021500429,00,1610612765,DET,Detroit,52,15,12,5,11,5,0,14,16,18,2015-2016
858,0021500430,00,1610612749,MIL,Milwaukee,62,8,23,25,0,0,0,16,5,18,2015-2016
859,0021500430,00,1610612755,PHI,Philadelphia,52,16,18,0,0,0,1,23,10,36,2015-2016
860,0021500431,00,1610612759,SAS,San Antonio,54,18,5,26,0,0,2,17,6,13,2015-2016
861,0021500431,00,1610612750,MIN,Minnesota,24,12,7,0,0,0,1,14,5,6,2015-2016
862,0021500432,00,1610612757,POR,Portland,30,25,8,3,6,3,1,14,6,25,2015-2016
863,0021500432,00,1610612740,NOP,New Orleans,38,8,12,26,6,3,0,11,4,6,2015-2016
864,0021500433,00,1610612756,PHX,Phoenix,36,14,16,3,4,3,0,16,7,26,2015-2016
865,0021500433,00,1610612743,DEN,Denver,42,15,12,22,4,3,0,17,10,26,2015-2016
866,0021500434,00,1610612762,UTA,Utah,38,19,2,2,4,1,1,20,7,26,2015-2016
867,0021500434,00,1610612744,GSW,Golden State,42,14,26,20,4,1,1,16,6,7,2015-2016
868,0021500435,00,1610612760,OKC,Oklahoma City,76,22,27,38,5,6,2,17,7,13,2015-2016
869,0021500435,00,1610612747,LAL,Los Angeles,32,14,7,3,5,6,2,12,10,18,2015-2016
870,0021500436,00,1610612748,MIA,Miami,24,12,12,13,2,6,1,18,9,2,2015-2016
871,0021500436,00,1610612740,NOP,New Orleans,38,8,2,2,2,6,2,19,6,13,2015-2016
872,0021500437,00,1610612741,CHI,Chicago,56,20,13,18,0,0,0,16,10,26,2015-2016
873,0021500437,00,1610612760,OKC,Oklahoma City,48,14,17,0,0,0,1,14,9,16,2015-2016
874,0021500438,00,1610612739,CLE,Cleveland,46,14,4,3,10,7,0,11,9,11,2015-2016
875,0021500438,00,1610612744,GSW,Golden State,46,11,14,10,10,7,0,16,12,14,2015-2016
876,0021500439,00,1610612759,SAS,San Antonio,46,12,11,7,10,9,2,17,6,16,2015-2016
877,0021500439,00,1610612745,HOU,Houston,42,8,7,10,10,9,0,17,9,14,2015-2016
878,0021500440,00,1610612747,LAL,Los Angeles,22,5,8,0,0,1,1,16,13,12,2015-2016
879,0021500440,00,1610612746,LAC,LA,30,17,10,28,0,1,0,16,9,16,2015-2016
880,0021500441,00,1610612749,MIL,Milwaukee,44,13,10,7,2,1,0,13,5,22,2015-2016
881,0021500441,00,1610612761,TOR,Toronto,42,13,10,21,2,1,1,9,6,8,2015-2016
882,0021500442,00,1610612752,NYK,New York,32,18,5,15,1,2,1,23,7,26,2015-2016
883,0021500442,00,1610612737,ATL,Atlanta,62,20,18,24,1,2,0,9,4,12,2015-2016
884,0021500443,00,1610612766,CHA,Charlotte,22,10,30,12,15,11,3,19,7,24,2015-2016
885,0021500443,00,1610612763,MEM,Memphis,46,15,6,6,15,11,0,13,10,23,2015-2016
886,0021500444,00,1610612753,ORL,Orlando,40,9,7,15,4,2,1,10,7,9,2015-2016
887,0021500444,00,1610612748,MIA,Miami,38,10,11,7,4,2,1,9,4,11,2015-2016
888,0021500445,00,1610612745,HOU,Houston,32,22,12,12,9,10,1,11,9,13,2015-2016
889,0021500445,00,1610612740,NOP,New Orleans,38,13,7,4,9,10,1,16,7,21,2015-2016
890,0021500446,00,1610612738,BOS,Boston,50,11,4,16,6,5,1,15,6,17,2015-2016
891,0021500446,00,1610612765,DET,Detroit,46,25,9,2,6,5,1,16,11,16,2015-2016
892,0021500447,00,1610612764,WAS,Washington,44,7,19,21,9,1,2,13,10,9,2015-2016
893,0021500447,00,1610612751,BKN,Brooklyn,50,12,7,6,9,1,1,20,7,22,2015-2016
894,0021500448,00,1610612750,MIN,Minnesota,38,14,8,7,13,11,1,22,3,28,2015-2016
895,0021500448,00,1610612754,IND,Indiana,42,16,18,16,13,11,2,23,10,31,2015-2016
896,0021500449,00,1610612742,DAL,Dallas,44,30,17,9,15,11,1,12,6,11,2015-2016
897,0021500449,00,1610612741,CHI,Chicago,38,19,8,11,15,11,1,18,7,28,2015-2016
898,0021500450,00,1610612759,SAS,San Antonio,42,14,11,21,10,9,2,13,7,12,2015-2016
899,0021500450,00,1610612743,DEN,Denver,48,6,4,2,10,9,0,15,8,18,2015-2016
