,GID,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,SEASON
0,0029700004,1157,Terry,Durham,31,1997-1998
1,0029700004,1176,Monty,McCutchen,58,1997-1998
2,0029700004,1192,Bennett,Salvatore,15,1997-1998
3,0029700013,1194,Bill,Spooner,22,1997-1998
4,0029700013,1142,Dick,Bavetta,27,1997-1998
5,0029700013,1150,Jimmy,Clark,6,1997-1998
6,0029700025,1142,Dick,Bavetta,27,1997-1998
7,0029700025,1159,Kevin,Fehr,62,1997-1998
8,0029700025,1150,Jimmy,Clark,6,1997-1998
9,0029700041,1199,Tom,Washington,49,1997-1998
10,0029700041,1363,Bennie,Adams,47,1997-1998
11,0029700041,1158,Hugh,Evans,25,1997-1998
12,0029700056,1195,Derrick,Stafford,14,1997-1998
13,0029700056,1140,Bruce,Alexander,9,1997-1998
14,0029700056,1160,Nolan,Fine,50,1997-1998
15,0029700085,1194,Bill,Spooner,22,1997-1998
16,0029700085,1159,Kevin,Fehr,62,1997-1998
17,0029700085,1167,Steve,Javie,29,1997-1998
18,0029700113,1168,David,Jones,36,1997-1998
19,0029700113,1151,Sean,Corbin,64,1997-1998
20,0029700113,1142,Dick,Bavetta,27,1997-1998
21,0029700144,1188,Leroy,Richardson,51,1997-1998
22,0029700144,1167,Steve,Javie,29,1997-1998
23,0029700144,1184,Ron,Olesiak,44,1997-1998
24,0029700169,1204,Derek,Richardson,63,1997-1998
25,0029700169,1166,Hue,Hollins,42,1997-1998
26,0029700169,1140,Bruce,Alexander,9,1997-1998
27,0029700178,1168,David,Jones,36,1997-1998
28,0029700178,1194,Bill,Spooner,22,1997-1998
29,0029700178,1167,Steve,Javie,29,1997-1998
30,0029700254,1195,Derrick,Stafford,14,1997-1998
31,0029700254,1204,Derek,Richardson,63,1997-1998
32,0029700254,1163,Bernie,Fryer,7,1997-1998
33,0029700258,1174,Ken,Mauer,41,1997-1998
34,0029700258,1193,Michael,Smith,59,1997-1998
35,0029700258,1180,Jack,Nies,35,1997-1998
36,0029700281,1168,David,Jones,36,1997-1998
37,0029700281,1151,Sean,Corbin,64,1997-1998
38,0029700281,1167,Steve,Javie,29,1997-1998
39,0029700374,1201,Leon,Wood,40,1997-1998
40,0029700374,1192,Bennett,Salvatore,15,1997-1998
41,0029700374,1177,Ed,Middleton,18,1997-1998
42,0029700385,1148,James,Capers,19,1997-1998
43,0029700385,1203,Mark,Wunderlich,61,1997-1998
44,0029700385,1181,Tommy,Nunez,28,1997-1998
45,0029700409,1185,Violet,Palmer,66,1997-1998
46,0029700409,1186,Blane,Reichelt,37,1997-1998
47,0029700409,1181,Tommy,Nunez,28,1997-1998
48,0029700438,1168,David,Jones,36,1997-1998
49,0029700438,1150,Jimmy,Clark,6,1997-1998
50,0029700438,1143,Gary,Benson,30,1997-1998
51,0029700712,1204,Derek,Richardson,63,1997-1998
52,0029700712,1161,Joe,Forte,45,1997-1998
53,0029700712,1140,Bruce,Alexander,9,1997-1998
54,0029700778,1185,Violet,Palmer,66,1997-1998
55,0029700778,1186,Blane,Reichelt,37,1997-1998
56,0029700778,1183,Bill,Oakes,21,1997-1998
57,0029700804,1146,Tony,Brothers,56,1997-1998
58,0029700804,1192,Bennett,Salvatore,15,1997-1998
59,0029700804,1177,Ed,Middleton,18,1997-1998
60,0029700842,1193,Michael,Smith,59,1997-1998
61,0029700842,1151,Sean,Corbin,64,1997-1998
62,0029700842,1181,Tommy,Nunez,28,1997-1998
63,0029700915,1159,Kevin,Fehr,62,1997-1998
64,0029700915,1168,David,Jones,36,1997-1998
65,0029700915,1195,Derrick,Stafford,14,1997-1998
66,0029701032,1179,Rodney,Mott,71,1997-1998
67,0029701032,1165,Luis,Grillo,8,1997-1998
68,0029701032,1157,Terry,Durham,31,1997-1998
69,0029701045,1186,Blane,Reichelt,37,1997-1998
70,0029701045,1661,Rashan,Michel,74,1997-1998
71,0029701045,1183,Bill,Oakes,21,1997-1998
72,0029701113,1147,Mike,Callahan,24,1997-1998
73,0029701113,1198,Scott,Wall,60,1997-1998
74,0029701113,1163,Bernie,Fryer,7,1997-1998
75,0029701140,1180,Jack,Nies,35,1997-1998
76,0029701140,1186,Blane,Reichelt,37,1997-1998
77,0029701140,1181,Tommy,Nunez,28,1997-1998
