,GID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PTS_PAINT,PTS_2ND_CHANCE,PTS_FB,LARGEST_LEAD,LEAD_CHANGES,TIMES_TIED,TEAM_TURNOVERS,TOTAL_TURNOVERS,TEAM_REBOUNDS,PTS_OFF_TO,SEASON
0,0021300001,00,1610612754,IND,Indiana,36,11,13,19,12,3,1,21,12,21,2013-2014
1,0021300001,00,1610612753,ORL,Orlando,34,18,10,4,12,3,2,19,13,29,2013-2014
2,0021300002,00,1610612741,CHI,Chicago,50,16,17,7,2,1,1,19,6,15,2013-2014
3,0021300002,00,1610612748,MIA,Miami,34,5,10,25,2,1,2,20,8,30,2013-2014
4,0021300003,00,1610612746,LAC,Los Angeles,48,16,19,8,14,9,0,16,9,28,2013-2014
5,0021300003,00,1610612747,LAL,Los Angeles,42,30,13,17,14,9,0,19,12,25,2013-2014
6,0021300004,00,1610612739,CLE,Cleveland,34,16,11,10,13,7,3,14,17,16,2013-2014
7,0021300004,00,1610612751,BKN,Brooklyn,30,14,12,10,13,7,0,15,12,18,2013-2014
8,0021300005,00,1610612748,MIA,Miami,36,4,11,9,2,0,0,19,7,27,2013-2014
9,0021300005,00,1610612755,PHI,Philadelphia,50,8,26,22,2,0,0,18,9,23,2013-2014
10,0021300006,00,1610612761,TOR,Toronto,44,28,11,16,5,10,1,18,13,25,2013-2014
11,0021300006,00,1610612738,BOS,Boston,40,12,12,6,5,10,0,22,8,20,2013-2014
12,0021300007,00,1610612764,WAS,Washington,28,12,9,5,3,2,1,17,6,20,2013-2014
13,0021300007,00,1610612765,DET,Detroit,56,16,13,15,3,2,1,19,10,22,2013-2014
14,0021300008,00,1610612749,MIL,Milwaukee,28,10,10,1,2,3,1,24,8,27,2013-2014
15,0021300008,00,1610612752,NYK,New York,50,7,24,25,2,3,0,22,6,27,2013-2014
16,0021300009,00,1610612745,HOU,Houston,46,20,7,14,5,5,1,19,8,9,2013-2014
17,0021300009,00,1610612766,CHA,Charlotte,42,15,15,6,5,5,1,8,14,3,2013-2014
18,0021300010,00,1610612750,MIN,Minnesota,46,14,18,17,7,6,1,15,12,14,2013-2014
19,0021300010,00,1610612753,ORL,Orlando,46,17,11,3,7,6,0,18,9,18,2013-2014
20,0021300011,00,1610612754,IND,Indiana,32,7,5,6,5,4,2,18,9,20,2013-2014
21,0021300011,00,1610612740,NOP,New Orleans,32,10,13,16,5,4,0,15,11,10,2013-2014
22,0021300012,00,1610612737,ATL,Atlanta,42,11,20,3,11,10,0,17,6,10,2013-2014
23,0021300012,00,1610612742,DAL,Dallas,38,11,19,16,11,10,0,20,4,26,2013-2014
24,0021300013,00,1610612763,MEM,Memphis,40,19,11,6,3,1,0,14,10,15,2013-2014
25,0021300013,00,1610612759,SAS,San Antonio,50,7,19,21,3,1,0,15,9,16,2013-2014
26,0021300014,00,1610612762,UTA,Utah,56,15,14,7,11,8,0,22,12,25,2013-2014
27,0021300014,00,1610612760,OKC,Oklahoma City,32,10,25,15,11,8,1,14,4,13,2013-2014
28,0021300015,00,1610612757,POR,Portland,24,5,19,2,3,3,1,14,4,17,2013-2014
29,0021300015,00,1610612756,PHX,Phoenix,52,12,31,17,3,3,0,15,9,12,2013-2014
30,0021300016,00,1610612758,SAC,Sacramento,40,19,11,13,7,10,0,14,8,12,2013-2014
31,0021300016,00,1610612743,DEN,Denver,38,14,23,4,7,10,1,19,12,21,2013-2014
32,0021300017,00,1610612747,LAL,Los Angeles,40,10,17,0,0,0,1,17,8,22,2013-2014
33,0021300017,00,1610612744,GSW,Golden State,40,7,22,35,0,0,0,15,9,12,2013-2014
34,0021300018,00,1610612752,NYK,New York,24,14,12,2,8,4,0,15,11,13,2013-2014
35,0021300018,00,1610612741,CHI,Chicago,46,13,14,13,9,4,1,19,5,15,2013-2014
36,0021300019,00,1610612746,LAC,Los Angeles,48,18,22,19,2,5,1,19,16,22,2013-2014
37,0021300019,00,1610612744,GSW,Golden State,42,12,17,5,2,5,1,25,13,28,2013-2014
38,0021300021,00,1610612740,NOP,New Orleans,36,13,15,2,1,0,0,12,8,17,2013-2014
39,0021300021,00,1610612753,ORL,Orlando,34,8,15,30,1,0,1,19,7,23,2013-2014
40,0021300022,00,1610612755,PHI,Philadelphia,74,18,20,9,1,5,0,19,13,26,2013-2014
41,0021300022,00,1610612764,WAS,Washington,54,15,34,14,1,5,1,18,7,19,2013-2014
42,0021300023,00,1610612761,TOR,Toronto,48,15,8,4,21,3,0,12,12,13,2013-2014
43,0021300023,00,1610612737,ATL,Atlanta,40,14,8,18,21,3,0,13,15,16,2013-2014
44,0021300024,00,1610612749,MIL,Milwaukee,46,22,10,7,2,3,0,7,3,10,2013-2014
45,0021300024,00,1610612738,BOS,Boston,50,23,11,22,1,2,0,17,12,16,2013-2014
46,0021300025,00,1610612745,HOU,Houston,40,18,19,22,1,1,1,23,18,18,2013-2014
47,0021300025,00,1610612742,DAL,Dallas,44,17,17,1,1,1,0,14,11,18,2013-2014
48,0021300026,00,1610612763,MEM,Memphis,48,15,24,10,9,7,0,20,11,26,2013-2014
49,0021300026,00,1610612765,DET,Detroit,56,5,25,7,9,7,1,20,6,29,2013-2014
50,0021300027,00,1610612750,MIN,Minnesota,44,6,17,34,1,2,1,16,13,8,2013-2014
51,0021300027,00,1610612760,OKC,Oklahoma City,20,9,2,2,1,2,0,21,9,25,2013-2014
52,0021300028,00,1610612748,MIA,Miami,40,4,7,3,5,4,1,16,5,20,2013-2014
53,0021300028,00,1610612751,BKN,Brooklyn,32,10,10,16,5,4,1,19,14,18,2013-2014
54,0021300029,00,1610612757,POR,Portland,32,27,13,26,7,4,0,7,16,3,2013-2014
55,0021300029,00,1610612743,DEN,Denver,50,22,10,4,7,4,1,5,14,4,2013-2014
56,0021300030,00,1610612756,PHX,Phoenix,40,12,24,6,12,7,1,17,6,11,2013-2014
57,0021300030,00,1610612762,UTA,Utah,36,19,14,8,12,7,1,21,16,22,2013-2014
58,0021300031,00,1610612746,LAC,Los Angeles,26,15,16,15,7,4,0,15,10,21,2013-2014
59,0021300031,00,1610612758,SAC,Sacramento,40,16,12,4,7,4,1,10,9,15,2013-2014
60,0021300032,00,1610612759,SAS,San Antonio,40,20,8,6,21,6,0,12,11,10,2013-2014
61,0021300032,00,1610612747,LAL,Los Angeles,32,8,10,15,21,6,0,12,12,18,2013-2014
62,0021300033,00,1610612739,CLE,Cleveland,24,2,17,4,4,2,0,16,10,20,2013-2014
63,0021300033,00,1610612754,IND,Indiana,28,9,12,19,4,2,1,21,8,18,2013-2014
64,0021300034,00,1610612755,PHI,Philadelphia,44,14,10,3,8,2,0,15,6,14,2013-2014
65,0021300034,00,1610612741,CHI,Chicago,56,21,23,20,7,1,0,18,7,15,2013-2014
66,0021300035,00,1610612740,NOP,New Orleans,42,9,12,27,0,0,0,17,10,13,2013-2014
67,0021300035,00,1610612766,CHA,Charlotte,32,19,5,0,0,0,2,15,13,16,2013-2014
68,0021300036,00,1610612742,DAL,Dallas,40,18,20,21,1,1,0,11,6,15,2013-2014
69,0021300036,00,1610612763,MEM,Memphis,48,17,23,4,1,1,1,18,6,20,2013-2014
70,0021300037,00,1610612749,MIL,Milwaukee,48,4,11,5,3,10,1,14,8,16,2013-2014
71,0021300037,00,1610612761,TOR,Toronto,38,21,13,13,3,10,0,17,6,17,2013-2014
72,0021300038,00,1610612762,UTA,Utah,38,21,8,19,6,6,0,15,9,13,2013-2014
73,0021300038,00,1610612745,HOU,Houston,48,11,21,11,6,6,0,18,6,17,2013-2014
74,0021300039,00,1610612759,SAS,San Antonio,52,18,2,2,4,6,0,12,6,19,2013-2014
75,0021300039,00,1610612757,POR,Portland,34,8,7,13,4,6,0,16,8,12,2013-2014
76,0021300040,00,1610612758,SAC,Sacramento,38,19,17,1,2,0,1,15,5,14,2013-2014
77,0021300040,00,1610612744,GSW,Golden State,36,6,16,27,2,0,0,18,3,20,2013-2014
78,0021300041,00,1610612765,DET,Detroit,54,19,19,15,4,5,0,21,10,27,2013-2014
79,0021300041,00,1610612738,BOS,Boston,38,8,10,2,4,5,1,24,6,21,2013-2014
80,0021300042,00,1610612764,WAS,Washington,34,21,8,7,1,1,1,21,6,25,2013-2014
81,0021300042,00,1610612748,MIA,Miami,36,10,10,23,1,1,1,17,15,17,2013-2014
82,0021300043,00,1610612751,BKN,Brooklyn,26,12,3,3,12,5,0,12,3,15,2013-2014
