,GID,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_NICKNAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,SEASON
0,0020300001,2003-10-28T00:00:00,0,0020300001,1610612748,MIA,Miami,Heat,0-1,19,20,23,12,0,0,0,0,,,,,,,74,2003-2004
1,0020300001,2003-10-28T00:00:00,0,0020300001,1610612755,PHI,Philadelphia,76ers,1-0,24,20,21,24,0,0,0,0,,,,,,,89,2003-2004
2,0020300002,2003-10-28T00:00:00,0,0020300002,1610612756,PHX,Phoenix,Suns,0-1,28,14,26,14,0,0,0,0,,,,,,,82,2003-2004
3,0020300002,2003-10-28T00:00:00,0,0020300002,1610612759,SAS,San Antonio,Spurs,1-0,19,19,29,16,0,0,0,0,,,,,,,83,2003-2004
4,0020300003,2003-10-28T00:00:00,0,0020300003,1610612742,DAL,Dallas,Mavericks,0-1,15,30,22,26,0,0,0,0,,,,,,,93,2003-2004
5,0020300003,2003-10-28T00:00:00,0,0020300003,1610612747,LAL,Los Angeles,Lakers,1-0,29,26,31,23,0,0,0,0,,,,,,,109,2003-2004
6,0020300004,2003-10-29T00:00:00,0,0020300004,1610612738,BOS,Boston,Celtics,1-0,20,29,30,19,0,0,0,0,,,,,,,98,2003-2004
7,0020300004,2003-10-29T00:00:00,0,0020300004,1610612748,MIA,Miami,Heat,0-2,15,24,22,14,0,0,0,0,,,,,,,75,2003-2004
8,0020300005,2003-10-29T00:00:00,0,0020300005,1610612752,NYK,New York,Knicks,0-1,19,15,25,14,10,0,0,0,,,,,,,83,2003-2004
9,0020300005,2003-10-29T00:00:00,0,0020300005,1610612753,ORL,Orlando,Magic,1-0,17,17,17,22,12,0,0,0,,,,,,,85,2003-2004
10,0020300006,2003-10-29T00:00:00,0,0020300006,1610612737,ATL,Atlanta,Hawks,0-1,17,23,12,23,8,0,0,0,,,,,,,83,2003-2004
11,0020300006,2003-10-29T00:00:00,0,0020300006,1610612740,NOH,New Orleans,Hornets,1-0,14,19,25,17,13,0,0,0,,,,,,,88,2003-2004
12,0020300007,2003-10-29T00:00:00,0,0020300007,1610612761,TOR,Toronto,Raptors,1-0,17,21,26,26,0,0,0,0,,,,,,,90,2003-2004
13,0020300007,2003-10-29T00:00:00,0,0020300007,1610612751,NJN,New Jersey,Nets,0-1,21,26,20,20,0,0,0,0,,,,,,,87,2003-2004
14,0020300008,2003-10-29T00:00:00,0,0020300008,1610612765,DET,Detroit,Pistons,0-1,20,24,22,21,0,0,0,0,,,,,,,87,2003-2004
15,0020300008,2003-10-29T00:00:00,0,0020300008,1610612754,IND,Indiana,Pacers,1-0,19,27,26,17,0,0,0,0,,,,,,,89,2003-2004
16,0020300009,2003-10-29T00:00:00,0,0020300009,1610612749,MIL,Milwaukee,Bucks,0-1,16,25,25,23,0,0,0,0,,,,,,,89,2003-2004
17,0020300009,2003-10-29T00:00:00,0,0020300009,1610612750,MIN,Minnesota,Timberwolves,1-0,27,27,17,24,0,0,0,0,,,,,,,95,2003-2004
18,0020300010,2003-10-29T00:00:00,0,0020300010,1610612741,CHI,Chicago,Bulls,0-1,15,16,26,17,0,0,0,0,,,,,,,74,2003-2004
19,0020300010,2003-10-29T00:00:00,0,0020300010,1610612764,WAS,Washington,Wizards,1-0,20,23,26,30,0,0,0,0,,,,,,,99,2003-2004
20,0020300011,2003-10-29T00:00:00,0,0020300011,1610612743,DEN,Denver,Nuggets,1-0,20,19,24,17,0,0,0,0,,,,,,,80,2003-2004
21,0020300011,2003-10-29T00:00:00,0,0020300011,1610612759,SAS,San Antonio,Spurs,1-1,20,16,15,21,0,0,0,0,,,,,,,72,2003-2004
22,0020300012,2003-10-29T00:00:00,0,0020300012,1610612757,POR,Portland,Trail Blazers,0-1,23,28,19,22,0,0,0,0,,,,,,,92,2003-2004
23,0020300012,2003-10-29T00:00:00,0,0020300012,1610612762,UTA,Utah,Jazz,1-0,18,25,23,33,0,0,0,0,,,,,,,99,2003-2004
