,GID,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,GAME_DATE_EST,HOME_TEAM_WINS,HOME_TEAM_LOSSES,SERIES_LEADER,SEASON
0,0028200001,0028200001,1610612751,1610612741,1982-10-29T00:00:00,4,2,New Jersey,1982-1983
1,0028200002,0028200002,1610612758,1610612757,1982-10-29T00:00:00,2,3,Portland,1982-1983
2,0028200003,0028200003,1610612754,1610612764,1982-10-29T00:00:00,1,5,Washington,1982-1983
3,0028200004,0028200004,1610612746,1610612756,1982-10-29T00:00:00,2,4,Phoenix,1982-1983
4,0028200005,0028200005,1610612760,1610612745,1982-10-29T00:00:00,4,1,Seattle,1982-1983
5,0028200006,0028200006,1610612765,1610612737,1982-10-29T00:00:00,3,3,Tied,1982-1983
6,0028200007,0028200007,1610612739,1610612738,1982-10-29T00:00:00,1,5,Boston,1982-1983
7,0028200008,0028200008,1610612752,1610612755,1982-10-29T00:00:00,1,5,Philadelphia,1982-1983
8,0028200009,0028200009,1610612762,1610612759,1982-10-29T00:00:00,1,5,San Antonio,1982-1983
9,0028200010,0028200010,1610612747,1610612744,1982-10-29T00:00:00,5,1,L.A. Lakers,1982-1983
10,0028200011,0028200011,1610612743,1610612742,1982-10-29T00:00:00,3,3,Tied,1982-1983
11,0028200012,0028200012,1610612749,1610612752,1982-10-30T00:00:00,4,2,Milwaukee,1982-1983
12,0028200013,0028200013,1610612759,1610612757,1982-10-30T00:00:00,3,2,San Antonio,1982-1983
13,0028200014,0028200014,1610612744,1610612745,1982-10-30T00:00:00,3,2,Golden State,1982-1983
14,0028200015,0028200015,1610612742,1610612762,1982-10-30T00:00:00,2,4,Utah,1982-1983
15,0028200016,0028200016,1610612737,1610612738,1982-10-30T00:00:00,1,5,Boston,1982-1983
16,0028200017,0028200017,1610612741,1610612764,1982-10-30T00:00:00,1,5,Washington,1982-1983
17,0028200018,0028200018,1610612755,1610612751,1982-10-30T00:00:00,3,3,Tied,1982-1983
18,0028200019,0028200019,1610612739,1610612749,1982-10-31T00:00:00,1,5,Milwaukee,1982-1983
19,0028200020,0028200020,1610612746,1610612760,1982-10-31T00:00:00,0,6,Seattle,1982-1983
20,0028200021,0028200021,1610612754,1610612765,1982-10-31T00:00:00,2,4,Detroit,1982-1983
21,0028200022,0028200022,1610612743,1610612756,1982-10-31T00:00:00,4,1,Denver,1982-1983
22,0028200023,0028200023,1610612756,1610612757,1982-11-02T00:00:00,5,1,Phoenix,1982-1983
23,0028200024,0028200024,1610612745,1610612742,1982-11-02T00:00:00,1,5,Dallas,1982-1983
24,0028200025,0028200025,1610612737,1610612764,1982-11-02T00:00:00,4,2,Atlanta,1982-1983
25,0028200026,0028200026,1610612751,1610612746,1982-11-02T00:00:00,1,1,Tied,1982-1983
26,0028200027,0028200027,1610612758,1610612749,1982-11-02T00:00:00,1,1,Tied,1982-1983
27,0028200028,0028200028,1610612762,1610612760,1982-11-02T00:00:00,0,5,Seattle,1982-1983
28,0028200029,0028200029,1610612739,1610612765,1982-11-02T00:00:00,1,5,Detroit,1982-1983
29,0028200030,0028200030,1610612764,1610612751,1982-11-03T00:00:00,3,3,Tied,1982-1983
30,0028200031,0028200031,1610612755,1610612746,1982-11-03T00:00:00,2,0,Philadelphia,1982-1983
31,0028200032,0028200032,1610612765,1610612741,1982-11-03T00:00:00,4,2,Detroit,1982-1983
32,0028200033,0028200033,1610612742,1610612745,1982-11-03T00:00:00,5,1,Dallas,1982-1983
33,0028200034,0028200034,1610612744,1610612752,1982-11-03T00:00:00,1,1,Tied,1982-1983
34,0028200035,0028200035,1610612743,1610612747,1982-11-03T00:00:00,1,4,L.A. Lakers,1982-1983
35,0028200036,0028200036,1610612760,1610612759,1982-11-03T00:00:00,4,1,Seattle,1982-1983
36,0028200037,0028200037,1610612738,1610612754,1982-11-03T00:00:00,4,1,Boston,1982-1983
37,0028200038,0028200038,1610612756,1610612762,1982-11-04T00:00:00,5,0,Phoenix,1982-1983
38,0028200039,0028200039,1610612737,1610612749,1982-11-04T00:00:00,1,4,Milwaukee,1982-1983
39,0028200040,0028200040,1610612757,1610612759,1982-11-04T00:00:00,2,3,San Antonio,1982-1983
40,0028200041,0028200041,1610612741,1610612739,1982-11-04T00:00:00,5,1,Chicago,1982-1983
41,0028200042,0028200042,1610612747,1610612743,1982-11-04T00:00:00,4,1,L.A. Lakers,1982-1983
42,0028200043,0028200043,1610612739,1610612751,1982-11-05T00:00:00,0,6,New Jersey,1982-1983
43,0028200044,0028200044,1610612760,1610612752,1982-11-05T00:00:00,1,1,Tied,1982-1983
44,0028200045,0028200045,1610612749,1610612746,1982-11-05T00:00:00,2,0,Milwaukee,1982-1983
45,0028200046,0028200046,1610612738,1610612764,1982-11-05T00:00:00,3,3,Tied,1982-1983
46,0028200047,0028200047,1610612744,1610612759,1982-11-05T00:00:00,1,4,San Antonio,1982-1983
47,0028200048,0028200048,1610612758,1610612742,1982-11-05T00:00:00,3,3,Tied,1982-1983
48,0028200049,0028200049,1610612765,1610612755,1982-11-05T00:00:00,0,6,Philadelphia,1982-1983
49,0028200050,0028200050,1610612741,1610612746,1982-11-06T00:00:00,1,1,Tied,1982-1983
50,0028200051,0028200051,1610612743,1610612744,1982-11-06T00:00:00,4,1,Denver,1982-1983
51,0028200052,0028200052,1610612737,1610612765,1982-11-06T00:00:00,3,3,Tied,1982-1983
52,0028200053,0028200053,1610612742,1610612756,1982-11-06T00:00:00,2,3,Phoenix,1982-1983
53,0028200054,0028200054,1610612764,1610612754,1982-11-06T00:00:00,5,1,Washington,1982-1983
54,0028200055,0028200055,1610612755,1610612738,1982-11-06T00:00:00,3,3,Tied,1982-1983
55,0028200056,0028200056,1610612757,1610612752,1982-11-06T00:00:00,1,1,Tied,1982-1983
56,0028200057,0028200057,1610612762,1610612747,1982-11-06T00:00:00,1,4,L.A. Lakers,1982-1983
57,0028200058,0028200058,1610612751,1610612738,1982-11-07T00:00:00,1,5,Boston,1982-1983
58,0028200059,0028200059,1610612747,1610612757,1982-11-07T00:00:00,3,3,Tied,1982-1983
59,0028200060,0028200060,1610612759,1610612756,1982-11-07T00:00:00,2,3,Phoenix,1982-1983
60,0028200061,0028200061,1610612749,1610612760,1982-11-07T00:00:00,0,2,Seattle,1982-1983
61,0028200062,0028200062,1610612747,1610612758,1982-11-09T00:00:00,4,1,L.A. Lakers,1982-1983
62,0028200063,0028200063,1610612764,1610612765,1982-11-09T00:00:00,2,3,Detroit,1982-1983
63,0028200064,0028200064,1610612759,1610612762,1982-11-09T00:00:00,5,1,San Antonio,1982-1983
64,0028200065,0028200065,1610612745,1610612756,1982-11-09T00:00:00,0,5,Phoenix,1982-1983
65,0028200066,0028200066,1610612754,1610612746,1982-11-09T00:00:00,1,1,Tied,1982-1983
66,0028200067,0028200067,1610612752,1610612751,1982-11-09T00:00:00,2,4,New Jersey,1982-1983
67,0028200068,0028200068,1610612741,1610612760,1982-11-09T00:00:00,0,2,Seattle,1982-1983
68,0028200069,0028200069,1610612743,1610612737,1982-11-09T00:00:00,1,1,Tied,1982-1983
69,0028200070,0028200070,1610612757,1610612744,1982-11-09T00:00:00,4,2,Portland,1982-1983
70,0028200071,0028200071,1610612765,1610612754,1982-11-10T00:00:00,4,2,Detroit,1982-1983
71,0028200072,0028200072,1610612762,1610612743,1982-11-10T00:00:00,2,4,Denver,1982-1983
72,0028200073,0028200073,1610612742,1610612760,1982-11-10T00:00:00,2,3,Seattle,1982-1983
73,0028200074,0028200074,1610612755,1610612741,1982-11-10T00:00:00,5,1,Philadelphia,1982-1983
74,0028200075,0028200075,1610612738,1610612749,1982-11-10T00:00:00,3,3,Tied,1982-1983
75,0028200076,0028200076,1610612751,1610612752,1982-11-10T00:00:00,4,2,New Jersey,1982-1983
76,0028200077,0028200077,1610612744,1610612739,1982-11-10T00:00:00,0,2,Cleveland,1982-1983
77,0028200078,0028200078,1610612756,1610612758,1982-11-10T00:00:00,4,1,Phoenix,1982-1983
