,GID,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,GAME_DATE_EST,HOME_TEAM_WINS,HOME_TEAM_LOSSES,SERIES_LEADER,SEASON
0,0028600001,0028600001,1610612757,1610612760,1986-10-31T00:00:00,4,2,Portland,1986-1987
1,0028600002,0028600002,1610612755,1610612754,1986-10-31T00:00:00,4,2,Philadelphia,1986-1987
2,0028600003,0028600003,1610612738,1610612764,1986-10-31T00:00:00,4,2,Boston,1986-1987
3,0028600004,0028600004,1610612751,1610612752,1986-10-31T00:00:00,5,1,New Jersey,1986-1987
4,0028600005,0028600005,1610612758,1610612746,1986-10-31T00:00:00,4,1,Sacramento,1986-1987
5,0028600006,0028600006,1610612765,1610612749,1986-10-31T00:00:00,3,3,Tied,1986-1987
6,0028600007,0028600007,1610612743,1610612759,1986-10-31T00:00:00,5,1,Denver,1986-1987
7,0028600008,0028600008,1610612742,1610612762,1986-10-31T00:00:00,3,3,Tied,1986-1987
8,0028600009,0028600009,1610612756,1610612744,1986-10-31T00:00:00,5,1,Phoenix,1986-1987
9,0028600010,0028600010,1610612737,1610612751,1986-11-01T00:00:00,5,0,Atlanta,1986-1987
10,0028600011,0028600011,1610612759,1610612742,1986-11-01T00:00:00,2,4,Dallas,1986-1987
11,0028600012,0028600012,1610612749,1610612738,1986-11-01T00:00:00,3,3,Tied,1986-1987
12,0028600013,0028600013,1610612762,1610612757,1986-11-01T00:00:00,2,3,Portland,1986-1987
13,0028600014,0028600014,1610612752,1610612741,1986-11-01T00:00:00,2,4,Chicago,1986-1987
14,0028600015,0028600015,1610612744,1610612743,1986-11-01T00:00:00,1,4,Denver,1986-1987
15,0028600016,0028600016,1610612746,1610612756,1986-11-01T00:00:00,1,5,Phoenix,1986-1987
16,0028600017,0028600017,1610612754,1610612765,1986-11-01T00:00:00,3,3,Tied,1986-1987
17,0028600018,0028600018,1610612745,1610612747,1986-11-01T00:00:00,1,4,L.A. Lakers,1986-1987
18,0028600019,0028600019,1610612739,1610612764,1986-11-01T00:00:00,2,4,Washington,1986-1987
19,0028600020,0028600020,1610612760,1610612758,1986-11-01T00:00:00,3,2,Seattle,1986-1987
20,0028600021,0028600021,1610612755,1610612737,1986-11-02T00:00:00,3,3,Tied,1986-1987
21,0028600022,0028600022,1610612739,1610612741,1986-11-02T00:00:00,1,5,Chicago,1986-1987
22,0028600023,0028600023,1610612743,1610612752,1986-11-04T00:00:00,2,0,Denver,1986-1987
23,0028600024,0028600024,1610612744,1610612752,1986-11-03T00:00:00,2,0,Golden State,1986-1987
24,0028600025,0028600025,1610612754,1610612755,1986-11-04T00:00:00,2,4,Philadelphia,1986-1987
25,0028600026,0028600026,1610612756,1610612757,1986-11-04T00:00:00,2,4,Portland,1986-1987
26,0028600027,0028600027,1610612760,1610612747,1986-11-04T00:00:00,2,4,L.A. Lakers,1986-1987
27,0028600028,0028600028,1610612737,1610612749,1986-11-04T00:00:00,3,3,Tied,1986-1987
28,0028600029,0028600029,1610612758,1610612745,1986-11-04T00:00:00,1,5,Houston,1986-1987
29,0028600030,0028600030,1610612742,1610612746,1986-11-04T00:00:00,5,0,Dallas,1986-1987
30,0028600031,0028600031,1610612764,1610612751,1986-11-04T00:00:00,4,2,Washington,1986-1987
