,GID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PTS_PAINT,PTS_2ND_CHANCE,PTS_FB,LARGEST_LEAD,LEAD_CHANGES,TIMES_TIED,TEAM_TURNOVERS,TOTAL_TURNOVERS,TEAM_REBOUNDS,PTS_OFF_TO,SEASON
0,0020000001,00,1610612755,PHI,Philadelphia,36,9,10,32,6,5,1,14,7,12,2000-2001
1,0020000001,00,1610612752,NYK,New York,22,15,4,2,6,5,0,22,5,26,2000-2001
2,0020000002,00,1610612739,CLE,Cleveland,36,12,14,10,8,7,0,19,11,21,2000-2001
3,0020000002,00,1610612751,NJN,New Jersey,42,13,9,11,8,7,3,15,11,12,2000-2001
4,0020000003,00,1610612753,ORL,Orlando,32,9,19,15,2,3,0,15,13,15,2000-2001
5,0020000003,00,1610612764,WAS,Washington,42,12,14,1,2,3,1,27,8,28,2000-2001
6,0020000004,00,1610612737,ATL,Atlanta,40,11,9,4,3,0,0,13,10,13,2000-2001
7,0020000004,00,1610612766,CHH,Charlotte,42,4,6,0,3,0,0,17,9,21,2000-2001
8,0020000005,00,1610612761,TOR,Toronto,26,25,24,5,6,4,0,15,18,26,2000-2001
9,0020000005,00,1610612765,DET,Detroit,44,15,30,19,6,4,0,12,12,15,2000-2001
10,0020000006,00,1610612741,CHI,Chicago,26,8,19,2,6,10,1,20,11,27,2000-2001
11,0020000006,00,1610612758,SAC,Sacramento,58,6,13,19,6,10,1,18,7,21,2000-2001
12,0020000007,00,1610612749,MIL,Milwaukee,26,20,3,0,0,1,2,20,4,13,2000-2001
13,0020000007,00,1610612742,DAL,Dallas,42,19,16,14,0,1,1,18,10,23,2000-2001
14,0020000008,00,1610612745,HOU,Houston,48,11,10,0,0,0,0,18,12,22,2000-2001
15,0020000008,00,1610612750,MIN,Minnesota,32,12,9,26,0,0,1,16,5,20,2000-2001
16,0020000009,00,1610612759,SAS,San Antonio,16,8,6,16,1,0,0,18,10,22,2000-2001
17,0020000009,00,1610612754,IND,Indiana,26,6,9,2,1,0,1,17,4,15,2000-2001
18,0020000010,00,1610612746,LAC,Los Angeles,26,24,10,7,11,8,0,24,14,20,2000-2001
19,0020000010,00,1610612762,UTA,Utah,44,11,5,24,11,8,0,12,13,19,2000-2001
20,0020000011,00,1610612744,GSW,Golden State,36,18,14,12,14,9,0,21,10,18,2000-2001
21,0020000011,00,1610612756,PHX,Phoenix,50,20,24,9,13,9,0,16,7,12,2000-2001
22,0020000012,00,1610612757,POR,Portland,44,19,14,4,11,13,0,10,9,12,2000-2001
23,0020000012,00,1610612747,LAL,Los Angeles,44,13,11,11,11,13,0,20,11,26,2000-2001
24,0020000013,00,1610612763,VAN,Vancouver,32,5,8,25,0,1,0,11,13,20,2000-2001
