,GID,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,GAME_DATE_EST,HOME_TEAM_WINS,HOME_TEAM_LOSSES,SERIES_LEADER,SEASON
0,0021700001,0021700001,1610612739,1610612738,2017-10-17T00:00:00,2,1,Cleveland,2017-2018
1,0021700002,0021700002,1610612744,1610612745,2017-10-17T00:00:00,1,2,Houston,2017-2018
2,0021700003,0021700003,1610612765,1610612766,2017-10-18T00:00:00,1,2,Charlotte,2017-2018
3,0021700004,0021700004,1610612754,1610612751,2017-10-18T00:00:00,4,0,Indiana,2017-2018
4,0021700005,0021700005,1610612753,1610612748,2017-10-18T00:00:00,2,2,Tied,2017-2018
5,0021700006,0021700006,1610612764,1610612755,2017-10-18T00:00:00,2,2,Tied,2017-2018
6,0021700007,0021700007,1610612738,1610612749,2017-10-18T00:00:00,2,2,Tied,2017-2018
7,0021700008,0021700008,1610612763,1610612740,2017-10-18T00:00:00,2,2,Tied,2017-2018
8,0021700009,0021700009,1610612742,1610612737,2017-10-18T00:00:00,0,2,Atlanta,2017-2018
9,0021700010,0021700010,1610612762,1610612743,2017-10-18T00:00:00,2,2,Tied,2017-2018
10,0021700011,0021700011,1610612759,1610612750,2017-10-18T00:00:00,2,1,San Antonio,2017-2018
11,0021700012,0021700012,1610612756,1610612757,2017-10-18T00:00:00,0,4,Portland,2017-2018
12,0021700013,0021700013,1610612758,1610612745,2017-10-18T00:00:00,1,2,Houston,2017-2018
13,0021700014,0021700014,1610612761,1610612741,2017-10-19T00:00:00,4,0,Toronto,2017-2018
14,0021700015,0021700015,1610612760,1610612752,2017-10-19T00:00:00,1,1,Tied,2017-2018
15,0021700016,0021700016,1610612747,1610612746,2017-10-19T00:00:00,1,3,LA Clippers,2017-2018
16,0021700017,0021700017,1610612766,1610612737,2017-10-20T00:00:00,4,0,Charlotte,2017-2018
17,0021700018,0021700018,1610612754,1610612757,2017-10-20T00:00:00,0,2,Portland,2017-2018
18,0021700019,0021700019,1610612755,1610612738,2017-10-20T00:00:00,1,3,Boston,2017-2018
19,0021700020,0021700020,1610612764,1610612765,2017-10-20T00:00:00,3,1,Washington,2017-2018
20,0021700021,0021700021,1610612749,1610612739,2017-10-20T00:00:00,1,3,Cleveland,2017-2018
21,0021700022,0021700022,1610612751,1610612753,2017-10-20T00:00:00,3,1,Brooklyn,2017-2018
22,0021700023,0021700023,1610612750,1610612762,2017-10-20T00:00:00,2,2,Tied,2017-2018
23,0021700024,0021700024,1610612742,1610612758,2017-10-20T00:00:00,2,2,Tied,2017-2018
24,0021700025,0021700025,1610612740,1610612744,2017-10-20T00:00:00,1,3,Golden State,2017-2018
25,0021700026,0021700026,1610612756,1610612747,2017-10-20T00:00:00,1,3,L.A. Lakers,2017-2018
26,0021700027,0021700027,1610612761,1610612755,2017-10-21T00:00:00,3,1,Toronto,2017-2018
27,0021700028,0021700028,1610612739,1610612753,2017-10-21T00:00:00,2,2,Tied,2017-2018
28,0021700029,0021700029,1610612748,1610612754,2017-10-21T00:00:00,2,2,Tied,2017-2018
29,0021700030,0021700030,1610612752,1610612765,2017-10-21T00:00:00,0,3,Detroit,2017-2018
30,0021700031,0021700031,1610612741,1610612759,2017-10-21T00:00:00,0,2,San Antonio,2017-2018
31,0021700032,0021700032,1610612745,1610612742,2017-10-21T00:00:00,4,0,Houston,2017-2018
32,0021700033,0021700033,1610612763,1610612744,2017-10-21T00:00:00,1,2,Golden State,2017-2018
33,0021700034,0021700034,1610612749,1610612757,2017-10-21T00:00:00,2,0,Milwaukee,2017-2018
34,0021700035,0021700035,1610612743,1610612758,2017-10-21T00:00:00,3,1,Denver,2017-2018
35,0021700036,0021700036,1610612762,1610612760,2017-10-21T00:00:00,1,3,Oklahoma City,2017-2018
36,0021700037,0021700037,1610612746,1610612756,2017-10-21T00:00:00,4,0,LA Clippers,2017-2018
37,0021700038,0021700038,1610612751,1610612737,2017-10-22T00:00:00,3,1,Brooklyn,2017-2018
38,0021700039,0021700039,1610612760,1610612750,2017-10-22T00:00:00,1,3,Minnesota,2017-2018
39,0021700040,0021700040,1610612747,1610612740,2017-10-22T00:00:00,0,3,New Orleans,2017-2018
