,GID,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_NICKNAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,SEASON
0,0021700001,2017-10-17T00:00:00,1,0021700001,1610612738,BOS,Boston,Celtics,0-1,19,19,33,28,0,0,0,0,0,0,0,0,0,0,99,2017-2018
1,0021700001,2017-10-17T00:00:00,1,0021700001,1610612739,CLE,Cleveland,Cavaliers,1-0,29,25,18,30,0,0,0,0,0,0,0,0,0,0,102,2017-2018
2,0021700002,2017-10-17T00:00:00,2,0021700002,1610612744,GSW,Golden State,Warriors,0-1,35,36,30,20,0,0,0,0,0,0,0,0,0,0,121,2017-2018
3,0021700002,2017-10-17T00:00:00,2,0021700002,1610612745,HOU,Houston,Rockets,1-0,34,28,26,34,0,0,0,0,0,0,0,0,0,0,122,2017-2018
4,0021700003,2017-10-18T00:00:00,1,0021700003,1610612765,DET,Detroit,Pistons,1-0,29,27,26,20,0,0,0,0,0,0,0,0,0,0,102,2017-2018
5,0021700003,2017-10-18T00:00:00,1,0021700003,1610612766,CHA,Charlotte,Hornets,0-1,27,18,25,20,0,0,0,0,0,0,0,0,0,0,90,2017-2018
6,0021700004,2017-10-18T00:00:00,2,0021700004,1610612751,BKN,Brooklyn,Nets,0-1,30,33,35,33,0,0,0,0,0,0,0,0,0,0,131,2017-2018
7,0021700004,2017-10-18T00:00:00,2,0021700004,1610612754,IND,Indiana,Pacers,1-0,29,36,41,34,0,0,0,0,0,0,0,0,0,0,140,2017-2018
8,0021700005,2017-10-18T00:00:00,3,0021700005,1610612748,MIA,Miami,Heat,0-1,37,18,23,31,0,0,0,0,0,0,0,0,0,0,109,2017-2018
9,0021700005,2017-10-18T00:00:00,3,0021700005,1610612753,ORL,Orlando,Magic,1-0,32,26,30,28,0,0,0,0,0,0,0,0,0,0,116,2017-2018
10,0021700006,2017-10-18T00:00:00,4,0021700006,1610612755,PHI,Philadelphia,76ers,0-1,23,36,23,33,0,0,0,0,0,0,0,0,0,0,115,2017-2018
11,0021700006,2017-10-18T00:00:00,4,0021700006,1610612764,WAS,Washington,Wizards,1-0,32,24,34,30,0,0,0,0,0,0,0,0,0,0,120,2017-2018
12,0021700007,2017-10-18T00:00:00,5,0021700007,1610612738,BOS,Boston,Celtics,0-2,26,27,27,20,0,0,0,0,0,0,0,0,0,0,100,2017-2018
13,0021700007,2017-10-18T00:00:00,5,0021700007,1610612749,MIL,Milwaukee,Bucks,1-0,24,34,18,32,0,0,0,0,0,0,0,0,0,0,108,2017-2018
14,0021700008,2017-10-18T00:00:00,6,0021700008,1610612740,NOP,New Orleans,Pelicans,0-1,34,18,18,21,0,0,0,0,0,0,0,0,0,0,91,2017-2018
15,0021700008,2017-10-18T00:00:00,6,0021700008,1610612763,MEM,Memphis,Grizzlies,1-0,27,27,25,24,0,0,0,0,0,0,0,0,0,0,103,2017-2018
16,0021700009,2017-10-18T00:00:00,7,0021700009,1610612737,ATL,Atlanta,Hawks,1-0,27,31,24,35,0,0,0,0,0,0,0,0,0,0,117,2017-2018
17,0021700009,2017-10-18T00:00:00,7,0021700009,1610612742,DAL,Dallas,Mavericks,0-1,24,23,35,29,0,0,0,0,0,0,0,0,0,0,111,2017-2018
18,0021700010,2017-10-18T00:00:00,8,0021700010,1610612743,DEN,Denver,Nuggets,0-1,30,28,25,13,0,0,0,0,0,0,0,0,0,0,96,2017-2018
19,0021700010,2017-10-18T00:00:00,8,0021700010,1610612762,UTA,Utah,Jazz,1-0,21,28,29,28,0,0,0,0,0,0,0,0,0,0,106,2017-2018
20,0021700011,2017-10-18T00:00:00,9,0021700011,1610612750,MIN,Minnesota,Timberwolves,0-1,25,24,28,22,0,0,0,0,0,0,0,0,0,0,99,2017-2018
21,0021700011,2017-10-18T00:00:00,9,0021700011,1610612759,SAS,San Antonio,Spurs,1-0,32,21,34,20,0,0,0,0,0,0,0,0,0,0,107,2017-2018
22,0021700012,2017-10-18T00:00:00,10,0021700012,1610612756,PHX,Phoenix,Suns,0-1,21,14,20,21,0,0,0,0,0,0,0,0,0,0,76,2017-2018
23,0021700012,2017-10-18T00:00:00,10,0021700012,1610612757,POR,Portland,Trail Blazers,1-0,29,31,38,26,0,0,0,0,0,0,0,0,0,0,124,2017-2018
24,0021700013,2017-10-18T00:00:00,11,0021700013,1610612745,HOU,Houston,Rockets,2-0,26,26,23,30,0,0,0,0,0,0,0,0,0,0,105,2017-2018
25,0021700013,2017-10-18T00:00:00,11,0021700013,1610612758,SAC,Sacramento,Kings,0-1,25,23,24,28,0,0,0,0,0,0,0,0,0,0,100,2017-2018
26,0021700014,2017-10-19T00:00:00,1,0021700014,1610612741,CHI,Chicago,Bulls,0-1,23,14,27,36,0,0,0,0,0,0,0,0,0,0,100,2017-2018
27,0021700014,2017-10-19T00:00:00,1,0021700014,1610612761,TOR,Toronto,Raptors,1-0,25,33,26,33,0,0,0,0,0,0,0,0,0,0,117,2017-2018
28,0021700015,2017-10-19T00:00:00,2,0021700015,1610612752,NYK,New York,Knicks,0-1,24,18,17,25,0,0,0,0,0,0,0,0,0,0,84,2017-2018
29,0021700015,2017-10-19T00:00:00,2,0021700015,1610612760,OKC,Oklahoma City,Thunder,1-0,27,26,26,26,0,0,0,0,0,0,0,0,0,0,105,2017-2018
30,0021700016,2017-10-19T00:00:00,3,0021700016,1610612746,LAC,LA,Clippers,1-0,27,26,34,21,0,0,0,0,0,0,0,0,0,0,108,2017-2018
31,0021700016,2017-10-19T00:00:00,3,0021700016,1610612747,LAL,Los Angeles,Lakers,0-1,19,23,21,29,0,0,0,0,0,0,0,0,0,0,92,2017-2018
32,0021700017,2017-10-20T00:00:00,1,0021700017,1610612737,ATL,Atlanta,Hawks,1-1,28,28,17,18,0,0,0,0,0,0,0,0,0,0,91,2017-2018
33,0021700017,2017-10-20T00:00:00,1,0021700017,1610612766,CHA,Charlotte,Hornets,1-1,18,31,35,25,0,0,0,0,0,0,0,0,0,0,109,2017-2018
34,0021700018,2017-10-20T00:00:00,2,0021700018,1610612754,IND,Indiana,Pacers,1-1,25,27,21,23,0,0,0,0,0,0,0,0,0,0,96,2017-2018
35,0021700018,2017-10-20T00:00:00,2,0021700018,1610612757,POR,Portland,Trail Blazers,2-0,31,31,29,23,0,0,0,0,0,0,0,0,0,0,114,2017-2018
36,0021700019,2017-10-20T00:00:00,3,0021700019,1610612738,BOS,Boston,Celtics,1-2,24,22,23,33,0,0,0,0,0,0,0,0,0,0,102,2017-2018
37,0021700019,2017-10-20T00:00:00,3,0021700019,1610612755,PHI,Philadelphia,76ers,0-2,21,29,22,20,0,0,0,0,0,0,0,0,0,0,92,2017-2018
38,0021700020,2017-10-20T00:00:00,4,0021700020,1610612764,WAS,Washington,Wizards,2-0,29,29,33,24,0,0,0,0,0,0,0,0,0,0,115,2017-2018
39,0021700020,2017-10-20T00:00:00,4,0021700020,1610612765,DET,Detroit,Pistons,1-1,31,34,16,30,0,0,0,0,0,0,0,0,0,0,111,2017-2018
40,0021700021,2017-10-20T00:00:00,5,0021700021,1610612739,CLE,Cleveland,Cavaliers,2-0,25,30,31,30,0,0,0,0,0,0,0,0,0,0,116,2017-2018
41,0021700021,2017-10-20T00:00:00,5,0021700021,1610612749,MIL,Milwaukee,Bucks,1-1,25,24,24,24,0,0,0,0,0,0,0,0,0,0,97,2017-2018
42,0021700022,2017-10-20T00:00:00,6,0021700022,1610612751,BKN,Brooklyn,Nets,1-1,29,29,31,37,0,0,0,0,0,0,0,0,0,0,126,2017-2018
43,0021700022,2017-10-20T00:00:00,6,0021700022,1610612753,ORL,Orlando,Magic,1-1,27,28,36,30,0,0,0,0,0,0,0,0,0,0,121,2017-2018
44,0021700023,2017-10-20T00:00:00,7,0021700023,1610612750,MIN,Minnesota,Timberwolves,1-1,19,27,24,30,0,0,0,0,0,0,0,0,0,0,100,2017-2018
45,0021700023,2017-10-20T00:00:00,7,0021700023,1610612762,UTA,Utah,Jazz,1-1,16,26,23,32,0,0,0,0,0,0,0,0,0,0,97,2017-2018
46,0021700024,2017-10-20T00:00:00,8,0021700024,1610612742,DAL,Dallas,Mavericks,0-2,23,23,14,28,0,0,0,0,0,0,0,0,0,0,88,2017-2018
47,0021700024,2017-10-20T00:00:00,8,0021700024,1610612758,SAC,Sacramento,Kings,1-1,19,27,25,22,0,0,0,0,0,0,0,0,0,0,93,2017-2018
48,0021700025,2017-10-20T00:00:00,9,0021700025,1610612740,NOP,New Orleans,Pelicans,0-2,39,25,26,30,0,0,0,0,0,0,0,0,0,0,120,2017-2018
49,0021700025,2017-10-20T00:00:00,9,0021700025,1610612744,GSW,Golden State,Warriors,1-1,26,35,37,30,0,0,0,0,0,0,0,0,0,0,128,2017-2018
