,GID,GAME_ID,LAST_GAME_ID,LAST_GAME_DATE_EST,LAST_GAME_HOME_TEAM_ID,LAST_GAME_HOME_TEAM_CITY,LAST_GAME_HOME_TEAM_NAME,LAST_GAME_HOME_TEAM_ABBREVIATION,LAST_GAME_HOME_TEAM_POINTS,LAST_GAME_VISITOR_TEAM_ID,LAST_GAME_VISITOR_TEAM_CITY,LAST_GAME_VISITOR_TEAM_NAME,LAST_GAME_VISITOR_TEAM_CITY1,LAST_GAME_VISITOR_TEAM_POINTS,SEASON
0,0029800001,0029800001,0029700333,1997-12-17T00:00:00,1610612738,Boston,Celtics,BOS,88,1610612761,Toronto,Raptors,TOR,83,1998-1999
1,0029800002,0029800002,0029700883,1998-03-10T00:00:00,1610612753,Orlando,Magic,ORL,78,1610612752,New York,Knicks,NYK,85,1998-1999
2,0029800003,0029800003,0029700928,1998-03-16T00:00:00,1610612748,Miami,Heat,MIA,90,1610612765,Detroit,Pistons,DET,103,1998-1999
3,0029800004,0029800004,0029701102,1998-04-08T00:00:00,1610612766,Charlotte,Hornets,CHH,101,1610612755,Philadelphia,76ers,PHI,109,1998-1999
4,0029800005,0029800005,0029700872,1998-03-08T00:00:00,1610612737,Atlanta,Hawks,ATL,101,1610612739,Cleveland,Cavaliers,CLE,96,1998-1999
5,0029800006,0029800006,0029700952,1998-03-19T00:00:00,1610612754,Indiana,Pacers,IND,95,1610612764,Washington,Wizards,WAS,91,1998-1999
6,0029800007,0029800007,0029700901,1998-03-12T00:00:00,1610612759,San Antonio,Spurs,SAS,97,1610612758,Sacramento,Kings,SAC,86,1998-1999
7,0029800008,0029800008,0029700965,1998-03-20T00:00:00,1610612743,Denver,Nuggets,DEN,88,1610612750,Minnesota,Timberwolves,MIN,104,1998-1999
8,0029800009,0029800009,0049700088,1998-06-14T00:00:00,1610612762,Utah,Jazz,UTA,86,1610612741,Chicago,Bulls,CHI,87,1998-1999
9,0029800010,0029800010,0029700881,1998-03-09T00:00:00,1610612746,Los Angeles,Clippers,LAC,105,1610612756,Phoenix,Suns,PHX,134,1998-1999
10,0029800011,0029800011,0029700728,1998-02-15T00:00:00,1610612747,Los Angeles,Lakers,LAL,88,1610612745,Houston,Rockets,HOU,90,1998-1999
11,0029800012,0029800012,0029701110,1998-04-09T00:00:00,1610612760,Seattle,SuperSonics,SEA,103,1610612742,Dallas,Mavericks,DAL,101,1998-1999
12,0029800013,0029800013,0029701163,1998-04-17T00:00:00,1610612738,Boston,Celtics,BOS,78,1610612739,Cleveland,Cavaliers,CLE,71,1998-1999
13,0029800014,0029800014,0029701087,1998-04-06T00:00:00,1610612755,Philadelphia,76ers,PHI,92,1610612753,Orlando,Magic,ORL,113,1998-1999
14,0029800015,0029800015,0029701061,1998-04-03T00:00:00,1610612764,Washington,Wizards,WAS,120,1610612761,Toronto,Raptors,TOR,112,1998-1999
15,0029800016,0029800016,0029701144,1998-04-14T00:00:00,1610612766,Charlotte,Hornets,CHH,104,1610612749,Milwaukee,Bucks,MIL,82,1998-1999
16,0029800017,0029800017,0029701037,1998-03-31T00:00:00,1610612737,Atlanta,Hawks,ATL,90,1610612751,New Jersey,Nets,NJN,105,1998-1999
17,0029800018,0029800018,0029700947,1998-03-18T00:00:00,1610612759,San Antonio,Spurs,SAS,92,1610612750,Minnesota,Timberwolves,MIN,76,1998-1999
18,0029800019,0029800019,0029701113,1998-04-09T00:00:00,1610612744,Golden State,Warriors,GSW,89,1610612745,Houston,Rockets,HOU,93,1998-1999
19,0029800020,0029800020,0049700036,1998-05-03T00:00:00,1610612752,New York,Knicks,NYK,98,1610612748,Miami,Heat,MIA,81,1998-1999
20,0029800021,0029800021,0029800017,1999-02-06T00:00:00,1610612751,New Jersey,Nets,NJN,106,1610612737,Atlanta,Hawks,ATL,111,1998-1999
21,0029800022,0029800022,0029700894,1998-03-11T00:00:00,1610612765,Detroit,Pistons,DET,122,1610612754,Indiana,Pacers,IND,91,1998-1999
22,0029800023,0029800023,0029701156,1998-04-15T00:00:00,1610612756,Phoenix,Suns,PHX,96,1610612743,Denver,Nuggets,DEN,89,1998-1999
23,0029800024,0029800024,0029700375,1997-12-23T00:00:00,1610612746,Los Angeles,Clippers,LAC,89,1610612741,Chicago,Bulls,CHI,94,1998-1999
24,0029800025,0029800025,0049700075,1998-05-24T00:00:00,1610612747,Los Angeles,Lakers,LAL,92,1610612762,Utah,Jazz,UTA,96,1998-1999
25,0029800026,0029800026,0029701160,1998-04-16T00:00:00,1610612744,Golden State,Warriors,GSW,88,1610612742,Dallas,Mavericks,DAL,82,1998-1999
