,GID,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,GAME_DATE_EST,HOME_TEAM_WINS,HOME_TEAM_LOSSES,SERIES_LEADER,SEASON
0,0020500001,0020500001,1610612755,1610612749,2005-11-01T00:00:00,1,3,Milwaukee,2005-2006
1,0020500002,0020500002,1610612759,1610612743,2005-11-01T00:00:00,2,2,Tied,2005-2006
2,0020500003,0020500003,1610612756,1610612742,2005-11-01T00:00:00,2,2,Tied,2005-2006
3,0020500004,0020500004,1610612761,1610612764,2005-11-02T00:00:00,1,2,Washington,2005-2006
4,0020500005,0020500005,1610612753,1610612754,2005-11-02T00:00:00,0,3,Indiana,2005-2006
5,0020500006,0020500006,1610612739,1610612740,2005-11-02T00:00:00,2,0,Cleveland,2005-2006
6,0020500007,0020500007,1610612738,1610612752,2005-11-02T00:00:00,3,1,Boston,2005-2006
7,0020500008,0020500008,1610612751,1610612749,2005-11-02T00:00:00,3,1,New Jersey,2005-2006
8,0020500009,0020500009,1610612765,1610612755,2005-11-02T00:00:00,3,0,Detroit,2005-2006
9,0020500010,0020500010,1610612763,1610612748,2005-11-02T00:00:00,0,2,Miami,2005-2006
10,0020500011,0020500011,1610612750,1610612757,2005-11-02T00:00:00,2,2,Tied,2005-2006
11,0020500012,0020500012,1610612741,1610612766,2005-11-02T00:00:00,2,2,Tied,2005-2006
12,0020500013,0020500013,1610612745,1610612758,2005-11-02T00:00:00,2,2,Tied,2005-2006
13,0020500014,0020500014,1610612762,1610612742,2005-11-02T00:00:00,1,3,Dallas,2005-2006
14,0020500015,0020500015,1610612760,1610612746,2005-11-02T00:00:00,1,3,L.A. Clippers,2005-2006
15,0020500016,0020500016,1610612743,1610612747,2005-11-02T00:00:00,1,2,L.A. Lakers,2005-2006
16,0020500017,0020500017,1610612744,1610612737,2005-11-02T00:00:00,1,1,Tied,2005-2006
17,0020500018,0020500018,1610612748,1610612754,2005-11-03T00:00:00,1,2,Indiana,2005-2006
18,0020500019,0020500019,1610612747,1610612756,2005-11-03T00:00:00,1,3,Phoenix,2005-2006
19,0020500020,0020500020,1610612761,1610612751,2005-11-04T00:00:00,1,3,New Jersey,2005-2006
20,0020500021,0020500021,1610612755,1610612766,2005-11-04T00:00:00,1,3,Charlotte,2005-2006
21,0020500022,0020500022,1610612753,1610612763,2005-11-04T00:00:00,0,2,Memphis,2005-2006
22,0020500023,0020500023,1610612738,1610612765,2005-11-04T00:00:00,0,3,Detroit,2005-2006
23,0020500024,0020500024,1610612752,1610612764,2005-11-04T00:00:00,1,3,Washington,2005-2006
24,0020500025,0020500025,1610612740,1610612758,2005-11-01T00:00:00,2,2,Tied,2005-2006
