,GID,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_NICKNAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,SEASON
0,0020600001,2006-10-31T00:00:00,1,0020600001,1610612741,CHI,Chicago,Bulls,1-0,22,37,21,28,0,0,0,0,,,,,,,108,2006-2007
1,0020600001,2006-10-31T00:00:00,1,0020600001,1610612748,MIA,Miami,Heat,0-1,16,14,21,15,0,0,0,0,,,,,,,66,2006-2007
2,0020600002,2006-10-31T00:00:00,2,0020600002,1610612747,LAL,Los Angeles,Lakers,1-0,26,27,34,27,0,0,0,0,,,,,,,114,2006-2007
3,0020600002,2006-10-31T00:00:00,2,0020600002,1610612756,PHX,Phoenix,Suns,0-1,41,17,21,27,0,0,0,0,,,,,,,106,2006-2007
4,0020600003,2006-11-01T00:00:00,0,0020600003,1610612737,ATL,Atlanta,Hawks,0-1,14,21,23,17,0,0,0,0,,,,,,,75,2006-2007
5,0020600003,2006-11-01T00:00:00,0,0020600003,1610612755,PHI,Philadelphia,76ers,1-0,29,20,24,15,0,0,0,0,,,,,,,88,2006-2007
6,0020600004,2006-11-01T00:00:00,0,0020600004,1610612754,IND,Indiana,Pacers,1-0,23,26,28,29,0,0,0,0,,,,,,,106,2006-2007
7,0020600004,2006-11-01T00:00:00,0,0020600004,1610612766,CHA,Charlotte,Bobcats,0-1,27,23,23,26,0,0,0,0,,,,,,,99,2006-2007
8,0020600005,2006-11-01T00:00:00,0,0020600005,1610612741,CHI,Chicago,Bulls,1-1,20,25,25,24,0,0,0,0,,,,,,,94,2006-2007
9,0020600005,2006-11-01T00:00:00,0,0020600005,1610612753,ORL,Orlando,Magic,1-0,32,31,23,23,0,0,0,0,,,,,,,109,2006-2007
10,0020600006,2006-11-01T00:00:00,0,0020600006,1610612738,BOS,Boston,Celtics,0-1,16,25,24,22,0,0,0,0,,,,,,,87,2006-2007
11,0020600006,2006-11-01T00:00:00,0,0020600006,1610612740,NOK,New Orleans/Oklahoma City,Hornets,1-0,26,28,21,16,0,0,0,0,,,,,,,91,2006-2007
12,0020600007,2006-11-01T00:00:00,0,0020600007,1610612751,NJN,New Jersey,Nets,1-0,28,25,21,28,0,0,0,0,,,,,,,102,2006-2007
13,0020600007,2006-11-01T00:00:00,0,0020600007,1610612761,TOR,Toronto,Raptors,0-1,27,22,21,22,0,0,0,0,,,,,,,92,2006-2007
14,0020600008,2006-11-01T00:00:00,0,0020600008,1610612749,MIL,Milwaukee,Bucks,1-0,30,25,23,27,0,0,0,0,,,,,,,105,2006-2007
15,0020600008,2006-11-01T00:00:00,0,0020600008,1610612765,DET,Detroit,Pistons,0-1,21,24,27,25,0,0,0,0,,,,,,,97,2006-2007
16,0020600009,2006-11-01T00:00:00,0,0020600009,1610612739,CLE,Cleveland,Cavaliers,1-0,26,21,28,22,0,0,0,0,,,,,,,97,2006-2007
17,0020600009,2006-11-01T00:00:00,0,0020600009,1610612764,WAS,Washington,Wizards,0-1,28,17,24,25,0,0,0,0,,,,,,,94,2006-2007
