,GID,GAME_ID,LAST_GAME_ID,LAST_GAME_DATE_EST,LAST_GAME_HOME_TEAM_ID,LAST_GAME_HOME_TEAM_CITY,LAST_GAME_HOME_TEAM_NAME,LAST_GAME_HOME_TEAM_ABBREVIATION,LAST_GAME_HOME_TEAM_POINTS,LAST_GAME_VISITOR_TEAM_ID,LAST_GAME_VISITOR_TEAM_CITY,LAST_GAME_VISITOR_TEAM_NAME,LAST_GAME_VISITOR_TEAM_CITY1,LAST_GAME_VISITOR_TEAM_POINTS,SEASON
0,0028300001,0028300001,0028200915,1983-04-13T00:00:00,1610612749,Milwaukee,Bucks,MIL,90,1610612754,Indiana,Pacers,IND,113,1983-1984
1,0028300002,0028300002,0028200763,1983-03-18T00:00:00,1610612758,Kansas City,Kings,KCK,96,1610612747,Los Angeles,Lakers,LAL,109,1983-1984
2,0028300003,0028300003,0028200909,1983-04-13T00:00:00,1610612755,Philadelphia,76ers,PHL,76,1610612764,Washington,Bullets,WAS,95,1983-1984
3,0028300004,0028300004,0028200936,1983-04-16T00:00:00,1610612760,Seattle,SuperSonics,SEA,122,1610612744,Golden State,Warriors,GOS,133,1983-1984
4,0028300005,0028300005,0028200811,1983-03-26T00:00:00,1610612751,New Jersey,Nets,NJN,102,1610612737,Atlanta,Hawks,ATL,81,1983-1984
5,0028300006,0028300006,0028200919,1983-04-13T00:00:00,1610612765,Detroit,Pistons,DET,113,1610612738,Boston,Celtics,BOS,101,1983-1984
6,0028300007,0028300007,0028200920,1983-04-14T00:00:00,1610612757,Portland,Trail Blazers,POR,120,1610612746,San Diego,Clippers,SDC,83,1983-1984
7,0028300008,0028300008,0028200793,1983-03-23T00:00:00,1610612739,Cleveland,Cavaliers,CLE,84,1610612752,New York,Knicks,NYK,81,1983-1984
8,0028300009,0028300009,0028200904,1983-04-12T00:00:00,1610612743,Denver,Nuggets,DEN,116,1610612762,Utah,Jazz,UTH,125,1983-1984
9,0028300010,0028300010,0028200648,1983-02-26T00:00:00,1610612762,Utah,Jazz,UTH,101,1610612747,Los Angeles,Lakers,LAL,92,1983-1984
10,0028300011,0028300011,0028200769,1983-03-19T00:00:00,1610612752,New York,Knicks,NYK,90,1610612764,Washington,Bullets,WAS,96,1983-1984
11,0028300012,0028300012,0028200681,1983-03-04T00:00:00,1610612741,Chicago,Bulls,CHI,124,1610612751,New Jersey,Nets,NJN,119,1983-1984
