,GID,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,SEASON
0,0021300001,2003,Pat,Fraher,26,2013-2014
1,0021300001,1179,Rodney,Mott,71,2013-2014
2,0021300001,2005,Matt,Boland,18,2013-2014
3,0021300002,1153,Joe,Crawford,17,2013-2014
4,0021300002,1151,Sean,Corbin,33,2013-2014
5,0021300002,200834,Mark,Lindsay,29,2013-2014
6,0021300003,1152,Dan,Crawford,43,2013-2014
7,0021300003,2715,Eric,Lewis,42,2013-2014
8,0021300003,202041,Kevin,Scott,79,2013-2014
9,0021300004,1164,Ron,Garretson,10,2013-2014
10,0021300004,2534,Zach,Zarba,28,2013-2014
11,0021300004,2716,Olandis,Poole,50,2013-2014
12,0021300005,1201,Leon,Wood,40,2013-2014
13,0021300005,1192,Bennett,Salvatore,15,2013-2014
14,0021300005,202037,J.T.,Orr,72,2013-2014
15,0021300006,1146,Tony,Brothers,25,2013-2014
16,0021300006,1188,Leroy,Richardson,20,2013-2014
17,0021300006,202000,Steve,Anderson,76,2013-2014
18,0021300007,1199,Tom,Washington,49,2013-2014
19,0021300007,1193,Michael,Smith,38,2013-2014
20,0021300007,202026,Karl,Lane,77,2013-2014
21,0021300008,2529,Tony,Brown,6,2013-2014
22,0021300008,1179,Rodney,Mott,71,2013-2014
23,0021300008,200832,Curtis,Blair,74,2013-2014
24,0021300009,1176,Monty,McCutchen,13,2013-2014
25,0021300009,2882,Sean,Wright,65,2013-2014
26,0021300009,202058,James,Williams,60,2013-2014
27,0021300010,2001,Jason,Phillips,23,2013-2014
28,0021300010,1168,David,Jones,36,2013-2014
29,0021300010,101283,Brian,Forte,45,2013-2014
30,0021300011,2002,Derrick,Collins,11,2013-2014
31,0021300011,1194,Bill,Spooner,22,2013-2014
32,0021300011,1190,Eddie,Rush,32,2013-2014
33,0021300012,1148,James,Capers,19,2013-2014
34,0021300012,1204,Derek,Richardson,63,2013-2014
35,0021300012,2714,David,Guthrie,16,2013-2014
36,0021300013,1195,Derrick,Stafford,9,2013-2014
37,0021300013,1198,Scott,Wall,31,2013-2014
38,0021300013,202027,Tre,Maddox,73,2013-2014
39,0021300014,1152,Dan,Crawford,43,2013-2014
40,0021300014,2715,Eric,Lewis,42,2013-2014
41,0021300014,202041,Kevin,Scott,79,2013-2014
42,0021300015,1830,Marc,Davis,8,2013-2014
43,0021300015,2004,Courtney,Kirkland,61,2013-2014
44,0021300015,202053,Scott,Twardoski,52,2013-2014
45,0021300016,1147,Mike,Callahan,24,2013-2014
46,0021300016,1185,Violet,Palmer,12,2013-2014
47,0021300016,201640,Kane,Fitzgerald,35,2013-2014
48,0021300017,1162,Scott,Foster,48,2013-2014
49,0021300017,1664,Gary,Zielinski,59,2013-2014
50,0021300017,201637,Haywoode,Workman,66,2013-2014
51,0021300018,1662,Bill,Kennedy,55,2013-2014
52,0021300018,101283,Brian,Forte,45,2013-2014
53,0021300018,201639,Josh,Tiven,58,2013-2014
54,0021300019,2530,Ed,Malloy,14,2013-2014
55,0021300019,2003,Pat,Fraher,26,2013-2014
56,0021300019,2148,Mark,Ayotte,56,2013-2014
57,0021300021,1174,Ken,Mauer,41,2013-2014
58,0021300021,2882,Sean,Wright,65,2013-2014
59,0021300021,201245,Marat,Kogut,68,2013-2014
60,0021300022,1164,Ron,Garretson,10,2013-2014
61,0021300022,2534,Zach,Zarba,28,2013-2014
62,0021300022,203592,Dedric,Taylor,62,2013-2014
63,0021300023,1199,Tom,Washington,49,2013-2014
64,0021300023,1151,Sean,Corbin,33,2013-2014
65,0021300023,203177,Lauren,Holtkamp,53,2013-2014
