,GID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PTS_PAINT,PTS_2ND_CHANCE,PTS_FB,LARGEST_LEAD,LEAD_CHANGES,TIMES_TIED,TEAM_TURNOVERS,TOTAL_TURNOVERS,TEAM_REBOUNDS,PTS_OFF_TO,SEASON
0,0029800001,00,1610612738,BOS,Boston,34,12,3,6,6,8,1,20,12,0.0,1998-1999
1,0029800001,00,1610612761,TOR,Toronto,52,26,21,17,6,8,1,16,8,0.0,1998-1999
2,0029800002,00,1610612753,ORL,Orlando,34,23,10,21,14,20,0,13,14,0.0,1998-1999
3,0029800002,00,1610612752,NYK,New York,46,8,12,2,14,20,1,18,11,0.0,1998-1999
4,0029800003,00,1610612748,MIA,Miami,34,8,9,0,0,3,0,15,10,0.0,1998-1999
5,0029800003,00,1610612765,DET,Detroit,26,17,10,19,0,3,1,15,15,0.0,1998-1999
6,0029800004,00,1610612755,PHI,Philadelphia,38,19,13,16,8,1,1,13,7,0.0,1998-1999
7,0029800004,00,1610612766,CHH,Charlotte,24,4,17,0,8,1,1,17,14,0.0,1998-1999
8,0029800005,00,1610612739,CLE,Cleveland,40,13,10,8,15,12,1,18,19,,1998-1999
9,0029800005,00,1610612737,ATL,Atlanta,36,11,17,17,15,12,0,13,12,,1998-1999
10,0029800006,00,1610612764,WAS,Washington,28,8,12,0,0,0,0,11,8,0.0,1998-1999
11,0029800006,00,1610612754,IND,Indiana,26,7,7,20,0,0,0,14,15,0.0,1998-1999
12,0029800007,00,1610612759,SAS,San Antonio,48,20,16,31,4,3,0,22,10,0.0,1998-1999
13,0029800007,00,1610612758,SAC,Sacramento,42,14,16,1,4,3,0,19,14,0.0,1998-1999
14,0029800008,00,1610612750,MIN,Minnesota,48,10,6,23,0,0,0,12,11,0.0,1998-1999
15,0029800008,00,1610612743,DEN,Denver,32,18,12,0,0,0,1,20,12,0.0,1998-1999
16,0029800009,00,1610612741,CHI,Chicago,40,20,11,0,0,3,0,12,11,0.0,1998-1999
17,0029800009,00,1610612762,UTA,Utah,44,6,19,18,0,3,1,20,10,0.0,1998-1999
18,0029800010,00,1610612746,LAC,Los Angeles,40,17,10,6,7,4,0,21,8,0.0,1998-1999
19,0029800010,00,1610612756,PHX,Phoenix,62,12,23,16,7,4,0,18,15,0.0,1998-1999
20,0029800011,00,1610612747,LAL,Los Angeles,34,12,9,12,5,3,0,15,7,0.0,1998-1999
21,0029800011,00,1610612745,HOU,Houston,50,21,17,3,5,3,0,12,14,0.0,1998-1999
22,0029800012,00,1610612760,SEA,Seattle,48,27,8,6,5,6,1,7,15,0.0,1998-1999
23,0029800012,00,1610612742,DAL,Dallas,36,16,9,8,5,6,0,9,7,0.0,1998-1999
24,0029800013,00,1610612738,BOS,Boston,36,11,10,4,7,9,1,27,6,0.0,1998-1999
25,0029800013,00,1610612739,CLE,Cleveland,30,10,8,11,6,9,1,23,10,0.0,1998-1999
26,0029800014,00,1610612753,ORL,Orlando,28,11,9,4,7,9,0,21,9,0.0,1998-1999
27,0029800014,00,1610612755,PHI,Philadelphia,36,20,25,21,7,9,1,19,7,0.0,1998-1999
28,0029800015,00,1610612764,WAS,Washington,34,20,11,6,14,11,0,15,10,0.0,1998-1999
29,0029800015,00,1610612761,TOR,Toronto,36,12,13,14,13,11,0,20,12,0.0,1998-1999
30,0029800016,00,1610612749,MIL,Milwaukee,40,11,23,8,21,14,1,6,9,0.0,1998-1999
31,0029800016,00,1610612766,CHH,Charlotte,44,16,11,0,21,14,0,23,9,0.0,1998-1999
32,0029800017,00,1610612751,NJN,New Jersey,60,20,2,2,2,3,0,9,17,0.0,1998-1999
33,0029800017,00,1610612737,ATL,Atlanta,34,12,4,18,2,3,0,15,15,0.0,1998-1999
34,0029800018,00,1610612759,SAS,San Antonio,38,15,13,25,1,2,3,20,16,0.0,1998-1999
35,0029800018,00,1610612750,MIN,Minnesota,50,22,14,4,1,2,1,12,13,0.0,1998-1999
36,0029800019,00,1610612744,GSW,Golden State,30,12,9,12,8,7,2,15,6,0.0,1998-1999
37,0029800019,00,1610612745,HOU,Houston,26,10,2,4,9,7,2,23,8,0.0,1998-1999
38,0029800020,00,1610612748,MIA,Miami,32,2,4,15,2,4,1,13,4,0.0,1998-1999
39,0029800020,00,1610612752,NYK,New York,38,16,12,2,2,4,0,17,12,0.0,1998-1999
40,0029800021,00,1610612737,ATL,Atlanta,30,17,6,7,7,7,0,19,16,0.0,1998-1999
41,0029800021,00,1610612751,NJN,New Jersey,24,8,13,10,7,7,1,23,9,0.0,1998-1999
42,0029800022,00,1610612765,DET,Detroit,38,8,19,10,7,13,0,14,6,0.0,1998-1999
43,0029800022,00,1610612754,IND,Indiana,22,11,9,9,7,13,1,16,8,0.0,1998-1999
44,0029800023,00,1610612756,PHX,Phoenix,48,7,17,12,1,2,0,15,13,0.0,1998-1999
45,0029800023,00,1610612743,DEN,Denver,52,14,15,2,1,2,3,14,13,0.0,1998-1999
46,0029800024,00,1610612741,CHI,Chicago,46,27,6,20,2,0,1,14,16,0.0,1998-1999
47,0029800024,00,1610612746,LAC,Los Angeles,36,19,3,1,2,0,2,11,13,0.0,1998-1999
48,0029800025,00,1610612747,LAL,Los Angeles,50,23,3,13,15,11,0,17,15,0.0,1998-1999
49,0029800025,00,1610612762,UTA,Utah,46,9,12,11,15,11,1,11,15,0.0,1998-1999
50,0029800026,00,1610612742,DAL,Dallas,30,5,5,14,12,14,1,21,14,0.0,1998-1999
51,0029800026,00,1610612744,GSW,Golden State,42,31,4,3,12,14,1,18,11,0.0,1998-1999
52,0029800027,00,1610612763,VAN,Vancouver,38,15,10,2,7,4,1,17,13,0.0,1998-1999
53,0029800027,00,1610612758,SAC,Sacramento,68,21,33,30,7,4,1,19,13,0.0,1998-1999
54,0029800028,00,1610612760,SEA,Seattle,24,17,6,7,6,4,2,17,13,0.0,1998-1999
55,0029800028,00,1610612757,POR,Portland,40,11,12,14,6,4,1,17,6,0.0,1998-1999
