,GID,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_NICKNAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,SEASON
0,0028300001,1983-10-28T00:00:00,,0028300001,1610612749,MIL,Milwaukee,Bucks,-,27,31,24,22,,,,,,,,,,,104,1983-1984
1,0028300001,1983-10-28T00:00:00,,0028300001,1610612754,IND,Indiana,Pacers,-,13,25,26,19,,,,,,,,,,,83,1983-1984
2,0028300002,1983-10-28T00:00:00,,0028300002,1610612758,KCK,Kansas City,Kings,-,33,26,27,21,,,,,,,,,,,107,1983-1984
3,0028300002,1983-10-28T00:00:00,,0028300002,1610612747,LAL,Los Angeles,Lakers,-,30,33,25,29,,,,,,,,,,,117,1983-1984
4,0028300003,1983-10-28T00:00:00,,0028300003,1610612764,WAS,Washington,Bullets,-,26,25,32,31,,,,,,,,,,,114,1983-1984
5,0028300003,1983-10-28T00:00:00,,0028300003,1610612755,PHL,Philadelphia,76ers,-,21,36,31,29,,,,,,,,,,,117,1983-1984
6,0028300004,1983-10-28T00:00:00,,0028300004,1610612760,SEA,Seattle,SuperSonics,-,24,26,29,30,,,,,,,,,,,109,1983-1984
7,0028300004,1983-10-28T00:00:00,,0028300004,1610612744,GOS,Golden State,Warriors,-,23,28,33,26,,,,,,,,,,,110,1983-1984
8,0028300005,1983-10-28T00:00:00,,0028300005,1610612737,ATL,Atlanta,Hawks,-,17,30,31,30,,,,,,,,,,,108,1983-1984
9,0028300005,1983-10-28T00:00:00,,0028300005,1610612751,NJN,New Jersey,Nets,-,34,34,28,30,,,,,,,,,,,126,1983-1984
10,0028300006,1983-10-28T00:00:00,,0028300006,1610612765,DET,Detroit,Pistons,-,38,32,26,31,,,,,,,,,,,127,1983-1984
11,0028300006,1983-10-28T00:00:00,,0028300006,1610612738,BOS,Boston,Celtics,-,33,33,27,28,,,,,,,,,,,121,1983-1984
12,0028300007,1983-10-28T00:00:00,,0028300007,1610612746,SDC,San Diego,Clippers,-,26,17,25,25,,,,,,,,,,,93,1983-1984
13,0028300007,1983-10-28T00:00:00,,0028300007,1610612757,POR,Portland,Trail Blazers,-,27,29,29,22,,,,,,,,,,,107,1983-1984
14,0028300008,1983-10-28T00:00:00,,0028300008,1610612752,NYK,New York,Knicks,-,28,36,19,30,,,,,,,,,,,113,1983-1984
15,0028300008,1983-10-28T00:00:00,,0028300008,1610612739,CLE,Cleveland,Cavaliers,-,20,26,31,29,,,,,,,,,,,106,1983-1984
16,0028300009,1983-10-28T00:00:00,,0028300009,1610612743,DEN,Denver,Nuggets,-,33,33,31,42,,,,,,,,,,,139,1983-1984
17,0028300009,1983-10-28T00:00:00,,0028300009,1610612762,UTH,Utah,Jazz,-,28,34,36,27,,,,,,,,,,,125,1983-1984
18,0028300010,1983-10-29T00:00:00,,0028300010,1610612747,LAL,Los Angeles,Lakers,-,33,35,23,29,,,,,,,,,,,120,1983-1984
19,0028300010,1983-10-29T00:00:00,,0028300010,1610612762,UTH,Utah,Jazz,-,32,24,28,31,,,,,,,,,,,115,1983-1984
20,0028300011,1983-10-29T00:00:00,,0028300011,1610612764,WAS,Washington,Bullets,-,19,27,23,28,,,,,,,,,,,97,1983-1984
21,0028300011,1983-10-29T00:00:00,,0028300011,1610612752,NYK,New York,Knicks,-,29,12,28,31,,,,,,,,,,,100,1983-1984
22,0028300012,1983-10-29T00:00:00,,0028300012,1610612741,CHI,Chicago,Bulls,-,31,35,18,20,,,,,,,,,,,104,1983-1984
23,0028300012,1983-10-29T00:00:00,,0028300012,1610612751,NJN,New Jersey,Nets,-,29,21,21,26,,,,,,,,,,,97,1983-1984
24,0028300013,1983-10-29T00:00:00,,0028300013,1610612757,POR,Portland,Trail Blazers,-,30,22,19,24,,,,,,,,,,,95,1983-1984
25,0028300013,1983-10-29T00:00:00,,0028300013,1610612744,GOS,Golden State,Warriors,-,24,22,26,25,,,,,,,,,,,97,1983-1984
26,0028300014,1983-10-29T00:00:00,,0028300014,1610612765,DET,Detroit,Pistons,-,27,23,32,33,,,,,,,,,,,115,1983-1984
27,0028300014,1983-10-29T00:00:00,,0028300014,1610612737,ATL,Atlanta,Hawks,-,31,30,26,30,,,,,,,,,,,117,1983-1984
28,0028300015,1983-10-29T00:00:00,,0028300015,1610612759,SAN,San Antonio,Spurs,-,29,25,24,22,,,,,,,,,,,100,1983-1984
29,0028300015,1983-10-29T00:00:00,,0028300015,1610612745,HOU,Houston,Rockets,-,29,24,29,24,,,,,,,,,,,106,1983-1984
30,0028300016,1983-10-29T00:00:00,,0028300016,1610612746,SDC,San Diego,Clippers,-,42,39,27,33,,,,,,,,,,,141,1983-1984
31,0028300016,1983-10-29T00:00:00,,0028300016,1610612743,DEN,Denver,Nuggets,-,31,34,37,26,,,,,,,,,,,128,1983-1984
32,0028300017,1983-10-29T00:00:00,,0028300017,1610612755,PHL,Philadelphia,76ers,-,22,27,28,29,18.0,,,,,,,,,,124,1983-1984
33,0028300017,1983-10-29T00:00:00,,0028300017,1610612754,IND,Indiana,Pacers,-,29,25,28,24,6.0,,,,,,,,,,112,1983-1984
34,0028300018,1983-10-29T00:00:00,,0028300018,1610612742,DAL,Dallas,Mavericks,-,30,38,31,21,,,,,,,,,,,120,1983-1984
35,0028300018,1983-10-29T00:00:00,,0028300018,1610612756,PHX,Phoenix,Suns,-,26,22,31,24,,,,,,,,,,,103,1983-1984
36,0028300019,1983-10-29T00:00:00,,0028300019,1610612738,BOS,Boston,Celtics,-,29,26,28,25,,,,,,,,,,,108,1983-1984
37,0028300019,1983-10-29T00:00:00,,0028300019,1610612739,CLE,Cleveland,Cavaliers,-,20,24,22,23,,,,,,,,,,,89,1983-1984
