,GID,GAME_DATE,ATTENDANCE,GAME_TIME,SEASON
0,0028600001,"FRIDAY, OCTOBER 31, 1986",12666.0,,1986-1987
1,0028600002,"FRIDAY, OCTOBER 31, 1986",10247.0,,1986-1987
2,0028600003,"FRIDAY, OCTOBER 31, 1986",14890.0,,1986-1987
3,0028600004,"FRIDAY, OCTOBER 31, 1986",17684.0,,1986-1987
4,0028600005,"FRIDAY, OCTOBER 31, 1986",10333.0,,1986-1987
5,0028600006,"FRIDAY, OCTOBER 31, 1986",20541.0,,1986-1987
6,0028600007,"FRIDAY, OCTOBER 31, 1986",14835.0,,1986-1987
7,0028600008,"FRIDAY, OCTOBER 31, 1986",16692.0,,1986-1987
8,0028600009,"FRIDAY, OCTOBER 31, 1986",11615.0,,1986-1987
9,0028600010,"SATURDAY, NOVEMBER 1, 1986",13650.0,,1986-1987
10,0028600011,"SATURDAY, NOVEMBER 1, 1986",13340.0,,1986-1987
11,0028600012,"SATURDAY, NOVEMBER 1, 1986",11052.0,,1986-1987
12,0028600013,"SATURDAY, NOVEMBER 1, 1986",11013.0,,1986-1987
13,0028600014,"SATURDAY, NOVEMBER 1, 1986",19325.0,,1986-1987
14,0028600015,"SATURDAY, NOVEMBER 1, 1986",10584.0,,1986-1987
15,0028600016,"SATURDAY, NOVEMBER 1, 1986",7805.0,,1986-1987
16,0028600017,"SATURDAY, NOVEMBER 1, 1986",16912.0,,1986-1987
17,0028600018,"SATURDAY, NOVEMBER 1, 1986",16016.0,,1986-1987
18,0028600019,"SATURDAY, NOVEMBER 1, 1986",14254.0,,1986-1987
19,0028600020,"SATURDAY, NOVEMBER 1, 1986",6296.0,,1986-1987
20,0028600021,"SUNDAY, NOVEMBER 2, 1986",11468.0,,1986-1987
21,0028600022,"SUNDAY, NOVEMBER 2, 1986",17540.0,,1986-1987
22,0028600023,"TUESDAY, NOVEMBER 4, 1986",11383.0,,1986-1987
23,0028600024,"MONDAY, NOVEMBER 3, 1986",9016.0,,1986-1987
24,0028600025,"TUESDAY, NOVEMBER 4, 1986",13887.0,,1986-1987
25,0028600026,"TUESDAY, NOVEMBER 4, 1986",11624.0,,1986-1987
26,0028600027,"TUESDAY, NOVEMBER 4, 1986",10426.0,,1986-1987
27,0028600028,"TUESDAY, NOVEMBER 4, 1986",10762.0,,1986-1987
28,0028600029,"TUESDAY, NOVEMBER 4, 1986",10333.0,,1986-1987
29,0028600030,"TUESDAY, NOVEMBER 4, 1986",16421.0,,1986-1987
30,0028600031,"TUESDAY, NOVEMBER 4, 1986",9489.0,,1986-1987
31,0028600032,"TUESDAY, NOVEMBER 4, 1986",12282.0,,1986-1987
32,0028600033,"WEDNESDAY, NOVEMBER 5, 1986",6799.0,,1986-1987
33,0028600034,"WEDNESDAY, NOVEMBER 5, 1986",7717.0,,1986-1987
34,0028600035,"WEDNESDAY, NOVEMBER 5, 1986",11252.0,,1986-1987
35,0028600036,"WEDNESDAY, NOVEMBER 5, 1986",14890.0,,1986-1987
36,0028600037,"WEDNESDAY, NOVEMBER 5, 1986",14712.0,,1986-1987
37,0028600038,"WEDNESDAY, NOVEMBER 5, 1986",11185.0,,1986-1987
38,0028600039,"THURSDAY, NOVEMBER 6, 1986",8112.0,,1986-1987
39,0028600040,"THURSDAY, NOVEMBER 6, 1986",8363.0,,1986-1987
40,0028600041,"THURSDAY, NOVEMBER 6, 1986",10333.0,,1986-1987
41,0028600042,"THURSDAY, NOVEMBER 6, 1986",16016.0,,1986-1987
42,0028600043,"FRIDAY, NOVEMBER 7, 1986",15872.0,,1986-1987
43,0028600044,"FRIDAY, NOVEMBER 7, 1986",18579.0,,1986-1987
44,0028600045,"FRIDAY, NOVEMBER 7, 1986",7061.0,,1986-1987
45,0028600046,"FRIDAY, NOVEMBER 7, 1986",8286.0,,1986-1987
46,0028600047,"FRIDAY, NOVEMBER 7, 1986",9436.0,,1986-1987
47,0028600048,"FRIDAY, NOVEMBER 7, 1986",12564.0,,1986-1987
48,0028600049,"FRIDAY, NOVEMBER 7, 1986",12666.0,,1986-1987
49,0028600050,"FRIDAY, NOVEMBER 7, 1986",19375.0,,1986-1987
50,0028600051,"SATURDAY, NOVEMBER 8, 1986",13929.0,,1986-1987
51,0028600052,"SATURDAY, NOVEMBER 8, 1986",16016.0,,1986-1987
52,0028600053,"SATURDAY, NOVEMBER 8, 1986",6340.0,,1986-1987
53,0028600054,"SATURDAY, NOVEMBER 8, 1986",9280.0,,1986-1987
54,0028600055,"SATURDAY, NOVEMBER 8, 1986",14365.0,,1986-1987
55,0028600056,"SATURDAY, NOVEMBER 8, 1986",15122.0,,1986-1987
56,0028600057,"SATURDAY, NOVEMBER 8, 1986",11052.0,,1986-1987
57,0028600058,"SUNDAY, NOVEMBER 9, 1986",17505.0,,1986-1987
58,0028600059,"SUNDAY, NOVEMBER 9, 1986",12666.0,,1986-1987
59,0028600060,"TUESDAY, NOVEMBER 11, 1986",10516.0,,1986-1987
60,0028600061,"TUESDAY, NOVEMBER 11, 1986",10987.0,,1986-1987
61,0028600062,"TUESDAY, NOVEMBER 11, 1986",16016.0,,1986-1987
62,0028600063,"TUESDAY, NOVEMBER 11, 1986",5058.0,,1986-1987
63,0028600064,"TUESDAY, NOVEMBER 11, 1986",12666.0,,1986-1987
64,0028600065,"TUESDAY, NOVEMBER 11, 1986",16877.0,,1986-1987
65,0028600066,"TUESDAY, NOVEMBER 11, 1986",14720.0,,1986-1987
66,0028600067,"TUESDAY, NOVEMBER 11, 1986",10765.0,,1986-1987
67,0028600068,"TUESDAY, NOVEMBER 11, 1986",12600.0,,1986-1987
68,0028600069,"TUESDAY, NOVEMBER 11, 1986",10333.0,,1986-1987
69,0028600070,"WEDNESDAY, NOVEMBER 12, 1986",15121.0,,1986-1987
70,0028600071,"WEDNESDAY, NOVEMBER 12, 1986",13694.0,,1986-1987
71,0028600072,"WEDNESDAY, NOVEMBER 12, 1986",14890.0,,1986-1987
72,0028600073,"WEDNESDAY, NOVEMBER 12, 1986",17007.0,,1986-1987
73,0028600074,"WEDNESDAY, NOVEMBER 12, 1986",10366.0,,1986-1987
74,0028600075,"WEDNESDAY, NOVEMBER 12, 1986",7225.0,,1986-1987
75,0028600076,"THURSDAY, NOVEMBER 13, 1986",7708.0,,1986-1987
76,0028600077,"THURSDAY, NOVEMBER 13, 1986",15025.0,,1986-1987
77,0028600078,"THURSDAY, NOVEMBER 13, 1986",11034.0,,1986-1987
78,0028600079,"THURSDAY, NOVEMBER 13, 1986",5335.0,,1986-1987
79,0028600080,"FRIDAY, NOVEMBER 14, 1986",17663.0,,1986-1987
80,0028600081,"FRIDAY, NOVEMBER 14, 1986",18919.0,,1986-1987
81,0028600082,"FRIDAY, NOVEMBER 14, 1986",11707.0,,1986-1987
82,0028600083,"FRIDAY, NOVEMBER 14, 1986",14519.0,,1986-1987
83,0028600084,"FRIDAY, NOVEMBER 14, 1986",11052.0,,1986-1987
84,0028600085,"FRIDAY, NOVEMBER 14, 1986",12668.0,,1986-1987
85,0028600086,"SATURDAY, NOVEMBER 15, 1986",17007.0,,1986-1987
86,0028600087,"SATURDAY, NOVEMBER 15, 1986",12212.0,,1986-1987
87,0028600088,"SATURDAY, NOVEMBER 15, 1986",25689.0,,1986-1987
88,0028600089,"SATURDAY, NOVEMBER 15, 1986",7655.0,,1986-1987
89,0028600090,"SATURDAY, NOVEMBER 15, 1986",14386.0,,1986-1987
90,0028600091,"SATURDAY, NOVEMBER 15, 1986",6640.0,,1986-1987
91,0028600092,"SATURDAY, NOVEMBER 15, 1986",11745.0,,1986-1987
92,0028600093,"SATURDAY, NOVEMBER 15, 1986",16255.0,,1986-1987
93,0028600094,"SUNDAY, NOVEMBER 16, 1986",13421.0,,1986-1987
94,0028600095,"SUNDAY, NOVEMBER 16, 1986",9287.0,,1986-1987
95,0028600096,"SUNDAY, NOVEMBER 16, 1986",16016.0,,1986-1987
96,0028600097,"SUNDAY, NOVEMBER 16, 1986",,,1986-1987
97,0028600098,"SUNDAY, NOVEMBER 16, 1986",6018.0,,1986-1987
98,0028600099,"TUESDAY, NOVEMBER 18, 1986",8471.0,,1986-1987
99,0028600100,"TUESDAY, NOVEMBER 18, 1986",,,1986-1987
100,0028600101,"TUESDAY, NOVEMBER 18, 1986",4765.0,,1986-1987
101,0028600102,"TUESDAY, NOVEMBER 18, 1986",10585.0,,1986-1987
102,0028600103,"TUESDAY, NOVEMBER 18, 1986",16016.0,,1986-1987
103,0028600104,"TUESDAY, NOVEMBER 18, 1986",5411.0,,1986-1987
104,0028600105,"WEDNESDAY, NOVEMBER 19, 1986",14890.0,,1986-1987
105,0028600106,"WEDNESDAY, NOVEMBER 19, 1986",10581.0,,1986-1987
106,0028600107,"WEDNESDAY, NOVEMBER 19, 1986",9851.0,,1986-1987
107,0028600108,"WEDNESDAY, NOVEMBER 19, 1986",12468.0,,1986-1987
108,0028600109,"WEDNESDAY, NOVEMBER 19, 1986",8497.0,,1986-1987
109,0028600110,"WEDNESDAY, NOVEMBER 19, 1986",8113.0,,1986-1987
