index,GAME_ID,SEASON,PLAYER_ID
274,0028000014,1980-1981,77484
275,0028000014,1980-1981,78392
276,0028000014,1980-1981,77193
277,0028000014,1980-1981,77175
278,0028000014,1980-1981,77950
279,0028000014,1980-1981,76539
280,0028000014,1980-1981,76421
281,0028000014,1980-1981,76681
282,0028000014,1980-1981,77043
283,0028000014,1980-1981,76385
284,0028000014,1980-1981,77618
306,0028000016,1980-1981,76362
307,0028000016,1980-1981,78047
308,0028000016,1980-1981,76553
309,0028000016,1980-1981,78481
310,0028000016,1980-1981,77952
311,0028000016,1980-1981,76822
312,0028000016,1980-1981,78614
313,0028000016,1980-1981,78571
314,0028000016,1980-1981,76360
315,0028000016,1980-1981,78570
316,0028000016,1980-1981,600005
317,0028000016,1980-1981,78600
318,0028000016,1980-1981,76365
319,0028000016,1980-1981,76252
320,0028000016,1980-1981,600010
321,0028000016,1980-1981,77160
322,0028000016,1980-1981,77168
323,0028000016,1980-1981,76483
324,0028000016,1980-1981,76296
325,0028000016,1980-1981,77626
326,0028000017,1980-1981,78519
327,0028000017,1980-1981,76899
328,0028000017,1980-1981,76802
329,0028000017,1980-1981,77582
330,0028000017,1980-1981,78510
331,0028000017,1980-1981,76590
332,0028000017,1980-1981,76170
333,0028000017,1980-1981,76736
334,0028000017,1980-1981,77273
335,0028000017,1980-1981,77326
336,0028000017,1980-1981,78482
337,0028000017,1980-1981,76504
338,0028000017,1980-1981,76257
339,0028000017,1980-1981,77873
340,0028000017,1980-1981,77547
341,0028000017,1980-1981,78425
342,0028000017,1980-1981,76890
343,0028000017,1980-1981,76948
344,0028000017,1980-1981,76619
345,0028000017,1980-1981,76204
346,0028000017,1980-1981,76441
387,0028000020,1980-1981,76011
388,0028000020,1980-1981,78095
389,0028000020,1980-1981,77141
390,0028000020,1980-1981,76436
391,0028000020,1980-1981,77308
392,0028000020,1980-1981,77022
393,0028000020,1980-1981,77438
394,0028000020,1980-1981,77718
395,0028000020,1980-1981,77235
396,0028000020,1980-1981,77993
397,0028000020,1980-1981,1453
398,0028000020,1980-1981,78519
399,0028000020,1980-1981,76899
400,0028000020,1980-1981,76802
401,0028000020,1980-1981,77582
402,0028000020,1980-1981,78510
403,0028000020,1980-1981,76590
404,0028000020,1980-1981,76170
405,0028000020,1980-1981,76736
406,0028000020,1980-1981,77273
407,0028000020,1980-1981,77326
408,0028000020,1980-1981,78482
430,0028000022,1980-1981,76656
431,0028000022,1980-1981,77986
432,0028000022,1980-1981,76435
433,0028000022,1980-1981,78436
434,0028000022,1980-1981,78400
435,0028000022,1980-1981,77635
436,0028000022,1980-1981,77420
437,0028000022,1980-1981,76826
438,0028000022,1980-1981,77710
439,0028000022,1980-1981,77754
440,0028000022,1980-1981,77239
441,0028000022,1980-1981,1381
442,0028000022,1980-1981,77010
443,0028000022,1980-1981,76154
444,0028000022,1980-1981,76599
445,0028000022,1980-1981,77623
446,0028000022,1980-1981,77071
447,0028000022,1980-1981,77364
448,0028000022,1980-1981,78390
449,0028000022,1980-1981,76765
450,0028000022,1980-1981,77996
493,0028000025,1980-1981,77024
494,0028000025,1980-1981,76416
495,0028000025,1980-1981,76471
496,0028000025,1980-1981,78132
497,0028000025,1980-1981,78025
498,0028000025,1980-1981,76418
499,0028000025,1980-1981,77144
500,0028000025,1980-1981,76598
501,0028000025,1980-1981,77829
502,0028000025,1980-1981,76971
503,0028000025,1980-1981,77553
504,0028000025,1980-1981,77487
505,0028000025,1980-1981,76733
506,0028000025,1980-1981,76993
507,0028000025,1980-1981,1450
508,0028000025,1980-1981,1449
509,0028000025,1980-1981,76351
510,0028000025,1980-1981,76054
511,0028000025,1980-1981,77984
512,0028000025,1980-1981,305
513,0028000026,1980-1981,76453
514,0028000026,1980-1981,76804
515,0028000026,1980-1981,77149
516,0028000026,1980-1981,78150
517,0028000026,1980-1981,78143
518,0028000026,1980-1981,77633
519,0028000026,1980-1981,77944
520,0028000026,1980-1981,77756
521,0028000026,1980-1981,76771
522,0028000026,1980-1981,76889
523,0028000026,1980-1981,77163
524,0028000026,1980-1981,78519
525,0028000026,1980-1981,76899
526,0028000026,1980-1981,77582
527,0028000026,1980-1981,78510
528,0028000026,1980-1981,76590
529,0028000026,1980-1981,76170
530,0028000026,1980-1981,76736
531,0028000026,1980-1981,77273
532,0028000026,1980-1981,77326
533,0028000026,1980-1981,78482
534,0028000027,1980-1981,76362
535,0028000027,1980-1981,78047
536,0028000027,1980-1981,78068
537,0028000027,1980-1981,78481
538,0028000027,1980-1981,77952
539,0028000027,1980-1981,76822
540,0028000027,1980-1981,78614
541,0028000027,1980-1981,78571
542,0028000027,1980-1981,76360
543,0028000027,1980-1981,78570
544,0028000027,1980-1981,77193
545,0028000027,1980-1981,77175
546,0028000027,1980-1981,77950
547,0028000027,1980-1981,76539
548,0028000027,1980-1981,76421
549,0028000027,1980-1981,940
550,0028000027,1980-1981,76681
551,0028000027,1980-1981,77043
552,0028000027,1980-1981,76385
553,0028000027,1980-1981,77618
638,0028000032,1980-1981,78519
639,0028000032,1980-1981,76899
640,0028000032,1980-1981,77582
641,0028000032,1980-1981,78510
642,0028000032,1980-1981,76590
643,0028000032,1980-1981,76170
644,0028000032,1980-1981,76736
645,0028000032,1980-1981,77273
646,0028000032,1980-1981,77326
647,0028000032,1980-1981,78482
648,0028000032,1980-1981,77040
649,0028000032,1980-1981,76355
650,0028000032,1980-1981,78532
651,0028000032,1980-1981,76248
652,0028000032,1980-1981,76392
653,0028000032,1980-1981,77142
654,0028000032,1980-1981,77334
655,0028000032,1980-1981,76444
656,0028000032,1980-1981,77721
657,0028000033,1980-1981,76656
658,0028000033,1980-1981,77986
659,0028000033,1980-1981,76435
660,0028000033,1980-1981,77205
661,0028000033,1980-1981,78436
662,0028000033,1980-1981,78400
663,0028000033,1980-1981,77635
664,0028000033,1980-1981,77420
665,0028000033,1980-1981,76826
666,0028000033,1980-1981,77710
667,0028000033,1980-1981,77754
668,0028000033,1980-1981,77193
669,0028000033,1980-1981,77175
670,0028000033,1980-1981,77950
671,0028000033,1980-1981,76539
672,0028000033,1980-1981,76421
673,0028000033,1980-1981,76681
674,0028000033,1980-1981,77043
675,0028000033,1980-1981,76385
676,0028000033,1980-1981,77618
677,0028000034,1980-1981,77290
678,0028000034,1980-1981,77136
679,0028000034,1980-1981,76231
680,0028000034,1980-1981,77148
681,0028000034,1980-1981,77532
682,0028000034,1980-1981,229
683,0028000034,1980-1981,78146
684,0028000034,1980-1981,76526
685,0028000034,1980-1981,77692
686,0028000034,1980-1981,77770
687,0028000034,1980-1981,76095
688,0028000034,1980-1981,600014
689,0028000034,1980-1981,78531
690,0028000034,1980-1981,76567
691,0028000034,1980-1981,76881
692,0028000034,1980-1981,77182
693,0028000034,1980-1981,78533
694,0028000034,1980-1981,77246
695,0028000034,1980-1981,77432
696,0028000034,1980-1981,78310
697,0028000034,1980-1981,78618
698,0028000035,1980-1981,78600
699,0028000035,1980-1981,76365
700,0028000035,1980-1981,76252
701,0028000035,1980-1981,600010
702,0028000035,1980-1981,77160
703,0028000035,1980-1981,77168
704,0028000035,1980-1981,76483
705,0028000035,1980-1981,76296
706,0028000035,1980-1981,77626
707,0028000035,1980-1981,77487
708,0028000035,1980-1981,76733
709,0028000035,1980-1981,76993
710,0028000035,1980-1981,1450
711,0028000035,1980-1981,1449
712,0028000035,1980-1981,76351
713,0028000035,1980-1981,76054
714,0028000035,1980-1981,77984
715,0028000035,1980-1981,305
735,0028000037,1980-1981,77239
736,0028000037,1980-1981,1381
737,0028000037,1980-1981,77010
738,0028000037,1980-1981,76154
739,0028000037,1980-1981,76599
740,0028000037,1980-1981,77623
741,0028000037,1980-1981,77071
742,0028000037,1980-1981,77364
743,0028000037,1980-1981,78390
744,0028000037,1980-1981,76765
745,0028000037,1980-1981,77996
746,0028000037,1980-1981,76453
747,0028000037,1980-1981,76804
748,0028000037,1980-1981,77149
749,0028000037,1980-1981,78150
750,0028000037,1980-1981,78143
751,0028000037,1980-1981,77633
752,0028000037,1980-1981,77944
753,0028000037,1980-1981,77756
754,0028000037,1980-1981,76771
755,0028000037,1980-1981,76889
756,0028000037,1980-1981,77163
814,0028000041,1980-1981,77126
815,0028000041,1980-1981,76348
816,0028000041,1980-1981,76030
817,0028000041,1980-1981,77087
818,0028000041,1980-1981,78516
819,0028000041,1980-1981,78222
820,0028000041,1980-1981,76966
821,0028000041,1980-1981,76604
822,0028000041,1980-1981,78468
823,0028000041,1980-1981,77328
824,0028000041,1980-1981,76225
825,0028000041,1980-1981,78519
826,0028000041,1980-1981,76899
827,0028000041,1980-1981,77582
828,0028000041,1980-1981,78510
829,0028000041,1980-1981,76590
830,0028000041,1980-1981,76170
831,0028000041,1980-1981,76736
832,0028000041,1980-1981,77273
833,0028000041,1980-1981,77326
834,0028000041,1980-1981,78482
856,0028000043,1980-1981,76500
857,0028000043,1980-1981,76979
858,0028000043,1980-1981,76091
859,0028000043,1980-1981,78575
860,0028000043,1980-1981,76887
861,0028000043,1980-1981,77876
862,0028000043,1980-1981,77324
863,0028000043,1980-1981,77484
864,0028000043,1980-1981,78392
865,0028000043,1980-1981,76656
866,0028000043,1980-1981,77986
867,0028000043,1980-1981,76435
868,0028000043,1980-1981,78436
869,0028000043,1980-1981,78400
870,0028000043,1980-1981,77420
871,0028000043,1980-1981,76826
872,0028000043,1980-1981,77710
873,0028000043,1980-1981,77754
874,0028000044,1980-1981,77024
875,0028000044,1980-1981,76471
876,0028000044,1980-1981,78132
877,0028000044,1980-1981,78025
878,0028000044,1980-1981,76418
879,0028000044,1980-1981,77144
880,0028000044,1980-1981,77528
881,0028000044,1980-1981,76598
882,0028000044,1980-1981,77829
883,0028000044,1980-1981,77553
884,0028000044,1980-1981,76362
885,0028000044,1980-1981,78047
886,0028000044,1980-1981,76553
887,0028000044,1980-1981,78481
888,0028000044,1980-1981,77952
889,0028000044,1980-1981,76822
890,0028000044,1980-1981,78614
891,0028000044,1980-1981,78571
892,0028000044,1980-1981,76360
893,0028000044,1980-1981,78570
930,0028000047,1980-1981,76453
931,0028000047,1980-1981,76804
932,0028000047,1980-1981,77149
933,0028000047,1980-1981,78150
934,0028000047,1980-1981,78143
935,0028000047,1980-1981,77633
936,0028000047,1980-1981,77944
937,0028000047,1980-1981,77756
938,0028000047,1980-1981,76771
939,0028000047,1980-1981,76889
940,0028000047,1980-1981,77163
941,0028000047,1980-1981,77126
942,0028000047,1980-1981,76030
943,0028000047,1980-1981,77087
944,0028000047,1980-1981,78516
945,0028000047,1980-1981,78222
946,0028000047,1980-1981,76966
947,0028000047,1980-1981,76604
948,0028000047,1980-1981,78468
949,0028000047,1980-1981,76608
950,0028000047,1980-1981,77328
951,0028000047,1980-1981,76225
952,0028000048,1980-1981,77290
953,0028000048,1980-1981,77136
954,0028000048,1980-1981,76231
955,0028000048,1980-1981,77148
956,0028000048,1980-1981,77532
957,0028000048,1980-1981,229
958,0028000048,1980-1981,76526
959,0028000048,1980-1981,77692
960,0028000048,1980-1981,77770
961,0028000048,1980-1981,76095
962,0028000048,1980-1981,77487
963,0028000048,1980-1981,76733
964,0028000048,1980-1981,76993
965,0028000048,1980-1981,1450
966,0028000048,1980-1981,1449
967,0028000048,1980-1981,76351
968,0028000048,1980-1981,76054
969,0028000048,1980-1981,77984
970,0028000048,1980-1981,305
992,0028000050,1980-1981,77193
993,0028000050,1980-1981,77175
994,0028000050,1980-1981,77950
995,0028000050,1980-1981,76539
996,0028000050,1980-1981,76421
997,0028000050,1980-1981,940
998,0028000050,1980-1981,76681
999,0028000050,1980-1981,77043
1000,0028000050,1980-1981,76385
1001,0028000050,1980-1981,76520
1002,0028000050,1980-1981,77618
1003,0028000050,1980-1981,76500
1004,0028000050,1980-1981,78307
1005,0028000050,1980-1981,76979
1006,0028000050,1980-1981,76091
1007,0028000050,1980-1981,76887
1008,0028000050,1980-1981,77876
1009,0028000050,1980-1981,77324
1010,0028000050,1980-1981,328
1011,0028000050,1980-1981,77484
1012,0028000050,1980-1981,78392
1013,0028000051,1980-1981,600014
1014,0028000051,1980-1981,78531
1015,0028000051,1980-1981,76567
1016,0028000051,1980-1981,76881
1017,0028000051,1980-1981,77182
1018,0028000051,1980-1981,78533
1019,0028000051,1980-1981,77246
1020,0028000051,1980-1981,77432
1021,0028000051,1980-1981,78310
1022,0028000051,1980-1981,78618
1023,0028000051,1980-1981,77490
1024,0028000051,1980-1981,76656
1025,0028000051,1980-1981,77986
1026,0028000051,1980-1981,76435
1027,0028000051,1980-1981,78436
1028,0028000051,1980-1981,78400
1029,0028000051,1980-1981,77635
