fn,ln,num,pos,min,sec,totsec,fga,fgm,tpa,tpm,fta,ftm,oreb,dreb,reb,ast,stl,blk,pf,pts,tov,fbpts,fbptsa,fbptsm,pip,pipa,pipm,court,pid,pm,blka,tf,status,memo,gid,hm_away,team,game_date,full_name,epoch,full_dt
Marcus,Morris Sr.,13,SF,24,52,1492,11,4,6,1,1,1,1,2,3,0,0,0,2,10,3,0,0,0,6,4,3,0,202694,-25,1,0,A,,0021900355,A,NYK,2019-12-10,Marcus Morris Sr.,1576041894839,2019-12-11 05:24:54.839
Julius,Randle,30,PF,25,41,1541,11,6,4,1,3,2,1,6,7,3,1,0,2,15,2,2,0,0,10,6,5,0,203944,-21,0,0,A,,0021900355,A,NYK,2019-12-10,Julius Randle,1576041894839,2019-12-11 05:24:54.839
Taj,Gibson,67,C,16,20,980,2,0,1,0,0,0,1,3,4,2,1,0,3,0,2,0,0,0,0,1,0,0,201959,-20,1,0,A,,0021900355,A,NYK,2019-12-10,Taj Gibson,1576041894839,2019-12-11 05:24:54.839
RJ,Barrett,9,SG,18,52,1132,9,1,2,0,4,3,0,4,4,0,0,0,0,5,0,2,2,1,2,5,1,0,1629628,-18,2,0,A,,0021900355,A,NYK,2019-12-10,RJ Barrett,1576041894839,2019-12-11 05:24:54.839
Frank,Ntilikina,11,PG,17,53,1073,5,1,2,0,0,0,0,0,0,1,1,0,1,2,1,0,0,0,2,2,1,0,1628373,-21,1,0,A,,0021900355,A,NYK,2019-12-10,Frank Ntilikina,1576041894839,2019-12-11 05:24:54.839
Dennis,Smith Jr.,5,,13,36,816,7,2,2,1,2,0,1,3,4,0,0,0,1,5,0,2,1,1,2,5,1,0,1628372,-8,0,0,A,,0021900355,A,NYK,2019-12-10,Dennis Smith Jr.,1576041894839,2019-12-11 05:24:54.839
Mitchell,Robinson,23,,27,19,1639,8,5,0,0,7,4,4,1,5,0,0,1,3,14,1,2,1,1,10,8,5,1,1629011,-6,1,0,A,,0021900355,A,NYK,2019-12-10,Mitchell Robinson,1576041894839,2019-12-11 05:24:54.839
Bobby,Portis,1,,19,43,1183,9,4,3,0,4,3,2,8,10,0,1,1,2,11,1,0,0,0,8,6,4,0,1626171,-5,0,0,A,,0021900355,A,NYK,2019-12-10,Bobby Portis,1576041894839,2019-12-11 05:24:54.839
Damyean,Dotson,21,,23,6,1386,8,3,6,2,0,0,1,3,4,0,0,0,0,8,0,3,2,1,2,2,1,1,1628422,-8,0,0,A,,0021900355,A,NYK,2019-12-10,Damyean Dotson,1576041894839,2019-12-11 05:24:54.839
Kevin,Knox II,20,,20,18,1218,7,1,4,0,0,0,0,3,3,3,0,1,1,2,0,0,1,0,2,3,1,1,1628995,-3,0,0,A,,0021900355,A,NYK,2019-12-10,Kevin Knox II,1576041894839,2019-12-11 05:24:54.839
Elfrid,Payton,6,,12,32,752,4,1,2,0,0,0,0,2,2,4,1,0,2,2,0,0,0,0,2,2,1,0,203901,-2,1,0,A,,0021900355,A,NYK,2019-12-10,Elfrid Payton,1576041894839,2019-12-11 05:24:54.839
Allonzo,Trier,14,,14,22,862,9,4,5,2,5,3,0,0,0,2,0,0,0,13,1,2,2,1,2,3,1,1,1629019,-1,0,0,A,,0021900355,A,NYK,2019-12-10,Allonzo Trier,1576041894839,2019-12-11 05:24:54.839
Ignas,Brazdeikis,17,,5,25,325,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1629649,-2,0,0,A,,0021900355,A,NYK,2019-12-10,Ignas Brazdeikis,1576041894839,2019-12-11 05:24:54.839
Kadeem,Allen,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628443,0,0,0,I,,0021900355,A,NYK,2019-12-10,Kadeem Allen,1576041894839,2019-12-11 05:24:54.839
Reggie,Bullock,25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203493,0,0,0,I,,0021900355,A,NYK,2019-12-10,Reggie Bullock,1576041894839,2019-12-11 05:24:54.839
Wayne,Ellington,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201961,0,0,0,I,,0021900355,A,NYK,2019-12-10,Wayne Ellington,1576041894839,2019-12-11 05:24:54.839
Ivan,Rabb,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628397,0,0,0,I,,0021900355,A,NYK,2019-12-10,Ivan Rabb,1576041894839,2019-12-11 05:24:54.839
Kent,Bazemore,24,SF,21,49,1309,5,1,3,0,2,2,0,3,3,0,1,0,1,4,1,0,2,0,2,1,1,0,203145,18,0,0,A,,0021900355,H,POR,2019-12-10,Kent Bazemore,1576041894839,2019-12-11 05:24:54.839
Carmelo,Anthony,00,PF,24,52,1492,13,5,4,3,6,3,0,4,4,0,2,1,2,16,3,8,4,3,2,3,1,0,2546,12,0,0,A,,0021900355,H,POR,2019-12-10,Carmelo Anthony,1576041894839,2019-12-11 05:24:54.839
Hassan,Whiteside,21,C,25,37,1537,11,7,0,0,3,3,4,11,15,2,0,5,1,17,1,0,0,0,14,10,7,0,202355,28,0,0,A,,0021900355,H,POR,2019-12-10,Hassan Whiteside,1576041894839,2019-12-11 05:24:54.839
CJ,McCollum,3,SG,31,25,1885,14,5,8,1,2,2,0,4,4,3,0,1,3,13,2,0,0,0,4,3,2,0,203468,11,0,0,A,,0021900355,H,POR,2019-12-10,CJ McCollum,1576041894839,2019-12-11 05:24:54.839
Damian,Lillard,0,PG,28,59,1739,15,9,12,8,5,5,0,2,2,6,0,0,2,31,3,3,1,1,0,1,0,0,203081,28,0,0,A,,0021900355,H,POR,2019-12-10,Damian Lillard,1576041894839,2019-12-11 05:24:54.839
Anfernee,Simons,1,,28,43,1723,9,5,7,4,2,2,0,5,5,3,0,0,3,16,0,0,0,0,0,1,0,1,1629014,8,2,0,A,,0021900355,H,POR,2019-12-10,Anfernee Simons,1576041894839,2019-12-11 05:24:54.839
Nassir,Little,9,,11,26,686,5,2,1,0,2,2,1,1,2,4,1,0,1,6,0,2,1,1,4,4,2,1,1629642,5,0,0,A,,0021900355,H,POR,2019-12-10,Nassir Little,1576041894839,2019-12-11 05:24:54.839
Mario,Hezonja,44,,23,9,1389,3,2,0,0,2,1,3,7,10,1,1,0,3,5,1,1,0,0,4,3,2,1,1626209,5,0,1,A,,0021900355,H,POR,2019-12-10,Mario Hezonja,1576041894839,2019-12-11 05:24:54.839
Skal,Labissiere,17,,21,24,1284,3,0,1,0,0,0,1,5,6,1,0,0,4,0,0,0,0,0,0,1,0,0,1627746,13,0,0,A,,0021900355,H,POR,2019-12-10,Skal Labissiere,1576041894839,2019-12-11 05:24:54.839
Gary,Trent Jr.,2,,10,19,619,5,0,3,0,0,0,0,3,3,0,1,0,1,0,1,0,0,0,0,1,0,0,1629018,14,0,0,A,,0021900355,H,POR,2019-12-10,Gary Trent Jr.,1576041894839,2019-12-11 05:24:54.839
Anthony,Tolliver,43,,6,29,389,3,1,2,1,0,0,0,2,2,0,0,0,0,3,0,0,0,0,0,1,0,1,201229,-2,1,0,A,,0021900355,H,POR,2019-12-10,Anthony Tolliver,1576041894839,2019-12-11 05:24:54.839
Jaylen,Hoard,6,,5,46,346,4,2,0,0,0,0,2,0,2,0,0,0,0,4,0,0,0,0,4,4,2,1,1629658,0,0,0,A,,0021900355,H,POR,2019-12-10,Jaylen Hoard,1576041894839,2019-12-11 05:24:54.839
Moses,Brown,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629650,0,0,0,I,,0021900355,H,POR,2019-12-10,Moses Brown,1576041894839,2019-12-11 05:24:54.839
Zach,Collins,33,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628380,0,0,0,I,,0021900355,H,POR,2019-12-10,Zach Collins,1576041894839,2019-12-11 05:24:54.839
Rodney,Hood,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203918,0,0,0,I,,0021900355,H,POR,2019-12-10,Rodney Hood,1576041894839,2019-12-11 05:24:54.839
Jusuf,Nurkic,27,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203994,0,0,0,I,,0021900355,H,POR,2019-12-10,Jusuf Nurkic,1576041894839,2019-12-11 05:24:54.839
De'Andre,Hunter,12,SF,40,16,2416,17,11,10,5,4,1,0,4,4,3,0,1,2,28,0,0,0,0,8,5,4,1,1629631,-17,0,0,A,,0021900354,A,ATL,2019-12-10,De'Andre Hunter,1576097073736,2019-12-11 20:44:33.736
Jabari,Parker,5,PF,30,12,1812,12,6,4,1,5,3,0,7,7,2,1,1,1,16,0,0,0,0,10,7,5,0,203953,-12,0,0,A,,0021900354,A,ATL,2019-12-10,Jabari Parker,1576097073736,2019-12-11 20:44:33.736
Damian,Jones,30,C,13,12,792,1,0,0,0,2,1,1,1,2,0,0,1,5,1,0,0,0,0,0,1,0,0,1627745,-3,1,0,A,,0021900354,A,ATL,2019-12-10,Damian Jones,1576097073736,2019-12-11 20:44:33.736
Kevin,Huerter,3,SG,25,49,1549,8,3,8,3,0,0,0,2,2,7,0,1,1,9,0,0,0,0,0,0,0,0,1628989,4,0,0,A,,0021900354,A,ATL,2019-12-10,Kevin Huerter,1576097073736,2019-12-11 20:44:33.736
Trae,Young,11,PG,41,7,2467,19,7,11,3,5,4,0,4,4,9,0,0,4,21,4,0,0,0,6,5,3,0,1629027,-24,0,0,A,,0021900354,A,ATL,2019-12-10,Trae Young,1576097073736,2019-12-11 20:44:33.736
Cam,Reddish,22,,23,18,1398,13,6,4,2,0,0,2,5,7,1,0,0,2,14,2,0,1,0,8,7,4,1,1629629,-5,1,0,A,,0021900354,A,ATL,2019-12-10,Cam Reddish,1576097073736,2019-12-11 20:44:33.736
Alex,Len,25,,22,11,1331,6,4,2,1,0,0,1,2,3,1,2,1,3,9,0,0,0,0,6,4,3,0,203458,-11,0,0,A,,0021900354,A,ATL,2019-12-10,Alex Len,1576097073736,2019-12-11 20:44:33.736
Vince,Carter,15,,26,8,1568,10,4,10,4,0,0,0,3,3,4,0,0,2,12,2,0,0,0,0,0,0,0,1713,-15,0,0,A,,0021900354,A,ATL,2019-12-10,Vince Carter,1576097073736,2019-12-11 20:44:33.736
Allen,Crabbe,33,,22,2,1322,3,2,2,1,2,2,0,1,1,2,1,1,1,7,0,0,0,0,2,1,1,1,203459,2,0,0,A,,0021900354,A,ATL,2019-12-10,Allen Crabbe,1576097073736,2019-12-11 20:44:33.736
Bruno,Fernando,24,,7,4,424,1,0,1,0,0,0,0,3,3,1,0,0,1,0,1,0,0,0,0,0,0,1,1628981,6,0,0,A,,0021900354,A,ATL,2019-12-10,Bruno Fernando,1576097073736,2019-12-11 20:44:33.736
DeAndre',Bembry,95,,13,38,818,5,2,2,0,0,0,0,1,1,0,0,0,1,4,2,0,0,0,4,3,2,1,1627761,5,1,0,A,,0021900354,A,ATL,2019-12-10,DeAndre' Bembry,1576097073736,2019-12-11 20:44:33.736
Chandler,Parsons,31,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202718,0,0,0,A,,0021900354,A,ATL,2019-12-10,Chandler Parsons,1576097073736,2019-12-11 20:44:33.736
Evan,Turner,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202323,0,0,0,A,,0021900354,A,ATL,2019-12-10,Evan Turner,1576097073736,2019-12-11 20:44:33.736
Charles,Brown Jr.,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629718,0,0,0,I,,0021900354,A,ATL,2019-12-10,Charles Brown Jr.,1576097073736,2019-12-11 20:44:33.736
John,Collins,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628381,0,0,0,I,,0021900354,A,ATL,2019-12-10,John Collins,1576097073736,2019-12-11 20:44:33.736
Brandon,Goodwin,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629164,0,0,0,I,,0021900354,A,ATL,2019-12-10,Brandon Goodwin,1576097073736,2019-12-11 20:44:33.736
Tyrone,Wallace,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627820,0,0,0,I,,0021900354,A,ATL,2019-12-10,Tyrone Wallace,1576097073736,2019-12-11 20:44:33.736
Jimmy,Butler,22,SF,41,43,2503,18,8,3,1,7,3,2,16,18,10,0,0,0,20,3,0,0,0,14,13,7,0,202710,32,3,0,A,,0021900354,H,MIA,2019-12-10,Jimmy Butler,1576097073736,2019-12-11 20:44:33.736
Bam,Adebayo,13,PF,43,30,2610,18,13,1,0,5,4,4,7,11,11,2,0,5,30,4,2,1,1,26,17,13,0,1628389,26,0,0,A,,0021900354,H,MIA,2019-12-10,Bam Adebayo,1576097073736,2019-12-11 20:44:33.736
Meyers,Leonard,0,C,11,38,698,4,2,2,0,0,0,0,3,3,2,0,1,1,4,0,0,0,0,4,2,2,0,203086,9,0,0,A,,0021900354,H,MIA,2019-12-10,Meyers Leonard,1576097073736,2019-12-11 20:44:33.736
Duncan,Robinson,55,SG,43,4,2584,16,12,14,10,0,0,0,3,3,4,0,1,3,34,0,11,4,4,4,2,2,1,1629130,26,0,0,A,,0021900354,H,MIA,2019-12-10,Duncan Robinson,1576097073736,2019-12-11 20:44:33.736
Kendrick,Nunn,25,PG,42,21,2541,26,14,10,3,5,5,0,6,6,4,1,0,2,36,1,0,1,0,12,9,6,1,1629134,25,1,0,A,,0021900354,H,MIA,2019-12-10,Kendrick Nunn,1576097073736,2019-12-11 20:44:33.736
Tyler,Herro,14,,22,45,1365,6,0,4,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,1629639,-30,0,0,A,,0021900354,H,MIA,2019-12-10,Tyler Herro,1576097073736,2019-12-11 20:44:33.736
Derrick,Jones Jr.,5,,34,39,2079,9,4,4,0,3,1,1,6,7,2,1,1,4,9,0,2,1,1,8,5,4,0,1627884,16,1,0,A,,0021900354,H,MIA,2019-12-10,Derrick Jones Jr.,1576097073736,2019-12-11 20:44:33.736
Kelly,Olynyk,9,,17,1,1021,5,0,3,0,2,2,1,3,4,1,0,0,2,2,1,0,0,0,0,2,0,0,203482,-20,0,0,A,,0021900354,H,MIA,2019-12-10,Kelly Olynyk,1576097073736,2019-12-11 20:44:33.736
Chris,Silva,30,,6,38,398,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1629735,-10,1,0,A,,0021900354,H,MIA,2019-12-10,Chris Silva,1576097073736,2019-12-11 20:44:33.736
KZ,Okpala,4,,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1629644,-2,0,0,A,,0021900354,H,MIA,2019-12-10,KZ Okpala,1576097073736,2019-12-11 20:44:33.736
Daryl,Macon,15,,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1629133,-2,0,0,A,,0021900354,H,MIA,2019-12-10,Daryl Macon,1576097073736,2019-12-11 20:44:33.736
Udonis,Haslem,40,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2617,0,0,0,A,,0021900354,H,MIA,2019-12-10,Udonis Haslem,1576097073736,2019-12-11 20:44:33.736
James,Johnson,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201949,0,0,0,A,,0021900354,H,MIA,2019-12-10,James Johnson,1576097073736,2019-12-11 20:44:33.736
Goran,Dragic,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201609,0,0,0,I,,0021900354,H,MIA,2019-12-10,Goran Dragic,1576097073736,2019-12-11 20:44:33.736
Dion,Waiters,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203079,0,0,0,I,,0021900354,H,MIA,2019-12-10,Dion Waiters,1576097073736,2019-12-11 20:44:33.736
Justise,Winslow,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1626159,0,0,0,I,,0021900354,H,MIA,2019-12-10,Justise Winslow,1576097073736,2019-12-11 20:44:33.736
Will,Barton,5,SF,39,48,2388,19,10,7,2,5,4,1,6,7,7,2,2,1,26,2,0,2,0,10,9,5,1,203115,10,1,0,A,,0021900353,A,DEN,2019-12-10,Will Barton,1576035232733,2019-12-11 03:33:52.733
Paul,Millsap,4,PF,28,37,1717,8,4,2,0,2,2,2,4,6,0,3,1,0,10,1,0,0,0,8,6,4,0,200794,11,0,0,A,,0021900353,A,DEN,2019-12-10,Paul Millsap,1576035232733,2019-12-11 03:33:52.733
Nikola,Jokic,15,C,33,9,1989,13,7,4,1,0,0,0,7,7,11,0,1,2,15,2,2,1,1,10,7,5,1,203999,8,0,0,A,,0021900353,A,DEN,2019-12-10,Nikola Jokic,1576035232733,2019-12-11 03:33:52.733
Gary,Harris,14,SG,33,16,1996,12,5,5,1,3,3,0,2,2,5,2,0,2,14,1,3,3,1,4,3,2,1,203914,4,0,0,A,,0021900353,A,DEN,2019-12-10,Gary Harris,1576035232733,2019-12-11 03:33:52.733
Jamal,Murray,27,PG,5,11,311,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1627750,3,0,0,A,,0021900353,A,DEN,2019-12-10,Jamal Murray,1576035232733,2019-12-11 03:33:52.733
Monte,Morris,11,,31,9,1869,9,3,2,1,0,0,0,3,3,2,1,2,1,7,1,2,1,1,4,6,2,1,1628420,-1,0,0,A,,0021900353,A,DEN,2019-12-10,Monte Morris,1576035232733,2019-12-11 03:33:52.733
Michael,Porter Jr.,1,,13,42,822,7,2,0,0,2,2,2,4,6,0,0,0,2,6,0,0,1,0,4,6,2,0,1629008,-9,0,0,A,,0021900353,A,DEN,2019-12-10,Michael Porter Jr.,1576035232733,2019-12-11 03:33:52.733
Jerami,Grant,9,,19,22,1162,6,1,3,1,0,0,0,1,1,3,2,2,4,3,0,0,1,0,0,1,0,1,203924,-16,1,0,A,,0021900353,A,DEN,2019-12-10,Jerami Grant,1576035232733,2019-12-11 03:33:52.733
Mason,Plumlee,24,,14,50,890,3,1,0,0,0,0,0,4,4,1,2,0,1,2,4,0,0,0,2,2,1,0,203486,-13,1,0,A,,0021900353,A,DEN,2019-12-10,Mason Plumlee,1576035232733,2019-12-11 03:33:52.733
Malik,Beasley,25,,11,42,702,5,2,3,1,0,0,0,1,1,0,0,0,0,5,1,0,0,0,2,2,1,0,1627736,-12,0,0,A,,0021900353,A,DEN,2019-12-10,Malik Beasley,1576035232733,2019-12-11 03:33:52.733
Torrey,Craig,3,,8,8,488,2,2,0,0,0,0,0,0,0,0,0,1,1,4,1,2,1,1,4,2,2,0,1628470,-10,0,0,A,,0021900353,A,DEN,2019-12-10,Torrey Craig,1576035232733,2019-12-11 03:33:52.733
Juancho,Hernangomez,41,,1,2,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627823,0,0,0,A,,0021900353,A,DEN,2019-12-10,Juancho Hernangomez,1576035232733,2019-12-11 03:33:52.733
Vlatko,Cancar,31,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628427,0,0,0,A,,0021900353,A,DEN,2019-12-10,Vlatko Cancar,1576035232733,2019-12-11 03:33:52.733
Bol,Bol,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629626,0,0,0,I,,0021900353,A,DEN,2019-12-10,Bol Bol,1576035232733,2019-12-11 03:33:52.733
PJ,Dozier,35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628408,0,0,0,I,,0021900353,A,DEN,2019-12-10,PJ Dozier,1576035232733,2019-12-11 03:33:52.733
Jarred,Vanderbilt,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629020,0,0,0,I,,0021900353,A,DEN,2019-12-10,Jarred Vanderbilt,1576035232733,2019-12-11 03:33:52.733
Tobias,Harris,12,SF,35,44,2144,17,7,4,2,5,4,1,6,7,4,1,2,2,20,1,2,1,1,8,8,4,1,202699,9,2,0,A,,0021900353,H,PHI,2019-12-10,Tobias Harris,1576035232733,2019-12-11 03:33:52.733
Al,Horford,42,PF,30,56,1856,16,5,8,1,0,0,3,6,9,2,2,0,2,11,4,0,1,0,6,5,3,1,201143,-2,1,0,A,,0021900353,H,PHI,2019-12-10,Al Horford,1576035232733,2019-12-11 03:33:52.733
Joel,Embiid,21,C,31,5,1865,18,8,3,0,7,6,2,8,10,6,2,1,3,22,4,0,0,0,8,8,4,1,203954,-8,2,0,A,,0021900353,H,PHI,2019-12-10,Joel Embiid,1576035232733,2019-12-11 03:33:52.733
Josh,Richardson,0,SG,19,7,1147,8,1,3,1,0,0,1,0,1,0,1,0,1,3,0,0,0,0,0,4,0,1,1626196,-11,1,0,A,,0021900353,H,PHI,2019-12-10,Josh Richardson,1576035232733,2019-12-11 03:33:52.733
Ben,Simmons,25,PG,37,12,2232,6,3,1,0,4,1,2,7,9,7,1,0,3,7,4,4,2,2,6,5,3,1,1627732,-2,1,0,A,,0021900353,H,PHI,2019-12-10,Ben Simmons,1576035232733,2019-12-11 03:33:52.733
James,Ennis III,11,,17,47,1067,5,3,3,1,0,0,1,2,3,0,0,0,2,7,0,0,0,0,4,2,2,0,203516,7,0,0,A,,0021900353,H,PHI,2019-12-10,James Ennis III,1576035232733,2019-12-11 03:33:52.733
Matisse,Thybulle,22,,26,19,1579,8,5,4,3,0,0,2,3,5,1,1,0,2,13,0,10,4,4,4,4,2,0,1629680,20,1,0,A,,0021900353,H,PHI,2019-12-10,Matisse Thybulle,1576035232733,2019-12-11 03:33:52.733
Mike,Scott,1,,14,13,853,7,3,6,2,0,0,0,1,1,0,1,0,0,8,0,0,1,0,2,1,1,0,203118,-4,0,0,A,,0021900353,H,PHI,2019-12-10,Mike Scott,1576035232733,2019-12-11 03:33:52.733
Raul,Neto,19,,10,48,648,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,203526,7,0,0,A,,0021900353,H,PHI,2019-12-10,Raul Neto,1576035232733,2019-12-11 03:33:52.733
Furkan,Korkmaz,30,,16,47,1007,4,2,4,2,0,0,0,3,3,2,0,0,0,6,0,3,2,1,0,0,0,0,1627788,9,1,0,A,,0021900353,H,PHI,2019-12-10,Furkan Korkmaz,1576035232733,2019-12-11 03:33:52.733
Trey,Burke,23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203504,0,0,0,A,,0021900353,H,PHI,2019-12-10,Trey Burke,1576035232733,2019-12-11 03:33:52.733
Shake,Milton,18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629003,0,0,0,A,,0021900353,H,PHI,2019-12-10,Shake Milton,1576035232733,2019-12-11 03:33:52.733
Kyle,O'Quinn,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203124,0,0,0,A,,0021900353,H,PHI,2019-12-10,Kyle O'Quinn,1576035232733,2019-12-11 03:33:52.733
Jonah,Bolden,43,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628413,0,0,0,I,,0021900353,H,PHI,2019-12-10,Jonah Bolden,1576035232733,2019-12-11 03:33:52.733
Norvel,Pelle,14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203658,0,0,0,I,,0021900353,H,PHI,2019-12-10,Norvel Pelle,1576035232733,2019-12-11 03:33:52.733
Marial,Shayok,35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629621,0,0,0,I,,0021900353,H,PHI,2019-12-10,Marial Shayok,1576035232733,2019-12-11 03:33:52.733
Zhaire,Smith,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629015,0,0,0,I,,0021900353,H,PHI,2019-12-10,Zhaire Smith,1576035232733,2019-12-11 03:33:52.733
Isaac,Bonga,17,SF,14,18,858,3,0,2,0,0,0,1,0,1,1,1,1,3,0,1,0,1,0,0,1,0,0,1629067,6,0,0,A,,0021900352,A,WAS,2019-12-10,Isaac Bonga,1576031601794,2019-12-11 02:33:21.794
Rui,Hachimura,8,PF,32,48,1968,16,7,1,0,6,4,4,8,12,2,1,0,5,18,0,0,0,0,10,10,5,1,1629060,-30,1,0,A,,0021900352,A,WAS,2019-12-10,Rui Hachimura,1576031601794,2019-12-11 02:33:21.794
Moritz,Wagner,21,C,25,44,1544,7,3,2,0,3,3,3,3,6,3,0,1,4,9,0,0,0,0,6,5,3,0,1629021,-18,1,0,A,,0021900352,A,WAS,2019-12-10,Moritz Wagner,1576031601794,2019-12-11 02:33:21.794
Bradley,Beal,3,SG,36,45,2205,19,6,7,0,5,4,2,2,4,9,0,1,3,16,4,4,3,2,12,11,6,1,203078,-36,1,1,A,,0021900352,A,WAS,2019-12-10,Bradley Beal,1576031601794,2019-12-11 02:33:21.794
Ish,Smith,14,PG,38,12,2292,13,6,4,1,1,0,0,0,0,5,0,1,2,13,1,0,1,0,8,6,4,1,202397,-21,0,0,A,,0021900352,A,WAS,2019-12-10,Ish Smith,1576031601794,2019-12-11 02:33:21.794
Troy,Brown Jr.,6,,28,10,1690,4,0,1,0,4,4,0,8,8,4,3,0,1,4,3,0,1,0,0,1,0,0,1628972,6,1,0,A,,0021900352,A,WAS,2019-12-10,Troy Brown Jr.,1576031601794,2019-12-11 02:33:21.794
Ian,Mahinmi,28,,20,22,1222,5,3,1,0,4,3,1,2,3,0,1,2,1,9,1,0,0,0,6,4,3,1,101133,15,0,0,A,,0021900352,A,WAS,2019-12-10,Ian Mahinmi,1576031601794,2019-12-11 02:33:21.794
Davis,Bertans,42,,30,3,1803,18,11,12,8,2,2,2,7,9,1,0,1,3,32,0,5,4,2,4,4,2,1,202722,17,0,0,A,,0021900352,A,WAS,2019-12-10,Davis Bertans,1576031601794,2019-12-11 02:33:21.794
Chris,Chiozza,9,,13,32,812,5,2,5,2,0,0,0,2,2,2,1,0,2,6,0,0,1,0,0,0,0,0,1629185,26,0,0,A,,0021900352,A,WAS,2019-12-10,Chris Chiozza,1576031601794,2019-12-11 02:33:21.794
Admiral,Schofield,1,,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629678,0,0,0,A,,0021900352,A,WAS,2019-12-10,Admiral Schofield,1576031601794,2019-12-11 02:33:21.794
Thomas,Bryant,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628418,0,0,0,A,,0021900352,A,WAS,2019-12-10,Thomas Bryant,1576031601794,2019-12-11 02:33:21.794
Justin,Robinson,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629620,0,0,0,A,,0021900352,A,WAS,2019-12-10,Justin Robinson,1576031601794,2019-12-11 02:33:21.794
